date,open,high,low,close,volume
2020-07-27,298.6,301.07,297.91,300.07,49167
2020-07-28,299.57,302.14,298.41,299.99,70262
2020-07-29,299.31,300.36,298.04,298.7,70972
2020-07-30,296.09,299.51,296.02,298.02,49558
2020-07-31,297.69,299.36,296.02,298.85,80202
2020-08-03,299.16,302.71,297.85,302.12,100272
2020-08-04,302.16,311.74,302.01,311.51,203878
2020-08-05,313.38,314.48,309.89,312.02,150956
2020-08-06,313.66,316.62,313.57,315.11,104092
2020-08-07,315.08,316.27,311.9,312.79,73300
2020-08-10,312.33,312.98,310.72,312.0,54343
2020-08-11,312.1,312.1,304.72,304.76,29634
2020-08-12,306.61,310.92,305.87,309.04,23315
2020-08-13,309.03,311.45,307.74,308.01,40085
2020-08-14,308.99,310.78,308.09,308.5,46321
2020-08-17,310.11,312.32,310.11,311.97,75977
2020-08-18,313.18,314.29,309.18,312.55,62500
2020-08-19,312.84,313.74,311.98,312.71,102629
2020-08-20,312.8,313.45,310.99,312.75,58565
2020-08-21,312.06,317.35,311.85,316.31,88475
2020-08-24,317.15,317.15,313.94,315.86,66791
2020-08-25,315.59,316.48,313.44,316.37,71950
2020-08-26,315.15,316.39,313.77,315.86,57692
2020-08-27,316.88,319.09,314.53,317.79,120428
2020-08-28,318.48,320.29,317.24,319.5,43230
2020-08-31,318.75,319.92,316.01,319.25,32330
2020-09-01,318.23,322.53,317.09,322.5,46977
2020-09-02,325.48,330.19,322.61,329.24,44815
2020-09-03,332.4,332.4,317.14,319.9,63094
2020-09-04,324.22,324.22,312.38,318.2,48094
2020-09-08,315.47,315.47,310.41,310.84,55367
2020-09-09,313.57,320.65,312.67,317.68,44534
2020-09-10,318.59,319.35,311.16,311.96,37405
2020-09-11,312.26,314.78,308.58,311.21,35267
2020-09-14,312.63,316.34,312.63,314.87,28963
2020-09-15,316.39,319.13,314.66,315.64,32146
2020-09-16,317.8,319.95,315.37,315.37,30781
2020-09-17,310.85,314.32,308.74,310.83,53272
2020-09-18,312.05,312.65,304.02,308.65,47032
2020-09-21,307.43,311.22,306.55,311.19,24669
2020-09-22,312.01,316.47,311.69,316.05,71258
2020-09-23,318.32,319.26,315.75,316.29,77444
2020-09-24,316.79,318.66,310.99,318.43,79899
2020-09-25,312.95,315.42,307.87,314.17,123819
2020-09-28,315.36,320.84,315.0,320.84,59963
2020-09-29,319.82,325.0,318.76,323.31,44810
2020-09-30,323.4,328.22,322.73,325.81,52636
2020-10-01,326.09,330.06,325.62,329.08,100938
2020-10-02,325.75,328.18,324.02,325.8,93166
2020-10-05,326.46,329.41,326.09,329.05,74398
2020-10-06,331.76,333.05,327.64,329.18,63549
2020-10-07,330.93,334.64,330.1,333.11,57958
2020-10-08,334.64,335.79,331.98,335.16,72625
2020-10-09,335.73,339.31,335.65,338.97,72529
2020-10-12,340.25,349.26,340.25,345.3,161502
2020-10-13,347.26,350.73,345.96,349.5,70339
2020-10-14,349.8,352.23,345.76,347.3,81063
2020-10-15,345.54,347.19,342.52,345.81,110168
2020-10-16,349.12,353.18,347.98,350.04,112867
2020-10-19,350.84,351.31,343.91,344.8,82164
2020-10-20,345.94,350.52,345.16,347.14,57079
2020-10-21,347.54,349.82,346.17,346.51,64443
2020-10-22,346.42,346.96,341.41,344.91,99052
2020-10-23,344.54,344.82,343.0,343.46,92310
2020-10-26,336.03,341.94,335.98,340.23,117094
2020-10-27,339.28,343.86,339.23,341.98,71254
2020-10-28,337.5,341.68,334.65,334.95,110495
2020-10-29,333.89,339.12,333.51,335.38,75056
2020-10-30,332.52,334.54,327.22,328.73,92590
2020-11-02,333.13,336.12,332.17,334.77,56759
2020-11-03,339.09,344.58,339.09,342.22,51256
2020-11-04,344.18,350.78,344.18,345.49,78380
2020-11-05,351.23,355.29,349.3,353.88,65850
2020-11-06,351.03,355.54,350.32,354.27,64310
2020-11-09,357.8,357.86,335.44,335.5,179079
2020-11-10,334.9,341.54,332.1,336.94,102676
2020-11-11,339.4,344.51,338.5,342.77,73476
2020-11-12,345.68,347.77,343.66,345.74,52381
2020-11-13,346.67,349.07,344.92,348.36,22506
2020-11-16,348.03,350.43,347.18,349.35,55637
2020-11-17,355.94,357.08,351.03,351.03,86891
2020-11-18,352.02,356.64,351.31,351.96,61246
2020-11-19,350.86,353.44,350.02,352.8,50125
2020-11-20,353.55,354.34,350.41,350.41,31840
2020-11-23,351.9,351.91,349.78,351.17,43175
2020-11-24,351.68,354.6,350.11,353.22,80832
2020-11-25,354.79,356.87,354.65,356.47,41610
2020-11-27,358.27,359.11,356.56,357.16,33563
2020-11-30,359.84,361.26,354.38,360.79,78813
2020-12-01,362.57,366.04,359.84,365.76,60190
2020-12-02,363.89,364.92,360.17,361.87,84370
2020-12-03,356.72,357.16,352.37,352.95,113934
2020-12-04,354.04,354.04,350.95,352.26,122070
2020-12-07,353.23,355.08,351.6,351.99,105242
2020-12-08,352.51,358.04,350.11,356.32,107145
2020-12-09,358.34,359.46,351.77,353.11,145281
2020-12-10,353.35,353.51,350.67,351.81,111665
2020-12-11,357.03,357.33,351.5,353.91,147108
2020-12-14,354.63,356.73,352.16,352.97,122145
2020-12-15,353.29,354.24,348.51,350.74,113794
2020-12-16,350.52,351.21,348.08,348.3,81288
2020-12-17,349.53,349.99,347.22,349.34,75513
2020-12-18,349.81,349.85,345.35,346.0,113544
2020-12-21,344.47,345.01,341.53,344.43,86442
2020-12-22,343.9,343.9,340.32,341.75,64778
2020-12-23,342.35,342.51,339.24,341.27,65286
2020-12-24,341.79,344.47,341.65,344.13,27195
2020-12-28,344.94,350.65,344.58,350.18,101658
2020-12-29,351.33,352.03,349.58,351.89,106124
2020-12-30,353.19,354.59,352.28,353.39,74361
2020-12-31,353.62,355.69,351.53,355.47,57848
2021-01-04,356.14,359.97,353.87,358.67,137090
2021-01-05,357.71,358.73,354.07,354.53,94190
2021-01-06,352.77,354.53,348.82,349.18,153644
2021-01-07,349.5,350.66,346.14,347.2,122303
2021-01-08,347.45,349.3,343.71,349.3,99778
2021-01-11,347.77,350.04,343.35,343.41,131981
2021-01-12,343.57,344.39,339.92,343.93,123271
2021-01-13,343.47,347.88,342.7,346.31,93131
2021-01-14,345.41,345.71,341.18,342.14,151198
2021-01-15,340.87,344.29,340.87,342.12,92116
2021-01-19,342.0,342.19,332.61,334.37,154385
2021-01-20,334.56,341.34,333.64,341.27,98110
2021-01-21,340.7,343.39,339.67,342.38,84366
2021-01-22,342.68,343.94,339.86,342.16,78555
2021-01-25,340.96,341.42,336.75,341.33,120891
2021-01-26,339.67,345.19,338.61,344.48,76264
2021-01-27,342.19,345.0,334.97,336.12,145308
2021-01-28,336.6,341.05,336.31,336.89,133886
2021-01-29,334.71,335.99,332.0,332.0,85923
2021-02-01,331.44,332.82,329.52,330.65,91461
2021-02-02,331.61,337.35,330.91,335.76,81905
2021-02-03,335.53,337.25,333.33,335.18,73876
2021-02-04,337.19,338.8,334.67,336.41,166683
2021-02-05,337.26,337.26,334.79,335.63,105005
2021-02-08,337.16,340.26,336.16,339.91,135742
2021-02-09,340.37,341.81,338.77,340.05,91384
2021-02-10,340.81,340.87,335.79,336.62,116987
2021-02-11,336.55,336.89,332.26,332.95,125386
2021-02-12,332.67,333.65,331.1,333.58,121164
2021-02-16,334.02,335.8,332.91,334.57,75624
2021-02-17,333.43,338.53,333.0,338.52,93016
2021-02-18,333.68,338.59,333.43,337.01,128756
2021-02-19,337.64,338.12,335.32,335.44,66205
2021-02-22,333.43,333.7,329.84,331.01,81196
2021-02-23,330.46,331.82,323.37,323.37,191052
2021-02-24,322.97,323.66,319.56,322.36,200544
2021-02-25,322.44,324.19,315.31,315.66,166614
2021-02-26,317.18,317.47,313.14,313.14,178239
2021-03-01,316.85,317.6,313.51,313.51,571542
2021-03-02,316.19,316.41,310.61,310.64,647843
2021-03-03,310.19,310.4,306.12,306.15,413469
2021-03-04,305.71,307.81,297.89,301.65,234788
2021-03-05,298.37,300.94,290.27,299.94,294263
2021-03-08,301.15,304.65,294.13,294.21,262874
2021-03-09,296.74,302.72,295.76,301.58,379999
2021-03-10,303.6,309.38,300.02,306.13,192519
2021-03-11,312.26,313.11,308.93,310.79,344631
2021-03-12,310.0,313.46,307.82,313.1,109390
2021-03-15,315.01,315.01,309.51,312.48,156777
2021-03-16,311.86,312.0,308.85,309.56,198090
2021-03-17,308.47,312.44,306.66,311.17,123791
2021-03-18,308.17,309.87,304.81,305.42,98530
2021-03-19,304.88,311.17,304.88,310.95,151642
2021-03-22,310.84,317.81,310.63,316.38,172646
2021-03-23,316.3,323.75,315.69,321.77,170808
2021-03-24,323.64,323.64,318.57,319.57,125183
2021-03-25,319.25,328.76,319.05,327.58,234938
2021-03-26,327.3,333.15,325.33,333.02,135759
2021-03-29,332.22,338.21,332.22,336.65,153295
2021-03-30,334.47,335.16,329.88,330.66,112537
2021-03-31,331.52,337.92,330.51,333.42,112510
2021-04-01,333.41,337.76,332.73,335.58,105625
2021-04-05,337.59,342.83,337.59,341.19,83945
2021-04-06,340.23,342.95,339.46,340.53,113672
2021-04-07,341.24,341.49,338.13,339.22,64908
2021-04-08,342.75,345.98,339.98,341.46,138674
2021-04-09,340.94,343.82,340.26,343.19,75146
2021-04-12,343.3,345.24,341.67,344.89,103619
2021-04-13,344.92,346.89,344.5,344.91,24196
2021-04-14,344.43,344.57,342.75,343.28,61445
2021-04-15,344.68,349.34,344.68,348.68,58185
2021-04-16,348.91,352.41,348.45,350.26,49634
2021-04-19,351.09,351.09,348.21,349.14,53632
2021-04-20,348.88,354.81,348.87,351.18,207993
2021-04-21,351.43,354.0,351.23,353.56,60329
2021-04-22,354.03,354.81,349.88,350.91,81523
2021-04-23,351.05,354.36,350.18,353.01,44516
2021-04-26,352.22,352.22,348.1,348.23,74951
2021-04-27,347.54,350.68,345.38,349.97,85067
2021-04-28,348.99,350.1,348.16,349.46,50207
2021-04-29,349.56,354.99,349.42,353.87,73955
2021-04-30,353.38,354.4,351.89,352.67,67713
2021-05-03,354.13,359.48,354.13,359.43,128559
2021-05-04,359.12,359.12,354.32,355.49,77706
2021-05-05,356.4,357.45,352.63,352.63,96021
2021-05-06,353.85,362.79,353.81,362.73,154189
2021-05-07,362.48,366.03,362.44,364.07,86157
2021-05-10,364.59,367.44,361.25,361.37,102617
2021-05-11,359.26,360.77,356.31,358.51,135428
2021-05-12,355.98,356.54,351.86,352.63,145099
2021-05-13,353.75,361.2,352.53,359.57,140199
2021-05-14,361.58,365.53,360.52,364.15,145683
2021-05-17,364.76,366.32,362.79,363.57,135348
2021-05-18,366.55,368.96,362.66,362.66,122279
2021-05-19,357.19,361.47,356.98,359.62,68776
2021-05-20,359.47,364.27,358.59,363.23,91201
2021-05-21,363.71,364.7,360.57,360.64,77260
2021-05-24,363.63,365.39,361.82,363.22,67019
2021-05-25,363.45,365.37,361.97,365.21,50969
2021-05-26,365.59,366.97,364.77,365.38,82099
2021-05-27,365.45,367.22,363.79,366.79,98395
2021-05-28,364.53,364.79,357.21,358.47,223225
2021-06-01,360.02,360.02,355.77,358.41,117855
2021-06-02,358.35,361.82,357.84,360.58,113061
2021-06-03,360.14,363.92,359.08,363.76,98821
2021-06-04,363.94,367.31,363.53,367.23,72644
2021-06-07,365.2,366.09,358.72,360.4,109560
2021-06-08,360.64,360.97,357.9,359.86,64107
2021-06-09,359.86,361.62,359.44,359.97,54970
2021-06-10,360.09,363.09,359.68,362.97,48295
2021-06-11,363.24,363.24,360.55,361.78,52507
2021-06-14,360.34,363.69,359.15,363.57,62655
2021-06-15,363.46,364.2,361.55,363.83,87433
2021-06-16,364.18,366.06,357.3,359.43,107029
2021-06-17,359.54,366.09,359.31,364.53,94026
2021-06-18,363.57,363.64,360.4,360.62,81065
2021-06-21,361.55,367.25,360.7,366.45,85388
2021-06-22,366.65,371.79,366.24,371.52,70235
2021-06-23,372.58,372.7,370.1,371.38,128213
2021-06-24,372.59,374.41,371.25,371.28,36042
2021-06-25,372.53,373.65,371.13,373.6,39913
2021-06-28,374.13,376.52,372.6,375.75,88769
2021-06-29,375.65,378.4,374.71,377.78,79726
2021-06-30,377.19,379.36,374.5,374.95,105753
2021-07-01,375.29,376.77,373.23,373.62,69586
2021-07-02,375.53,379.69,375.53,377.8,60046
2021-07-06,378.26,380.27,376.32,378.03,71580
2021-07-07,379.19,384.72,378.81,383.49,86189
2021-07-08,382.44,386.86,382.24,385.44,102842
2021-07-09,387.49,392.01,386.26,390.62,91875
2021-07-12,392.52,392.52,383.4,386.41,92441
2021-07-13,383.94,387.72,383.94,385.74,84631
2021-07-14,387.01,388.85,385.84,388.37,77053
2021-07-15,388.59,390.47,386.49,390.27,77913
2021-07-16,390.64,391.61,388.21,388.77,82220
2021-07-19,389.02,393.36,389.02,392.16,86992
2021-07-20,392.5,395.94,391.2,394.38,73313
2021-07-21,394.04,394.04,390.57,393.06,65926
2021-07-22,394.33,396.51,392.23,395.47,45500
2021-07-23,396.48,401.61,395.29,401.12,71890
2021-07-26,400.59,402.02,398.33,401.07,38438
2021-07-27,400.67,402.22,399.76,402.08,56073
2021-07-28,401.2,402.42,398.56,399.97,44998
2021-07-29,399.83,404.11,399.19,403.7,41644
2021-07-30,404.72,409.45,404.62,408.01,133665
2021-08-02,408.51,408.64,404.03,407.23,63854
