date,open,high,low,close,volume
2020-07-27,39.84,40.11,39.72,40.05,56034
2020-07-28,40.3,40.95,40.3,40.66,41877
2020-07-29,41.06,41.06,40.47,40.62,41827
2020-07-30,40.59,40.62,39.75,39.92,30560
2020-07-31,40.0,40.34,39.64,40.13,37438
2020-08-03,40.25,40.63,40.05,40.24,48840
2020-08-04,40.27,40.89,40.26,40.84,72686
2020-08-05,40.78,40.78,40.0,40.27,43789
2020-08-06,40.41,40.42,39.93,40.36,39133
2020-08-07,40.33,40.54,39.89,40.4,70357
2020-08-10,40.57,40.85,40.31,40.81,22417
2020-08-11,40.89,40.91,40.22,40.3,59078
2020-08-12,40.62,41.5,40.47,41.28,40044
2020-08-13,41.32,41.54,40.93,41.41,23157
2020-08-14,41.39,42.04,41.35,41.85,25895
2020-08-17,41.69,42.51,41.69,42.33,34939
2020-08-18,42.02,42.72,41.98,42.43,31249
2020-08-19,42.46,42.7,42.33,42.41,13154
2020-08-20,42.38,42.73,42.34,42.42,20423
2020-08-21,42.28,42.65,42.18,42.54,38736
2020-08-24,42.59,42.98,42.21,42.67,59397
2020-08-25,42.8,43.04,42.56,42.93,39185
2020-08-26,42.89,43.3,42.42,43.28,33092
2020-08-27,43.27,43.7,43.12,43.16,51458
2020-08-28,43.07,43.07,42.04,42.18,60904
2020-08-31,42.29,42.64,42.12,42.6,31539
2020-09-01,42.43,42.43,41.45,41.6,118064
2020-09-02,41.64,42.75,41.57,42.47,89268
2020-09-03,40.26,42.36,38.7,39.31,298655
2020-09-04,39.29,39.66,37.83,38.5,114956
2020-09-08,38.33,38.41,36.05,36.62,167291
2020-09-09,37.03,37.58,36.79,36.9,25004
2020-09-10,36.86,37.35,36.52,36.69,83689
2020-09-11,36.62,36.99,36.43,36.82,146003
2020-09-14,36.89,37.58,36.77,37.09,78429
2020-09-15,37.18,37.18,36.69,36.86,90477
2020-09-16,37.12,37.23,36.52,36.63,54843
2020-09-17,36.59,36.97,36.39,36.9,82779
2020-09-18,36.82,37.4,36.66,36.81,54887
2020-09-21,36.7,38.06,36.7,37.29,100116
2020-09-22,37.35,37.5,36.75,36.95,86313
2020-09-23,37.1,37.29,36.58,36.58,67968
2020-09-24,36.57,37.97,36.53,37.89,127457
2020-09-25,37.81,38.75,37.66,38.49,140293
2020-09-28,38.56,39.14,38.43,38.83,71125
2020-09-29,39.0,39.0,38.64,38.87,130778
2020-09-30,38.99,39.42,38.83,39.19,69061
2020-10-01,38.99,39.57,38.08,39.29,149421
2020-10-02,39.0,39.69,39.0,39.53,95863
2020-10-05,39.53,39.91,39.2,39.65,164223
2020-10-06,39.63,39.79,39.25,39.32,101677
2020-10-07,39.42,39.62,39.01,39.34,198254
2020-10-08,39.33,39.7,39.02,39.47,111986
2020-10-09,39.46,39.77,39.24,39.55,57051
2020-10-12,39.77,40.15,39.67,40.06,86587
2020-10-13,40.07,40.62,40.07,40.47,60850
2020-10-14,40.28,40.66,40.09,40.31,43661
2020-10-15,40.08,40.25,39.85,40.08,59329
2020-10-16,40.4,40.51,39.9,39.9,46353
2020-10-19,39.94,40.34,39.55,39.65,88300
2020-10-20,39.94,39.94,38.81,38.89,100218
2020-10-21,38.66,39.19,38.66,38.93,116119
2020-10-22,38.87,39.19,38.66,39.08,75106
2020-10-23,39.24,39.81,39.16,39.58,74961
2020-10-26,39.4,39.59,38.92,39.37,125392
2020-10-27,39.26,39.92,39.26,39.33,70535
2020-10-28,38.89,39.28,38.35,38.35,88927
2020-10-29,38.46,38.61,37.9,38.14,67452
2020-10-30,38.19,38.48,37.81,38.07,64138
2020-11-02,38.46,38.88,38.37,38.84,122129
2020-11-03,39.29,39.7,38.83,39.08,50517
