date,open,high,low,close,volume
2020-07-27,72.27,73.4,72.17,73.35,15856
2020-07-28,73.58,74.83,73.0,74.46,14061
2020-07-29,74.98,75.07,73.83,75.07,24461
2020-07-30,73.95,76.6,73.95,76.41,33581
2020-07-31,75.91,75.91,72.36,74.48,92247
2020-08-03,73.53,73.53,71.85,73.28,48450
2020-08-04,72.54,73.71,71.71,73.32,29343
2020-08-05,73.11,73.35,72.61,73.16,30671
2020-08-06,73.07,74.02,72.64,73.75,16507
2020-08-07,73.37,73.55,72.58,72.99,64702
2020-08-10,73.14,73.97,72.48,73.0,20042
2020-08-11,73.89,74.45,73.28,73.43,36134
2020-08-12,73.81,74.43,73.17,74.29,23718
2020-08-13,73.74,74.65,72.14,72.27,22642
2020-08-14,71.82,73.25,71.82,72.5,15123
2020-08-17,72.4,73.03,72.2,72.99,10186
2020-08-18,73.04,73.04,72.17,72.68,10623
2020-08-19,71.97,72.19,71.01,71.4,38349
2020-08-20,71.85,73.02,71.85,72.15,13357
2020-08-21,72.41,72.41,70.51,72.12,7512
2020-08-24,71.7,72.49,70.51,72.4,7698
2020-08-25,72.63,73.32,72.05,73.18,26502
2020-08-26,72.2,72.2,70.91,71.31,11148
2020-08-27,72.07,73.75,72.07,73.75,11253
2020-08-28,73.17,74.83,73.17,74.83,32882
2020-08-31,74.29,74.93,74.09,74.77,27775
2020-09-01,74.01,74.79,73.53,74.79,29076
2020-09-02,74.15,75.49,74.15,75.43,34162
2020-09-03,76.1,76.71,74.85,75.71,24474
2020-09-04,76.27,77.38,75.46,76.61,36653
2020-09-08,74.61,75.35,74.08,74.81,19038
2020-09-09,75.95,76.55,74.57,75.13,31789
2020-09-10,74.75,75.26,74.15,74.37,35969
2020-09-11,74.07,74.07,72.72,73.74,25265
2020-09-14,74.98,77.06,74.98,76.63,19884
2020-09-15,75.78,77.01,75.26,75.67,54289
2020-09-16,76.13,77.06,75.94,76.02,16845
2020-09-17,74.83,75.78,74.75,75.03,22238
2020-09-18,74.47,74.52,72.99,73.09,23530
2020-09-21,71.77,72.35,70.89,71.23,51092
2020-09-22,71.62,73.46,71.62,72.85,44202
2020-09-23,73.08,73.91,72.37,72.37,32680
2020-09-24,72.26,73.13,72.04,72.52,36542
2020-09-25,72.98,74.25,72.47,74.22,26814
2020-09-28,75.68,75.95,74.72,74.72,25954
2020-09-29,74.11,74.72,73.32,74.17,32674
2020-09-30,74.75,74.83,73.07,73.83,35306
2020-10-01,74.27,76.27,73.81,76.27,47675
2020-10-02,75.28,78.97,74.46,78.64,34585
2020-10-05,79.15,80.11,78.45,80.1,50303
2020-10-06,79.49,81.17,79.39,80.39,35500
2020-10-07,80.53,80.72,79.46,80.03,39643
2020-10-08,80.07,81.39,80.07,81.39,36585
2020-10-09,81.8,81.8,79.76,79.89,28341
2020-10-12,80.3,81.0,79.67,80.4,52279
2020-10-13,79.91,80.79,79.26,80.01,51039
2020-10-14,79.54,79.94,78.83,79.03,51030
2020-10-15,78.36,79.35,77.98,78.33,19365
2020-10-16,77.78,77.78,76.21,76.5,34472
2020-10-19,76.7,76.73,75.4,75.4,24246
2020-10-20,75.89,76.55,75.39,75.75,23286
2020-10-21,75.65,76.6,75.47,75.84,27643
2020-10-22,75.85,77.04,75.85,76.49,19278
2020-10-23,77.14,77.14,76.32,76.66,20991
2020-10-26,75.48,75.53,74.41,75.42,13891
2020-10-27,75.29,75.48,74.12,74.12,32224
2020-10-28,72.97,73.32,72.24,73.14,89232
2020-10-29,72.89,74.32,71.98,72.86,46688
2020-10-30,74.44,77.16,74.3,76.45,125327
2020-11-02,76.66,78.53,76.38,78.42,57278
