date,open,high,low,close,volume
2020-07-27,34.04,34.5,34.04,34.49,4790
2020-07-28,33.97,33.97,33.4,33.4,6446
2020-07-29,33.15,33.73,33.15,33.58,6361
2020-07-30,32.47,33.06,32.08,33.06,6093
2020-07-31,32.85,32.85,32.1,32.31,15048
2020-08-03,33.13,33.47,33.06,33.41,7877
2020-08-04,32.83,33.26,32.83,33.26,2501
2020-08-05,34.06,34.19,33.97,33.98,7304
2020-08-06,33.89,34.29,33.89,34.15,6500
2020-08-07,34.01,34.46,34.01,34.45,2219
2020-08-10,34.64,34.77,34.53,34.63,1113
2020-08-11,35.03,35.03,34.74,34.76,3161
2020-08-12,35.68,36.05,35.45,35.45,2660
2020-08-13,35.26,35.44,35.15,35.22,3448
2020-08-14,34.95,34.97,34.62,34.75,3978
2020-08-17,35.32,35.38,35.21,35.23,770
2020-08-18,35.4,35.52,35.24,35.48,4603
2020-08-19,35.2,35.54,35.13,35.4,9103
2020-08-20,34.39,34.79,34.39,34.78,2825
2020-08-21,34.26,34.54,34.26,34.52,7158
2020-08-24,35.37,35.39,35.03,35.15,8570
2020-08-25,34.83,34.83,34.09,34.27,10143
2020-08-26,34.61,34.61,34.5,34.53,1488
2020-08-27,34.3,34.33,33.68,33.96,26106
2020-08-28,33.96,33.96,33.56,33.63,4359
2020-08-31,33.13,33.14,33.03,33.03,2788
2020-09-01,32.97,33.69,32.97,33.62,2097
2020-09-02,33.38,33.59,33.16,33.59,1604
2020-09-03,33.13,33.13,31.99,32.14,5777
2020-09-04,32.14,32.84,32.09,32.61,4243
2020-09-08,32.09,32.71,32.09,32.21,7903
2020-09-09,32.92,33.45,32.92,33.22,5424
2020-09-10,33.09,33.31,32.86,32.88,3501
2020-09-11,33.19,33.52,33.19,33.39,5230
2020-09-14,33.82,33.86,33.71,33.83,8401
2020-09-15,34.51,34.88,34.51,34.61,2510
2020-09-16,34.81,35.16,34.8,34.8,4265
2020-09-17,34.7,34.74,34.56,34.64,933
2020-09-18,33.89,33.89,33.41,33.55,3040
2020-09-21,31.83,31.91,31.22,31.9,6736
2020-09-22,32.01,32.11,31.76,32.04,9611
2020-09-23,32.05,32.05,31.44,31.44,4355
2020-09-24,31.51,32.05,31.51,31.74,2368
2020-09-25,31.75,32.21,31.75,32.2,2949
2020-09-28,32.9,33.03,32.82,32.92,2023
2020-09-29,32.7,32.86,32.59,32.59,3995
2020-09-30,32.29,32.55,32.04,32.22,16323
2020-10-01,32.29,32.43,32.0,32.18,20141
2020-10-02,31.6,32.78,31.6,32.64,8641
2020-10-05,33.07,33.54,33.07,33.51,14771
2020-10-06,34.1,34.39,33.58,33.61,10709
2020-10-07,34.21,35.09,34.21,34.91,14373
2020-10-08,35.49,35.68,35.39,35.55,16435
2020-10-09,35.63,35.65,35.31,35.37,9612
2020-10-12,35.39,35.57,35.32,35.44,7409
2020-10-13,34.75,34.75,34.38,34.56,6143
2020-10-14,34.34,34.56,34.12,34.24,7996
2020-10-15,33.31,33.8,33.31,33.79,14500
2020-10-16,34.09,34.58,34.07,34.25,9794
2020-10-19,34.55,34.56,33.73,33.87,10409
2020-10-20,34.13,34.24,33.71,33.8,26939
2020-10-21,33.65,33.93,33.46,33.56,10045
2020-10-22,33.04,33.11,32.63,32.98,11208
2020-10-23,33.34,33.37,33.06,33.36,5500
2020-10-26,32.99,32.99,32.05,32.27,6711
2020-10-27,31.85,31.91,31.57,31.59,10810
2020-10-28,30.35,30.6,30.04,30.2,13405
2020-10-29,30.31,31.41,30.28,31.37,30480
2020-10-30,31.73,31.82,31.22,31.39,11876
2020-11-02,32.74,32.81,32.41,32.81,9005
2020-11-03,33.98,34.57,33.98,34.27,13941
2020-11-04,33.03,33.04,32.31,32.68,27501
2020-11-05,33.34,33.85,33.31,33.41,18640
2020-11-06,34.19,34.59,33.89,33.89,10439
2020-11-09,35.0,35.19,33.75,33.87,15605
2020-11-10,35.32,36.08,35.32,35.62,13465
2020-11-11,35.71,35.94,35.42,35.66,17113
2020-11-12,35.61,35.73,34.8,34.89,6655
2020-11-13,35.29,35.58,35.23,35.28,5886
2020-11-16,35.93,36.17,35.64,35.8,14058
2020-11-17,35.38,35.86,35.24,35.81,8272
2020-11-18,36.11,36.24,35.73,35.73,10665
2020-11-19,35.35,35.56,35.1,35.55,12100
2020-11-20,35.44,35.58,35.33,35.44,10120
2020-11-23,35.76,35.78,35.06,35.29,9251
2020-11-24,36.19,37.47,36.16,37.47,14948
2020-11-25,37.62,38.0,37.6,37.93,17725
2020-11-27,36.24,36.54,36.06,36.17,9023
2020-11-30,36.12,36.16,35.03,35.09,17383
2020-12-01,36.06,36.21,35.82,36.08,15689
2020-12-02,35.68,36.32,35.66,35.85,9212
2020-12-03,36.84,37.06,36.65,36.89,17069
2020-12-04,37.48,37.56,37.18,37.35,10239
2020-12-07,36.76,36.99,36.63,36.95,13984
2020-12-08,36.77,37.14,36.76,36.79,7844
2020-12-09,36.47,36.47,35.67,35.9,8770
2020-12-10,35.39,35.82,35.39,35.39,9728
2020-12-11,35.32,35.38,35.0,35.36,14759
2020-12-14,35.85,35.85,35.23,35.23,5124
2020-12-15,35.54,36.06,35.38,36.05,8912
2020-12-16,36.65,36.65,36.27,36.32,5427
2020-12-17,37.04,37.22,36.99,37.12,5841
2020-12-18,37.57,38.25,37.5,38.2,14029
2020-12-21,36.08,37.34,36.08,37.17,9454
2020-12-22,37.27,37.62,37.27,37.59,3848
2020-12-23,38.01,38.01,37.5,37.69,3190
