date,open,high,low,close,volume
2020-07-27,197.48,200.295,197.48,199.88,14052
2020-07-28,199.125,200.395,197.32,197.53,12667
2020-07-29,199.28,201.06,198.25,199.53,34551
2020-07-30,197.8,203.03,197.75,201.33,27504
2020-07-31,201.59,201.59,195.84,198.66,13856
2020-08-03,201.8,208.35,201.275,207.595,25229
2020-08-04,206.4,206.4,202.15,203.67,32269
2020-08-05,207.85,219.94,205.28,218.27,62428
2020-08-06,218.06,219.89,213.295,217.83,36472
2020-08-07,216.545,221.605,216.045,221.605,44201
2020-08-10,221.045,221.335,216.58,218.74,29606
2020-08-11,220.62,220.62,210.18,210.28,43444
2020-08-12,211.89,220.37,211.855,219.51,24226
2020-08-13,217.575,219.52,216.33,217.74,8198
2020-08-14,215.7,216.905,213.135,214.72,5391
2020-08-17,216.305,219.58,216.305,218.17,6246
2020-08-18,217.195,218.975,216.305,216.97,22127
2020-08-19,216.405,218.14,214.64,215.1,16455
2020-08-20,214.435,216.56,213.82,214.55,12021
2020-08-21,214.34,216.59,213.95,216.515,12860
2020-08-24,217.935,217.94,215.14,215.3,17027
2020-08-25,214.15,217.265,214.15,216.78,9965
2020-08-26,216.96,218.68,215.58,218.54,9221
2020-08-27,216.54,218.3,215.055,217.35,9588
2020-08-28,216.75,217.91,216.335,217.605,8552
2020-08-31,217.545,220.65,216.495,219.2,11725
2020-09-01,217.18,218.31,215.87,215.87,12885
2020-09-02,215.245,220.28,214.71,220.28,5851
2020-09-03,215.63,215.63,205.915,208.2,18846
2020-09-04,206.06,206.06,198.215,204.83,23428
2020-09-08,201.215,206.95,201.215,203.055,28065
2020-09-09,206.455,211.2,206.455,210.03,27248
2020-09-10,216.995,218.67,214.77,215.245,50170
2020-09-11,216.03,219.73,215.05,217.55,34174
2020-09-14,220.44,221.385,218.28,220.415,24863
2020-09-15,223.42,228.275,223.195,225.0,20509
2020-09-16,226.555,226.555,220.59,222.39,10920
2020-09-17,219.125,220.45,215.605,218.04,13989
2020-09-18,218.04,220.095,217.39,219.6,12092
2020-09-21,215.21,218.12,210.04,217.76,17907
2020-09-22,218.26,218.42,213.805,217.28,13616
2020-09-23,217.025,218.46,212.64,212.795,13216
2020-09-24,210.3,212.33,206.255,211.715,16956
2020-09-25,210.97,217.53,210.97,217.175,9046
2020-09-28,219.24,224.29,219.24,223.2,17495
2020-09-29,224.84,225.78,222.73,222.73,16886
2020-09-30,222.4,227.425,222.4,226.57,16187
2020-10-01,228.68,230.43,227.49,230.41,18160
2020-10-02,228.35,231.93,228.35,229.08,14844
2020-10-05,234.68,235.435,232.515,234.55,12654
2020-10-06,235.025,236.025,232.04,233.635,15408
2020-10-07,235.615,237.595,235.615,237.3,8833
2020-10-08,238.25,238.25,235.38,236.64,33184
2020-10-09,239.96,243.28,238.75,242.5,41267
2020-10-12,244.185,244.185,241.44,242.975,30713
2020-10-13,245.135,245.6,242.775,245.01,27773
2020-10-14,244.7,250.11,244.52,244.68,24491
2020-10-15,241.49,245.335,240.9,242.17,24493
2020-10-16,243.55,245.79,239.93,239.93,31269
2020-10-19,240.9,240.9,232.86,233.01,30561
2020-10-20,234.78,238.51,233.525,233.525,25583
2020-10-21,234.875,234.875,228.96,229.29,16582
2020-10-22,231.48,234.645,230.16,234.01,19197
2020-10-23,234.785,235.39,230.195,233.02,16783
2020-10-26,230.86,230.86,227.615,230.02,8511
2020-10-27,231.145,233.605,229.43,229.43,14708
2020-10-28,224.51,224.84,222.15,222.24,16074
2020-10-29,222.22,234.595,222.22,230.26,36180
