date,open,high,low,close,volume
2018-05-22,34.64,34.64,34.64,34.64,100
2020-07-27,39.25,39.97,39.12,39.9,359269
2020-07-28,39.74,39.82,39.09,39.18,362675
2020-07-29,39.25,39.64,39.24,39.51,344623
2020-07-30,38.87,39.29,38.38,39.26,486339
2020-07-31,39.17,39.84,38.82,39.84,292632
2020-08-03,39.83,40.05,39.49,39.88,440080
2020-08-04,39.81,40.31,39.71,40.31,313447
2020-08-05,40.19,40.36,39.81,40.05,371795
2020-08-06,39.96,40.45,39.86,40.4,446534
2020-08-07,40.03,40.26,39.81,40.11,336763
2020-08-10,39.93,40.6,39.91,40.37,344534
2020-08-11,40.54,40.96,39.83,39.93,344772
2020-08-12,40.0,40.71,40.0,40.67,732617
2020-08-13,37.05,37.07,35.85,36.11,2529091
2020-08-14,35.93,36.27,35.76,35.94,876200
2020-08-17,36.0,36.17,35.41,35.61,718032
2020-08-18,35.61,35.77,35.36,35.51,546338
2020-08-19,35.59,35.82,35.36,35.45,355583
2020-08-20,35.38,35.88,35.31,35.76,516861
2020-08-21,35.58,35.78,35.36,35.75,487587
2020-08-24,35.59,35.92,35.53,35.67,306308
2020-08-25,35.71,35.76,35.34,35.49,303151
2020-08-26,35.19,35.76,35.07,35.72,692160
2020-08-27,35.85,35.91,35.55,35.8,613912
2020-08-28,35.68,35.78,35.53,35.68,334577
2020-08-31,35.63,35.82,35.48,35.79,364571
2020-09-01,35.53,35.57,35.1,35.57,606588
2020-09-02,35.61,36.1,35.56,35.86,768252
2020-09-03,35.35,35.35,34.4,34.66,1737985
2020-09-04,34.71,35.04,34.21,34.55,840075
2020-09-08,33.95,34.35,33.81,33.83,628447
2020-09-09,33.97,34.23,33.59,33.96,480791
2020-09-10,34.03,34.35,33.34,33.47,530737
2020-09-11,33.64,33.88,33.42,33.77,425671
2020-09-14,34.08,34.37,33.88,34.16,515705
2020-09-15,34.32,34.54,34.16,34.35,733594
2020-09-16,34.47,34.82,34.17,34.18,533748
2020-09-17,33.55,34.17,33.43,34.13,537359
2020-09-18,33.99,34.1,33.47,33.67,1074444
2020-09-21,33.34,33.34,32.73,33.03,467619
2020-09-22,33.12,33.37,32.89,33.27,901577
2020-09-23,33.13,33.31,32.29,32.37,592352
2020-09-24,32.15,32.27,31.81,32.0,2370531
2020-09-25,31.94,32.6,31.82,32.49,572651
2020-09-28,33.15,33.23,32.82,33.11,497278
2020-09-29,33.07,33.3,32.86,33.03,702365
2020-09-30,33.06,33.58,33.03,33.29,656322
2020-10-01,33.34,33.55,32.93,33.12,844294
2020-10-02,32.52,32.91,32.42,32.66,861383
2020-10-05,32.89,33.11,32.68,32.93,700567
2020-10-06,32.84,33.59,32.81,32.93,1141864
2020-10-07,33.14,33.78,33.11,33.63,1228508
2020-10-08,33.98,34.3,33.87,33.97,573472
2020-10-09,34.26,34.33,33.91,34.03,1870394
2020-10-12,34.09,34.59,33.84,34.45,793529
2020-10-13,34.6,34.66,33.9,33.96,888338
2020-10-14,34.0,34.5,33.96,34.03,535806
2020-10-15,33.69,34.15,33.6,34.13,744777
2020-10-16,34.05,34.4,33.77,34.29,656073
2020-10-19,34.31,34.47,33.44,33.55,711627
2020-10-20,33.66,33.72,33.32,33.5,597190
2020-10-21,33.53,33.77,33.29,33.36,490615
2020-10-22,33.11,33.25,32.77,33.13,602379
2020-10-23,33.16,33.25,33.0,33.12,1232239
2020-10-26,32.78,32.78,31.73,32.17,1215937
2020-10-27,31.88,32.01,31.24,31.47,2134628
2020-10-28,31.0,31.16,30.46,30.5,1588676
2020-10-29,30.29,30.79,30.13,30.46,1708453
2020-10-30,30.37,30.65,30.3,30.64,1103969
2020-11-02,30.91,31.0,30.45,30.65,1066702
2020-11-03,31.04,31.86,31.0,31.31,1342001
2020-11-04,31.65,31.83,31.16,31.24,1024687
2020-11-05,31.6,31.84,31.52,31.8,701926
2020-11-06,32.05,32.1,31.66,32.04,995497
2020-11-09,34.05,34.33,32.58,32.6,1541995
2020-11-10,32.63,33.3,32.63,33.06,1160417
2020-11-11,33.31,33.67,32.83,33.6,813645
2020-11-12,33.27,33.63,32.78,33.05,1031011
2020-11-13,35.17,35.44,34.67,35.34,2343434
2020-11-16,35.64,36.34,35.32,36.31,1416252
2020-11-17,35.84,36.14,35.54,35.75,1217251
2020-11-18,35.77,36.05,35.22,35.26,826530
2020-11-19,34.99,35.31,34.8,35.14,635155
2020-11-20,35.04,35.33,34.94,34.96,615951
2020-11-23,35.03,35.67,35.03,35.59,747948
2020-11-24,35.84,36.46,35.78,36.4,838905
2020-11-25,36.51,36.52,36.04,36.31,609908
2020-11-27,36.59,36.69,36.41,36.45,496136
2020-11-30,36.24,36.73,36.21,36.73,642763
2020-12-01,36.75,37.62,36.75,37.15,683799
2020-12-02,37.03,37.53,37.01,37.47,556183
2020-12-03,37.37,37.65,37.22,37.65,588546
2020-12-04,37.47,37.99,37.47,37.89,442872
2020-12-07,37.77,37.98,37.48,37.86,433713
2020-12-08,37.71,38.01,37.5,37.88,504037
2020-12-09,37.94,38.26,37.87,38.15,694429
2020-12-10,37.98,38.07,37.66,37.83,571048
2020-12-11,37.49,37.84,37.32,37.83,664124
2020-12-14,37.88,38.33,37.69,37.76,441803
2020-12-15,37.89,38.23,37.68,38.19,587863
2020-12-16,38.17,38.53,38.01,38.16,384978
2020-12-17,38.33,38.33,38.09,38.27,368245
2020-12-18,38.32,38.9,38.22,38.8,705854
2020-12-21,37.97,38.37,37.62,38.32,633883
2020-12-22,37.98,38.47,37.98,38.16,417630
2020-12-23,38.12,38.23,37.86,37.86,277380
2020-12-24,37.93,38.06,37.76,38.02,219580
2020-12-28,38.35,38.7,38.19,38.34,291274
2020-12-29,38.4,38.61,38.02,38.12,283941
2020-12-30,38.18,38.46,37.94,37.95,221604
2020-12-31,37.88,38.26,37.7,38.18,302558
2021-01-04,38.14,38.17,37.31,37.87,554205
2021-01-05,37.59,37.92,37.34,37.87,613061
2021-01-06,37.92,38.61,37.79,38.22,481991
2021-01-07,38.09,38.81,38.08,38.68,487891
2021-01-08,38.08,39.07,38.08,38.78,621481
2021-01-11,38.82,39.54,38.79,39.03,747910
2021-01-12,39.01,39.52,38.7,39.41,674201
2021-01-13,39.0,39.55,38.89,39.05,902283
2021-01-14,38.63,39.24,38.63,38.85,1028955
2021-01-15,38.71,39.28,38.65,39.11,872176
2021-01-19,38.93,39.26,38.53,38.89,651591
2021-01-20,39.04,39.15,38.85,38.98,424584
2021-01-21,38.9,38.93,38.49,38.84,641327
2021-01-22,38.48,38.63,38.06,38.56,479498
2021-01-25,38.76,38.86,38.48,38.77,453908
2021-01-26,38.61,39.02,38.55,38.95,281315
2021-01-27,38.99,39.98,38.8,39.29,1011716
2021-01-28,39.37,39.82,39.01,39.01,673658
2021-01-29,38.59,39.04,38.29,38.36,535653
2021-02-01,38.64,39.26,38.44,39.06,393555
2021-02-02,39.17,39.52,39.1,39.45,454024
2021-02-03,39.38,39.72,39.2,39.39,417910
2021-02-04,39.43,40.72,39.4,40.66,1215570
2021-02-05,40.96,41.6,40.89,41.41,1155553
2021-02-08,41.89,42.45,41.84,42.1,990240
2021-02-09,41.98,42.0,41.66,41.73,1019605
2021-02-10,39.69,40.8,39.49,40.67,1683670
2021-02-11,40.71,41.22,40.71,40.97,809622
2021-02-12,40.86,41.03,40.37,40.7,527631
2021-02-16,40.51,40.57,39.93,40.03,659910
2021-02-17,39.82,39.91,39.47,39.79,369426
2021-02-18,39.92,39.92,39.41,39.88,478100
2021-02-19,40.05,40.08,39.23,39.29,836936
2021-02-22,38.91,39.3,38.58,39.1,595989
2021-02-23,38.95,39.39,38.81,39.17,625348
2021-02-24,38.92,39.41,38.78,39.36,714698
2021-02-25,39.22,39.79,38.94,39.2,643205
2021-02-26,39.21,39.38,38.53,38.61,744758
2021-03-01,38.98,39.77,38.95,39.53,689534
2021-03-02,39.58,39.65,39.09,39.15,266560
2021-03-03,39.04,39.18,38.73,38.84,479402
2021-03-04,38.89,39.13,38.0,38.37,782188
2021-03-05,39.09,40.21,39.03,39.77,1522156
2021-03-08,39.83,41.65,39.78,40.83,1395443
2021-03-09,41.2,41.63,41.07,41.22,866605
2021-03-10,41.68,41.97,41.48,41.53,690878
2021-03-11,41.73,42.23,41.5,42.01,901535
2021-03-12,42.0,42.13,41.72,42.01,544899
2021-03-15,42.11,42.54,42.1,42.51,674486
2021-03-16,42.43,42.8,42.33,42.75,634414
2021-03-17,42.67,42.67,42.07,42.56,762033
2021-03-18,41.81,42.65,41.81,42.0,638941
2021-03-19,41.92,42.32,41.58,42.19,894889
2021-03-22,42.31,43.35,42.24,43.35,1005597
2021-03-23,43.05,43.6,42.95,43.03,817826
2021-03-24,42.97,43.41,42.71,42.73,1055891
2021-03-25,43.52,44.22,43.28,43.47,1083428
2021-03-26,43.58,45.3,43.51,45.29,1362426
2021-03-29,45.11,45.55,44.99,45.22,692677
2021-03-30,44.92,44.99,44.04,44.58,958278
2021-03-31,44.6,44.78,44.36,44.47,793002
2021-04-01,44.52,44.81,44.19,44.73,675581
2021-04-05,44.81,45.86,44.81,45.43,834314
2021-04-06,45.04,45.26,44.89,45.09,452397
2021-04-07,45.08,45.18,44.71,44.87,407656
2021-04-08,45.02,45.06,44.6,44.99,310775
2021-04-09,44.94,45.2,44.79,45.16,552203
2021-04-12,45.17,45.17,44.62,44.69,456184
2021-04-13,44.76,44.97,44.52,44.79,360863
2021-04-14,44.71,44.79,44.33,44.53,757278
2021-04-15,44.86,45.01,44.52,44.78,539979
2021-04-16,45.41,46.09,45.3,45.76,878458
2021-04-19,45.53,45.9,45.5,45.82,575806
2021-04-20,45.58,45.74,44.72,44.89,1086457
2021-04-21,44.91,45.13,44.63,45.01,643214
2021-04-22,44.9,45.14,44.54,44.64,529804
2021-04-23,44.63,45.17,44.36,44.98,449150
2021-04-26,44.77,44.87,44.64,44.75,426298
2021-04-27,44.71,44.78,44.52,44.52,354778
2021-04-28,44.69,44.87,44.13,44.3,516660
2021-04-29,44.33,44.72,44.19,44.58,982341
2021-04-30,44.39,44.39,43.69,44.14,573785
2021-05-03,44.39,44.55,44.05,44.37,653092
2021-05-04,44.25,44.4,43.59,43.94,718248
2021-05-05,44.18,44.42,43.94,44.33,453222
2021-05-06,44.22,45.69,44.16,45.49,1325441
2021-05-07,45.46,46.51,45.26,46.31,877896
2021-05-10,46.77,46.92,46.08,46.1,848773
2021-05-11,46.01,46.01,45.17,45.79,628789
2021-05-12,45.21,45.43,44.61,44.72,786770
2021-05-13,45.07,45.76,44.98,45.5,521999
2021-05-14,45.88,46.12,45.6,45.85,549385
2021-05-17,45.73,46.07,45.66,45.89,588023
2021-05-18,45.78,46.23,45.72,45.89,759753
2021-05-19,44.96,45.63,44.96,45.46,867648
2021-05-20,43.73,45.91,43.45,45.82,1647881
2021-05-21,45.75,45.88,45.28,45.44,887818
2021-05-24,45.86,46.6,45.82,46.26,658515
2021-05-25,46.27,46.41,46.07,46.21,687103
2021-05-26,46.28,46.45,45.78,45.87,674599
2021-05-27,45.87,46.23,45.57,45.86,818929
2021-05-28,46.09,46.12,45.79,45.85,459764
2021-06-01,45.97,46.2,45.45,45.58,523068
2021-06-02,45.63,45.93,45.44,45.89,504785
2021-06-03,45.79,46.42,45.61,46.22,836730
2021-06-04,46.43,46.94,46.4,46.87,402880
2021-06-07,46.9,47.18,46.63,46.76,579906
2021-06-08,46.77,47.14,46.72,46.91,411316
2021-06-09,47.04,47.16,46.75,46.81,628979
2021-06-10,47.16,47.74,47.05,47.72,811566
2021-06-11,47.84,47.96,47.27,47.48,581051
2021-06-14,47.23,47.23,46.39,46.93,607126
2021-06-15,46.99,47.07,46.57,46.6,505601
2021-06-16,46.67,46.73,46.06,46.35,530607
2021-06-17,46.21,46.41,45.95,46.04,830178
2021-06-18,45.72,45.79,44.98,45.13,741507
2021-06-21,45.32,46.29,45.32,46.11,546740
2021-06-22,46.2,46.25,45.77,46.19,353339
2021-06-23,46.16,46.17,45.58,45.72,511401
2021-06-24,45.95,45.97,45.6,45.72,541637
2021-06-25,45.75,46.1,45.64,45.97,443271
2021-06-28,46.08,46.19,45.87,45.92,399139
2021-06-29,45.9,46.09,45.74,45.87,345470
2021-06-30,45.88,45.99,45.62,45.94,536006
2021-07-01,46.03,46.46,45.94,46.31,473168
2021-07-02,46.42,46.8,46.11,46.72,463600
2021-07-06,46.4,46.57,45.69,46.23,581882
2021-07-07,46.26,46.52,45.98,46.48,339867
2021-07-08,46.28,46.89,46.18,46.49,326903
2021-07-09,46.56,47.07,46.56,46.87,470894
2021-07-12,47.13,47.13,46.38,46.47,438823
2021-07-13,46.68,46.75,46.44,46.56,335752
2021-07-14,46.76,47.3,46.56,47.19,669692
2021-07-15,46.88,46.99,46.48,46.83,362015
2021-07-16,46.99,47.48,46.83,46.84,502438
2021-07-19,46.84,46.86,46.02,46.33,515705
2021-07-20,46.6,47.06,46.47,46.78,357750
2021-07-21,46.96,47.04,46.63,47.0,591063
2021-07-22,47.05,47.61,46.95,47.61,604152
2021-07-23,47.85,48.3,47.59,48.18,477850
2021-07-26,48.15,48.57,48.13,48.41,376623
2021-07-27,48.33,48.33,47.82,48.25,433635
2021-07-28,48.35,48.41,47.49,47.79,648531
2021-07-29,48.14,48.3,47.92,48.06,499689
2021-07-30,48.08,48.43,48.02,48.33,475177
2021-08-02,48.5,48.81,48.23,48.39,346221
2021-08-03,48.44,49.23,48.26,49.1,411933
2021-08-04,49.2,49.2,48.43,48.63,435714
2021-08-05,48.48,48.86,48.48,48.65,434658
2021-08-06,48.45,48.83,48.14,48.53,511349
2021-08-09,48.75,48.92,48.35,48.43,228143
2021-08-10,48.48,48.59,48.22,48.54,220943
2021-08-11,48.82,48.88,48.53,48.74,433452
2021-08-12,48.75,49.24,48.59,49.23,256850
2021-08-13,49.21,49.41,49.11,49.29,454099
2021-08-16,49.16,49.25,48.82,49.14,608881
2021-08-17,48.75,48.88,48.55,48.87,378179
2021-08-18,48.61,48.99,48.03,48.06,605677
2021-08-19,47.82,50.18,47.72,50.02,1260684
2021-08-20,49.95,50.91,49.64,50.83,599391
2021-08-23,50.57,51.22,50.56,51.07,457078
2021-08-24,51.05,51.87,51.0,51.78,732924
2021-08-25,51.98,52.6,51.66,51.8,508933
2021-08-26,51.85,52.04,51.48,51.71,590894
2021-08-27,51.77,51.8,51.4,51.49,689358
2021-08-30,51.56,51.69,51.32,51.62,421869
2021-08-31,51.53,51.6,51.13,51.51,474536
2021-09-01,51.51,51.61,51.21,51.52,420467
2021-09-02,51.88,52.12,51.55,51.97,412317
2021-09-03,51.76,52.05,51.74,51.86,297273
2021-09-07,51.7,51.8,51.28,51.39,341298
2021-09-08,51.24,51.41,51.05,51.2,607644
2021-09-09,51.01,51.44,50.84,51.14,490740
2021-09-10,51.24,51.44,50.47,50.54,471302
2021-09-13,50.68,51.08,50.39,50.73,341471
2021-09-14,50.82,51.01,50.32,50.52,429115
2021-09-15,50.43,51.99,49.81,50.24,1148930
2021-09-16,50.92,51.34,49.86,50.05,1473141
2021-09-17,50.08,50.08,49.29,49.6,818764
2021-09-20,49.08,49.23,48.26,48.78,683296
2021-09-21,48.98,49.19,48.21,48.21,404160
2021-09-22,48.69,48.97,48.34,48.43,669399
2021-09-23,48.61,49.65,48.54,49.48,612170
2021-09-24,49.12,49.58,49.07,49.5,333795
2021-09-27,49.29,49.45,48.92,49.08,379691
2021-09-28,48.68,48.86,48.37,48.47,514722
2021-09-29,48.56,48.85,48.3,48.43,399383
2021-09-30,48.69,48.78,47.49,47.49,901395
2021-10-01,47.64,48.36,47.17,48.08,550113
2021-10-04,47.92,48.03,47.41,47.65,587653
2021-10-05,47.62,48.35,47.62,48.06,401092
2021-10-06,47.73,47.75,46.57,47.42,795022
