date,open,high,low,close,volume
2020-07-27,70.46,72.16,70.36,71.98,162300
2020-07-28,71.34,72.66,71.34,71.53,267880
2020-07-29,92.5,92.5,78.93,82.78,583400
2020-07-30,82.95,83.88,81.85,83.24,178390
2020-07-31,83.19,85.24,82.61,85.03,183070
2020-08-03,85.28,85.67,83.68,83.68,117650
2020-08-04,82.99,83.96,82.55,82.93,123540
2020-08-05,84.46,84.61,83.86,84.22,51610
2020-08-06,83.53,84.13,82.25,83.14,88930
2020-08-07,83.59,83.95,82.73,82.87,77990
2020-08-10,82.61,83.62,82.02,83.03,117360
2020-08-11,83.12,83.12,80.76,80.91,164400
2020-08-12,81.31,82.96,81.31,82.48,79950
2020-08-13,83.48,84.55,83.48,84.34,52220
2020-08-14,83.88,83.88,82.33,82.97,64780
2020-08-17,83.15,83.98,82.97,83.07,48940
2020-08-18,83.66,83.83,82.79,82.87,35280
2020-08-19,82.4,83.58,82.38,82.84,22130
2020-08-20,83.12,84.13,83.12,83.69,42220
2020-08-21,83.41,83.63,83.14,83.36,32300
2020-08-24,83.44,85.46,83.44,85.3,105150
2020-08-25,85.44,85.44,84.27,85.41,98760
2020-08-26,85.25,85.96,84.24,84.24,36220
2020-08-27,84.83,85.85,84.75,85.18,179700
2020-08-28,85.51,85.97,84.89,85.33,116130
2020-08-31,85.45,85.57,84.52,84.87,446170
2020-09-01,85.43,87.53,85.41,87.49,141320
2020-09-02,87.0,88.0,86.36,87.77,66740
2020-09-03,86.65,86.72,83.93,84.56,423890
2020-09-04,82.95,83.13,80.21,82.61,71600
2020-09-08,80.38,81.33,79.46,79.65,108520
2020-09-09,79.94,81.2,79.45,80.51,170680
2020-09-10,81.2,81.32,78.31,79.34,58000
2020-09-11,79.66,79.86,77.73,78.6,105540
2020-09-14,80.69,81.99,80.69,81.48,203180
2020-09-15,83.18,84.19,82.55,84.19,73160
2020-09-16,84.44,84.98,83.86,84.21,163340
2020-09-17,82.82,83.34,82.04,83.09,101510
2020-09-18,82.77,83.25,81.48,82.77,156510
2020-09-21,81.38,82.54,81.0,82.43,79110
2020-09-22,83.4,83.87,82.24,83.65,119740
2020-09-23,84.11,84.42,81.96,82.15,180170
2020-09-24,81.73,82.65,81.47,81.92,217010
2020-09-25,81.65,84.3,81.65,84.07,82210
2020-09-28,85.19,85.89,84.74,85.65,127280
2020-09-29,86.58,86.58,85.1,85.7,139910
2020-09-30,86.08,86.8,84.42,84.75,158700
2020-10-01,85.98,87.17,85.8,86.6,230800
2020-10-02,85.28,86.63,84.82,85.49,226080
2020-10-05,85.98,86.89,85.86,86.5,216690
2020-10-06,86.35,87.02,86.01,86.48,106240
2020-10-07,87.05,87.84,86.98,87.58,58000
2020-10-08,87.8,87.95,86.7,86.88,96790
2020-10-09,87.69,88.16,87.62,87.69,80930
2020-10-12,88.25,88.89,87.77,88.38,59510
2020-10-13,88.77,88.78,88.31,88.51,46490
2020-10-14,88.4,88.63,86.72,86.91,107860
2020-10-15,85.6,87.05,85.6,87.0,62700
2020-10-16,87.41,87.44,86.56,86.71,29910
2020-10-19,86.48,86.48,83.34,83.42,67570
2020-10-20,83.27,84.13,83.16,83.49,83900
2020-10-21,83.81,83.81,82.11,82.43,61460
2020-10-22,81.95,82.2,81.07,82.12,92120
2020-10-23,82.06,82.17,81.43,82.14,100380
2020-10-26,81.32,83.06,81.31,83.02,77280
2020-10-27,82.69,83.16,82.09,82.95,157230
2020-10-28,81.45,81.45,78.48,79.28,262160
2020-10-29,79.64,83.64,79.64,82.91,349660
2020-10-30,83.1,84.18,81.22,82.2,272580
2020-11-02,83.39,85.38,83.17,85.03,430300
2020-11-03,85.73,88.3,85.73,87.89,247260
2020-11-04,89.82,92.21,89.82,90.3,203350
2020-11-05,91.65,91.65,90.02,90.55,144830
2020-11-06,90.25,90.53,89.39,90.05,145470
2020-11-09,92.42,93.42,91.17,91.17,194590
2020-11-10,89.23,89.36,88.16,88.81,247340
2020-11-11,89.58,90.84,89.42,89.56,153520
2020-11-12,89.03,90.54,89.0,90.13,162620
2020-11-13,91.82,92.33,91.5,91.5,117940
2020-11-16,92.03,92.36,91.11,91.46,140090
2020-11-17,91.63,91.95,90.13,91.22,194370
2020-11-18,90.93,90.93,88.32,88.61,157560
2020-11-19,89.76,89.79,88.76,89.34,99800
2020-11-20,89.49,90.01,89.11,89.55,71990
2020-11-23,90.73,90.9,87.83,88.75,94330
2020-11-24,89.1,89.1,86.93,87.11,59530
2020-11-25,87.66,88.02,86.81,87.99,51450
2020-11-27,87.98,88.86,87.93,88.84,39470
2020-11-30,89.2,91.46,89.16,90.96,247670
2020-12-01,92.0,92.0,88.85,88.96,229500
2020-12-02,88.62,89.39,86.43,86.86,264240
2020-12-03,86.4,87.48,86.22,86.97,199240
2020-12-04,87.67,89.62,87.67,89.29,98270
2020-12-07,89.29,89.29,87.98,88.39,83580
2020-12-08,89.17,89.17,87.17,87.24,162860
2020-12-09,87.12,87.12,85.17,85.34,175230
2020-12-10,85.36,85.67,84.1,84.94,161290
2020-12-11,85.37,86.2,84.47,84.86,141040
2020-12-14,85.19,85.91,84.6,85.38,118270
2020-12-15,85.62,87.2,85.1,86.63,144040
2020-12-16,87.46,87.8,85.97,86.21,100540
2020-12-17,86.68,89.5,86.68,89.36,355660
2020-12-18,89.83,91.82,89.66,90.48,509810
2020-12-21,89.12,92.42,88.06,91.73,276490
2020-12-22,92.17,92.17,89.75,90.54,163170
2020-12-23,90.76,91.88,90.72,90.79,70350
2020-12-24,90.66,91.15,90.45,90.67,52670
2020-12-28,91.79,95.06,91.1,94.31,1034740
2020-12-29,94.31,94.31,91.29,91.82,100940
2020-12-30,91.64,92.67,91.3,92.44,180860
2020-12-31,92.09,92.95,91.93,92.51,157270
2021-01-04,93.68,93.68,89.3,89.65,145410
2021-01-05,90.85,90.85,88.42,89.39,217400
2021-01-06,89.93,91.71,89.38,89.77,185880
2021-01-07,90.49,92.24,89.91,90.6,135540
2021-01-08,91.26,92.43,90.89,91.98,159250
2021-01-11,90.75,91.9,90.41,90.54,127410
2021-01-12,90.08,90.65,88.33,88.34,129070
2021-01-13,88.23,90.2,88.21,89.2,155970
2021-01-14,89.94,89.94,86.61,86.66,177220
2021-01-15,86.99,87.1,85.23,85.34,318860
2021-01-19,86.47,87.76,85.17,86.94,410350
2021-01-20,87.78,90.25,87.58,90.03,309150
2021-01-21,90.5,91.38,89.92,91.32,252340
2021-01-22,90.94,91.97,89.56,89.56,430730
2021-01-25,89.98,90.99,88.26,90.72,335070
2021-01-26,90.22,91.23,89.61,90.42,399160
2021-01-27,89.73,90.17,87.88,89.0,623550
2021-01-28,88.48,91.18,88.34,90.24,293330
2021-01-29,89.0,90.89,88.8,89.99,523900
2021-02-01,91.11,94.21,91.11,92.43,251610
2021-02-02,92.86,93.33,89.76,91.99,566160
2021-02-03,92.34,92.59,90.85,91.79,337080
2021-02-04,93.12,95.28,91.28,91.9,295640
2021-02-05,92.39,92.39,90.54,90.7,215050
2021-02-08,91.71,91.71,89.69,90.1,277580
2021-02-09,90.19,91.43,89.98,90.58,314380
2021-02-10,91.46,92.48,90.49,92.48,217340
2021-02-11,91.99,92.92,91.98,92.35,174040
2021-02-12,92.49,93.92,91.54,93.92,111010
2021-02-16,89.0,90.43,87.85,89.99,1349150
2021-02-17,88.2,91.03,88.02,91.03,421660
2021-02-18,90.62,92.42,90.28,91.98,478550
2021-02-19,92.55,92.96,90.59,91.4,603320
2021-02-22,89.9,90.7,87.13,87.69,463620
2021-02-23,87.73,87.73,84.92,86.57,543910
2021-02-24,84.76,84.96,82.94,83.53,629990
2021-02-25,83.21,83.32,80.99,81.99,575900
2021-02-26,81.5,82.88,81.38,82.51,280300
2021-03-01,81.04,83.0,81.04,81.5,827990
2021-03-02,81.73,81.93,78.87,78.97,635540
2021-03-03,78.39,79.3,76.18,76.32,289610
