date,open,high,low,close,volume
2020-07-27,21.92,22.22,21.85,22.02,226008
2020-07-28,21.86,21.89,21.53,21.58,424689
2020-07-29,21.7,22.19,21.7,22.15,429285
2020-07-30,21.87,21.89,21.56,21.62,314361
2020-07-31,21.45,21.96,20.97,21.96,300297
2020-08-03,21.99,22.0,21.63,21.65,254682
2020-08-04,21.55,21.76,21.48,21.75,241068
2020-08-05,21.98,22.0,21.82,21.99,136557
2020-08-06,21.92,22.33,21.92,22.24,218574
2020-08-07,22.2,22.49,22.11,22.44,196368
2020-08-10,22.59,22.9,22.57,22.82,436902
2020-08-11,23.21,23.53,22.98,23.13,648867
2020-08-12,23.28,23.48,23.06,23.1,215028
2020-08-13,22.98,23.07,22.7,22.75,190797
2020-08-14,22.68,22.95,22.62,22.84,120600
2020-08-17,22.92,23.16,22.92,23.09,281697
2020-08-18,23.07,23.1,22.87,22.9,134040
2020-08-19,22.99,23.0,22.75,22.78,165318
2020-08-20,22.58,22.82,22.58,22.77,136335
2020-08-21,22.65,22.85,22.63,22.81,201576
2020-08-24,22.98,23.1,22.89,23.09,287586
2020-08-25,23.24,23.37,23.03,23.33,284052
2020-08-26,23.18,23.32,23.08,23.19,181590
2020-08-27,23.35,23.61,23.2,23.45,157896
2020-08-28,23.46,23.81,23.42,23.8,288945
2020-08-31,23.78,23.93,23.52,23.64,155652
2020-09-01,23.46,24.09,23.44,24.09,334152
2020-09-02,24.09,24.25,23.83,24.01,500742
2020-09-03,24.09,24.09,23.19,23.37,970713
2020-09-04,23.61,23.77,22.98,23.32,315201
2020-09-08,23.24,23.63,22.91,23.21,281991
2020-09-09,23.4,24.05,23.4,23.66,292518
2020-09-10,23.58,23.75,23.26,23.45,194121
2020-09-11,23.51,23.91,23.51,23.84,126321
2020-09-14,24.05,24.51,24.0,24.41,229875
2020-09-15,24.5,25.04,24.5,24.79,390207
2020-09-16,24.99,25.09,24.45,24.5,256887
2020-09-17,24.12,24.7,23.94,24.53,331146
2020-09-18,24.62,24.88,24.48,24.67,322905
2020-09-21,24.3,24.31,23.57,23.98,212214
2020-09-22,23.96,24.15,23.82,24.07,340887
2020-09-23,24.31,24.39,23.5,23.6,569307
2020-09-24,23.55,23.94,23.29,23.63,276669
2020-09-25,23.83,24.19,23.71,24.12,226155
2020-09-28,24.52,24.61,24.26,24.48,154566
2020-09-29,24.43,24.54,23.96,23.98,375735
2020-09-30,24.11,24.47,23.9,23.98,539778
2020-10-01,24.08,24.19,23.55,23.75,788949
2020-10-02,23.64,24.02,23.57,23.83,601083
2020-10-05,23.98,24.16,23.89,23.98,856353
2020-10-06,24.04,24.21,23.62,23.7,516963
2020-10-07,23.87,24.44,23.87,24.3,977193
2020-10-08,24.37,24.45,23.85,23.99,715434
2020-10-09,24.13,24.37,24.11,24.23,393522
2020-10-12,24.35,24.76,24.22,24.54,1288620
2020-10-13,24.78,25.01,24.38,24.44,783279
2020-10-14,24.58,25.08,24.58,24.84,589302
2020-10-15,24.63,25.05,24.48,25.01,424560
2020-10-16,24.9,25.11,24.74,24.74,694740
2020-10-19,24.79,24.97,24.35,24.41,639915
2020-10-20,24.52,25.08,24.45,24.77,490755
2020-10-21,24.44,24.72,24.29,24.29,1030596
2020-10-22,25.38,26.16,25.02,25.26,1359414
2020-10-23,25.28,25.49,24.83,25.11,553683
2020-10-26,24.77,24.82,24.19,24.33,607842
2020-10-27,24.4,24.54,23.97,24.11,1266768
2020-10-28,23.6,23.94,23.39,23.44,859896
2020-10-29,23.33,24.38,23.31,24.06,1033527
2020-10-30,23.98,24.39,23.98,24.38,1008384
2020-11-02,24.78,25.36,24.48,25.23,914595
2020-11-03,25.55,26.18,25.4,26.03,1047288
2020-11-04,26.38,27.03,26.12,26.2,1333473
2020-11-05,26.46,27.14,26.44,26.9,1244994
2020-11-06,26.81,26.87,26.44,26.61,685293
2020-11-09,28.01,28.93,27.22,27.22,795261
2020-11-10,27.05,28.36,26.93,28.23,1074723
2020-11-11,28.33,28.36,27.58,27.82,976038
2020-11-12,27.7,27.95,27.5,27.7,985815
2020-11-13,27.83,28.3,27.72,27.99,425760
2020-11-16,28.51,28.7,28.2,28.7,684540
2020-11-17,28.43,28.68,28.24,28.57,443955
2020-11-18,28.64,28.91,28.2,28.2,333588
2020-11-19,28.06,28.36,27.86,28.35,556848
2020-11-20,28.2,28.44,28.09,28.28,423003
2020-11-23,28.41,28.6,28.18,28.43,488514
2020-11-24,28.6,28.8,28.48,28.7,523515
2020-11-25,28.61,28.73,28.31,28.48,260781
2020-11-27,28.69,28.69,28.23,28.24,248925
2020-11-30,28.24,28.42,27.87,27.89,499659
2020-12-01,28.12,28.51,27.99,28.08,514140
2020-12-02,28.16,28.29,27.9,28.09,449217
2020-12-03,28.23,28.36,27.87,28.0,598608
2020-12-04,28.03,28.48,28.02,28.43,482190
2020-12-07,28.33,28.58,28.25,28.5,844515
2020-12-08,28.31,28.44,28.18,28.34,331131
2020-12-09,28.35,28.57,28.25,28.44,249867
2020-12-10,27.76,28.04,27.76,27.88,787095
2020-12-11,27.63,28.08,27.58,28.0,529257
2020-12-14,28.21,28.25,27.55,27.55,238254
2020-12-15,27.82,28.02,27.54,27.93,244095
2020-12-16,27.86,27.91,27.56,27.59,294942
2020-12-17,27.86,28.17,27.7,28.04,446499
2020-12-18,27.97,28.1,27.7,28.07,308535
2020-12-21,27.53,27.97,27.44,27.76,178662
2020-12-22,27.65,27.93,27.6,27.71,382509
2020-12-23,27.83,28.02,27.63,27.77,433821
2020-12-24,27.82,27.94,27.62,27.89,88665
2020-12-28,28.07,28.25,27.99,28.07,189999
2020-12-29,28.15,28.22,27.47,27.66,429276
2020-12-30,27.76,28.02,27.76,27.97,196704
2020-12-31,27.87,28.14,27.79,28.14,246717
2021-01-04,28.08,28.19,27.07,27.23,583407
2021-01-05,27.21,27.9,27.21,27.71,430710
2021-01-06,27.67,28.49,27.64,28.45,504675
2021-01-07,28.67,29.25,28.51,29.12,488502
2021-01-08,29.12,29.8,29.12,29.69,499713
2021-01-11,29.49,30.2,29.49,29.72,615042
2021-01-12,29.65,29.87,29.35,29.69,366369
2021-01-13,29.63,29.72,29.13,29.31,607056
2021-01-14,29.35,29.35,28.89,28.98,337452
2021-01-15,28.85,29.05,28.48,28.94,683631
2021-01-19,29.01,29.2,28.66,28.7,481788
2021-01-20,28.75,28.91,28.53,28.85,895104
2021-01-21,28.68,28.73,28.25,28.36,882573
2021-01-22,27.67,28.02,27.11,27.13,1333500
2021-01-25,27.16,27.27,26.6,27.22,672564
2021-01-26,27.25,27.47,26.82,26.9,474537
2021-01-27,26.51,26.58,25.74,25.96,876105
2021-01-28,26.33,27.19,26.2,26.83,682845
2021-01-29,26.64,27.09,26.49,26.56,399150
2021-02-01,26.71,27.11,26.71,26.98,542790
2021-02-02,27.04,27.92,27.04,27.76,411012
2021-02-03,27.72,27.87,27.58,27.66,213513
2021-02-04,27.62,27.8,27.21,27.38,443508
2021-02-05,27.6,27.72,27.41,27.41,534582
2021-02-08,27.38,27.39,26.93,27.02,976209
2021-02-09,26.93,27.47,26.64,27.38,485322
2021-02-10,27.54,27.66,27.18,27.32,536916
2021-02-11,27.4,27.6,27.16,27.49,410868
2021-02-12,27.48,27.99,27.48,27.91,681258
2021-02-16,28.01,28.21,27.91,28.08,449745
2021-02-17,27.98,28.08,27.6,27.87,411123
2021-02-18,27.66,27.98,27.45,27.88,526065
2021-02-19,27.9,28.6,27.9,28.5,375750
2021-02-22,28.3,28.97,28.3,28.66,381237
2021-02-23,28.76,28.99,28.2,28.4,469974
2021-02-24,28.25,29.08,28.22,28.91,474435
2021-02-25,28.74,28.98,28.51,28.65,625020
2021-02-26,28.67,28.85,28.31,28.46,362484
2021-03-01,28.85,29.04,28.72,28.86,423681
2021-03-02,28.83,28.87,28.45,28.63,357135
2021-03-03,28.59,28.63,28.28,28.28,281172
2021-03-04,28.37,28.4,27.07,27.37,524907
2021-03-05,27.72,28.53,27.32,28.48,390867
2021-03-08,28.56,29.33,28.45,28.71,546147
2021-03-09,28.99,29.21,28.8,28.8,326547
2021-03-10,28.82,29.24,28.74,29.05,309198
2021-03-11,29.25,29.46,29.11,29.14,369831
2021-03-12,29.1,29.27,29.05,29.13,263019
2021-03-15,29.1,29.19,28.66,29.04,450690
2021-03-16,29.08,29.14,28.4,28.56,347697
2021-03-17,28.57,28.77,28.28,28.58,388470
2021-03-18,28.54,28.94,28.45,28.76,1506858
2021-03-19,28.89,28.89,28.11,28.19,1278582
2021-03-22,29.39,29.55,28.96,29.12,1150101
2021-03-23,29.03,29.47,28.77,28.86,455226
2021-03-24,28.92,29.59,28.91,29.25,607416
2021-03-25,29.29,29.77,28.91,29.68,424182
2021-03-26,29.72,30.35,29.64,30.32,277848
2021-03-29,30.32,30.39,29.84,29.99,552285
2021-03-30,29.92,30.19,29.81,29.9,404793
2021-03-31,29.77,30.15,29.73,29.97,297801
2021-04-01,30.18,30.23,29.93,30.23,321927
2021-04-05,30.48,30.7,30.34,30.61,405375
2021-04-06,30.51,30.58,30.16,30.16,310656
2021-04-07,30.29,30.31,29.98,30.11,221463
2021-04-08,30.14,30.17,29.93,29.93,361548
2021-04-09,30.08,30.58,30.05,30.53,243645
2021-04-12,30.31,30.67,30.26,30.62,234297
2021-04-13,30.55,30.58,30.19,30.38,121689
2021-04-14,30.44,30.62,30.4,30.55,366030
2021-04-15,30.62,30.85,30.54,30.73,346350
2021-04-16,30.98,30.98,30.5,30.62,426999
2021-04-19,30.62,30.68,30.44,30.65,329070
2021-04-20,31.03,31.48,30.46,30.59,776772
2021-04-21,30.73,32.09,30.72,31.91,1381116
2021-04-22,31.65,32.21,31.5,31.63,753540
2021-04-23,31.63,32.18,31.53,32.02,376293
2021-04-26,32.0,32.18,31.75,31.79,386901
2021-04-27,31.71,31.75,31.5,31.66,493311
2021-04-28,31.54,31.83,31.49,31.53,603477
2021-04-29,31.65,31.65,31.04,31.43,789708
2021-04-30,31.45,31.6,31.23,31.29,920115
2021-05-03,31.57,31.7,31.45,31.47,452817
2021-05-04,31.44,31.69,31.34,31.57,806760
2021-05-05,31.69,31.78,31.38,31.42,362157
2021-05-06,31.64,31.87,31.57,31.87,277641
2021-05-07,31.78,32.15,31.64,32.05,320370
2021-05-10,32.2,32.57,32.04,32.04,363156
2021-05-11,31.94,31.94,31.48,31.53,486117
2021-05-12,31.44,31.52,30.91,30.94,531885
2021-05-13,30.87,31.45,30.87,31.28,636735
2021-05-14,31.47,31.84,31.47,31.59,611721
2021-05-17,31.67,31.73,31.02,31.17,311838
2021-05-18,31.18,31.22,30.71,30.71,367515
2021-05-19,30.38,30.61,30.18,30.55,459681
2021-05-20,30.45,30.68,30.27,30.52,305376
2021-05-21,30.63,30.93,30.38,30.55,478116
2021-05-24,30.8,30.94,30.62,30.87,410397
2021-05-25,30.92,31.14,30.71,30.78,323037
2021-05-26,30.81,31.25,30.79,31.2,459789
2021-05-27,31.39,31.49,31.09,31.14,428619
2021-05-28,31.22,31.27,31.08,31.18,184284
2021-06-01,31.4,31.5,31.22,31.24,327438
2021-06-02,31.24,31.38,30.99,31.02,266931
2021-06-03,30.82,31.3,30.7,31.05,253869
2021-06-04,31.29,31.29,30.83,31.03,306471
2021-06-07,31.08,31.15,30.54,30.54,328362
2021-06-08,30.57,30.73,30.24,30.57,872400
2021-06-09,30.54,30.65,30.38,30.46,397158
2021-06-10,30.56,30.61,30.09,30.11,1034007
2021-06-11,30.25,30.36,30.17,30.27,417423
2021-06-14,30.34,30.43,30.09,30.31,220617
2021-06-15,30.56,30.7,30.34,30.66,362760
2021-06-16,30.69,30.69,30.19,30.29,321426
2021-06-17,30.31,30.35,29.8,29.98,355911
2021-06-18,29.72,29.8,29.45,29.52,472935
2021-06-21,29.71,30.01,29.69,29.84,313296
2021-06-22,29.86,29.87,29.65,29.68,274659
2021-06-23,29.65,29.68,29.45,29.47,451887
2021-06-24,29.56,29.69,29.38,29.63,660339
2021-06-25,29.67,30.02,29.67,29.87,296370
2021-06-28,29.92,29.97,29.58,29.71,229968
2021-06-29,30.12,30.28,29.3,29.48,874224
2021-06-30,29.85,30.02,29.53,29.98,486164
2021-07-01,30.15,30.31,29.99,30.17,297755
2021-07-02,30.23,30.64,30.13,30.45,254006
2021-07-06,30.38,30.38,29.88,30.27,310651
2021-07-07,30.26,30.86,30.17,30.81,213087
2021-07-08,29.99,30.01,28.82,28.92,1015768
2021-07-09,29.64,29.85,29.54,29.73,536693
2021-07-12,29.78,29.9,29.45,29.66,367300
2021-07-13,29.7,29.82,29.58,29.62,385142
2021-07-14,29.81,29.86,29.5,29.57,358032
2021-07-15,29.41,29.85,29.41,29.74,335636
2021-07-16,29.73,29.87,29.35,29.43,293489
2021-07-19,29.0,29.12,28.64,28.77,526926
2021-07-20,28.84,29.36,28.84,29.14,418414
2021-07-21,29.28,29.62,29.28,29.47,349075
2021-07-22,30.63,31.09,30.47,30.54,648872
2021-07-23,30.27,30.7,30.27,30.65,529421
2021-07-26,30.71,30.81,30.38,30.75,487838
2021-07-27,30.58,30.83,30.2,30.25,339554
2021-07-28,30.14,30.31,29.77,29.8,442269
2021-07-29,30.04,30.17,29.93,30.0,256993
2021-07-30,30.02,30.22,29.95,30.22,297065
2021-08-02,30.35,30.47,29.87,29.99,217127
2021-08-03,30.08,30.4,29.94,30.29,111996
2021-08-04,30.14,30.25,29.62,29.83,206787
2021-08-05,30.14,30.16,29.87,30.04,214757
2021-08-06,30.03,30.34,30.03,30.18,107520
2021-08-09,30.14,30.35,30.05,30.28,151957
2021-08-10,30.46,31.02,30.44,30.8,410591
2021-08-11,30.86,31.77,30.86,31.76,485284
2021-08-12,31.73,31.92,31.42,31.89,172451
2021-08-13,32.02,32.03,31.49,31.65,151201
2021-08-16,31.56,31.67,31.27,31.65,187172
2021-08-17,31.56,31.62,31.08,31.53,259641
2021-08-18,31.45,31.97,31.44,31.56,286633
2021-08-19,31.4,31.7,31.21,31.4,261021
2021-08-20,31.55,31.64,31.41,31.52,233320
2021-08-23,31.65,32.07,31.56,31.64,275023
2021-08-24,31.65,31.73,31.14,31.16,346391
2021-08-25,31.25,31.35,31.09,31.27,232800
2021-08-26,31.29,31.43,30.94,31.1,150305
2021-08-27,31.11,31.34,31.11,31.26,213803
2021-08-30,31.21,31.24,30.96,31.01,144251
2021-08-31,31.03,31.11,30.3,30.48,384218
2021-09-01,30.53,30.76,30.21,30.5,368822
2021-09-02,30.62,30.71,30.38,30.5,488676
2021-09-03,30.46,30.5,29.93,29.99,307583
2021-09-07,29.87,29.98,29.49,29.53,481478
2021-09-08,29.46,29.76,29.31,29.67,457445
2021-09-09,29.69,29.69,29.25,29.38,286548
2021-09-10,29.33,29.51,28.97,29.01,295134
2021-09-13,29.26,29.3,28.73,28.96,417782
2021-09-14,28.97,28.97,28.51,28.59,525464
2021-09-15,28.64,29.05,28.63,28.92,394440
2021-09-16,28.96,29.1,28.81,28.96,425857
2021-09-17,28.89,29.04,28.31,28.36,495888
2021-09-20,28.02,28.09,27.63,27.91,354938
2021-09-21,28.15,28.41,27.76,27.85,237127
2021-09-22,27.98,28.25,27.96,27.97,256580
2021-09-23,28.06,28.49,28.06,28.3,397705
2021-09-24,28.25,28.75,28.2,28.5,377570
2021-09-27,28.4,28.88,28.4,28.65,276796
2021-09-28,28.66,28.71,28.28,28.6,748540
2021-09-29,28.56,28.69,28.34,28.45,729933
2021-09-30,28.58,28.61,27.87,27.87,375202
2021-10-01,28.0,28.62,27.95,28.43,337204
2021-10-04,28.46,28.9,28.39,28.57,561734
2021-10-05,28.54,29.66,28.54,29.44,464582
2021-10-06,29.23,30.54,29.23,30.49,543605
2021-10-07,30.73,30.76,30.1,30.15,318760
2021-10-08,30.17,30.73,30.17,30.65,351552
2021-10-11,30.65,30.91,30.45,30.45,267836
2021-10-12,30.43,30.43,30.03,30.14,235483
2021-10-13,30.22,30.64,29.99,30.52,209008
2021-10-14,30.73,31.33,30.73,31.32,366278
2021-10-15,31.54,32.25,31.51,32.0,421875
2021-10-18,31.87,32.18,31.67,32.07,625471
2021-10-19,32.26,32.26,31.82,31.96,536526
2021-10-20,32.0,32.37,31.74,32.26,603218
2021-10-21,33.1,33.62,32.76,32.8,551173
2021-10-22,32.91,33.4,32.58,33.18,699625
2021-10-25,33.34,33.79,33.13,33.47,302426
2021-10-26,33.54,33.73,33.37,33.44,372125
2021-10-27,33.73,33.99,33.47,33.61,381750
2021-10-28,33.7,34.01,33.68,33.96,517797
2021-10-29,33.79,34.14,33.69,33.88,166084
2021-11-01,33.84,33.91,33.22,33.43,201571
2021-11-02,33.46,33.56,33.19,33.42,253644
2021-11-03,33.46,33.48,33.07,33.42,287380
