date,open,high,low,close,volume
2019-01-28,42.68,42.68,42.68,42.68,400
2020-07-27,71.43,71.43,69.8,70.17,77796
2020-07-28,70.12,70.29,68.99,69.05,128552
2020-07-29,69.89,72.08,69.62,71.98,134520
2020-07-30,70.84,71.42,69.57,70.99,88472
2020-07-31,70.5,70.98,69.84,70.94,112876
2020-08-03,71.02,71.28,70.18,70.31,268476
2020-08-04,70.22,71.47,70.22,70.85,179992
2020-08-05,71.68,71.68,69.99,70.62,59588
2020-08-06,70.33,71.33,70.33,71.26,70840
2020-08-07,70.95,72.95,70.95,72.87,46028
2020-08-10,72.84,74.42,72.84,74.4,159792
2020-08-11,75.37,76.27,74.49,74.83,96088
2020-08-12,75.1,76.15,75.1,75.26,27288
2020-08-13,75.05,75.45,74.72,74.97,38664
2020-08-14,74.67,75.3,74.07,74.4,62848
2020-08-17,75.09,75.58,74.76,75.47,70908
2020-08-18,75.7,75.71,74.87,74.89,33940
2020-08-19,75.11,75.44,74.76,74.92,33088
2020-08-20,74.64,75.57,74.49,75.24,24860
2020-08-21,74.94,75.43,74.49,75.34,29312
2020-08-24,76.2,76.58,75.73,76.55,26448
2020-08-25,76.41,76.73,76.16,76.28,17004
2020-08-26,76.11,77.02,75.97,76.69,21212
2020-08-27,77.16,77.97,76.88,77.3,32868
2020-08-28,77.38,78.63,77.34,78.5,75556
2020-08-31,78.05,78.7,77.97,78.37,57356
2020-09-01,78.0,79.12,78.0,78.77,53916
2020-09-02,79.0,80.69,79.0,80.47,38648
2020-09-03,80.81,80.81,77.08,77.61,74060
2020-09-04,77.86,78.41,76.63,77.83,129020
2020-09-08,76.61,77.16,74.81,74.91,128860
2020-09-09,75.27,77.14,75.19,76.59,64896
2020-09-10,76.59,76.59,74.18,74.65,37076
2020-09-11,74.58,76.07,74.58,75.5,48916
2020-09-14,76.31,77.27,76.31,77.1,33936
2020-09-15,77.3,77.87,77.06,77.16,77796
2020-09-16,77.54,77.76,76.62,76.62,43672
2020-09-17,75.01,76.85,74.86,76.34,32484
2020-09-18,77.31,77.34,74.69,74.85,112372
2020-09-21,73.7,74.45,72.47,74.3,64824
2020-09-22,75.14,76.72,75.1,76.3,132540
2020-09-23,78.74,78.74,73.68,74.52,168000
2020-09-24,74.3,75.23,74.2,74.93,91784
2020-09-25,74.59,77.14,74.59,77.07,76144
2020-09-28,77.84,79.29,77.79,78.97,60824
2020-09-29,77.96,78.7,77.54,77.74,61136
2020-09-30,79.05,79.21,77.89,78.37,92388
2020-10-01,78.3,80.9,78.3,80.43,203768
2020-10-02,78.73,79.93,78.49,78.84,167220
2020-10-05,79.1,79.72,78.76,79.16,126684
