date,open,high,low,close,volume
2020-07-27,2.777,2.804,2.674,2.674,3607
2020-07-28,2.72,2.785,2.72,2.773,628
2020-07-29,3.111,3.242,3.111,3.242,574
2020-07-30,3.234,3.588,3.234,3.373,1133
2020-07-31,3.377,3.377,3.004,3.004,402
2020-08-03,3.211,3.211,3.146,3.161,1607
2020-08-04,3.127,3.173,3.062,3.173,4311
2020-08-05,3.292,3.296,2.866,2.889,1259
2020-08-06,2.95,2.95,2.754,2.766,2170
2020-08-07,2.697,3.173,2.697,3.058,2532
2020-08-10,3.392,3.496,3.365,3.496,2969
2020-08-11,3.672,3.749,3.611,3.611,12745
2020-08-12,3.695,3.695,3.603,3.603,1003
2020-08-13,3.511,3.638,3.411,3.411,4998
2020-08-14,3.749,3.749,3.611,3.611,3131
2020-08-17,3.438,3.488,3.334,3.334,2481
2020-08-18,3.534,3.672,3.488,3.657,1256
2020-08-19,3.703,3.749,3.542,3.549,4624
2020-08-20,3.488,3.676,3.488,3.676,2004
2020-08-21,3.388,3.473,3.388,3.446,1169
2020-08-24,3.511,3.511,3.461,3.461,500
2020-08-25,3.342,3.342,3.342,3.342,100
2020-08-26,3.004,3.058,2.989,3.058,316
2020-08-27,2.973,3.058,2.973,2.981,515
2020-08-28,3.296,3.296,3.296,3.296,102
2020-09-01,3.257,3.365,3.227,3.227,493
2020-09-02,3.173,3.173,3.158,3.158,585
2020-09-03,3.273,3.296,3.207,3.207,2441
2020-09-04,3.104,3.104,3.104,3.104,102
2020-09-08,3.065,3.173,3.058,3.058,1594
2020-09-09,3.035,3.035,3.035,3.035,120
2020-09-10,3.327,3.327,3.142,3.158,520
2020-09-11,3.242,3.292,3.242,3.292,300
2020-09-14,3.296,3.642,3.296,3.542,990
2020-09-15,3.826,4.617,3.826,4.11,2256
2020-09-16,4.441,4.878,4.441,4.61,4495
2020-09-17,4.675,5.47,4.617,4.617,14783
2020-09-18,5.278,6.369,5.209,6.261,8699
2020-09-21,6.108,6.2,5.501,5.908,3612
2020-09-22,6.2,7.03,6.2,6.73,8920
2020-09-23,7.16,7.637,6.853,6.976,11431
2020-09-24,6.015,6.411,5.946,6.169,5267
2020-09-25,6.599,6.645,6.181,6.35,4042
2020-09-28,6.277,6.292,6.223,6.292,855
2020-09-29,5.893,5.893,5.424,5.67,1951
2020-09-30,5.647,5.758,5.539,5.628,1011
2020-10-01,5.562,5.731,5.551,5.731,3823
2020-10-02,5.793,6.092,5.793,6.085,2727
2020-10-05,6.169,6.169,5.793,5.969,1636
2020-10-06,6.146,6.292,6.096,6.096,937
2020-10-07,5.992,6.377,5.977,6.33,3230
2020-10-08,6.407,6.845,6.407,6.607,2224
2020-10-09,6.722,6.722,6.231,6.254,1639
2020-10-12,6.085,6.146,6.085,6.146,301
2020-10-13,6.2,6.2,5.846,5.908,3329
2020-10-14,5.992,6.185,5.969,6.092,1600
2020-10-15,5.908,5.992,5.654,5.677,8840
2020-10-16,5.685,5.716,5.635,5.647,1746
2020-10-19,5.7,5.747,5.585,5.631,2284
2020-10-20,5.862,5.904,5.762,5.808,2339
2020-10-21,5.885,6.015,5.885,6.0,936
2020-10-22,5.954,6.315,5.87,6.292,3069
2020-10-23,6.4,6.53,6.4,6.446,2209
2020-10-26,6.215,6.246,6.146,6.169,1681
2020-10-27,6.154,6.33,6.115,6.177,3886
2020-10-28,6.0,6.0,5.747,5.747,4262
2020-10-29,5.747,5.77,5.186,5.186,13152
2020-10-30,5.024,5.024,4.955,4.963,4531
2020-11-02,4.99,5.324,4.99,5.324,1725
2020-11-03,5.516,5.839,5.263,5.839,2500
2020-11-04,5.785,5.785,5.04,5.078,2090
2020-11-05,5.14,5.531,5.14,5.531,1164
2020-11-06,5.485,5.939,5.485,5.823,1633
2020-11-09,6.131,6.407,5.777,6.161,5144
2020-11-10,6.085,6.403,6.039,6.4,3527
2020-11-11,6.369,6.607,6.238,6.423,3067
2020-11-12,6.373,6.373,6.177,6.208,1368
2020-11-13,6.488,6.692,6.35,6.384,4716
2020-11-16,6.607,6.607,6.346,6.346,6369
2020-11-17,6.369,6.388,6.181,6.269,9239
2020-11-18,6.33,6.661,5.969,6.062,4611
2020-11-19,5.954,5.954,5.804,5.804,1730
2020-11-20,5.785,5.789,5.608,5.608,5371
2020-11-23,5.508,5.747,5.508,5.547,4974
2020-11-24,6.039,6.284,5.893,5.923,2051
2020-11-25,5.793,6.115,5.731,5.985,7447
2020-11-27,6.027,6.261,6.027,6.069,948
2020-11-30,5.985,6.108,5.716,5.716,2259
2020-12-01,5.823,5.862,5.823,5.862,796
2020-12-02,5.616,5.616,5.393,5.493,7851
2020-12-03,5.528,5.635,5.386,5.593,10632
2020-12-04,5.885,6.154,5.839,5.846,8451
2020-12-07,5.962,6.953,5.931,6.861,15025
2020-12-08,7.145,8.712,7.145,8.174,15389
2020-12-09,8.182,9.749,8.182,9.672,18326
2020-12-10,9.526,10.91,9.45,10.56,10169
2020-12-11,10.6,10.96,10.31,10.31,4484
2020-12-14,10.06,10.74,9.734,10.05,7168
2020-12-15,10.03,10.03,9.35,9.841,5914
2020-12-16,9.761,10.18,9.396,9.665,4720
2020-12-17,9.711,10.71,9.711,10.32,3338
2020-12-18,10.29,10.29,9.918,9.949,2378
2020-12-21,9.765,10.05,9.396,9.765,4756
2020-12-22,9.765,9.891,9.434,9.565,2682
2020-12-23,9.88,9.964,9.603,9.695,3406
2020-12-24,9.949,9.949,9.48,9.573,1715
2020-12-28,9.611,9.688,9.096,9.273,5588
2020-12-29,9.549,9.549,8.52,8.681,1533
2020-12-30,8.666,9.042,8.62,8.889,2275
2020-12-31,8.827,8.827,8.766,8.766,827
2021-01-04,8.581,8.628,8.167,8.428,4820
2021-01-05,8.628,8.843,8.159,8.247,2699
2021-01-06,8.574,9.112,8.574,8.981,6111
2021-01-07,8.981,9.15,8.912,9.15,3131
2021-01-08,9.196,9.488,9.112,9.357,2893
2021-01-11,9.327,10.54,9.219,10.29,11063
2021-01-12,10.23,10.76,10.1,10.58,7124
2021-01-13,10.43,10.43,10.24,10.41,5448
2021-01-14,10.64,10.88,10.37,10.84,14680
2021-01-15,10.71,10.99,10.54,10.86,9609
2021-01-19,10.86,11.03,10.72,10.87,6677
2021-01-20,10.83,10.9,10.6,10.85,3995
2021-01-21,10.53,10.89,10.13,10.84,8161
2021-01-22,10.55,10.55,10.1,10.15,1708
2021-01-25,10.15,10.15,9.457,9.719,2753
2021-01-26,9.853,9.98,9.258,9.334,5425
2021-01-27,8.92,9.68,8.82,8.847,10584
2021-01-28,9.165,9.549,8.831,9.265,5950
2021-01-29,8.996,9.031,8.658,8.843,1608
2021-02-01,8.766,9.234,8.497,8.92,1590
2021-02-02,10.1,10.17,9.757,9.949,4215
2021-02-03,9.788,10.45,9.788,10.22,3621
2021-10-04,18.09,18.45,17.48,17.8,570585
2021-10-05,17.91,18.42,17.38,17.7,616228
2021-10-06,17.39,17.65,16.81,17.23,875359
2021-10-07,17.21,17.43,17.1,17.19,1208879
2021-10-08,17.47,17.79,17.2,17.4,409624
2021-10-11,17.5,17.57,16.75,16.81,421327
2021-10-12,16.73,16.9,16.45,16.75,468072
2021-10-13,16.59,16.87,16.53,16.72,327342
2021-10-14,16.97,16.99,16.53,16.6,300205
2021-10-15,16.79,16.79,16.18,16.27,397275
2021-10-18,16.78,16.95,16.2,16.31,495120
2021-10-19,16.35,16.7,16.15,16.69,281165
2021-10-20,16.54,17.14,16.53,17.1,336883
2021-10-21,17.03,17.05,16.43,16.61,249309
2021-10-22,17.08,17.18,16.65,17.03,243731
2021-10-26,18.02,18.15,17.84,17.96,136919
2021-10-27,17.75,18.17,17.57,17.69,463939
2021-10-28,17.55,17.65,17.07,17.5,138785
2021-10-29,17.41,17.48,16.97,17.08,165759
2021-11-01,17.22,17.51,17.13,17.27,255068
2021-11-02,17.23,17.44,17.05,17.15,330907
2021-11-03,16.96,18.15,16.53,17.66,321615
2021-11-04,17.93,17.95,17.21,17.4,482600
2021-11-05,17.63,17.63,17.19,17.26,186283
2021-11-08,17.35,17.59,17.22,17.32,140713
2021-11-09,17.31,17.32,16.72,17.07,183962
2021-11-10,16.95,16.97,15.93,16.21,174062
2021-11-11,16.23,16.73,16.22,16.67,251753
2021-11-12,16.85,17.06,16.6,16.71,253553
2021-11-15,16.72,17.0,16.58,16.9,150895
2021-11-16,17.05,17.23,16.68,17.02,183171
2021-11-17,16.75,17.21,16.58,16.71,192852
2021-11-18,16.77,16.86,16.4,16.85,241419
2021-11-19,16.51,16.54,16.09,16.23,361430
2021-11-22,16.43,17.37,16.39,17.0,339897
2021-11-23,17.22,17.4,16.99,17.05,304881
2021-11-24,16.9,17.15,16.82,17.13,166586
2021-11-26,16.42,17.09,16.42,17.02,197322
2021-11-29,17.2,17.39,16.88,16.92,382729
2021-11-30,16.62,16.97,16.13,16.28,428110
2021-12-01,16.52,16.73,15.98,16.01,549116
2021-12-02,16.07,16.59,15.85,16.41,281801
2021-12-03,16.58,16.63,16.02,16.4,230892
2021-12-06,16.49,16.49,15.49,15.94,434391
2021-12-07,16.22,16.51,16.08,16.33,251695
2021-12-08,16.52,16.94,16.37,16.83,174175
2021-12-09,16.52,16.95,16.52,16.89,314794
2021-12-10,16.98,17.12,16.5,16.97,241937
2021-12-13,16.9,17.05,16.53,16.61,259638
2021-12-14,16.51,16.7,16.26,16.3,272108
2021-12-15,16.53,16.63,16.02,16.54,356638
2021-12-16,16.61,16.99,16.27,16.3,314998
2021-12-17,16.24,16.25,15.78,15.95,295431
2021-12-20,15.68,15.81,15.32,15.76,132000
2021-12-21,15.96,16.04,15.69,15.94,224651
2021-12-22,15.95,16.15,15.82,16.02,248945
2021-12-23,15.94,16.03,15.67,15.72,209335
2021-12-27,15.81,16.18,15.64,16.16,78529
2021-12-28,16.18,16.33,16.01,16.19,86632
2021-12-29,16.24,16.43,16.03,16.24,69702
2021-12-30,16.22,16.36,15.8,15.87,117942
2021-12-31,15.77,15.85,15.36,15.42,139165
2022-01-03,15.39,15.95,15.29,15.87,276963
2022-01-04,16.04,17.22,16.01,16.98,499777
2022-01-05,17.29,17.61,16.78,16.78,416866
2022-01-06,17.27,17.27,16.52,16.6,427126
2022-01-07,16.71,17.49,16.67,17.48,277989
2022-01-10,17.36,17.76,17.17,17.34,219036
2022-01-11,17.53,17.53,16.82,17.25,254187
2022-01-12,17.45,18.29,17.28,18.28,366011
2022-01-13,18.06,18.36,17.65,17.73,269927
2022-01-14,17.68,18.04,17.61,18.02,225977
2022-01-18,18.19,18.29,17.54,17.7,245961
2022-01-19,17.8,17.83,16.92,16.95,191623
2022-01-20,16.8,17.02,16.24,16.25,178842
2022-01-21,16.03,16.06,15.63,15.68,228162
2022-01-24,15.17,15.58,14.92,15.42,43078
2022-01-25,15.72,16.54,15.63,16.52,414962
2022-01-26,16.79,17.24,16.41,16.44,235751
2022-01-27,17.0,17.07,16.34,17.03,329360
2022-01-28,17.16,17.75,17.1,17.55,311035
2022-01-31,17.48,17.8,17.09,17.77,244812
