date,open,high,low,close,volume
2020-07-27,26.67,27.07,26.64,26.88,65381
2020-07-28,26.67,26.75,26.28,26.32,78890
2020-07-29,26.44,26.91,26.44,26.91,28394
2020-07-30,26.3,26.64,25.97,26.61,114153
2020-07-31,26.5,26.77,26.17,26.7,90472
2020-08-03,26.82,26.98,26.6,26.65,72795
2020-08-04,26.62,27.07,26.57,26.81,96050
2020-08-05,27.05,27.17,26.72,26.72,77280
2020-08-06,25.33,25.33,23.55,23.76,594794
2020-08-07,23.7,23.81,23.2,23.64,423743
2020-08-10,23.42,23.93,23.34,23.67,224112
2020-08-11,24.23,25.24,24.04,25.02,236431
2020-08-12,25.37,25.49,24.41,24.64,198889
2020-08-13,24.77,25.34,24.68,25.26,165623
2020-08-14,25.17,26.17,24.95,26.17,149767
2020-08-17,26.28,26.36,25.67,26.06,91708
2020-08-18,26.22,26.67,26.11,26.65,88617
2020-08-19,26.56,26.85,26.31,26.81,124384
2020-08-20,26.62,27.02,26.55,27.02,61828
2020-08-21,26.78,26.92,26.29,26.71,113066
2020-08-24,27.15,27.2,26.49,26.78,94301
2020-08-25,26.94,27.33,26.87,26.89,178551
2020-08-26,26.89,27.48,26.82,27.4,76225
2020-08-27,27.45,27.63,27.27,27.48,67386
2020-08-28,27.57,27.97,27.34,27.7,97546
2020-08-31,27.56,27.56,26.83,26.83,70435
2020-09-01,26.81,27.6,26.68,27.6,130580
2020-09-02,27.53,28.33,27.4,28.25,76566
2020-09-03,28.16,28.35,27.32,27.6,102389
2020-09-04,27.93,28.24,27.27,27.5,120823
2020-09-08,27.08,27.14,26.5,26.54,103046
2020-09-09,26.79,27.57,26.79,26.96,85169
2020-09-10,26.96,27.45,26.96,27.35,91440
2020-09-11,27.55,27.61,27.16,27.23,81823
2020-09-14,27.37,27.62,27.08,27.24,92403
2020-09-15,27.26,27.86,27.26,27.65,152831
2020-09-16,27.76,28.11,27.35,27.43,130161
2020-09-17,27.07,27.92,27.07,27.77,68801
2020-09-18,27.76,27.85,27.09,27.22,131530
2020-09-21,26.59,26.75,26.2,26.46,157631
2020-09-22,26.43,26.46,26.11,26.36,165851
2020-09-23,26.13,26.56,25.71,25.79,164895
2020-09-24,25.75,26.24,25.52,25.95,82762
2020-09-25,25.63,26.77,25.63,26.64,109576
2020-09-28,27.01,27.49,27.01,27.17,243421
2020-09-29,26.98,27.22,26.74,26.81,114482
2020-09-30,27.08,27.72,26.77,27.08,230530
2020-10-01,27.07,27.49,26.86,26.91,245770
2020-10-02,26.6,27.95,26.6,27.56,312872
2020-10-05,28.11,28.4,28.09,28.25,171214
