date,open,high,low,close,volume
2020-07-27,141.0,141.26,137.44,139.35,58850
2020-07-28,138.74,138.93,134.95,135.42,58173
2020-07-29,136.09,138.05,135.24,136.51,36233
2020-07-30,136.05,139.2,134.37,138.9,44063
2020-07-31,139.91,141.4,135.72,139.89,74507
2020-08-03,139.82,139.82,136.67,137.18,58655
2020-08-04,135.81,139.94,135.37,139.81,45956
2020-08-05,139.87,140.01,138.26,139.96,37057
2020-08-06,139.86,140.06,137.5,138.03,36564
2020-08-07,138.53,140.22,137.69,138.4,28587
2020-08-10,137.87,137.88,133.53,134.88,50718
2020-08-11,135.16,135.39,132.8,133.15,107749
2020-08-12,133.38,135.24,133.38,133.81,52506
2020-08-13,134.52,135.79,133.9,134.78,46507
2020-08-14,135.38,135.67,133.47,133.8,15605
2020-08-17,135.06,136.0,134.3,135.31,37159
2020-08-18,136.21,138.41,135.84,137.7,51738
2020-08-19,137.86,139.08,136.75,137.81,17624
2020-08-20,137.75,139.28,137.27,138.82,40135
2020-08-21,138.15,140.98,137.71,140.6,42840
2020-08-24,141.32,141.32,138.61,139.99,42392
2020-08-25,140.25,141.58,139.68,140.11,27588
2020-08-26,140.54,142.11,139.89,141.51,24274
2020-08-27,141.3,141.45,138.27,139.63,55420
2020-08-28,139.9,143.64,139.9,141.4,25237
2020-08-31,140.64,142.67,140.34,142.51,31367
2020-09-01,142.46,145.64,141.74,142.37,53094
2020-09-02,142.94,145.63,141.78,145.04,71095
2020-09-03,143.61,143.61,136.01,137.98,50206
2020-09-04,137.39,138.17,132.69,134.67,77154
2020-09-08,131.28,137.79,130.74,136.18,65720
2020-09-09,137.13,139.31,134.85,138.85,30187
2020-09-10,137.97,139.7,131.98,132.8,73842
2020-09-11,133.65,134.65,129.07,130.17,68613
2020-09-14,131.78,133.84,131.29,133.25,30566
2020-09-15,133.87,135.24,133.4,133.74,85614
2020-09-16,135.01,136.22,132.77,132.86,36007
2020-09-17,129.92,132.56,129.41,131.62,19639
2020-09-18,131.78,133.49,130.13,131.8,49984
2020-09-21,131.21,132.42,130.2,131.98,50412
2020-09-22,133.03,135.51,131.72,135.01,37775
2020-09-23,134.16,134.98,130.65,130.98,29645
2020-09-24,130.56,132.84,130.26,131.59,26822
2020-09-25,131.21,134.49,131.21,133.94,27924
2020-09-28,134.83,136.63,134.43,135.88,23106
2020-09-29,136.49,136.73,134.65,134.65,23970
2020-09-30,134.49,136.82,134.07,135.43,34198
2020-10-01,136.42,137.55,135.8,136.91,49538
2020-10-02,134.36,136.13,132.38,132.68,52470
2020-10-05,133.09,133.64,132.01,133.41,45012
2020-10-06,133.79,135.05,130.71,131.13,35013
2020-10-07,131.47,132.57,130.03,131.26,81667
2020-10-08,132.85,133.43,131.42,133.18,54360
2020-10-09,134.82,137.12,134.2,137.11,60845
2020-10-12,138.65,144.44,138.45,142.93,95100
2020-10-13,142.7,143.42,139.54,141.52,83931
2020-10-14,140.29,141.29,137.22,138.54,60640
2020-10-15,136.83,138.03,135.95,136.56,59282
2020-10-16,136.9,137.21,135.44,136.01,59908
2020-10-19,137.13,137.74,132.19,132.62,86761
2020-10-20,134.21,137.01,133.97,134.59,73125
2020-10-21,134.66,135.5,133.61,134.17,93404
2020-10-22,133.74,133.74,123.69,124.68,312785
2020-10-23,122.49,123.13,118.79,120.66,315249
2020-10-26,120.04,122.22,118.73,121.69,113549
2020-10-27,122.28,123.83,117.28,117.49,218583
2020-10-28,116.18,116.23,112.83,112.88,138011
2020-10-29,113.16,114.19,111.83,112.07,121079
2020-10-30,112.19,113.07,110.07,111.35,79698
2020-11-02,111.12,112.77,109.75,112.49,83438
2020-11-03,113.33,114.77,112.34,114.14,104124
2020-11-04,116.61,117.21,114.51,114.95,118917
2020-11-05,116.83,118.87,116.35,117.5,69194
2020-11-06,117.01,117.32,115.36,116.91,80032
2020-11-09,116.54,117.49,112.7,112.7,249398
2020-11-10,112.02,113.81,109.46,112.27,165109
2020-11-11,113.73,114.43,112.53,113.03,117980
2020-11-12,113.53,114.95,112.84,113.4,86981
2020-11-13,114.35,116.45,113.52,116.24,91510
2020-11-16,115.8,116.82,114.58,116.6,167079
2020-11-17,116.66,119.15,116.36,117.7,152614
2020-11-18,117.48,119.26,116.46,117.13,218176
2020-11-19,115.92,119.17,115.53,118.82,127602
2020-11-20,118.37,120.49,118.17,118.42,125186
2020-11-23,118.9,119.02,117.27,118.14,70948
2020-11-24,118.19,123.28,118.18,120.04,162744
2020-11-25,121.66,121.66,119.02,119.28,77182
2020-11-27,119.78,121.88,118.73,120.32,45411
2020-11-30,120.86,121.93,119.23,121.93,136660
2020-12-01,121.64,124.07,121.64,123.57,91256
2020-12-02,122.37,125.41,122.37,125.23,57002
2020-12-03,124.49,126.96,122.94,125.8,66244
2020-12-04,126.17,128.48,125.81,128.36,49877
2020-12-07,128.99,129.71,128.02,129.54,71508
2020-12-08,128.46,129.94,127.53,129.07,84571
2020-12-09,129.14,130.35,128.42,130.01,103014
2020-12-10,129.13,131.15,128.77,130.84,87387
2020-12-11,129.53,130.99,126.01,128.75,118932
2020-12-14,128.63,129.89,126.12,126.66,85929
2020-12-15,127.42,128.19,125.02,125.67,63015
2020-12-16,125.72,127.92,125.4,127.52,59120
2020-12-17,128.44,129.49,127.03,128.91,96761
2020-12-18,130.06,132.77,128.05,130.8,134599
