date,open,high,low,close,volume
2020-07-27,29.89,30.19,29.57,30.16,175200
2020-07-28,31.03,31.17,30.27,30.31,289720
2020-07-29,30.85,31.09,30.59,31.09,101555
2020-07-30,30.54,31.48,29.75,31.15,288525
2020-07-31,31.51,31.51,30.29,30.85,179825
2020-08-03,31.41,32.35,31.3,31.93,262840
2020-08-04,32.04,33.4,32.04,33.32,587475
2020-08-05,33.83,35.42,33.47,34.89,673870
2020-08-06,34.79,45.07,34.68,44.58,1625955
2020-08-07,42.95,44.53,38.07,38.38,1393645
2020-08-10,38.9,39.57,36.99,38.03,336655
2020-08-11,38.15,39.75,36.96,37.52,205680
2020-08-12,37.83,39.4,37.83,38.55,324770
2020-08-13,38.85,40.47,38.62,38.71,212610
2020-08-14,38.82,39.5,38.73,39.34,120090
2020-08-17,39.37,39.57,38.27,39.0,282645
2020-08-18,39.17,40.99,39.07,40.46,153970
2020-08-19,40.12,40.52,39.38,39.93,71990
2020-08-20,39.7,40.96,39.64,40.56,85340
2020-08-21,40.82,41.45,40.23,40.51,108440
2020-08-24,40.99,40.99,39.23,40.17,478530
2020-08-25,39.58,40.72,39.25,40.55,110640
2020-08-26,41.28,41.67,40.37,41.56,118970
2020-08-27,41.27,42.57,40.71,41.64,186800
2020-08-28,41.9,43.75,41.9,43.64,101790
2020-08-31,43.59,43.64,42.15,43.19,118525
2020-09-01,43.14,46.85,42.99,45.42,309300
2020-09-02,46.0,46.0,42.97,44.57,303445
2020-09-03,43.49,43.75,39.5,39.74,753755
2020-09-04,39.43,40.33,36.11,37.41,527305
2020-09-08,35.72,37.11,35.72,36.15,412040
2020-09-09,37.71,38.19,35.43,35.89,346430
2020-09-10,36.18,36.95,35.64,35.69,374995
2020-09-11,35.98,36.26,34.31,34.79,225930
2020-09-14,35.55,35.55,33.89,34.27,586700
2020-09-15,34.57,34.96,33.6,34.42,225950
2020-09-16,34.42,35.58,33.62,35.13,329145
2020-09-17,34.2,34.26,32.95,33.31,604080
2020-09-18,33.82,33.87,32.16,32.93,411145
2020-09-21,32.32,34.76,31.7,34.72,269515
2020-09-22,41.8,46.9,40.26,45.33,2471755
2020-09-23,45.29,45.29,42.92,43.81,441360
2020-09-24,43.42,43.55,41.35,41.69,460810
2020-09-25,41.71,41.75,40.12,40.68,333935
2020-09-28,41.72,43.68,41.55,43.61,148775
2020-09-29,44.33,46.58,44.33,45.2,350075
2020-09-30,44.99,45.31,43.76,44.75,198850
2020-10-01,45.4,48.43,44.68,47.74,761205
2020-10-02,47.25,47.93,42.55,44.57,801005
2020-10-05,45.11,45.85,44.19,45.05,303350
2020-10-06,45.8,46.45,42.14,42.97,680100
2020-10-07,44.42,44.67,42.93,43.41,450945
2020-10-08,43.5,43.86,42.25,42.73,368180
2020-10-09,43.04,43.08,42.4,42.66,405930
2020-10-12,43.2,43.38,41.72,41.82,283025
2020-10-13,42.14,44.95,42.14,43.36,526115
2020-10-14,43.83,43.86,41.4,42.68,410290
2020-10-15,42.0,44.95,41.97,44.92,842685
2020-10-16,44.8,45.42,43.05,44.3,590955
2020-10-19,44.52,45.74,42.55,42.74,509455
2020-10-20,41.5,42.41,39.82,40.02,1033340
2020-10-21,40.39,40.9,38.21,38.43,420075
2020-10-22,38.73,40.6,38.1,40.4,478860
2020-10-23,40.07,40.73,39.46,40.47,265220
2020-10-26,39.95,40.53,39.28,40.2,1080855
2020-10-27,40.49,41.99,40.22,41.64,908795
2020-10-28,40.67,41.07,39.58,40.55,508735
2020-10-29,40.86,41.0,38.15,38.2,895910
2020-10-30,39.95,42.7,36.0,37.07,1854545
2020-11-02,37.08,37.94,36.07,37.0,526955
2020-11-03,37.51,38.96,37.28,38.2,486690
2020-11-04,39.04,40.34,38.78,40.25,925240
2020-11-05,41.12,41.99,40.53,40.91,468030
2020-11-06,41.0,42.34,39.33,41.92,331335
2020-11-09,40.19,41.37,38.8,38.8,1070845
2020-11-10,38.43,38.97,36.47,38.43,1366250
2020-11-11,39.07,41.48,38.96,41.42,844040
2020-11-12,41.3,43.41,41.05,42.93,619570
2020-11-13,43.35,44.08,41.66,42.25,356850
2020-11-16,41.39,42.65,41.26,42.03,639720
2020-11-17,42.74,44.62,41.77,44.28,406535
2020-11-18,44.26,46.15,44.26,44.77,383135
2020-11-19,44.92,46.1,44.42,45.4,575240
2020-11-20,45.6,47.22,45.44,46.94,507160
2020-11-23,47.6,48.88,47.27,47.97,906175
2020-11-24,48.2,49.18,46.35,47.32,505680
2020-11-25,47.2,48.56,46.58,47.64,450850
2020-11-27,48.33,50.12,48.2,49.73,500460
2020-11-30,50.16,50.16,47.17,50.03,595200
2020-12-01,50.3,50.45,48.49,50.18,528750
2020-12-02,46.19,47.71,44.7,45.08,892295
2020-12-03,45.53,46.49,44.8,45.56,517015
2020-12-04,46.48,48.63,46.06,48.63,1080945
2020-12-07,48.36,51.95,48.36,51.78,756025
2020-12-08,52.11,52.62,50.92,52.25,374490
2020-12-09,52.49,53.39,49.93,51.11,428670
2020-12-10,50.55,52.42,50.41,52.15,232760
2020-12-11,52.05,52.95,51.28,51.63,315490
2020-12-14,51.92,52.29,49.57,50.28,314800
2020-12-15,51.89,53.77,50.9,51.14,594455
2020-12-16,51.49,52.36,49.8,52.19,349775
2020-12-17,52.86,55.36,52.14,54.4,873395
2020-12-18,54.41,54.41,52.52,53.27,687115
2020-12-21,52.38,55.72,52.38,55.68,510310
2020-12-22,55.88,58.39,55.85,58.34,470035
2020-12-23,58.49,58.52,53.21,54.03,524280
2020-12-24,54.35,55.72,54.05,54.92,99660
2020-12-28,54.69,54.69,49.12,50.14,551385
2020-12-29,50.6,50.6,48.32,50.17,291020
2020-12-30,49.9,51.09,49.83,50.14,216340
2020-12-31,49.98,49.98,47.87,47.92,246290
2021-01-04,48.45,48.45,45.96,47.24,715635
2021-01-05,47.49,51.14,47.49,51.11,597670
2021-01-06,50.2,51.36,48.62,50.2,464480
2021-01-07,51.3,55.19,51.3,54.01,559380
2021-01-08,54.42,55.9,53.34,55.61,479215
2021-01-11,54.87,55.9,53.34,54.84,300415
2021-01-12,55.62,58.48,55.62,57.69,770835
2021-01-13,57.69,59.03,57.38,57.88,323255
2021-01-14,58.16,60.44,57.83,59.39,638905
2021-01-15,58.67,59.03,56.5,57.73,453075
2021-01-19,58.0,58.0,54.79,54.99,585055
2021-01-20,55.34,55.61,53.68,53.99,446830
2021-01-21,54.01,55.36,53.71,54.5,438070
2021-01-22,54.52,55.3,53.94,54.74,311985
2021-01-25,55.42,56.91,52.55,54.63,437775
2021-01-26,55.6,55.6,52.24,52.36,465305
2021-01-27,51.4,51.7,47.14,47.81,1652770
2021-01-28,49.3,53.5,49.2,51.24,636355
2021-01-29,50.84,53.01,49.32,52.27,552400
2021-02-01,53.22,53.88,51.2,52.83,484050
2021-02-02,54.0,57.49,53.36,56.1,423795
2021-02-03,55.9,57.81,54.67,56.71,283515
2021-02-04,57.43,58.2,55.76,56.97,651375
2021-02-05,57.75,58.46,56.0,57.59,380810
2021-02-08,57.63,58.9,56.64,57.62,299345
2021-02-09,58.11,59.94,56.5,58.58,326830
2021-02-10,59.1,60.05,57.31,59.65,565600
2021-02-11,59.76,60.08,58.3,58.88,252965
2021-02-12,58.71,60.8,58.0,59.25,237445
2021-02-16,60.2,62.13,58.75,59.33,444370
2021-02-17,58.26,59.66,57.32,59.18,288985
2021-02-18,58.03,60.0,57.67,59.11,310290
2021-02-19,59.46,62.79,59.29,61.7,545190
2021-02-22,60.63,60.98,56.01,56.39,415750
2021-02-23,54.0,56.64,50.69,56.04,474760
2021-02-24,56.38,57.19,53.76,56.94,270000
2021-02-25,56.83,58.03,51.94,52.68,678170
2021-02-26,56.12,59.07,53.07,56.63,1660260
2021-03-01,57.99,62.42,57.99,62.38,696415
2021-03-02,62.41,64.63,62.3,62.96,533050
2021-03-03,62.55,62.66,57.01,57.63,386990
2021-03-04,56.27,58.03,52.89,53.99,844175
2021-03-05,54.26,54.38,48.52,52.25,742990
2021-03-08,52.47,52.47,48.12,48.27,773380
2021-03-09,51.79,52.38,50.59,52.05,446675
2021-03-10,53.01,54.81,51.6,52.12,336745
2021-03-11,54.31,55.88,53.09,55.39,362180
2021-03-12,53.84,57.7,52.84,57.41,417870
2021-03-15,57.15,57.42,55.03,56.93,206765
2021-03-16,57.53,58.26,55.82,56.73,519930
2021-03-17,55.23,58.05,54.45,57.18,343990
2021-03-18,55.74,56.01,52.21,52.65,717025
2021-03-19,52.53,54.71,52.16,53.84,466470
2021-03-22,53.88,55.53,53.57,54.87,256530
2021-03-23,54.8,56.7,54.65,54.78,493630
2021-03-24,55.06,55.11,50.44,50.61,463820
2021-03-25,49.17,51.55,48.15,51.27,588250
2021-03-26,51.34,52.36,49.97,51.86,450220
2021-03-29,51.36,52.16,48.93,49.74,373825
2021-03-30,49.35,51.38,48.77,50.86,347580
2021-03-31,52.29,53.41,51.64,52.56,413925
2021-04-01,53.33,55.04,52.89,53.09,309725
2021-04-05,54.06,54.19,51.96,53.43,237220
2021-04-06,53.35,56.28,53.06,55.5,410110
2021-04-07,54.34,55.19,53.43,53.46,292350
2021-04-08,53.89,54.66,53.49,54.25,382040
2021-04-09,54.4,54.44,53.08,54.22,212080
2021-04-12,53.56,54.15,51.88,53.86,260680
2021-04-13,54.18,55.55,53.66,55.25,138355
2021-04-14,55.36,56.27,53.74,54.06,251665
2021-04-15,54.11,57.15,54.09,56.28,499605
2021-04-16,56.57,56.57,54.46,55.02,313190
2021-04-20,54.84,54.93,51.79,52.46,531855
2021-04-21,51.35,53.99,51.02,53.59,368005
2021-04-22,53.72,53.88,51.78,53.02,318455
2021-04-23,53.33,55.6,52.1,55.6,375075
2021-04-26,56.14,59.24,55.67,58.88,696935
2021-04-27,59.03,60.18,58.53,58.94,169065
2021-04-28,59.2,59.67,58.1,58.73,205320
2021-04-29,59.05,59.11,56.85,57.7,238775
2021-04-30,56.69,58.03,56.42,57.08,336395
2021-05-03,58.86,59.52,57.82,57.99,363370
2021-05-04,57.1,58.08,55.4,57.86,511020
2021-05-05,58.5,59.9,55.86,56.06,475125
2021-05-06,55.67,55.67,51.68,52.7,1205530
2021-05-07,52.2,52.28,49.3,49.51,1289895
2021-05-10,48.58,49.11,47.28,48.43,710445
2021-05-11,46.16,49.06,45.99,47.81,823965
2021-05-12,46.61,46.78,44.62,45.35,999765
2021-05-13,46.0,46.56,44.72,44.78,841595
2021-05-14,45.59,47.91,45.56,47.46,349075
2021-05-17,47.06,47.69,44.43,45.21,656415
2021-05-18,45.73,46.08,44.9,45.48,851655
2021-05-19,44.1,46.42,43.89,45.59,874855
2021-05-20,46.18,48.59,45.83,48.34,626635
2021-05-21,48.75,49.43,48.14,49.27,347180
2021-05-24,49.68,51.84,49.58,50.72,377575
2021-05-25,51.31,52.55,51.3,51.95,372895
2021-05-26,52.53,52.53,50.8,51.78,386925
2021-05-27,52.52,54.55,51.34,53.48,280370
2021-05-28,53.39,53.8,52.94,53.08,320840
2021-06-01,53.49,55.15,52.0,54.65,402205
2021-06-02,55.0,56.34,54.31,55.76,313215
2021-06-03,54.97,55.52,53.92,54.83,311355
2021-06-04,54.88,55.99,54.61,55.97,227410
2021-06-07,55.8,56.22,54.82,55.99,349935
2021-06-08,56.0,56.09,54.56,55.26,258910
2021-06-09,55.33,55.33,52.86,52.9,266090
2021-06-10,53.03,53.67,52.87,53.43,336320
2021-06-11,53.52,55.0,53.51,54.91,252670
2021-06-14,55.03,55.96,55.03,55.71,314395
2021-06-15,55.41,55.41,53.85,54.61,256925
2021-06-16,54.43,56.3,54.43,55.91,304850
2021-06-17,56.63,58.39,56.2,58.24,666990
2021-06-18,58.35,59.27,57.89,58.84,439055
2021-06-21,59.2,59.83,57.48,59.17,303475
2021-06-22,59.51,62.9,59.51,62.61,712680
2021-06-23,61.31,63.2,61.18,62.95,395370
2021-06-24,63.71,63.83,60.65,60.9,1291300
2021-06-25,60.8,61.06,59.62,60.01,513340
2021-06-28,59.97,61.95,59.97,61.11,298405
2021-06-29,59.66,60.62,59.34,60.35,270180
2021-06-30,60.24,61.47,59.97,60.32,184150
2021-07-01,59.92,61.66,59.87,61.52,208255
2021-07-02,61.87,62.67,61.49,62.4,239180
2021-07-06,62.56,64.43,62.13,63.24,255350
2021-07-07,63.61,64.0,62.55,63.4,328125
2021-07-08,61.79,64.51,61.75,64.51,559975
2021-07-09,65.23,65.49,64.01,64.7,352035
2021-07-12,64.88,65.36,64.37,64.76,270960
2021-07-13,65.17,65.79,64.29,64.52,674470
2021-07-14,64.61,64.75,62.51,62.92,1070345
2021-07-15,62.6,63.76,61.36,62.2,521385
2021-07-16,62.82,63.62,62.41,62.63,413730
2021-07-19,61.45,62.21,60.69,62.17,574075
2021-07-20,62.79,65.61,62.75,65.01,409385
2021-07-21,64.92,66.45,64.6,66.36,255260
2021-07-22,66.91,67.61,66.33,67.03,420405
2021-07-23,66.94,68.19,65.6,67.77,488560
2021-07-26,67.57,67.74,67.07,67.38,182455
2021-07-27,67.5,67.59,65.53,67.38,324660
2021-07-28,67.47,68.8,66.79,67.9,208630
2021-07-29,67.44,68.09,67.12,67.83,225050
2021-07-30,67.4,68.36,67.0,67.48,165175
2021-08-02,67.19,67.54,66.73,66.77,174300
2021-08-03,66.36,66.86,65.62,66.45,206835
2021-08-04,66.23,67.0,65.34,66.18,207070
2021-08-05,65.69,67.51,65.69,66.98,321840
2021-08-06,73.35,74.37,67.79,69.16,882200
2021-08-09,68.59,71.53,67.95,71.29,718025
2021-08-10,71.9,75.36,71.9,74.02,642965
2021-08-11,74.01,74.99,71.39,72.09,445025
2021-08-12,72.23,73.0,71.41,71.62,207190
2021-08-13,71.61,72.29,71.61,72.19,282315
2021-08-16,71.85,72.82,70.96,72.31,226445
2021-08-17,70.88,71.19,69.67,70.46,242030
2021-08-18,70.78,70.79,68.43,70.21,441725
2021-08-19,69.75,70.9,69.63,69.94,193050
2021-08-20,70.27,70.29,69.12,69.97,135645
2021-08-23,70.14,71.99,70.14,71.48,191160
2021-08-24,72.28,72.46,70.5,70.58,203880
2021-08-25,71.27,71.44,70.5,70.89,196050
2021-08-26,70.2,71.42,69.9,70.33,140395
2021-08-27,69.24,69.71,67.3,67.45,602285
2021-08-30,67.45,68.3,66.68,67.62,327015
2021-08-31,67.49,67.49,64.72,65.63,289770
2021-09-01,65.75,66.63,65.24,66.02,320365
2021-09-02,66.7,66.77,63.95,64.01,315755
2021-09-03,63.69,65.86,63.32,65.74,175555
2021-09-07,66.16,66.56,65.44,66.08,159665
2021-09-08,66.03,66.38,65.09,65.76,119805
2021-09-09,65.6,66.95,65.46,65.74,140505
2021-09-10,66.18,66.56,65.06,65.86,192745
2021-09-13,66.09,66.18,63.65,65.18,194480
2021-09-14,65.71,67.68,65.51,65.94,182820
2021-09-15,66.43,66.45,65.34,65.98,251740
2021-09-16,65.49,69.17,65.49,68.41,519230
2021-09-17,68.32,68.57,65.9,65.9,362445
2021-09-20,64.26,65.36,62.96,65.36,380170
2021-09-21,65.97,66.4,63.63,63.63,209690
2021-09-22,63.65,65.01,63.65,64.23,293200
2021-09-23,64.6,65.7,63.28,63.89,232670
2021-09-24,63.44,64.72,63.19,64.4,113650
2021-09-27,63.96,64.48,63.29,63.76,180205
2021-09-28,63.11,63.17,60.4,61.11,618820
2021-09-29,61.62,61.79,60.94,61.15,193620
2021-09-30,59.27,61.45,59.0,60.3,520835
2021-10-01,60.67,60.67,58.62,60.58,233985
2021-10-04,59.57,59.57,57.39,58.81,467450
2021-10-05,58.62,58.62,56.6,57.34,292490
2021-10-06,56.18,57.93,56.18,57.15,210715
2021-10-07,58.25,58.6,56.89,57.05,216015
2021-10-08,57.38,57.62,56.44,56.5,215140
2021-10-11,57.67,57.97,56.45,56.54,250630
2021-10-12,57.08,57.32,56.23,56.29,360175
2021-10-13,56.83,56.88,56.09,56.54,405145
2021-10-14,57.13,57.7,56.6,56.8,129345
2021-10-15,57.35,58.29,57.2,57.36,199535
2021-10-18,57.95,58.23,57.26,57.78,142930
2021-10-19,58.59,59.14,57.88,58.16,156700
2021-10-20,58.76,58.88,57.68,57.8,103305
2021-10-21,58.31,61.12,58.31,60.35,403295
2021-10-22,58.58,59.77,58.55,59.53,218685
2021-10-26,58.85,59.03,57.78,58.39,135010
2021-10-27,60.79,61.06,57.93,58.31,643775
2021-10-28,58.75,59.93,58.18,59.56,162650
2021-10-29,59.51,61.6,59.51,60.6,285980
2021-11-01,60.59,61.83,60.0,60.35,287380
2021-11-02,60.37,60.84,59.83,60.0,365375
2021-11-03,60.11,61.14,59.87,60.29,224130
2021-11-04,60.1,60.39,59.05,60.18,319910
2021-11-05,57.91,61.4,55.07,59.56,928775
2021-11-08,58.99,59.72,58.22,58.56,305085
2021-11-09,58.93,60.12,58.73,59.2,301260
2021-11-10,58.72,59.01,56.93,57.39,440750
2021-11-11,56.87,57.31,55.9,57.28,272075
2021-11-12,57.77,58.96,57.18,58.96,399070
2021-11-15,59.26,60.4,59.26,59.67,385805
2021-11-16,59.58,60.24,59.19,60.17,269750
2021-11-17,60.55,60.55,58.45,58.46,433475
2021-11-18,57.61,58.42,56.52,57.77,220570
2021-11-19,57.92,58.62,57.11,58.4,102760
2021-11-22,58.58,58.58,56.07,57.0,268725
2021-11-23,56.15,57.09,55.27,56.4,425665
2021-11-24,55.68,58.19,55.37,58.07,386455
2021-11-26,58.19,59.19,57.67,58.21,282815
2021-11-29,58.77,59.11,58.03,58.4,442560
2021-11-30,58.53,58.53,55.56,56.05,1234650
2021-12-01,56.8,57.03,53.15,53.24,1124645
2021-12-02,52.94,54.04,51.64,53.12,1151390
2021-12-03,53.61,53.61,49.12,52.3,1445095
2021-12-06,52.35,53.49,51.13,52.68,616925
2021-12-07,53.4,53.8,52.37,52.76,262730
2021-12-08,53.06,53.88,52.41,53.55,198160
2021-12-09,53.25,54.06,53.16,53.65,556635
2021-12-10,54.05,54.46,52.7,54.18,272890
2021-12-13,54.3,54.71,52.31,52.8,641115
2021-12-14,51.1,51.51,48.07,48.34,908800
2021-12-15,47.8,47.88,43.18,45.33,1493935
2021-12-16,45.41,45.78,39.49,40.84,3117330
2021-12-17,40.21,45.0,38.94,44.54,1870270
2021-12-20,43.9,43.9,41.01,41.14,996080
2021-12-21,42.0,45.43,41.51,45.43,817050
2021-12-22,45.28,47.56,45.21,47.56,1354460
2021-12-23,47.63,49.16,47.34,48.16,497195
2021-12-27,48.35,48.35,46.24,46.44,305155
2021-12-28,46.37,47.36,46.33,46.72,184195
2021-12-29,46.78,46.79,44.96,44.98,430215
2021-12-30,45.04,47.51,45.04,46.58,455275
2021-12-31,46.43,46.72,45.16,46.36,527415
2022-01-03,46.84,47.92,45.84,47.92,299300
2022-01-04,47.8,48.08,41.83,44.19,1086925
2022-01-05,43.47,43.6,39.53,39.63,834535
2022-01-06,39.13,40.44,36.88,38.28,1626240
2022-01-07,38.0,39.13,36.95,36.95,676875
2022-01-10,35.77,36.73,34.4,36.71,1635340
2022-01-11,35.78,38.6,35.78,37.21,986460
