date,open,high,low,close,volume
2020-07-27,62.1,62.6,61.44,61.84,88944
2020-07-28,61.83,63.61,61.83,63.24,179982
2020-07-29,63.3,63.72,62.94,63.46,148513
2020-07-30,62.85,63.19,62.4,62.86,135759
2020-07-31,62.7,63.33,61.63,62.49,157220
2020-08-03,62.13,62.13,61.3,61.97,74747
2020-08-04,61.82,62.61,61.79,62.36,189788
2020-08-05,62.25,62.26,60.88,61.46,96061
2020-08-06,61.16,61.54,60.89,61.33,78536
2020-08-07,61.21,62.52,61.15,62.13,218059
2020-08-10,62.17,62.34,61.61,61.81,120956
2020-08-11,61.76,62.07,60.51,60.56,83650
2020-08-12,60.79,62.07,60.65,61.37,163237
2020-08-13,60.82,61.32,60.79,61.16,72239
2020-08-14,60.9,61.22,60.63,60.78,42668
2020-08-17,60.35,61.15,60.23,60.68,105559
2020-08-18,60.51,60.91,59.98,60.25,113708
2020-08-19,60.19,60.48,60.0,60.07,64300
2020-08-20,59.94,60.36,59.77,59.93,53361
2020-08-21,59.82,60.75,59.67,60.66,175586
2020-08-24,60.61,60.98,60.23,60.91,56167
2020-08-25,60.8,60.98,60.29,60.53,63507
2020-08-26,60.3,60.54,59.83,60.21,74353
2020-08-27,60.48,60.81,60.04,60.14,76992
2020-08-28,60.11,60.27,59.67,60.18,129031
2020-08-31,60.11,60.91,60.11,60.53,53980
2020-09-01,60.14,60.38,59.74,60.0,147523
2020-09-02,60.15,61.78,60.14,61.41,106034
2020-09-03,61.49,62.22,61.15,61.65,328518
2020-09-04,61.85,61.89,60.62,61.26,96695
2020-09-08,61.09,61.41,60.34,61.04,61130
2020-09-09,61.55,62.9,61.55,62.18,71629
2020-09-10,61.77,62.19,61.07,61.42,104288
2020-09-11,61.47,62.41,61.41,62.14,154698
2020-09-14,62.63,63.31,62.4,63.05,146226
2020-09-15,63.39,64.3,62.85,63.13,116637
2020-09-16,63.25,64.07,63.06,63.68,93341
2020-09-17,63.24,63.99,61.99,62.31,100417
2020-09-18,62.11,62.48,60.68,60.82,239318
2020-09-21,60.61,61.04,60.04,60.85,76800
2020-09-22,60.96,61.72,60.33,60.5,208872
2020-09-23,60.55,60.55,59.46,59.51,215958
2020-09-24,59.46,60.07,58.78,59.55,83562
2020-09-25,59.29,60.14,59.17,60.11,63037
2020-09-28,60.34,61.17,60.13,60.21,60894
2020-09-29,60.98,61.53,60.51,60.77,93894
2020-09-30,61.17,61.81,60.97,61.65,131949
2020-10-01,61.59,61.94,60.86,61.33,574786
2020-10-02,61.22,62.84,61.17,62.3,176286
2020-10-05,62.23,62.95,61.85,62.49,157651
2020-10-06,62.63,63.8,62.38,63.3,264691
2020-10-07,63.45,63.57,62.77,63.25,117022
2020-10-08,63.37,64.71,63.37,64.01,156483
2020-10-09,64.18,64.48,63.51,63.81,131381
2020-10-12,63.81,64.76,63.81,64.3,201838
2020-10-13,63.91,64.01,62.9,63.65,216170
2020-10-14,63.87,63.96,63.09,63.25,122652
2020-10-15,62.68,63.42,62.31,63.05,188809
2020-10-16,63.24,64.15,63.24,63.56,171271
2020-10-19,63.69,63.96,62.95,63.13,149767
2020-10-20,63.45,63.86,63.11,63.29,133698
2020-10-21,63.28,63.42,62.54,62.6,180295
2020-10-22,62.57,63.43,62.52,63.35,189777
2020-10-23,63.7,63.87,62.83,63.3,114999
2020-10-26,62.84,64.06,62.8,63.69,207768
2020-10-27,63.67,64.98,63.52,64.33,254754
2020-10-28,63.28,63.97,62.18,62.27,150362
2020-10-29,62.17,64.31,61.8,63.27,398510
2020-10-30,63.01,63.48,62.07,62.71,169183
2020-11-02,63.04,64.07,62.84,63.67,198387
2020-11-03,64.57,65.74,64.15,64.71,250352
2020-11-04,64.76,66.39,64.48,64.59,204418
2020-11-05,64.37,65.97,64.16,64.89,258479
2020-11-06,64.98,66.32,64.98,65.29,237126
2020-11-09,66.46,67.81,65.48,65.52,275793
2020-11-10,65.93,67.09,65.68,66.82,244442
2020-11-11,67.16,67.75,66.51,66.86,129284
2020-11-12,66.41,66.78,65.4,66.01,223801
2020-11-13,66.41,66.84,66.13,66.28,130478
2020-11-16,67.0,67.28,66.41,67.17,160811
2020-11-17,66.53,67.17,65.63,65.66,146634
2020-11-18,65.88,65.88,63.23,63.31,346080
2020-11-19,63.13,63.16,62.01,62.24,356757
2020-11-20,62.33,62.84,61.29,61.35,334823
2020-11-23,61.49,62.06,61.16,61.71,320976
2020-11-24,62.15,62.39,61.77,61.95,389651
2020-11-25,62.15,62.52,61.14,61.96,210881
2020-11-27,61.99,62.03,61.16,61.64,185075
2020-11-30,61.64,62.26,61.18,61.21,669669
2020-12-01,61.77,63.25,61.76,62.56,287827
2020-12-02,62.48,62.93,61.98,62.61,175394
2020-12-03,62.32,62.35,61.54,61.63,150022
2020-12-04,61.72,61.9,59.65,59.65,263834
2020-12-07,59.47,60.05,59.28,59.87,273248
2020-12-08,59.42,59.46,58.68,58.79,308777
2020-12-09,58.76,58.83,57.56,58.43,333720
2020-12-10,58.95,59.19,58.18,58.47,211588
2020-12-11,58.21,59.0,58.21,58.89,173038
2020-12-14,59.13,59.38,58.5,58.59,190021
2020-12-15,59.02,59.51,58.65,59.34,124035
2020-12-16,59.92,60.37,59.11,59.11,225128
2020-12-17,59.81,60.31,59.56,59.71,158100
2020-12-18,59.55,59.9,59.05,59.36,428787
2020-12-21,58.74,58.78,58.08,58.58,211277
2020-12-22,58.49,58.57,57.72,57.8,255084
2020-12-23,58.17,58.87,58.17,58.23,138851
2020-12-24,58.35,58.42,57.84,58.37,55207
2020-12-28,58.65,58.72,57.82,57.96,155584
2020-12-29,58.15,58.55,57.81,58.09,138702
2020-12-30,57.98,58.46,57.97,58.23,62618
2020-12-31,58.24,59.2,58.13,59.17,56935
2021-01-04,58.87,58.9,57.78,58.09,85012
2021-01-05,58.34,58.34,57.15,57.44,116773
2021-01-06,57.66,59.34,57.4,58.65,175750
2021-01-07,58.69,58.8,57.42,57.42,172965
2021-01-08,57.62,57.66,57.14,57.59,101313
2021-01-11,57.45,57.71,56.67,57.17,100457
2021-01-12,57.32,57.33,55.7,56.26,147165
2021-01-13,56.4,57.06,56.07,56.83,171636
2021-01-14,56.86,56.86,55.84,55.84,157629
