date,open,high,low,close,volume
2020-07-27,25.08,25.31,24.56,24.68,215485
2020-07-28,24.54,25.44,24.54,25.11,223657
2020-07-29,25.17,25.3,24.58,24.86,129671
2020-07-30,24.36,24.55,24.02,24.12,217171
2020-07-31,23.94,24.18,23.65,24.16,250399
2020-08-03,24.02,24.65,23.62,24.4,166474
2020-08-04,24.61,25.34,24.51,24.84,181394
2020-08-05,25.25,26.15,24.92,25.66,275339
2020-08-06,25.92,26.38,25.29,26.2,360319
2020-08-07,25.83,26.31,25.63,26.3,205965
2020-08-10,26.61,28.45,26.49,28.39,320427
2020-08-11,29.8,29.8,28.5,28.66,308235
2020-08-12,29.03,29.3,27.45,28.14,151803
2020-08-13,27.64,28.61,27.58,27.77,165611
2020-08-14,27.43,28.24,27.33,28.02,139315
2020-08-17,27.97,28.03,26.87,27.09,126151
2020-08-18,27.06,27.36,26.51,26.73,163688
2020-08-19,26.87,28.16,26.66,26.77,149962
2020-08-20,26.51,26.87,26.15,26.73,109012
2020-08-21,26.65,26.96,26.31,26.39,75538
2020-08-24,26.72,28.84,26.66,28.83,262622
2020-08-25,28.98,29.3,28.38,29.16,325470
2020-08-26,29.02,29.24,28.68,28.93,200771
2020-08-27,29.69,31.16,29.63,29.82,259390
2020-08-28,30.12,30.95,29.74,30.95,209253
2020-08-31,30.8,30.97,29.83,29.9,175531
2020-09-01,28.9,30.58,28.86,29.75,197293
2020-09-02,29.44,30.28,29.21,30.14,246060
2020-09-03,30.62,31.46,29.5,30.27,491213
2020-09-04,30.74,31.32,29.64,30.74,207614
2020-09-08,30.5,32.02,30.42,31.55,233573
2020-09-09,31.06,31.34,30.31,30.71,298461
2020-09-10,31.24,31.62,30.65,30.82,128753
2020-09-11,30.78,31.07,30.34,30.68,184240
2020-09-14,31.21,31.83,31.0,31.81,129427
2020-09-15,32.05,33.36,32.05,32.43,406858
2020-09-16,32.6,33.85,32.12,33.46,280387
2020-09-17,32.92,33.91,32.57,32.85,262409
2020-09-18,32.16,32.92,31.52,31.78,239988
2020-09-21,29.86,30.1,28.47,28.86,346014
2020-09-22,28.81,29.54,28.76,29.21,209690
2020-09-23,29.48,30.03,28.55,28.61,151828
2020-09-24,28.0,28.55,27.08,28.1,204187
2020-09-25,27.99,28.8,27.91,28.8,312116
2020-09-28,29.66,30.92,29.18,30.28,284579
2020-09-29,30.05,30.07,29.32,29.63,197782
2020-09-30,29.99,30.81,29.51,29.63,178893
2020-10-01,29.9,30.31,29.59,30.08,349368
2020-10-02,28.79,31.25,28.71,30.72,593159
2020-10-05,31.29,31.37,30.52,30.98,270554
2020-10-06,31.56,31.63,29.94,30.06,481870
2020-10-07,31.17,31.29,30.62,31.12,236300
2020-10-08,31.59,31.93,30.89,31.62,522368
2020-10-09,31.69,32.19,31.25,31.77,517207
2020-10-12,31.62,31.73,31.27,31.56,289500
2020-10-13,30.99,31.34,30.47,30.76,914088
2020-10-14,30.74,31.27,30.63,30.74,591566
2020-10-15,30.33,30.43,29.72,30.32,413662
2020-10-16,30.39,30.72,30.24,30.46,385958
2020-10-19,30.7,31.22,30.3,30.49,364104
2020-10-20,30.92,31.35,30.58,30.96,361737
2020-10-21,30.85,30.9,30.36,30.49,401647
2020-10-22,30.76,32.71,30.76,32.64,562747
2020-10-23,32.52,32.93,31.84,32.91,330480
2020-10-26,32.41,32.41,30.51,30.9,416250
2020-10-27,30.71,31.02,29.71,29.72,289999
2020-10-28,28.76,29.18,27.82,28.65,898832
2020-10-29,28.48,29.91,28.42,29.79,636419
2020-10-30,29.51,29.99,29.02,29.65,373203
2020-11-02,29.59,29.63,28.71,29.23,292511
2020-11-03,29.91,30.35,29.66,29.94,351656
2020-11-04,29.91,30.29,29.16,29.45,444698
2020-11-05,29.84,31.21,29.8,30.93,281268
2020-11-06,30.64,30.81,30.05,30.42,288449
2020-11-09,36.19,37.42,33.56,35.54,1273287
2020-11-10,34.93,35.94,34.54,35.85,573178
2020-11-11,35.46,35.58,33.63,33.88,453608
2020-11-12,32.96,34.39,32.92,33.22,767281
2020-11-13,33.8,35.49,33.73,35.31,498404
2020-11-16,37.19,37.4,36.04,36.77,531394
