date,open,high,low,close,volume
2020-12-09,183.23,195.47,173.285,189.8,912790
2020-12-10,178.875,186.93,173.125,186.02,217289
2020-12-11,176.88,181.94,168.9,174.75,248847
2020-12-14,169.54,169.77,151.34,160.0,446950
2020-12-15,157.11,161.2,153.8,159.075,312052
2020-12-16,161.32,167.415,157.34,157.98,176547
2020-12-17,160.14,161.51,150.01,154.25,342735
2020-12-18,153.26,169.8,147.4,167.76,234382
2020-12-21,168.405,173.07,155.01,159.67,245950
2020-12-22,160.195,162.865,153.54,156.395,167484
2020-12-23,154.61,161.15,150.53,158.01,142893
2020-12-24,157.6,158.01,153.26,158.01,46877
2020-12-28,158.38,158.38,141.525,147.68,210344
2020-12-29,146.115,147.325,139.695,140.99,236595
2020-12-30,144.125,147.98,139.87,140.0,337485
2020-12-31,140.42,146.175,135.52,142.53,132625
2021-01-04,142.375,143.44,137.18,139.02,147852
2021-01-05,139.1,146.09,139.1,144.31,60266
2021-01-06,140.99,141.055,138.4,140.075,146450
2021-01-07,140.38,154.38,139.46,152.905,275348
2021-01-08,151.685,158.2,147.495,156.8,132942
2021-01-11,153.95,168.825,153.79,166.735,124083
2021-01-12,165.48,201.245,162.825,191.81,317952
2021-01-13,192.49,215.34,188.15,198.02,234176
2021-01-14,195.61,221.05,195.61,207.36,172741
2021-01-15,206.855,212.08,186.98,186.995,226322
2021-01-19,190.5,202.125,185.72,198.96,293496
2021-01-20,201.12,203.6,189.08,189.655,174986
2021-01-21,191.58,195.15,183.49,190.33,180743
2021-01-22,189.605,194.845,187.7,191.81,113861
2021-01-25,193.935,215.215,191.33,191.33,226994
2021-01-26,197.92,204.14,197.04,197.84,120517
2021-01-27,199.1,256.09,190.515,192.765,393594
2021-01-28,200.755,200.755,183.49,183.5,84216
2021-01-29,190.0,194.99,183.48,194.03,106721
2021-02-01,195.36,202.785,188.06,191.28,42730
2021-02-02,193.48,197.59,181.66,182.13,68878
2021-02-03,185.08,186.21,178.725,180.47,55054
2021-02-04,181.8,191.195,180.915,189.33,39167
2021-02-05,190.625,190.625,180.48,181.14,44905
2021-02-08,183.77,185.185,174.22,177.26,65310
2021-02-09,178.9,192.095,178.9,187.5,85655
2021-02-10,190.5,215.44,190.38,215.155,287680
2021-02-11,209.045,221.97,208.98,213.57,95843
2021-02-12,213.54,213.54,202.56,202.92,48196
2021-02-16,205.11,226.02,205.11,212.79,99250
2021-02-17,212.68,212.68,194.5,198.02,91214
2021-02-18,195.905,201.32,189.02,199.44,92475
2021-02-19,200.63,208.99,199.66,205.36,72028
2021-02-22,195.03,201.565,177.0,178.055,153760
2021-02-23,176.01,185.2,165.55,173.38,216780
2021-02-24,177.69,179.865,173.855,176.14,145171
2021-02-25,175.07,182.53,164.03,166.7,265557
2021-02-26,156.22,172.76,155.61,169.54,1235260
2021-03-01,170.0,173.455,164.725,168.45,488792
2021-03-02,167.69,170.505,155.24,160.62,454886
2021-03-03,156.135,161.005,144.62,148.52,307415
2021-03-04,147.5,152.285,139.15,150.08,316019
2021-03-05,150.57,158.29,138.8,151.2,509514
2021-03-08,146.21,150.0,130.03,133.49,990566
2021-03-09,132.87,147.09,130.0,141.66,2346311
2021-03-10,143.5,147.59,134.12,135.86,314355
2021-03-11,140.04,147.55,139.76,144.74,330682
2021-03-12,139.27,145.37,137.13,141.95,210750
2021-03-15,143.91,143.91,138.07,140.36,146142
2021-03-16,141.05,141.485,133.23,133.76,147809
2021-03-17,131.83,136.08,127.72,133.99,253681
2021-03-18,131.35,134.64,129.7,130.85,220781
2021-03-19,131.08,136.52,127.31,134.78,143566
2021-03-22,136.435,139.45,133.62,135.89,111994
2021-03-23,136.22,139.74,131.41,131.71,102171
2021-03-24,131.62,131.62,125.09,125.53,140140
2021-03-25,124.22,132.72,121.19,131.78,239762
2021-03-26,131.33,136.82,129.57,134.2,113464
2021-03-29,134.69,138.52,129.78,129.91,142989
2021-03-30,127.06,131.76,126.25,130.66,120720
2021-03-31,131.51,132.605,127.685,131.39,237897
2021-04-01,135.595,140.8,131.0,133.1,139601
2021-04-05,133.28,134.405,130.63,133.25,75525
2021-04-06,131.765,135.5,130.58,131.21,111739
2021-04-07,131.25,132.21,127.33,127.6,107360
2021-04-08,128.81,130.44,126.175,127.92,198444
2021-04-09,126.745,140.85,122.605,140.48,752797
2021-04-12,138.3,149.0,136.28,147.83,780826
2021-04-13,146.3,150.36,144.75,149.43,74512
2021-04-14,150.38,153.245,143.165,143.63,287511
2021-04-15,145.27,154.84,145.18,151.5,184661
2021-04-16,150.84,150.84,148.43,149.49,76495
2021-04-20,146.15,148.73,142.42,144.16,91711
2021-04-21,143.14,143.49,139.28,143.24,90273
2021-04-22,144.45,149.49,142.28,143.82,73598
2021-04-23,144.905,153.08,144.11,152.71,273425
2021-04-26,153.5,157.19,150.66,153.79,178589
2021-04-27,155.995,164.66,155.39,162.21,376142
2021-04-28,158.68,167.23,158.68,162.48,200670
2021-04-29,162.97,163.66,144.25,149.98,337849
2021-04-30,148.4,150.49,142.15,143.31,94658
2021-05-03,142.225,146.22,139.71,140.405,92995
2021-05-04,136.06,137.11,129.61,135.005,193053
2021-05-05,134.405,134.6,124.97,128.19,216154
2021-05-06,127.26,130.86,120.1,122.41,182620
2021-05-07,125.44,129.41,122.65,125.17,111177
2021-05-10,124.9,125.09,118.76,120.445,164922
2021-05-11,115.91,125.46,115.22,124.47,259593
2021-05-12,119.35,120.0,112.11,112.975,318843
2021-05-13,114.5,118.655,110.195,115.68,433471
2021-05-14,124.875,146.6,123.84,141.1,711407
2021-05-17,138.56,140.33,131.2,133.75,229803
2021-05-18,135.13,143.75,133.23,138.54,640019
2021-05-19,130.62,140.62,130.41,140.2,311123
2021-05-20,135.195,138.02,133.44,137.01,408121
2021-05-21,136.165,138.785,135.68,137.55,175128
2021-05-24,138.81,143.28,137.37,140.52,169594
2021-05-25,140.37,141.31,135.68,136.09,122465
2021-05-26,138.78,145.16,137.165,141.85,164019
2021-05-27,142.525,155.41,140.74,152.99,218910
2021-05-28,151.41,154.075,149.66,150.25,86322
2021-06-01,152.33,154.94,147.42,149.23,129019
2021-06-02,148.89,153.18,146.53,149.885,133548
2021-06-03,149.265,149.54,138.33,139.26,200421
2021-06-04,140.08,147.065,140.08,143.7,101759
2021-06-07,145.94,154.015,134.28,142.47,552931
2021-06-08,140.08,142.74,135.89,136.75,211589
2021-06-09,137.89,141.24,135.68,137.08,107351
2021-06-10,136.95,145.22,136.15,144.85,113419
2021-06-11,145.31,154.26,145.31,154.21,244591
2021-06-14,155.74,160.0,154.71,158.74,329698
2021-06-15,158.37,160.035,155.6,158.595,158065
2021-06-16,157.665,163.99,157.49,161.72,328328
2021-06-17,159.79,165.0,158.81,164.56,347360
2021-06-18,165.36,174.56,164.345,167.295,419924
2021-06-21,167.41,177.45,163.81,173.23,328449
2021-06-22,174.15,178.96,172.68,178.96,146265
2021-06-23,176.84,176.98,169.5,174.25,215734
2021-06-24,176.62,180.67,175.07,175.07,209163
2021-06-25,175.28,180.86,174.42,176.89,146489
2021-06-28,181.1,181.1,175.21,175.89,174510
2021-06-29,176.92,184.25,175.51,184.07,492601
2021-06-30,180.59,183.75,174.58,178.275,387833
2021-07-01,178.62,182.65,177.37,180.59,253402
2021-07-02,181.41,184.7,181.11,182.82,234446
2021-07-06,182.505,183.88,178.28,182.63,112360
2021-07-07,183.75,185.69,180.21,185.08,127525
2021-07-08,175.0,180.91,174.665,178.425,223773
2021-07-09,179.925,181.65,176.54,180.15,139286
2021-07-12,182.83,182.83,176.45,177.07,60266
2021-07-13,177.145,179.04,175.25,176.34,78061
2021-07-14,176.95,176.95,169.21,169.31,121487
2021-07-15,166.77,174.46,164.28,167.36,131141
2021-07-16,167.62,169.8,164.69,167.3,81953
2021-07-19,163.44,176.92,163.25,175.69,159270
2021-07-20,175.755,179.8,173.75,177.495,99756
2021-07-21,177.7,179.31,175.77,178.94,93267
2021-07-22,180.85,184.195,178.16,182.75,67862
2021-07-23,181.79,188.57,180.71,188.55,137562
2021-07-26,186.17,188.16,182.64,184.0,81381
2021-07-27,183.12,183.62,174.21,179.9,122065
2021-07-28,182.77,187.32,181.445,186.9,115935
2021-07-29,185.135,185.135,177.94,177.94,160676
2021-07-30,173.41,176.64,173.41,174.285,99786
2021-08-02,176.155,179.44,170.02,177.72,125346
2021-08-03,177.225,180.44,175.94,177.13,64072
2021-08-04,175.645,180.41,175.645,178.55,84660
2021-08-05,178.25,186.01,178.25,181.005,142157
2021-08-06,182.43,182.915,178.95,181.35,70482
2021-08-09,182.355,186.07,180.13,182.93,95547
2021-08-10,186.64,194.22,186.5,190.11,280173
2021-08-11,189.66,191.42,187.56,189.93,179597
