date,open,high,low,close,volume
2020-07-27,20.33,20.8,20.18,20.65,79600
2020-07-28,20.5,20.6,20.15,20.15,161650
2020-07-29,20.1,20.76,20.09,20.73,179647
2020-07-30,20.12,20.37,19.57,20.17,228781
2020-07-31,20.26,20.62,19.86,20.07,93854
2020-08-03,19.98,20.0,19.67,19.68,120258
2020-08-04,19.66,20.07,19.56,19.94,75070
2020-08-05,20.21,20.77,20.19,20.54,157981
2020-08-06,20.7,20.7,20.41,20.53,170110
2020-08-07,20.44,20.96,20.21,20.95,76422
2020-08-10,21.08,21.68,21.08,21.64,114979
2020-08-11,22.28,22.44,21.46,21.49,140003
2020-08-12,22.05,22.32,21.88,21.89,101918
2020-08-13,21.66,21.92,21.58,21.77,66905
2020-08-14,21.52,21.97,21.48,21.82,51601
2020-08-17,21.89,21.93,21.54,21.56,98206
2020-08-18,21.66,21.73,21.36,21.38,76306
2020-08-19,21.32,21.45,21.07,21.13,81514
2020-08-20,20.77,21.13,20.75,21.05,33201
2020-08-21,20.92,21.07,20.65,20.69,70930
2020-08-24,20.85,21.36,20.68,21.34,166657
2020-08-25,21.45,21.63,21.03,21.09,59090
2020-08-26,20.96,21.44,20.96,21.35,58961
2020-08-27,21.34,21.56,21.07,21.24,136941
2020-08-28,21.21,21.45,21.12,21.45,77658
2020-08-31,21.28,21.29,20.91,20.96,78687
2020-09-01,20.75,21.49,20.62,21.49,165377
2020-09-02,21.56,22.63,21.51,22.57,294180
2020-09-03,22.47,22.67,21.55,21.8,123597
2020-09-04,22.06,22.15,21.77,22.04,112886
2020-09-08,21.66,21.7,21.24,21.31,125031
2020-09-09,21.65,21.93,21.51,21.73,64331
2020-09-10,21.78,21.97,21.61,21.68,82836
2020-09-11,21.78,22.16,21.63,21.97,49334
2020-09-14,22.26,22.53,22.13,22.35,28270
2020-09-15,22.29,22.49,22.23,22.34,54100
2020-09-16,22.32,22.88,22.22,22.57,104880
2020-09-17,22.19,22.85,22.15,22.8,140540
2020-09-18,22.68,22.68,22.01,22.24,81871
2020-09-21,21.57,21.62,20.96,21.07,132032
2020-09-22,21.07,21.11,20.78,20.92,100213
2020-09-23,20.88,21.05,20.38,20.39,36255
2020-09-24,20.31,20.63,20.11,20.38,124689
2020-09-25,20.14,20.71,20.14,20.64,43533
2020-09-28,21.05,21.48,20.99,21.18,112852
2020-09-29,21.2,21.27,20.65,20.69,121874
2020-09-30,20.92,21.13,20.66,20.82,113281
2020-10-01,20.98,21.12,20.42,20.46,280709
2020-10-02,20.13,20.84,20.11,20.54,309521
2020-10-05,20.87,21.19,20.86,21.02,306970
2020-10-06,21.25,21.61,21.02,21.08,378793
2020-10-07,21.19,21.82,21.19,21.64,269816
2020-10-08,21.84,22.24,21.81,22.24,290517
2020-10-09,22.48,22.54,22.21,22.26,143516
2020-10-12,22.28,22.28,21.88,21.93,148528
2020-10-13,21.69,22.04,21.58,21.88,202532
2020-10-14,21.85,22.27,21.64,22.05,157052
2020-10-15,21.7,22.3,21.7,22.24,151102
2020-10-16,22.35,22.46,22.12,22.21,123417
2020-10-19,22.37,22.58,21.84,21.93,153716
2020-10-20,22.05,22.55,22.0,22.33,367640
2020-10-21,22.23,22.53,21.98,22.02,181575
2020-10-22,22.05,22.36,21.85,22.3,175765
2020-10-23,22.53,22.53,22.23,22.44,74442
2020-10-26,22.11,22.11,21.7,21.94,211348
2020-10-27,21.81,21.9,21.45,21.51,221632
2020-10-28,20.92,21.33,20.88,20.99,393381
2020-10-29,20.78,22.02,20.72,21.73,374770
2020-10-30,21.68,21.79,21.09,21.35,445550
2020-11-02,21.72,22.15,21.44,22.04,231097
2020-11-03,22.33,22.56,22.15,22.38,245965
2020-11-04,22.11,22.41,21.78,21.83,198833
2020-11-05,22.18,22.88,22.07,22.59,185249
2020-11-06,22.6,22.76,22.31,22.37,93971
2020-11-09,23.26,24.25,23.08,23.13,447785
2020-11-10,23.22,23.57,23.03,23.15,280958
2020-11-11,23.19,23.26,22.46,22.62,142129
2020-11-12,22.52,22.93,22.29,22.51,112763
2020-11-13,22.69,23.22,22.69,23.12,120726
2020-11-16,23.61,23.78,23.31,23.77,232195
2020-11-17,23.52,23.84,23.21,23.69,115330
2020-11-18,23.77,24.12,23.32,23.32,203829
2020-11-19,23.16,23.44,23.0,23.3,94867
2020-11-20,23.22,23.54,23.16,23.47,131539
2020-11-23,23.67,24.0,23.64,23.87,221223
2020-11-24,24.21,24.88,24.12,24.71,221741
2020-11-25,24.36,24.43,24.16,24.35,153111
2020-11-27,24.41,24.64,24.21,24.33,70168
2020-11-30,24.11,24.25,23.76,23.92,150298
2020-12-01,24.36,24.59,23.87,23.96,260007
2020-12-02,23.91,24.21,23.86,24.09,99991
2020-12-03,24.09,24.47,24.06,24.19,152327
2020-12-04,24.36,24.94,24.33,24.88,225662
2020-12-07,24.79,24.95,24.53,24.68,90879
2020-12-08,24.59,25.31,24.59,25.19,170897
2020-12-09,25.31,25.54,25.09,25.46,216611
2020-12-10,25.21,25.25,25.02,25.11,159031
