date,open,high,low,close,volume
2020-07-27,86.31,88.485,85.675,87.715,41668
2020-07-28,87.865,89.53,87.14,88.2,31860
2020-07-29,88.88,90.79,87.515,90.12,36067
2020-07-30,90.915,94.03,90.915,92.815,81947
2020-07-31,93.02,94.12,91.5,93.76,62565
2020-08-03,95.875,96.54,93.69,95.63,113765
2020-08-04,95.885,95.885,92.27,94.22,73607
2020-08-05,94.335,95.34,91.745,94.35,117033
2020-08-06,92.84,93.13,87.355,89.81,231674
2020-08-07,82.68,83.575,74.13,75.22,1026023
2020-08-10,77.67,78.76,72.69,76.345,262801
2020-08-11,75.43,78.64,75.055,75.65,212108
2020-08-12,77.0,78.46,76.01,76.59,90496
2020-08-13,77.25,84.535,77.04,82.32,339404
2020-08-14,83.335,83.94,79.895,81.14,74872
2020-08-17,81.755,83.745,81.38,83.33,61285
2020-08-18,82.94,83.88,81.62,83.42,139136
2020-08-19,82.66,83.55,81.45,82.495,44913
2020-08-20,82.01,86.59,82.01,85.88,120803
2020-08-21,85.8,86.63,85.02,86.07,112488
2020-08-24,87.01,87.22,82.365,84.045,71053
2020-08-25,83.61,84.72,82.365,83.82,60047
2020-08-26,85.53,89.435,85.27,86.26,185378
2020-08-27,86.37,86.37,82.06,83.53,111075
2020-08-28,82.83,86.21,81.67,82.97,196519
2020-08-31,83.4,83.72,81.6,83.59,108851
2020-09-01,83.46,87.48,82.53,85.57,145666
2020-09-02,87.92,87.92,81.83,83.99,114776
2020-09-03,81.33,81.65,76.445,80.17,271194
2020-09-04,78.47,80.355,75.56,79.51,176830
2020-09-08,76.88,81.4,76.49,79.855,76859
2020-09-09,81.54,83.355,79.58,81.94,106343
2020-09-10,82.53,84.55,80.32,80.69,64877
2020-09-11,81.43,83.18,78.66,80.39,156350
2020-09-14,81.62,84.8,80.41,84.485,309033
2020-09-15,85.43,89.3,85.245,88.625,181319
2020-09-16,88.4,92.7,88.4,89.45,203334
2020-09-17,85.49,88.22,85.49,87.35,250950
2020-09-18,88.39,88.59,84.54,85.67,215853
2020-09-21,83.64,88.69,80.355,88.12,176844
2020-09-22,88.95,93.47,85.985,93.47,262527
2020-09-23,91.93,94.82,90.68,91.1,297185
2020-09-24,88.99,90.73,87.415,88.37,83152
2020-09-25,88.985,90.86,87.78,90.535,62023
2020-09-28,91.64,95.245,91.5,92.21,139801
2020-09-29,91.77,93.49,90.41,90.84,40023
2020-09-30,90.56,107.93,89.49,102.32,750764
2020-10-01,101.285,105.4,98.64,103.57,445153
2020-10-02,101.245,108.2,101.245,103.56,220047
2020-10-05,104.82,108.05,103.77,106.85,138933
2020-10-06,106.66,109.49,102.46,104.01,186262
2020-10-07,105.375,109.16,104.42,104.42,165700
2020-10-08,105.17,105.645,101.83,102.66,154515
2020-10-09,104.11,114.5,103.55,111.81,487338
2020-10-12,112.14,113.6,108.86,112.19,187925
2020-10-13,112.7,118.1,112.65,116.84,166028
2020-10-14,117.53,117.53,112.3,113.39,113430
2020-10-15,107.16,114.07,105.0,113.38,99176
2020-10-16,115.24,116.32,111.78,112.3,85053
2020-10-19,112.25,113.43,110.45,111.61,110556
2020-10-20,112.03,112.24,107.795,108.67,125651
2020-10-21,109.77,110.11,100.06,102.13,346001
2020-10-22,102.17,103.63,98.66,98.96,154977
2020-10-23,99.505,102.89,97.44,102.11,148333
2020-10-26,100.745,104.4,96.11,99.67,185886
2020-10-27,101.24,103.9,100.79,101.395,72992
2020-10-28,99.255,99.44,96.61,96.93,87990
2020-10-29,98.07,98.11,95.24,96.41,101030
2020-10-30,94.76,95.05,90.54,90.86,176895
2020-11-02,90.9,91.48,86.67,88.48,229196
2020-11-03,88.22,90.76,86.54,90.1,163703
2020-11-04,96.84,99.95,95.54,97.635,206631
2020-11-05,102.065,103.89,99.73,101.99,157227
2020-11-06,102.125,102.49,99.08,100.45,164051
2020-11-09,98.69,100.9,93.1,94.905,203555
2020-11-10,94.95,95.94,88.62,92.58,275377
2020-11-11,85.53,87.085,79.81,86.81,1291702
2020-11-12,88.13,90.23,87.14,89.99,294613
2020-11-13,87.78,88.485,83.91,85.82,379317
2020-11-16,83.41,87.38,82.42,86.3,195975
2020-11-17,87.28,88.9,85.71,88.08,155569
2020-11-18,88.815,88.98,85.785,87.31,112260
2020-11-19,87.3,91.95,87.28,88.86,171971
2020-11-20,89.72,91.19,89.08,89.16,146167
2020-11-23,89.65,91.64,88.34,91.18,125976
2020-11-24,90.615,90.615,87.38,89.155,113406
2020-11-25,89.4,93.92,88.98,93.48,108228
2020-11-27,94.72,96.8,94.24,96.32,76447
2020-11-30,97.125,99.565,94.245,98.92,171148
2020-12-01,98.19,98.23,94.09,95.79,131504
2020-12-02,93.565,93.85,90.19,93.465,131492
2020-12-03,95.125,98.78,94.31,97.37,112750
2020-12-04,98.0,102.32,98.0,101.48,181703
2020-12-07,101.94,102.51,98.26,99.22,106695
2020-12-08,99.8,100.03,96.71,99.85,86649
2020-12-09,99.86,100.45,94.9,95.79,81145
2020-12-10,94.7,103.695,94.7,101.475,194612
2020-12-11,99.57,100.82,96.505,99.02,155472
2020-12-14,99.835,103.4,99.72,102.26,297067
2020-12-15,102.82,105.6,99.94,101.33,221923
2020-12-16,101.755,104.95,101.5,104.51,192070
2020-12-17,105.54,109.84,105.15,108.66,156230
2020-12-18,109.26,109.58,107.115,107.58,153153
2020-12-21,105.875,107.09,103.365,106.57,95064
2020-12-22,107.875,111.08,107.0,111.08,113754
2020-12-23,110.62,111.15,107.47,107.67,105564
2020-12-24,108.34,109.79,106.18,106.24,32580
2020-12-28,107.63,107.63,99.7,100.16,85567
2020-12-29,100.56,100.82,97.46,98.95,116270
2020-12-30,99.92,101.38,98.71,99.14,153555
2020-12-31,97.78,99.31,97.03,98.48,92155
2021-01-04,98.72,98.72,90.95,91.13,365158
2021-01-05,91.58,93.27,89.98,93.03,197666
2021-01-06,91.0,93.89,90.25,91.31,178913
2021-01-07,92.325,96.59,92.325,96.59,147288
2021-01-08,97.625,100.18,97.6,99.95,149472
2021-01-11,101.48,107.67,99.86,104.3,207541
2021-01-12,104.16,107.49,104.16,105.65,111410
2021-01-13,104.95,105.785,102.21,104.88,68790
2021-01-14,105.57,106.1,101.3,101.89,95657
2021-01-15,102.27,104.75,99.53,99.8,96592
2021-01-19,100.86,100.9,97.25,99.095,140222
2021-01-20,101.35,105.26,100.635,104.23,188562
2021-01-21,104.54,105.35,102.01,103.27,50906
2021-01-22,102.92,109.58,102.84,104.96,102050
2021-01-25,105.8,112.23,104.15,108.71,499472
2021-01-26,108.58,109.53,102.47,103.46,106542
2021-01-27,102.185,103.85,98.0,98.0,269904
2021-01-28,98.25,101.89,96.69,100.05,155437
2021-01-29,99.5,103.07,97.23,102.72,198870
2021-02-01,103.5,104.99,100.76,101.85,242030
2021-02-02,103.6,107.36,102.92,106.04,206893
2021-02-03,106.915,111.58,106.87,110.29,183955
2021-02-04,112.07,113.375,107.67,111.87,108094
2021-02-05,111.35,115.43,111.12,114.9,152649
2021-02-08,115.27,116.84,114.04,116.17,227922
2021-02-09,116.53,119.32,116.4,117.97,162819
2021-02-10,118.5,118.95,111.78,115.45,114085
2021-02-11,116.84,117.92,114.93,117.73,158503
2021-02-12,111.455,113.58,108.13,112.84,380523
2021-02-16,112.26,113.825,105.7,107.43,192640
2021-02-17,103.4,105.28,100.56,103.045,473384
2021-02-18,102.95,106.84,101.82,106.54,229514
2021-02-19,107.3,107.56,104.05,105.04,181057
2021-02-22,102.3,103.45,98.695,99.715,179706
2021-02-23,96.02,99.165,92.87,98.94,210034
2021-02-24,98.87,101.83,96.65,99.37,184629
2021-02-25,99.68,100.36,93.3,95.01,133381
2021-02-26,96.105,97.68,93.265,95.41,165108
2021-03-01,97.07,97.87,94.49,97.63,125406
2021-03-02,98.08,98.08,93.23,93.57,134644
2021-03-03,92.64,93.93,87.395,89.95,268067
2021-03-04,88.64,90.46,81.22,84.93,359909
2021-03-05,85.47,85.47,78.13,82.23,449989
2021-03-08,82.19,83.33,77.07,77.5,443120
2021-03-09,81.425,82.905,79.345,81.99,341859
2021-03-10,84.45,84.45,80.03,80.69,248601
2021-03-11,83.5,86.98,83.0,86.245,242018
2021-03-12,83.46,83.88,81.79,83.0,145169
2021-03-15,82.55,88.57,82.55,87.65,307505
2021-03-16,89.11,90.17,85.76,86.38,125109
2021-03-17,85.14,87.85,82.55,86.55,140422
2021-03-18,85.0,85.63,81.69,81.895,361064
2021-03-19,82.5,84.45,80.6,84.07,178793
2021-03-22,84.685,86.99,84.1,85.22,122689
2021-03-23,85.15,86.63,84.35,85.165,140141
2021-03-24,85.32,85.32,81.07,81.3,238633
2021-03-25,78.64,81.21,77.205,78.33,572090
2021-03-26,78.86,83.3,78.36,80.34,207967
2021-03-29,79.58,80.57,75.7,76.92,252089
2021-03-30,76.29,77.565,74.68,77.3,168203
2021-03-31,79.07,85.14,77.77,83.47,301893
2021-04-01,86.68,88.04,85.68,87.19,425639
2021-04-05,87.75,87.75,81.83,83.35,160349
2021-04-06,83.285,89.99,83.0,88.85,172658
2021-04-07,87.8,88.82,85.38,86.52,86947
2021-04-08,87.66,90.06,87.4,88.31,140205
2021-04-09,87.275,89.38,85.81,88.835,72795
2021-04-12,87.7,90.845,87.02,90.45,105519
2021-04-13,91.22,95.5,90.58,94.23,181099
2021-04-14,94.58,96.08,93.06,93.39,101531
2021-04-15,93.98,96.14,93.98,95.35,159040
2021-04-16,94.26,94.26,89.29,90.32,235097
2021-04-19,89.89,91.59,86.9,87.89,181866
2021-04-20,88.09,88.25,83.64,83.93,176882
2021-04-21,83.19,85.95,83.19,84.83,140689
2021-04-22,86.0,87.84,84.62,84.73,118394
2021-04-23,85.97,89.73,85.58,89.56,109435
2021-04-26,89.5,93.13,89.21,93.1,87157
2021-04-27,93.15,93.98,92.015,93.8,125237
2021-04-28,92.965,93.675,91.45,91.53,97403
2021-04-29,91.91,91.91,87.38,88.99,155179
2021-04-30,86.38,88.5,85.72,85.83,144817
2021-05-03,85.85,85.85,79.95,80.11,227843
2021-05-04,78.92,79.77,76.17,77.84,182287
2021-05-05,79.235,79.235,76.16,76.73,70293
2021-05-06,75.19,75.2,69.78,71.37,667914
2021-05-07,79.365,79.65,75.875,77.35,479180
2021-05-10,76.54,77.39,74.44,76.82,197250
2021-05-11,73.65,79.075,73.645,78.52,293128
2021-05-12,77.27,77.71,75.34,76.84,184413
2021-05-13,77.835,80.39,76.17,77.385,341816
2021-05-14,78.395,82.8,76.82,82.46,288508
2021-05-17,80.43,82.61,78.52,81.0,548658
2021-05-18,81.405,84.07,81.03,83.145,329937
