date,open,high,low,close,volume
2020-07-27,162.13,164.01,160.72,163.4,51502
2020-07-28,162.46,164.34,162.14,163.22,45895
2020-07-29,163.72,167.78,163.5,167.25,91019
2020-07-30,165.44,166.15,163.63,165.23,67264
2020-07-31,164.12,164.12,160.97,163.75,30949
2020-08-03,164.15,165.97,163.67,164.88,23973
2020-08-04,164.39,165.99,164.39,165.37,17362
2020-08-05,167.44,170.41,167.39,169.71,41221
2020-08-06,169.23,169.95,167.38,168.33,21939
2020-08-07,168.13,170.48,167.02,170.24,145775
2020-08-10,171.42,177.6,171.42,176.28,170066
2020-08-11,178.55,181.79,178.41,179.42,63265
2020-08-12,178.31,178.92,176.18,178.64,33257
2020-08-13,176.13,177.39,174.97,175.99,62674
2020-08-14,175.28,179.33,175.09,177.42,20499
2020-08-17,178.94,180.08,177.7,179.12,26701
2020-08-18,180.5,180.5,178.13,178.38,67402
2020-08-19,178.9,180.6,178.21,178.21,113718
2020-08-20,176.14,178.24,175.85,177.47,85190
2020-08-21,182.57,188.29,182.07,185.18,255257
2020-08-24,189.71,191.58,188.33,190.66,166995
2020-08-25,191.11,194.01,190.67,190.91,127512
2020-08-26,191.09,196.99,190.19,195.72,91827
2020-08-27,196.02,197.17,194.14,194.87,208648
2020-08-28,194.94,195.47,193.79,194.83,90060
2020-08-31,194.79,196.23,192.88,195.31,86556
2020-09-01,193.64,202.09,193.64,202.09,93639
2020-09-02,202.55,203.64,200.3,201.69,78934
2020-09-03,202.26,202.54,194.07,195.61,133494
2020-09-04,197.53,198.61,193.84,196.44,36074
2020-09-08,195.09,197.8,193.17,195.12,61090
2020-09-09,196.16,201.71,195.92,200.24,62426
2020-09-10,200.81,202.53,198.76,199.75,119751
2020-09-11,199.37,202.78,197.92,200.4,77970
2020-09-14,201.82,203.36,201.18,202.89,41602
2020-09-15,203.89,204.97,199.78,200.29,69722
2020-09-16,201.43,202.56,199.66,199.95,44552
2020-09-17,198.46,205.58,197.2,204.11,66733
2020-09-18,204.73,209.06,204.26,205.92,45881
2020-09-21,200.54,201.83,195.15,198.83,68285
2020-09-22,200.58,203.29,200.19,201.94,64701
2020-09-23,201.85,204.82,199.03,199.18,112552
2020-09-24,197.93,203.54,196.84,200.72,33218
2020-09-25,199.98,204.98,199.77,203.61,54693
2020-09-28,207.38,208.15,205.78,205.99,45497
2020-09-29,205.87,206.8,203.16,205.05,34587
2020-09-30,207.01,210.47,205.44,206.64,72607
2020-10-01,207.89,208.17,203.68,204.06,106297
2020-10-02,200.68,210.96,200.68,209.4,67086
2020-10-05,211.63,215.27,209.49,211.41,99173
2020-10-06,211.9,214.75,210.63,210.99,44929
2020-10-07,213.08,216.54,212.94,214.7,47376
2020-10-08,215.2,218.68,214.89,218.11,60659
2020-10-09,218.92,220.76,217.67,218.75,73203
2020-10-12,220.52,221.32,218.98,220.25,93488
2020-10-13,220.56,221.29,218.41,221.2,56252
2020-10-14,221.52,224.15,221.52,222.02,81122
2020-10-15,218.71,222.94,218.32,221.85,82841
2020-10-16,223.28,226.62,223.28,223.74,68262
2020-10-19,225.14,226.12,220.98,221.72,47175
2020-10-20,223.73,225.41,221.58,222.46,54304
2020-10-21,222.87,225.31,219.87,220.11,102591
2020-10-22,219.87,221.49,218.79,220.57,67359
2020-10-23,221.51,223.51,221.36,223.02,51571
2020-10-26,220.92,220.92,215.95,218.04,58925
2020-10-27,217.74,218.04,212.43,212.83,94499
2020-10-28,207.61,211.87,207.43,207.89,109753
2020-10-29,207.28,213.9,206.75,212.51,78695
2020-10-30,212.0,212.91,207.42,210.42,54751
2020-11-02,213.2,216.22,212.68,215.57,79197
2020-11-03,219.11,225.01,218.35,223.35,92196
2020-11-04,221.82,223.54,217.27,217.6,104325
2020-11-05,221.89,230.13,221.16,228.95,104802
2020-11-06,229.57,233.09,229.4,230.63,139557
2020-11-09,242.72,247.34,231.32,232.22,131512
2020-11-10,232.89,239.27,232.89,236.55,128260
2020-11-11,236.53,236.53,229.27,231.92,108091
2020-11-12,233.03,234.82,229.98,230.99,108464
2020-11-13,233.37,235.19,232.06,234.62,68639
2020-11-16,237.66,242.48,236.55,241.19,127891
2020-11-17,239.31,241.91,236.27,240.36,87973
2020-11-18,241.38,242.55,239.68,239.8,129854
2020-11-19,239.61,241.73,237.78,237.78,114510
2020-11-20,238.47,241.72,238.47,240.9,105383
2020-11-23,242.83,244.64,242.83,243.21,135384
2020-11-24,245.7,245.93,242.27,243.59,127974
2020-11-25,244.66,247.63,237.63,239.02,149482
2020-11-27,240.78,244.2,240.78,243.95,46112
2020-11-30,245.18,245.57,240.46,243.79,78287
2020-12-01,245.59,247.14,237.68,237.68,76446
2020-12-02,237.76,242.57,237.08,241.25,94388
2020-12-03,241.77,241.99,235.05,235.32,102508
2020-12-04,236.37,238.16,235.46,236.09,89946
2020-12-07,235.65,235.98,233.55,234.74,118730
2020-12-08,235.39,237.31,234.04,235.39,99894
2020-12-09,235.22,237.98,234.5,237.64,93006
2020-12-10,236.0,236.72,233.53,236.19,64071
2020-12-11,234.73,238.43,233.62,238.26,74796
2020-12-14,240.15,240.15,235.21,235.29,45793
2020-12-15,238.86,245.99,238.86,244.05,106330
2020-12-16,243.58,244.35,241.92,243.09,42130
2020-12-17,244.75,246.47,243.78,246.32,123904
2020-12-18,246.46,252.76,246.46,252.0,82688
2020-12-21,247.76,252.94,247.42,249.35,90221
2020-12-22,249.62,251.92,247.07,250.61,64222
2020-12-23,251.95,252.77,249.54,249.54,37204
2020-12-24,250.0,251.09,249.08,250.57,14105
2020-12-28,254.5,254.56,249.12,249.16,28370
2020-12-29,250.74,251.06,244.97,247.18,27178
2020-12-30,248.98,250.41,248.02,248.7,25271
2020-12-31,248.47,251.41,248.01,251.41,31576
2021-01-04,254.24,255.55,246.48,249.93,203602
2021-01-05,250.36,256.62,250.29,256.21,82694
2021-01-06,256.65,273.49,256.65,271.3,160670
2021-01-07,274.26,280.71,274.26,280.23,159187
2021-01-08,278.57,280.54,271.31,274.61,98320
2021-01-11,270.25,275.67,270.25,275.6,70316
2021-01-12,276.18,283.4,274.76,282.41,147342
2021-01-13,281.6,283.95,280.95,281.48,113646
2021-01-14,283.25,286.15,282.18,282.97,73486
2021-01-15,279.56,279.56,273.79,275.95,97945
2021-01-19,279.39,279.58,275.08,275.35,93434
2021-01-20,277.97,282.19,276.87,281.13,87993
2021-01-21,281.52,285.95,281.22,285.38,127267
2021-01-22,283.16,286.53,281.6,285.21,62438
2021-01-25,283.93,285.24,276.92,278.43,117320
2021-01-26,281.45,282.13,275.99,276.42,68839
2021-01-27,270.42,270.44,260.57,262.14,110567
2021-01-28,267.62,277.67,265.34,273.61,95795
2021-01-29,273.6,273.6,267.2,269.83,86633
2021-02-01,273.93,274.34,270.56,273.31,96361
2021-02-02,276.5,284.11,276.5,282.74,104158
2021-02-03,281.87,282.22,279.79,281.35,37184
2021-02-04,282.57,289.14,282.45,288.76,50528
2021-02-05,290.77,292.28,286.78,288.82,54840
2021-02-08,292.29,296.16,291.64,296.05,59400
2021-02-09,294.68,297.3,292.53,294.63,74766
2021-02-10,296.57,296.57,291.09,292.59,71629
2021-02-11,293.46,294.66,288.88,293.93,67865
2021-02-12,293.31,294.84,291.77,292.43,105991
2021-02-16,295.29,300.33,295.29,296.05,147652
2021-02-17,294.18,296.19,291.33,291.33,136677
2021-02-18,290.51,290.78,278.92,279.94,155835
2021-02-19,298.9,312.92,296.08,308.15,270082
2021-02-22,307.9,316.21,306.92,315.41,112366
2021-02-23,309.66,316.23,306.39,315.16,170046
2021-02-24,316.84,323.55,315.92,322.89,126998
2021-02-25,322.63,329.68,319.82,325.44,205545
2021-02-26,323.73,330.78,321.39,326.43,138626
2021-03-01,331.61,339.23,331.17,335.78,135809
2021-03-02,335.74,336.07,326.96,328.24,177052
2021-03-03,326.35,327.74,320.49,320.57,146789
2021-03-04,320.15,320.69,309.14,315.57,154279
2021-03-05,319.42,328.48,312.16,327.06,80846
2021-03-08,330.9,336.06,326.45,330.25,86449
2021-03-09,331.7,333.79,328.82,329.63,73055
2021-03-10,328.34,337.7,328.22,337.38,74385
2021-03-11,340.67,342.25,337.01,340.39,120179
2021-03-12,340.14,346.3,339.9,345.14,121110
2021-03-15,344.5,349.9,342.55,349.69,103636
2021-03-16,350.59,351.49,346.64,348.8,86704
2021-03-17,350.4,355.7,347.92,354.6,84692
2021-03-18,355.46,366.25,354.18,355.14,145267
2021-03-19,352.16,354.6,347.51,348.1,139718
2021-03-22,347.23,348.83,344.44,347.08,77804
2021-03-23,341.91,346.34,332.47,334.19,186434
2021-03-24,337.83,343.75,337.16,337.22,117901
2021-03-25,334.85,343.47,330.5,342.73,83066
2021-03-26,347.09,348.32,343.66,347.47,79483
2021-03-29,346.27,347.94,343.32,343.32,57870
2021-03-30,343.15,351.24,343.14,350.13,57379
2021-03-31,351.58,355.06,345.17,350.42,110987
2021-04-01,350.6,351.08,346.05,348.48,60727
2021-04-05,352.37,353.81,350.23,350.9,53150
2021-04-06,351.48,357.21,351.48,351.56,49131
2021-04-07,353.91,353.91,348.82,350.84,64717
2021-04-08,349.11,350.6,345.26,350.29,72485
2021-04-09,351.34,353.98,349.03,352.99,54597
2021-04-12,353.75,354.89,351.92,354.01,51386
2021-04-13,358.75,359.39,352.75,354.62,41997
2021-04-14,354.14,358.53,354.14,357.11,50656
2021-04-15,359.9,360.88,354.83,357.98,42219
2021-04-16,360.7,360.7,356.77,358.62,37837
2021-04-20,355.11,356.34,343.39,346.82,152225
2021-04-21,345.3,351.79,344.59,351.79,177573
2021-04-22,351.48,351.48,342.48,345.06,190286
2021-04-23,346.9,353.65,346.09,352.27,69354
2021-04-26,355.09,359.34,355.09,356.17,41440
2021-04-27,357.17,358.6,354.71,358.02,70254
2021-04-28,357.65,359.98,355.5,355.5,46218
2021-04-29,358.43,358.43,348.7,352.38,71348
2021-04-30,347.87,349.64,345.32,347.1,59262
2021-05-03,351.88,353.24,348.25,350.02,45374
2021-05-04,348.33,356.66,344.78,355.36,83989
2021-05-05,357.27,358.83,352.0,354.73,61377
2021-05-06,355.83,365.79,355.46,365.01,66045
2021-05-07,363.57,371.59,360.16,369.38,63083
2021-05-10,372.56,374.55,366.51,366.67,93786
2021-05-11,361.91,364.13,354.04,358.9,81408
2021-05-12,359.4,363.82,349.1,350.02,78546
2021-05-13,344.74,355.57,343.32,354.24,81811
2021-05-14,357.95,362.02,356.51,359.48,72778
2021-05-17,360.38,360.99,354.9,359.2,40508
2021-05-18,360.45,360.58,346.18,346.18,73220
2021-05-19,337.3,339.14,328.94,335.73,157168
2021-05-20,335.52,335.6,328.34,332.5,297791
2021-05-21,334.88,344.78,329.85,336.92,152264
2021-05-24,337.69,339.31,333.83,336.59,63092
2021-05-25,338.41,344.38,337.49,337.59,52601
2021-05-26,337.61,338.04,332.33,334.99,149923
2021-05-27,339.34,340.27,336.03,339.18,65737
2021-05-28,339.85,339.85,335.03,338.11,96125
2021-06-01,340.94,345.71,339.21,341.34,76822
2021-06-02,341.36,342.06,333.16,333.87,105255
2021-06-03,332.42,340.26,332.12,336.13,56555
2021-06-04,337.69,337.81,332.83,334.05,46549
2021-06-07,335.0,336.62,330.56,332.84,34821
2021-06-08,332.89,336.59,330.21,333.94,73244
2021-06-09,333.15,333.15,327.08,327.18,103628
2021-06-10,329.28,331.86,319.16,319.75,60382
2021-06-11,322.49,324.39,317.13,319.62,61072
2021-06-14,320.03,320.3,310.76,314.14,106524
2021-06-15,315.27,317.46,314.76,316.38,69583
2021-06-16,316.59,318.32,314.09,315.06,77608
2021-06-17,315.15,315.34,301.52,307.73,184821
2021-06-18,303.4,310.72,302.93,308.31,130153
2021-06-21,312.08,317.11,311.72,316.33,98530
2021-06-22,317.38,320.84,315.34,320.53,74483
2021-06-23,321.34,326.96,319.9,325.73,192587
2021-06-24,327.56,332.18,324.49,328.22,131498
2021-06-25,331.16,333.16,325.8,327.22,110625
2021-06-28,327.06,327.93,323.26,327.51,67584
2021-06-29,330.74,330.74,326.86,327.54,60068
2021-06-30,327.52,331.68,327.48,331.09,92209
2021-07-01,333.23,334.36,330.39,332.82,96328
2021-07-02,331.79,331.79,330.01,330.84,69528
2021-07-06,330.96,331.28,323.23,328.05,122428
2021-07-07,328.59,330.95,326.91,330.18,59577
2021-07-08,323.23,326.02,318.98,322.35,74256
2021-07-09,328.12,329.21,326.31,328.07,51682
2021-07-12,326.55,333.04,325.15,332.58,74014
2021-07-13,333.73,333.73,329.16,329.26,45648
2021-07-14,331.37,331.63,323.51,324.4,84744
2021-07-15,321.83,326.36,321.83,324.82,100500
2021-07-16,326.75,326.94,321.08,321.56,56733
2021-07-19,314.5,316.63,308.8,314.4,172664
2021-07-20,316.49,327.84,314.61,326.82,97044
2021-07-21,330.44,332.81,329.69,331.52,116645
2021-07-22,331.55,332.4,329.65,329.65,44173
2021-07-23,332.27,333.8,330.3,333.12,32064
2021-07-26,333.97,334.24,329.7,333.9,65093
2021-07-27,331.41,335.53,329.49,332.09,32570
2021-07-28,332.9,334.82,329.8,332.03,65481
2021-07-29,336.99,339.73,334.47,338.01,62372
2021-07-30,337.12,339.64,335.82,339.42,60542
2021-08-02,341.2,344.88,333.53,333.9,54214
2021-08-03,334.38,344.26,332.86,343.26,49951
2021-08-04,341.77,344.05,338.53,338.53,34924
2021-08-05,341.06,342.56,339.32,342.11,44930
2021-08-06,344.19,346.02,343.23,344.58,25699
2021-08-09,342.23,348.08,341.34,346.74,37287
2021-08-10,347.89,354.27,347.4,353.56,52194
2021-08-11,354.1,362.67,352.8,362.4,132674
2021-08-12,362.25,364.45,360.26,362.03,46638
2021-08-13,362.95,362.95,359.54,360.41,42434
2021-08-16,357.68,359.85,355.58,359.34,55356
2021-08-17,357.91,358.87,351.38,353.18,46736
2021-08-18,351.21,352.8,348.85,348.85,50930
2021-08-19,345.15,345.31,333.24,337.07,218760
2021-08-20,341.68,344.08,323.79,329.87,227824
2021-08-23,333.19,340.97,330.99,340.59,109978
2021-08-24,342.65,350.11,342.65,345.47,96545
2021-08-25,345.84,356.04,345.84,353.58,59639
2021-08-26,352.16,359.1,352.16,356.56,55911
2021-08-27,357.24,359.31,355.18,356.21,44598
2021-08-30,357.7,360.16,353.84,357.64,68948
2021-08-31,357.13,357.61,351.04,354.87,105853
2021-09-01,355.41,355.41,346.62,353.81,193258
2021-09-02,355.12,361.27,354.85,361.21,68159
2021-09-03,361.01,368.93,360.66,365.54,69253
2021-09-07,361.11,362.28,347.84,349.13,212824
2021-09-08,349.33,349.62,340.06,347.59,111067
2021-09-09,345.76,348.12,340.9,342.33,126880
2021-09-10,344.88,345.87,340.66,340.75,74891
