date,open,high,low,close,volume
2020-07-27,34.64,35.57,34.54,35.16,185406
2020-07-28,34.96,35.37,34.96,35.12,131556
2020-07-29,35.64,36.72,35.64,36.44,114378
2020-07-30,36.36,36.36,35.47,35.76,196464
2020-07-31,33.13,35.75,33.13,34.86,186288
2020-08-03,34.91,35.12,34.08,34.45,142656
2020-08-04,34.2,34.39,33.81,34.16,128178
2020-08-05,34.96,35.71,34.91,35.25,139326
2020-08-06,34.76,34.81,34.04,34.5,92148
2020-08-07,34.33,35.1,34.23,35.05,111582
2020-08-10,35.53,36.83,35.39,36.41,112686
2020-08-11,37.01,37.56,36.72,37.22,167814
2020-08-12,37.19,37.55,36.81,36.81,141924
2020-08-13,36.47,36.66,35.99,36.35,30006
2020-08-14,36.07,36.39,35.91,35.98,85110
2020-08-17,36.08,36.15,35.08,35.34,133374
2020-08-18,35.28,35.57,34.83,35.04,149436
2020-08-19,35.32,35.32,34.56,34.65,61452
2020-08-20,34.13,35.18,34.08,34.59,62346
2020-08-21,34.71,34.94,34.66,34.91,31224
2020-08-24,34.95,35.28,34.58,34.91,99786
2020-08-25,35.1,35.17,34.35,34.95,136656
2020-08-26,34.87,35.35,34.87,35.25,109110
2020-08-27,35.54,35.81,35.07,35.14,48036
2020-08-28,35.34,35.37,34.58,35.08,66126
2020-08-31,34.78,34.92,33.91,34.01,121818
2020-09-01,34.53,35.01,34.29,34.97,101748
2020-09-02,35.34,35.34,34.28,34.65,73350
2020-09-03,34.3,34.3,32.82,33.04,80682
2020-09-04,33.31,33.39,32.45,32.86,65856
2020-09-08,32.46,33.92,32.46,33.32,158190
2020-09-09,33.39,34.0,33.26,33.8,92070
2020-09-10,34.09,34.11,33.0,33.05,102060
2020-09-11,33.4,33.97,33.15,33.89,193512
2020-09-14,34.26,34.8,34.12,34.71,212778
2020-09-15,34.95,35.78,34.86,35.72,127872
2020-09-16,36.2,37.07,36.05,36.62,139596
2020-09-17,35.81,36.4,35.39,35.58,140670
2020-09-18,35.24,35.24,34.33,34.82,67884
2020-09-21,34.23,34.53,33.79,34.51,75714
2020-09-22,34.99,35.5,34.52,35.5,92580
2020-09-23,36.36,37.2,35.74,35.74,213450
2020-09-24,35.1,36.6,35.1,36.28,88494
2020-09-25,36.07,36.23,35.58,35.89,116634
2020-09-28,36.33,36.89,36.33,36.54,118080
2020-09-29,36.25,36.58,35.71,36.39,89112
2020-09-30,36.47,36.94,36.26,36.67,71682
2020-10-01,37.14,39.65,36.99,39.25,436968
2020-10-02,38.39,39.72,38.39,39.61,102564
2020-10-05,39.75,39.83,38.83,39.72,204546
2020-10-06,39.35,40.02,39.01,39.23,250026
2020-10-07,39.75,40.33,39.67,40.01,128826
2020-10-08,40.31,41.14,40.31,40.85,193062
2020-10-09,41.15,41.9,41.03,41.87,118164
2020-10-12,42.11,42.32,42.03,42.22,121464
2020-10-13,41.82,42.3,41.38,42.27,87984
2020-10-14,42.38,42.89,42.38,42.8,224868
2020-10-15,42.21,43.71,42.21,43.69,117810
2020-10-16,43.54,44.43,43.42,43.75,358272
2020-10-19,44.23,44.36,41.24,42.17,349476
2020-10-20,42.23,42.65,41.56,41.61,80214
2020-10-21,41.73,42.03,41.06,41.24,137766
2020-10-22,41.31,41.6,40.77,41.31,201624
2020-10-23,41.07,42.71,40.73,42.58,200826
2020-10-26,42.24,43.66,42.24,43.64,152388
2020-10-27,43.55,43.95,43.05,43.77,193848
2020-10-28,42.58,42.77,41.15,41.73,125832
2020-10-29,41.61,43.11,41.45,42.98,205896
2020-10-30,42.96,43.57,41.37,42.17,320712
2020-11-02,42.33,42.68,41.86,42.45,166650
2020-11-03,42.75,42.94,41.44,41.96,225000
2020-11-04,41.97,43.52,41.69,43.47,175182
2020-11-05,44.53,46.77,43.92,46.43,203316
2020-11-06,46.01,46.08,44.99,45.1,398238
2020-11-09,47.55,47.55,42.36,42.53,220656
2020-11-10,41.58,42.12,40.25,41.94,325824
2020-11-11,42.3,43.4,41.86,42.28,147672
2020-11-12,42.31,42.49,40.71,41.39,178458
2020-11-13,41.8,42.46,41.41,41.84,192336
2020-11-16,42.09,42.09,40.46,41.64,273318
2020-11-17,41.93,42.58,41.33,42.3,114330
2020-11-18,41.87,42.85,41.87,41.99,93912
2020-11-19,42.13,42.16,40.95,41.47,138114
2020-11-20,41.33,41.41,40.3,41.19,184794
