date,open,high,low,close,volume
2020-07-27,111.61,112.8,110.58,110.86,34197
2020-07-28,111.27,112.41,110.15,110.41,30194
2020-07-29,111.32,113.47,111.32,112.75,56193
2020-07-30,112.21,113.53,111.23,113.39,46871
2020-07-31,113.34,113.83,111.83,113.6,35717
2020-08-03,114.26,116.84,113.98,116.28,52451
2020-08-04,115.43,115.43,113.0,114.47,41541
2020-08-05,115.07,115.07,112.88,113.66,27047
2020-08-06,113.41,113.69,110.27,111.32,62240
2020-08-07,111.61,112.73,110.61,111.93,96877
2020-08-10,110.92,111.07,108.2,108.4,50526
2020-08-11,108.75,109.02,106.57,107.4,35904
2020-08-12,107.97,108.88,106.85,108.37,53027
2020-08-13,108.01,108.84,107.19,108.84,21732
2020-08-14,108.37,108.52,106.84,107.31,16224
2020-08-17,107.77,108.78,107.06,107.28,37396
2020-08-18,107.22,107.63,106.6,107.24,36981
2020-08-19,107.95,107.95,104.91,105.12,43929
2020-08-20,105.41,107.88,105.29,105.41,26554
2020-08-21,105.03,105.69,104.15,105.45,42469
2020-08-24,105.64,105.64,104.06,105.13,31391
2020-08-25,105.44,106.69,104.73,105.83,60021
2020-08-26,105.16,106.14,104.3,105.76,53042
2020-08-27,98.1,99.76,93.14,98.28,331127
2020-08-28,98.44,99.31,97.34,99.13,75820
2020-08-31,98.76,100.38,98.53,99.7,45522
2020-09-01,99.74,100.65,95.49,98.06,145970
2020-09-02,97.96,99.59,97.4,99.0,86894
2020-09-03,99.21,99.21,96.29,97.2,177737
2020-09-04,97.49,98.02,95.69,97.38,114045
2020-09-08,97.05,97.06,95.52,96.05,55625
2020-09-09,96.41,97.07,95.67,95.67,40962
2020-09-10,98.04,100.02,97.81,98.83,55417
2020-09-11,99.15,99.33,97.14,98.64,38398
2020-09-14,99.06,101.23,98.78,100.85,46799
2020-09-15,100.99,103.0,100.94,101.53,72070
2020-09-16,101.89,103.76,101.89,102.44,37442
2020-09-17,101.55,101.55,99.33,100.55,26954
2020-09-18,100.6,102.12,100.43,101.8,26917
2020-09-21,100.14,105.62,100.14,105.57,55722
2020-09-22,104.78,105.35,102.36,103.09,86346
2020-09-23,102.4,102.4,99.18,99.65,60183
2020-09-24,99.51,99.51,97.56,97.56,70377
2020-09-25,97.16,100.39,96.91,99.79,51234
2020-09-28,100.94,103.05,100.84,101.85,47207
2020-09-29,101.47,102.56,100.8,101.69,26889
2020-09-30,102.36,103.09,101.53,102.31,61557
2020-10-01,102.92,103.25,100.5,100.73,54124
2020-10-02,99.12,102.91,99.12,101.73,62544
2020-10-05,102.63,104.15,102.63,103.64,90142
2020-10-06,104.03,105.59,103.35,104.47,65717
2020-10-07,104.97,105.96,104.14,104.62,43076
2020-10-08,105.06,105.48,104.32,104.48,34106
2020-10-09,104.93,105.61,104.02,104.86,36736
2020-10-12,105.56,105.77,104.28,104.85,37165
2020-10-13,104.32,105.54,104.01,105.26,80810
2020-10-14,105.83,107.12,104.57,105.64,52305
2020-10-15,104.53,106.3,104.19,106.04,44770
2020-10-16,106.68,110.33,106.68,108.0,113057
2020-10-19,108.75,109.39,108.12,108.53,72720
2020-10-20,108.62,111.12,108.58,110.9,92189
2020-10-21,111.65,113.02,110.27,110.34,126524
