date,open,high,low,close,volume
2018-04-25,94.54,94.54,94.54,94.54,100
2020-07-27,114.38,114.6,113.03,113.7,259935
2020-07-28,112.82,114.12,112.09,113.45,112665
2020-07-29,113.59,113.99,112.47,112.9,292520
2020-07-30,112.04,113.56,110.81,112.97,223738
2020-07-31,112.58,114.31,111.52,114.31,227993
2020-08-03,113.64,114.38,112.86,113.72,382020
2020-08-04,113.2,115.61,113.11,114.58,361260
2020-08-05,120.47,127.24,120.47,124.71,975451
2020-08-06,124.07,128.6,122.72,127.8,508793
2020-08-07,127.01,128.87,125.71,126.93,482682
2020-08-10,126.57,128.24,125.54,125.77,162234
2020-08-11,127.45,129.41,127.03,127.53,493006
2020-08-12,127.61,129.94,127.52,128.75,488101
2020-08-13,127.75,129.3,127.47,128.02,183396
2020-08-14,127.0,128.03,126.78,127.46,112032
2020-08-17,126.79,127.01,125.62,126.35,122886
2020-08-18,126.38,126.58,125.44,125.94,153948
2020-08-19,126.13,127.19,124.58,124.84,288283
2020-08-20,124.06,125.48,123.66,125.11,81066
2020-08-21,125.09,125.21,124.32,124.48,113419
2020-08-24,125.22,127.84,125.0,127.63,144457
2020-08-25,127.73,128.03,126.34,126.81,123619
2020-08-26,126.93,129.54,126.62,129.08,187644
2020-08-27,129.86,133.19,129.86,130.68,261358
2020-08-28,131.24,133.63,130.62,132.43,231435
2020-08-31,132.12,132.37,128.25,129.01,198236
2020-09-01,128.86,130.46,127.89,130.46,107540
2020-09-02,130.52,132.7,130.25,132.29,174299
2020-09-03,132.35,134.05,129.04,130.17,355180
2020-09-04,130.45,131.75,126.73,128.93,142194
2020-09-08,129.01,133.92,127.93,131.01,196998
2020-09-09,131.35,132.37,129.47,130.3,185474
2020-09-10,130.36,133.56,129.7,130.08,177626
2020-09-11,130.57,130.57,128.15,128.77,96937
2020-09-14,129.65,129.7,127.91,128.23,184545
2020-09-15,128.59,129.44,127.99,128.25,151493
2020-09-16,129.25,130.51,128.53,129.07,103000
2020-09-17,127.86,128.6,125.71,127.21,109421
2020-09-18,126.74,127.68,125.23,125.68,147422
2020-09-21,123.3,123.65,120.82,122.46,175268
2020-09-22,122.54,124.48,121.97,124.26,119886
2020-09-23,124.15,124.28,120.11,120.46,141899
2020-09-24,119.12,120.88,118.07,119.69,124003
2020-09-25,118.7,121.31,118.23,121.19,149589
2020-09-28,122.93,123.92,122.56,122.93,145989
