date,open,high,low,close,volume
2020-07-27,15.48,15.73,15.27,15.72,109369
2020-07-28,15.72,16.33,15.71,16.24,91212
2020-07-29,16.47,16.57,16.33,16.57,63071
2020-07-30,16.23,16.66,16.19,16.5,148813
2020-07-31,16.39,16.39,15.86,16.23,132039
2020-08-03,15.99,16.0,15.68,15.97,88721
2020-08-04,16.01,16.3,15.78,16.21,151907
2020-08-05,16.34,16.51,15.97,16.19,197299
2020-08-06,16.08,16.75,16.08,16.66,147551
2020-08-07,16.65,17.04,16.58,16.98,69225
2020-08-10,17.08,17.42,16.9,17.26,92196
2020-08-11,17.46,17.51,16.72,16.77,82377
2020-08-12,16.86,17.04,16.71,17.03,33768
2020-08-13,16.97,17.12,16.49,16.51,86455
2020-08-14,16.55,16.61,16.23,16.27,198375
2020-08-17,16.3,16.6,16.19,16.55,50187
2020-08-18,16.55,16.75,16.37,16.66,86230
2020-08-19,16.61,16.62,16.18,16.24,518448
2020-08-20,16.12,16.63,16.07,16.49,71469
2020-08-21,16.64,16.64,16.24,16.52,59857
2020-08-24,16.28,16.85,16.28,16.82,142754
2020-08-25,16.81,16.81,16.42,16.69,153766
2020-08-26,16.41,16.75,16.35,16.42,114790
2020-08-27,16.64,16.9,16.58,16.89,106910
2020-08-28,16.86,17.14,16.65,17.13,61123
2020-08-31,16.86,16.92,16.61,16.63,61391
2020-09-01,16.35,16.65,16.34,16.52,142509
2020-09-02,16.65,17.19,16.63,17.19,104356
2020-09-03,17.49,17.68,16.99,17.11,139639
2020-09-04,17.24,17.29,16.77,17.06,58051
2020-09-08,16.93,16.93,16.63,16.71,97038
2020-09-09,16.76,17.07,16.62,16.91,57726
2020-09-10,16.79,17.04,16.79,16.83,25600
2020-09-11,16.79,16.84,16.51,16.8,28393
2020-09-14,16.95,17.43,16.92,17.32,63814
2020-09-15,17.23,17.63,17.23,17.33,66411
2020-09-16,17.49,17.49,17.25,17.25,102241
2020-09-17,17.15,17.32,16.8,16.91,107464
2020-09-18,16.73,16.73,15.99,16.01,137438
2020-09-21,15.82,16.2,15.69,15.81,207435
2020-09-22,15.86,16.18,15.8,16.02,89603
2020-09-23,15.95,16.08,15.37,15.39,93309
2020-09-24,15.41,15.81,15.36,15.63,79766
2020-09-25,15.55,16.11,15.55,16.11,49347
2020-09-28,16.5,16.55,16.27,16.44,78518
2020-09-29,16.23,16.41,16.08,16.29,91674
2020-09-30,16.42,16.61,16.11,16.36,114601
2020-10-01,16.59,17.1,16.54,17.1,179241
2020-10-02,16.64,17.49,16.64,17.38,180325
2020-10-05,17.46,17.52,16.96,17.26,164902
2020-10-06,17.29,17.57,17.13,17.23,246974
2020-10-07,17.31,17.4,17.05,17.29,116589
2020-10-08,17.26,17.71,17.26,17.7,131453
2020-10-09,17.73,17.75,17.43,17.45,129250
2020-10-12,17.36,17.49,17.2,17.39,97438
2020-10-13,17.31,17.31,16.75,17.0,117464
2020-10-14,16.89,17.01,16.74,16.78,87492
2020-10-15,16.71,17.16,16.65,16.84,174228
2020-10-16,16.64,16.76,16.37,16.48,159332
2020-10-19,16.59,16.65,16.06,16.19,296451
2020-10-20,16.31,16.59,16.31,16.53,158817
2020-10-21,16.48,16.78,16.34,16.78,189984
2020-10-22,16.73,17.42,16.73,17.37,188403
2020-10-23,17.46,17.66,17.46,17.54,253729
2020-10-26,17.37,17.49,16.91,17.03,209845
2020-10-27,17.11,17.21,16.68,16.68,243082
2020-10-28,16.33,16.59,16.15,16.21,306679
2020-10-29,16.19,16.86,16.1,16.79,262393
2020-10-30,16.7,16.81,16.17,16.46,221710
2020-11-02,16.67,17.23,16.59,17.23,283342
2020-11-03,17.16,17.5,16.86,17.41,522701
2020-11-04,17.48,17.64,17.17,17.39,307389
2020-11-05,17.5,17.57,17.21,17.48,230749
2020-11-06,17.55,17.57,17.04,17.12,272329
2020-11-09,18.78,20.14,17.72,17.73,565869
2020-11-10,17.97,18.36,17.75,18.13,405359
2020-11-11,18.15,18.15,17.67,17.96,113891
2020-11-12,17.85,17.88,17.36,17.66,157741
2020-11-13,17.86,18.38,17.78,18.35,196902
2020-11-16,18.89,19.06,18.57,18.98,238007
2020-11-17,18.76,19.16,18.59,19.04,169681
2020-11-18,19.07,19.34,18.75,18.75,209174
2020-11-19,18.64,18.92,18.49,18.9,142264
2020-11-20,18.83,18.88,18.53,18.88,211507
2020-11-23,18.91,19.1,18.78,18.85,136863
2020-11-24,19.22,19.46,18.98,19.01,197019
2020-11-25,18.88,19.01,18.63,18.85,136129
2020-11-27,18.79,18.79,18.42,18.47,62925
2020-11-30,18.39,18.45,17.78,17.83,250342
2020-12-01,18.18,18.36,18.08,18.31,185688
2020-12-02,18.16,18.31,18.04,18.22,84925
2020-12-03,18.25,18.71,18.19,18.57,149986
2020-12-04,18.69,18.95,18.62,18.9,119283
2020-12-07,18.92,19.22,18.88,19.01,125314
2020-12-08,18.99,19.23,18.97,19.08,228337
2020-12-09,19.06,19.08,18.63,18.84,163523
2020-12-10,18.78,18.79,18.2,18.27,334071
2020-12-11,18.19,18.36,17.99,18.11,134874
2020-12-14,18.07,18.22,17.83,17.83,138660
2020-12-15,17.95,18.5,17.89,18.49,124672
2020-12-16,18.46,18.8,18.43,18.76,125085
2020-12-17,18.87,18.88,18.48,18.83,99485
2020-12-18,18.7,18.89,18.24,18.44,139656
2020-12-21,18.1,18.29,18.0,18.17,109428
2020-12-22,18.16,18.36,18.08,18.32,74231
2020-12-23,18.41,18.52,18.21,18.23,116674
2020-12-24,18.33,18.42,18.15,18.39,20986
2020-12-28,18.33,18.48,18.27,18.48,80610
2020-12-29,18.58,18.59,18.27,18.39,126506
2020-12-30,18.41,18.68,18.35,18.44,90936
2020-12-31,18.31,18.69,18.22,18.69,54815
2021-01-04,18.9,18.93,18.09,18.09,114454
2021-01-05,18.32,18.35,18.11,18.2,74096
2021-01-06,18.3,18.4,18.06,18.27,168955
2021-01-07,18.13,18.13,17.63,17.79,204676
2021-01-08,17.85,17.9,17.66,17.9,66463
2021-01-11,17.87,17.99,17.71,17.82,102883
2021-01-12,17.78,17.95,17.63,17.9,88633
2021-01-13,17.99,18.43,17.98,18.43,77427
2021-01-14,18.44,18.84,18.39,18.68,134949
2021-01-15,18.65,18.77,18.45,18.76,81221
2021-01-19,18.72,18.72,18.13,18.25,200143
2021-01-20,18.23,18.97,18.22,18.86,220793
2021-01-21,18.7,18.76,18.5,18.73,96655
2021-01-22,18.62,18.93,18.59,18.89,199118
2021-01-25,18.83,19.3,18.75,19.03,166851
2021-01-26,19.07,19.2,18.71,18.86,84968
2021-01-27,18.77,18.87,18.18,18.25,140057
2021-01-28,18.32,19.02,18.25,18.78,76480
2021-01-29,18.37,18.91,18.27,18.56,117243
2021-02-01,18.66,19.01,18.43,19.0,91434
2021-02-02,19.08,19.36,18.95,18.99,67348
2021-02-03,18.86,19.18,18.62,19.13,107996
2021-02-04,19.23,19.49,19.14,19.2,186676
2021-02-05,19.25,19.29,19.02,19.08,141626
2021-02-08,19.0,19.07,18.87,18.92,146030
2021-02-09,19.02,19.07,18.62,18.71,181623
2021-02-10,18.81,19.43,18.81,19.15,255570
2021-02-11,19.17,19.55,18.97,19.52,146714
2021-02-12,19.39,19.55,19.23,19.37,94896
2021-02-16,19.28,19.35,18.8,18.87,131983
2021-02-17,18.9,19.07,18.68,18.96,246183
2021-02-18,18.94,19.0,18.72,18.92,189055
2021-02-19,18.96,19.06,18.81,18.82,148328
2021-02-22,18.79,19.17,18.75,19.09,190123
2021-02-23,19.33,19.44,19.17,19.41,145350
2021-02-24,19.33,19.82,19.33,19.82,88067
2021-02-25,19.74,19.81,18.72,18.81,175928
2021-02-26,18.84,19.05,18.38,18.39,165898
2021-03-01,18.65,18.95,18.63,18.69,198919
2021-03-02,18.54,18.96,18.39,18.81,154941
2021-03-03,18.68,18.84,18.42,18.49,129237
2021-03-04,18.45,18.82,18.42,18.62,179107
2021-03-05,18.71,18.91,18.26,18.83,96575
2021-03-08,18.9,19.39,18.72,19.11,139339
2021-03-09,19.21,19.48,19.1,19.1,192505
2021-03-10,19.12,19.57,19.07,19.45,158698
2021-03-11,19.45,19.91,19.42,19.68,137939
2021-03-12,19.74,20.11,19.62,20.08,231152
