date,open,high,low,close,volume
2020-07-27,97.54,98.49,97.13,98.27,25200
2020-07-28,97.75,97.86,96.79,96.95,35372
2020-07-29,97.88,99.11,97.88,98.87,30610
2020-07-30,97.52,97.52,96.12,96.75,11277
2020-07-31,95.89,96.18,94.05,95.24,49064
2020-08-03,95.51,96.6,95.1,95.31,23310
2020-08-04,94.9,95.9,94.85,95.53,56081
2020-08-05,96.5,97.59,96.45,96.97,32738
2020-08-06,97.14,97.42,96.3,97.33,16683
2020-08-07,97.83,100.03,97.66,100.03,18455
2020-08-10,100.33,102.65,100.33,102.22,23130
2020-08-11,103.29,104.85,103.29,103.98,45581
2020-08-12,103.86,104.59,103.57,104.34,31907
2020-08-13,103.32,104.12,103.0,103.76,16090
2020-08-14,103.62,104.18,102.74,103.22,16872
2020-08-17,103.48,103.97,102.66,103.53,15335
2020-08-18,103.4,103.71,102.66,102.76,14975
2020-08-19,102.79,103.58,102.11,102.46,14213
2020-08-20,101.27,101.97,100.9,101.85,22809
2020-08-21,102.17,102.37,101.31,101.73,21602
2020-08-24,102.24,102.71,101.72,102.71,13679
2020-08-25,103.16,103.33,102.23,102.84,32166
2020-08-26,102.39,103.55,102.39,103.21,14682
2020-08-27,103.18,103.68,102.83,103.24,22009
2020-08-28,103.16,103.79,102.57,103.54,21022
2020-08-31,103.31,103.31,101.71,102.13,34003
2020-09-01,101.36,103.6,101.36,103.6,23322
2020-09-02,103.69,105.89,103.18,105.5,23040
2020-09-03,105.17,105.17,101.1,102.15,12329
2020-09-04,102.83,103.42,101.02,101.83,37670
2020-09-08,101.22,102.25,100.05,100.5,41945
2020-09-09,101.66,104.62,101.66,103.59,28323
2020-09-10,103.56,104.53,103.02,103.06,39904
2020-09-11,103.39,105.37,103.39,104.86,27808
2020-09-14,105.57,106.4,104.99,105.74,34038
2020-09-15,106.5,106.59,105.25,106.08,64247
2020-09-16,106.29,108.16,105.84,107.15,25090
2020-09-17,105.49,107.53,105.25,107.24,19634
2020-09-18,106.99,107.76,104.24,104.68,56586
2020-09-21,102.55,102.84,98.58,99.84,22867
2020-09-22,100.07,100.17,98.74,99.94,46643
2020-09-23,100.11,101.51,99.18,99.29,42909
2020-09-24,99.19,100.85,98.7,99.69,13681
2020-09-25,99.02,101.42,98.6,100.96,20990
2020-09-28,102.61,102.76,101.01,101.11,26875
2020-09-29,100.77,101.41,100.03,100.5,18678
2020-09-30,101.55,102.48,99.71,100.69,31908
2020-10-01,101.46,101.73,98.9,99.63,50592
2020-10-02,99.58,103.18,99.58,102.25,30712
2020-10-05,103.46,104.66,102.92,103.51,28152
2020-10-06,103.55,104.73,102.32,102.32,25927
2020-10-07,103.42,105.06,103.09,103.88,24775
2020-10-08,104.2,104.97,103.2,104.97,30318
2020-10-09,105.83,106.16,104.49,105.11,28071
2020-10-12,105.68,106.43,105.29,105.98,49969
2020-10-13,105.63,106.33,104.1,104.57,28184
2020-10-14,105.78,106.53,105.1,105.61,34172
2020-10-15,104.24,106.13,104.24,105.79,31726
2020-10-16,106.72,107.27,106.01,106.11,37673
2020-10-19,106.51,107.82,104.53,104.9,84834
2020-10-20,106.84,108.45,104.9,106.2,75173
2020-10-21,106.29,107.22,105.66,105.74,53808
2020-10-22,106.31,107.62,106.13,107.15,21942
2020-10-23,108.3,108.3,107.1,108.08,59754
2020-10-26,106.36,106.72,104.44,105.81,45451
2020-10-27,105.61,106.16,103.65,103.72,40438
2020-10-28,100.99,102.81,100.99,101.59,76673
2020-10-29,100.93,103.23,100.69,102.36,59593
2020-10-30,102.48,103.34,101.76,102.85,54537
2020-11-02,104.61,106.96,104.52,106.72,34660
2020-11-03,108.13,109.79,108.13,109.02,24867
2020-11-04,107.85,108.82,105.51,106.18,10072
2020-11-05,108.75,110.52,108.35,109.03,24061
2020-11-06,109.22,109.81,105.85,108.25,46891
2020-11-09,115.21,117.69,111.3,111.3,56732
2020-11-10,112.28,113.84,111.19,111.38,177721
2020-11-11,111.89,112.65,109.82,112.38,41662
2020-11-12,111.43,112.51,110.69,111.47,19511
2020-11-13,113.37,114.06,112.58,113.65,14337
2020-11-16,115.63,116.9,114.31,116.89,27142
2020-11-17,115.48,116.99,114.2,116.65,21509
2020-11-18,117.22,117.92,115.71,115.79,43019
2020-11-19,114.98,116.14,114.4,115.82,19170
2020-11-20,116.25,116.25,114.46,114.72,19081
2020-11-23,115.02,115.77,114.28,114.76,50771
2020-11-24,115.92,118.09,115.38,117.48,52976
2020-11-25,116.75,116.75,114.52,115.23,41180
2020-11-27,115.56,116.15,115.44,115.67,4500
2020-11-30,115.02,115.02,112.96,113.81,29175
2020-12-01,115.32,116.47,114.38,114.38,28477
2020-12-02,115.02,115.02,113.47,114.16,25712
2020-12-03,114.22,115.1,112.87,112.97,24399
2020-12-04,113.61,115.37,113.61,115.32,43632
2020-12-07,113.95,114.63,113.46,114.08,16258
2020-12-08,113.76,114.53,113.23,113.81,30447
2020-12-09,114.39,115.3,113.58,115.21,30548
2020-12-10,114.22,114.66,112.13,113.31,27031
2020-12-11,112.87,113.79,112.41,113.25,18789
2020-12-14,114.24,114.38,112.0,112.21,20743
2020-12-15,113.11,114.13,112.03,113.71,30634
2020-12-16,113.87,114.08,112.75,112.96,18977
2020-12-17,113.24,115.65,112.65,115.56,58944
2020-12-18,116.06,117.31,114.33,115.58,56442
2020-12-21,112.97,116.31,112.97,115.59,32932
2020-12-22,115.35,116.32,114.93,115.2,28317
2020-12-23,116.26,116.9,115.46,115.46,34257
2020-12-24,115.41,115.71,114.53,115.71,10682
2020-12-28,117.14,117.78,115.97,115.97,23751
2020-12-29,116.62,116.62,114.28,115.28,21366
2020-12-30,116.11,116.78,115.93,116.27,28356
2020-12-31,115.79,117.97,115.79,117.89,24948
2021-01-04,117.49,118.17,114.52,115.05,31716
2021-01-05,115.4,116.56,115.03,115.77,19326
2021-01-06,117.08,120.15,117.08,119.07,43378
2021-01-07,118.79,121.07,117.84,120.81,42042
2021-01-08,121.1,121.6,119.09,120.93,19856
2021-01-11,120.32,120.92,119.7,120.21,17426
2021-01-12,119.72,121.23,119.68,121.04,18719
2021-01-13,120.28,120.28,118.65,118.65,18344
2021-01-14,118.89,119.75,118.0,118.48,34371
2021-01-15,116.84,117.59,115.39,117.04,22792
2021-01-19,118.15,118.93,117.04,117.16,40610
2021-01-20,117.7,117.91,116.61,117.63,32944
2021-01-21,117.64,117.64,116.2,116.65,30365
2021-01-22,115.83,117.45,115.4,116.98,24220
2021-01-25,116.95,118.2,115.91,116.75,59538
2021-01-26,118.06,118.06,115.28,116.02,63955
2021-01-27,114.87,114.87,110.7,111.14,99520
2021-01-28,112.99,114.13,109.62,110.07,183955
2021-01-29,109.13,110.54,108.37,108.64,37416
2021-02-01,109.3,109.9,108.2,109.82,40108
2021-02-02,110.5,112.76,110.12,111.44,52286
2021-02-03,111.0,113.05,110.38,112.78,43757
2021-02-04,112.68,113.24,111.35,111.85,65357
2021-02-05,112.94,114.14,112.61,112.93,34988
2021-02-08,113.62,114.23,112.24,112.83,40075
2021-02-09,112.46,112.84,111.72,112.33,17512
2021-02-10,112.55,114.86,112.4,114.53,40218
2021-02-11,115.08,115.08,111.96,113.78,34990
2021-02-12,114.23,114.65,113.35,114.62,13449
2021-02-16,115.03,115.06,113.53,113.53,27015
2021-02-17,113.08,113.72,111.71,112.62,36695
2021-02-18,112.24,113.29,111.01,112.86,20087
2021-02-19,113.72,114.62,113.62,114.13,52651
2021-02-22,113.55,114.18,112.86,114.02,56964
2021-02-23,114.15,115.37,112.34,113.85,37740
2021-02-24,113.57,117.32,113.14,117.24,43073
2021-02-25,117.12,117.73,116.06,116.54,37324
2021-02-26,116.6,116.95,114.92,115.57,51059
2021-03-01,116.95,121.25,116.95,119.33,48059
2021-03-02,119.11,120.07,118.46,119.17,52459
2021-03-03,118.88,120.94,118.88,119.02,60680
2021-03-04,118.73,119.4,116.05,117.28,41331
2021-03-05,119.22,122.36,118.23,121.86,49409
2021-03-08,122.19,124.83,122.19,123.59,43549
2021-03-09,123.28,123.82,122.55,122.61,42387
2021-03-10,122.73,126.15,122.03,124.68,36826
2021-03-11,124.83,126.38,124.6,125.44,38196
2021-03-12,126.46,127.46,126.26,127.32,68157
2021-03-15,127.03,127.24,125.05,127.24,39079
2021-03-16,126.52,127.16,124.2,127.06,87275
2021-03-17,127.5,128.59,126.65,128.36,74051
2021-03-18,128.28,129.42,127.86,128.65,46913
2021-03-19,128.06,128.4,126.69,127.05,61613
2021-03-22,126.87,128.16,126.26,127.89,69451
2021-03-23,126.62,127.93,124.68,125.24,60239
2021-03-24,126.56,128.4,126.32,127.22,67549
2021-03-25,126.44,129.53,125.66,129.09,53433
2021-03-26,129.55,131.23,128.99,131.0,22775
2021-03-29,130.55,131.24,129.18,129.36,44924
2021-03-30,129.9,130.26,129.12,129.58,30688
2021-03-31,129.94,130.11,128.08,128.55,30362
2021-04-01,128.32,129.32,127.14,129.32,34990
2021-04-05,130.55,131.83,129.86,131.33,39622
2021-04-06,131.68,132.07,130.48,130.67,22183
2021-04-07,130.72,130.82,129.66,130.27,17030
2021-04-08,129.82,129.91,129.36,129.76,33580
2021-04-09,130.81,131.22,129.93,131.15,17935
2021-04-12,131.45,131.85,130.71,131.66,46387
2021-04-13,131.02,131.02,129.65,129.91,15491
2021-04-14,129.4,130.48,129.34,129.47,31661
2021-04-15,130.22,130.65,129.06,130.63,22669
2021-04-16,131.8,132.21,130.74,131.61,36155
2021-04-20,136.81,136.98,134.75,135.72,94009
2021-04-21,136.71,139.46,136.13,139.46,92249
2021-04-22,139.86,139.96,137.83,138.35,66944
2021-04-23,137.76,139.36,137.76,138.69,34106
2021-04-26,139.59,139.75,136.97,137.17,46621
2021-04-27,137.52,138.76,136.12,138.66,38674
2021-04-28,138.73,140.26,138.36,138.71,38983
2021-04-29,139.86,142.15,139.76,141.75,42611
2021-04-30,140.91,141.45,139.29,139.73,52952
2021-05-03,140.96,141.28,139.16,140.31,53528
2021-05-04,139.93,142.33,139.73,141.91,25562
2021-05-05,141.7,142.12,140.06,141.38,24106
2021-05-06,142.39,143.1,141.37,143.1,25507
2021-05-07,142.63,143.94,142.57,143.26,36320
2021-05-10,144.26,145.88,143.73,143.73,20820
2021-05-11,142.04,142.58,140.2,140.73,33322
2021-05-12,140.99,140.99,137.07,137.22,43588
2021-05-13,137.86,140.76,137.86,140.1,33790
2021-05-14,141.42,142.63,140.84,141.92,28540
2021-05-17,141.78,141.82,139.65,140.83,22708
2021-05-18,141.15,141.15,138.46,138.46,15611
2021-05-19,137.01,138.07,136.02,138.07,15770
2021-05-20,138.07,139.1,137.52,138.7,19096
2021-05-21,139.91,140.37,138.75,138.98,12121
2021-05-24,139.55,140.46,138.71,140.11,57174
2021-05-25,140.11,140.63,139.48,139.68,34304
2021-05-26,139.85,139.85,138.61,139.6,13210
2021-05-27,140.89,141.84,140.5,141.32,15904
2021-05-28,141.43,141.87,141.08,141.5,14614
2021-06-01,142.5,143.06,141.96,142.12,16832
2021-06-02,142.87,143.12,141.59,142.21,20071
2021-06-03,141.83,143.1,141.12,142.95,19455
2021-06-04,143.26,144.24,143.09,143.98,13335
2021-06-07,144.05,144.21,142.02,142.59,9529
2021-06-08,141.69,143.05,141.33,142.91,27444
2021-06-09,142.54,142.55,141.52,141.59,6809
2021-06-10,142.63,142.63,141.06,141.26,30907
2021-06-11,141.9,142.88,141.33,142.67,17387
2021-06-14,142.89,142.89,140.52,141.35,18402
2021-06-15,141.57,142.45,140.74,142.22,16069
2021-06-16,141.67,142.54,140.91,141.02,29642
2021-06-17,141.04,141.04,136.3,137.01,33011
2021-06-18,134.77,135.68,134.46,134.49,21564
2021-06-21,136.03,137.74,136.03,137.56,24063
2021-06-22,137.49,139.08,136.67,138.47,27348
2021-06-23,138.12,139.23,137.56,138.08,24380
2021-06-24,138.2,138.9,137.19,138.8,31448
2021-06-25,139.85,140.58,139.55,140.3,23345
2021-06-28,140.56,140.56,139.0,140.05,15090
2021-06-29,140.93,141.07,139.91,140.28,24634
2021-06-30,140.58,141.69,140.02,141.51,27297
2021-07-01,142.34,142.34,141.45,141.86,43734
2021-07-02,142.14,143.15,141.41,142.69,20441
2021-07-06,141.86,141.92,139.83,141.51,20969
2021-07-07,141.82,144.18,141.82,143.9,21413
2021-07-08,141.94,143.48,140.67,142.02,59577
2021-07-09,143.95,144.46,143.41,144.24,50133
2021-07-12,143.74,145.65,143.72,145.62,28035
2021-07-13,145.75,146.3,144.81,145.13,34011
2021-07-14,146.04,146.35,145.22,146.07,46345
2021-07-15,146.07,147.27,145.65,146.29,24002
2021-07-16,147.07,147.47,145.49,145.63,61205
2021-07-19,143.82,143.82,141.52,142.9,95089
2021-07-20,144.49,153.79,144.48,152.66,119715
2021-07-21,154.04,155.72,153.56,154.2,93078
2021-07-22,155.02,155.09,153.41,154.89,57922
2021-07-23,155.76,156.13,153.7,154.42,63058
2021-07-26,153.87,154.67,152.19,153.09,65410
2021-07-27,152.24,154.74,151.84,153.98,61208
2021-07-28,153.61,154.16,152.57,153.22,62795
2021-07-29,153.95,155.25,153.69,155.23,30354
2021-07-30,155.38,157.27,154.98,157.17,61047
2021-08-02,157.53,158.65,156.9,156.98,41181
2021-08-03,157.31,159.77,157.27,159.57,71164
2021-08-04,158.64,159.38,157.14,158.01,79601
2021-08-05,159.33,159.6,158.39,159.01,59637
2021-08-06,160.08,160.36,158.83,159.41,47562
2021-08-09,158.34,159.21,158.16,158.92,66249
2021-08-10,159.44,161.6,159.44,161.48,30428
2021-08-11,161.75,162.77,161.43,162.21,35285
2021-08-12,162.44,162.44,161.0,161.73,105173
2021-08-13,161.81,162.17,160.91,161.34,51768
2021-08-16,160.72,163.55,160.72,163.46,32461
2021-08-17,162.69,162.76,161.18,162.72,25249
2021-08-18,163.0,163.66,161.22,161.22,23276
2021-08-19,160.08,163.26,160.08,162.08,115420
2021-08-20,162.39,162.79,161.34,162.41,43503
2021-08-23,163.2,163.84,162.61,162.75,33850
2021-08-24,162.8,163.99,162.8,163.8,29975
2021-08-25,163.6,164.75,163.57,164.0,12077
2021-08-26,163.64,163.93,163.24,163.56,43687
2021-08-27,164.15,164.69,163.96,164.17,13892
2021-08-30,164.94,166.3,164.41,165.72,24601
2021-08-31,165.24,165.29,164.07,164.45,15435
2021-09-01,164.66,164.66,162.64,163.9,24936
2021-09-02,164.7,165.96,164.39,165.96,22182
2021-09-03,165.46,166.07,164.63,164.89,11339
2021-09-07,164.41,164.41,162.73,162.94,19324
2021-09-08,162.31,165.39,162.31,164.87,47033
2021-09-09,165.5,166.31,164.7,164.8,42623
2021-09-10,165.7,165.7,163.58,163.58,27922
2021-09-13,164.05,164.05,159.76,160.89,82747
2021-09-14,161.68,161.96,156.84,157.45,82921
2021-09-15,157.28,158.84,156.81,158.11,126922
2021-09-16,158.03,158.03,154.04,154.83,132177
2021-09-17,154.15,154.51,152.35,153.3,42061
2021-09-20,150.06,153.43,150.06,153.24,47341
2021-09-21,153.15,153.57,151.9,152.04,21931
2021-09-22,153.57,154.22,152.76,152.9,24331
2021-09-23,154.34,155.17,154.11,154.2,12847
2021-09-24,153.75,154.0,152.53,152.66,21012
2021-09-27,153.2,153.53,152.39,152.47,27747
2021-09-28,151.33,151.73,148.6,149.78,66317
2021-09-29,150.08,150.77,149.97,150.17,37058
2021-09-30,150.12,150.97,146.61,146.64,36713
2021-10-01,147.38,148.85,145.45,147.7,15036
2021-10-04,147.46,149.12,146.09,147.04,25706
2021-10-05,147.77,149.97,146.65,149.0,30085
2021-10-06,148.21,150.1,145.93,149.99,30319
2021-10-07,151.11,151.8,150.6,150.6,33427
2021-10-08,149.84,149.84,147.75,148.73,23260
2021-10-11,149.15,149.67,147.73,147.75,23794
2021-10-12,148.62,149.95,147.9,148.12,27142
2021-10-13,148.13,149.11,147.43,148.43,24228
2021-10-14,149.51,153.47,149.51,153.2,22021
2021-10-15,154.47,157.01,154.47,155.7,35455
2021-10-18,154.82,157.85,154.56,157.22,47214
2021-10-19,162.85,162.85,156.69,158.35,167172
2021-10-20,159.04,161.43,158.2,159.19,92248
2021-10-21,158.44,160.02,157.0,160.02,38676
2021-10-22,160.72,161.26,159.43,159.59,21679
2021-10-26,159.3,159.34,157.79,157.81,12650
2021-10-27,157.11,159.02,156.05,156.14,20932
2021-10-28,156.56,159.37,156.56,159.36,15982
2021-10-29,158.99,160.44,158.48,159.29,18321
2021-11-01,160.24,160.35,158.39,160.05,19109
2021-11-02,160.53,162.02,160.53,161.64,26045
2021-11-03,161.25,161.25,159.32,160.28,7664
2021-11-04,161.4,163.13,161.31,162.31,19314
2021-11-05,163.97,164.14,161.25,161.46,28152
2021-11-08,162.9,163.89,161.99,163.78,6133
2021-11-09,163.5,165.42,163.5,165.35,12634
2021-11-10,165.45,166.49,164.38,164.81,28126
2021-11-11,164.06,164.47,161.11,161.34,29434
2021-11-12,161.28,162.97,160.43,162.94,23538
2021-11-15,162.54,164.83,162.54,163.51,40658
2021-11-16,164.32,167.76,164.32,166.53,46555
2021-11-17,166.82,166.82,164.52,165.42,15027
2021-11-18,165.88,166.82,165.05,166.38,35481
2021-11-19,166.66,167.97,165.91,165.97,29309
2021-11-22,166.28,167.99,165.79,165.79,18626
2021-11-23,165.85,166.31,164.97,165.96,14306
2021-11-24,165.37,166.36,164.37,166.19,21685
2021-11-26,161.19,163.31,161.12,161.47,20736
2021-11-29,162.98,164.34,161.68,162.44,34812
2021-11-30,161.05,161.2,154.59,154.83,56671
2021-12-01,157.03,159.79,154.18,154.21,38274
2021-12-02,154.3,158.49,154.3,157.36,40472
2021-12-03,157.66,158.28,155.31,157.98,46212
2021-12-06,159.75,161.43,159.39,160.78,25560
2021-12-07,163.46,165.31,162.31,162.87,24507
2021-12-08,162.69,162.91,161.07,162.45,21206
2021-12-09,161.87,164.0,161.87,162.34,16006
2021-12-10,162.43,163.13,161.08,162.05,29621
2021-12-13,163.08,163.23,161.26,162.44,24010
2021-12-14,161.68,162.52,157.27,158.85,51101
2021-12-15,159.87,162.5,158.83,162.37,86669
2021-12-16,163.17,165.88,162.93,162.93,65584
2021-12-17,163.4,166.52,161.0,161.0,90977
2021-12-20,160.52,161.21,157.11,159.34,42208
2021-12-21,160.62,162.49,159.3,162.09,23105
2021-12-22,162.61,163.07,161.68,163.03,14083
2021-12-23,163.39,164.84,163.39,164.26,15031
2021-12-27,164.31,169.15,164.31,168.96,43769
2021-12-28,169.49,170.06,169.35,169.95,25372
2021-12-29,169.39,171.8,169.39,171.57,16008
2021-12-30,172.28,172.57,170.8,170.87,16137
2021-12-31,171.0,172.8,170.95,171.85,11548
2022-01-03,171.85,173.53,167.81,168.63,73004
2022-01-04,169.99,172.97,169.98,171.57,64258
2022-01-05,172.06,172.79,169.35,169.66,41013
2022-01-06,170.66,172.89,170.2,171.64,42358
2022-01-07,172.62,174.03,171.36,173.07,104813
2022-01-10,170.61,170.73,167.78,169.63,59965
2022-01-11,170.1,171.14,167.17,170.91,39847
2022-01-12,172.46,173.07,170.69,171.32,20816
2022-01-13,171.67,172.24,169.89,170.31,25707
2022-01-14,168.63,169.1,166.68,168.68,34712
2022-01-18,166.97,168.86,165.17,168.73,60175
2022-01-19,169.39,170.14,167.06,167.91,27172
2022-01-20,168.81,169.75,164.94,165.13,56268
2022-01-21,164.67,166.7,163.67,164.21,45511
2022-01-24,161.88,161.88,157.68,159.72,15532
2022-01-25,160.0,162.91,156.89,161.37,49296
2022-01-26,162.27,165.29,159.61,160.61,73322
2022-01-27,164.92,165.41,155.51,159.69,146105
2022-01-28,156.16,158.01,153.32,158.01,78762
2022-01-31,156.48,160.75,155.75,160.75,73632
2022-02-01,161.35,161.35,157.16,160.48,54372
2022-02-02,160.8,161.88,159.21,160.88,39121
2022-02-03,159.92,160.79,154.12,154.57,57570
2022-02-04,153.63,155.84,149.22,154.3,106762
2022-02-07,154.72,154.79,152.71,153.31,39256
2022-02-08,152.5,156.38,152.39,155.86,33243
