date,open,high,low,close,volume
2020-07-27,80.46,80.84,79.71,80.17,63791
2020-07-28,79.37,81.8,79.37,80.67,35619
2020-07-29,80.97,81.24,79.84,81.16,32530
2020-07-30,79.93,80.87,79.93,80.72,31300
2020-07-31,80.33,81.45,79.96,81.4,60316
2020-08-03,81.14,81.14,80.07,80.14,29478
2020-08-04,79.99,81.65,79.99,81.41,40612
2020-08-05,81.68,81.91,81.1,81.26,86145
2020-08-06,81.07,82.43,80.84,82.35,27485
2020-08-07,82.08,84.07,82.03,83.57,22464
2020-08-10,83.88,85.17,83.82,84.59,29608
2020-08-11,85.04,85.41,82.53,82.62,41172
2020-08-12,83.27,84.06,83.27,83.61,20768
2020-08-13,82.97,83.7,82.6,83.23,12764
2020-08-14,83.3,83.61,82.36,82.92,10864
2020-08-17,82.44,83.2,82.16,82.21,28570
2020-08-18,82.4,82.65,81.71,81.97,21414
2020-08-19,81.83,82.61,81.56,82.34,18714
2020-08-20,81.62,82.08,81.16,81.26,35071
2020-08-21,81.25,81.57,80.87,81.46,29572
2020-08-24,81.46,83.13,81.46,83.0,22688
2020-08-25,82.99,82.99,81.94,82.34,22840
2020-08-26,82.08,82.23,81.08,81.45,46216
2020-08-27,82.05,82.69,82.04,82.34,19855
2020-08-28,82.05,83.16,82.05,82.94,22193
2020-08-31,83.13,83.74,83.06,83.58,29440
2020-09-01,82.87,83.35,82.33,82.9,36359
2020-09-02,82.57,85.17,82.57,84.8,32210
2020-09-03,85.4,85.7,83.18,83.76,23501
2020-09-04,84.33,84.5,82.68,83.68,32452
2020-09-08,83.15,84.19,82.26,83.15,50975
2020-09-09,83.82,85.38,83.61,84.22,12409
2020-09-10,83.98,84.39,82.94,82.94,27347
2020-09-11,83.11,83.57,82.66,83.28,23592
2020-09-14,83.53,85.33,83.53,84.76,29538
2020-09-15,84.96,85.41,82.88,83.47,46365
2020-09-16,83.39,84.97,83.32,83.69,59997
2020-09-17,83.16,83.49,81.54,82.24,39881
2020-09-18,81.68,81.68,79.36,79.55,109093
2020-09-21,78.48,79.45,77.98,79.0,24947
2020-09-22,79.46,80.13,78.99,79.51,25073
2020-09-23,79.83,79.86,79.2,79.38,34826
2020-09-24,79.14,81.21,78.58,80.16,17366
2020-09-25,79.45,81.6,79.45,81.58,23082
2020-09-28,81.38,82.09,81.2,81.47,21103
2020-09-29,81.92,82.07,80.71,81.18,38524
2020-09-30,81.81,82.46,81.21,81.79,28872
2020-10-01,81.82,82.07,79.91,80.51,166858
2020-10-02,79.7,81.53,79.22,81.05,216309
2020-10-05,80.98,81.8,80.65,81.3,63429
2020-10-06,81.55,83.5,81.24,82.08,119454
2020-10-07,82.39,82.78,80.86,81.29,105288
2020-10-08,84.79,87.13,84.54,86.44,184999
2020-10-09,86.79,86.87,84.9,85.36,47738
2020-10-12,85.2,85.9,84.9,85.83,41191
2020-10-13,85.07,85.68,83.96,84.52,82998
2020-10-14,84.87,85.49,83.84,84.76,53384
2020-10-15,84.0,84.32,83.41,83.74,67295
2020-10-16,83.77,85.22,83.55,84.74,49224
2020-10-19,84.72,84.96,83.66,83.95,39978
2020-10-20,85.06,86.79,85.06,86.12,56669
2020-10-21,85.7,87.45,85.7,86.23,56962
2020-10-22,85.77,87.44,85.5,87.38,48359
2020-10-23,87.85,89.16,87.85,88.81,71653
2020-10-26,87.78,88.87,87.25,88.23,118857
2020-10-27,88.94,92.88,88.82,90.28,133960
2020-10-28,88.58,89.73,86.55,86.64,135313
2020-10-29,86.09,88.98,85.29,87.65,82543
2020-10-30,87.25,87.62,85.88,87.52,61258
2020-11-02,88.43,89.41,87.45,89.22,47527
2020-11-03,90.59,90.9,89.07,89.84,49583
2020-11-04,89.29,91.58,88.45,88.82,76177
2020-11-05,89.48,91.17,88.79,88.84,58100
2020-11-06,88.63,88.99,87.21,87.85,143152
2020-11-09,90.86,93.14,90.86,91.43,83621
2020-11-10,92.23,94.13,91.8,93.64,50815
2020-11-11,93.9,93.9,92.03,92.26,181879
2020-11-12,91.01,91.44,89.45,91.22,165456
2020-11-13,91.79,93.28,91.79,92.88,151848
2020-11-16,94.5,96.01,94.27,96.01,140638
2020-11-17,95.2,96.12,94.27,94.39,65382
2020-11-18,94.17,94.33,92.43,92.44,58651
2020-11-19,92.56,92.92,91.01,92.06,334748
2020-11-20,92.57,92.73,91.85,92.19,195489
2020-11-23,92.44,92.95,92.35,92.59,141735
2020-11-24,93.08,93.61,92.93,93.47,184223
2020-11-25,93.42,93.93,92.27,93.88,192792
2020-11-27,94.02,94.02,91.08,91.22,26871
2020-11-30,91.35,91.47,89.05,89.22,137774
2020-12-01,90.1,90.89,89.6,89.6,79759
2020-12-02,89.23,91.42,88.21,91.42,188868
2020-12-03,90.51,91.29,89.7,89.99,73016
2020-12-04,90.24,90.51,88.8,89.43,29835
2020-12-07,89.38,89.86,88.4,88.62,36980
2020-12-08,88.41,88.67,87.53,88.46,52250
2020-12-09,88.71,89.05,88.41,88.75,53279
2020-12-10,88.66,88.81,87.64,88.21,28695
2020-12-11,88.4,88.93,88.18,88.74,46439
2020-12-14,89.29,90.0,87.49,87.69,49326
2020-12-15,87.68,88.73,87.41,88.62,46812
2020-12-16,88.83,88.89,87.54,87.64,31305
2020-12-17,88.44,88.46,87.56,87.74,37438
2020-12-18,88.28,88.34,86.48,87.16,145419
2020-12-21,86.06,86.06,83.72,84.81,45007
2020-12-22,84.78,85.29,84.4,85.14,34529
2020-12-23,85.79,86.56,84.95,84.97,32648
2020-12-24,84.93,85.87,84.58,85.74,22780
2020-12-28,86.26,86.49,85.13,85.34,15553
2020-12-29,86.04,86.04,85.19,85.41,23541
2020-12-30,85.54,85.94,85.41,85.75,19994
2020-12-31,85.72,86.97,85.41,86.97,32069
2021-01-04,87.1,87.28,85.17,85.48,44210
2021-01-05,85.69,85.91,84.79,85.66,47305
