date,open,high,low,close,volume
2020-07-27,65.07,65.26,64.16,64.3,84892
2020-07-28,64.26,67.2,64.26,66.89,132375
2020-07-29,66.98,67.27,66.36,67.22,187957
2020-07-30,66.57,66.87,66.07,66.87,86049
2020-07-31,66.12,67.07,66.12,67.07,83411
2020-08-03,66.92,66.99,65.75,66.27,101644
2020-08-04,66.02,67.17,66.02,66.98,49932
2020-08-05,66.86,67.05,65.9,66.05,63715
2020-08-06,65.68,66.73,65.39,66.61,88260
2020-08-07,66.34,68.56,66.34,68.47,232211
2020-08-10,68.76,68.76,66.88,67.02,256529
2020-08-11,67.17,67.3,66.02,66.18,109479
2020-08-12,66.53,67.05,66.34,66.72,87067
2020-08-13,66.4,66.48,65.63,66.21,84951
2020-08-14,65.85,66.32,65.6,65.7,63947
2020-08-17,65.62,66.48,65.46,66.06,52158
2020-08-18,65.92,66.19,65.22,65.3,68584
2020-08-19,65.38,65.73,65.18,65.33,105408
2020-08-20,65.02,65.15,64.46,64.85,89198
2020-08-21,64.66,65.07,64.25,64.83,50994
2020-08-24,64.77,65.31,64.41,65.15,86970
2020-08-25,65.14,65.14,64.36,64.7,62856
2020-08-26,64.34,64.34,63.47,63.62,79904
2020-08-27,63.89,64.2,63.39,63.66,61788
2020-08-28,63.84,63.88,63.18,63.82,80668
2020-08-31,63.97,65.22,63.84,64.3,32397
2020-09-01,63.73,64.11,63.19,63.36,92843
2020-09-02,63.39,65.52,63.24,65.19,79484
2020-09-03,65.55,66.17,64.29,64.93,72249
2020-09-04,65.02,65.46,63.96,64.79,58362
2020-09-08,64.7,64.9,63.52,64.58,51080
2020-09-09,65.58,67.1,65.55,66.05,137093
2020-09-10,65.7,66.19,65.22,65.59,77773
2020-09-11,65.6,66.72,65.42,66.46,52938
2020-09-14,66.99,67.94,66.9,67.53,42394
2020-09-15,67.94,68.7,67.16,67.66,47748
2020-09-16,68.08,68.38,67.72,67.87,92591
2020-09-17,67.1,67.8,67.04,67.68,111270
2020-09-18,67.72,67.72,66.36,66.4,39114
2020-09-21,65.78,66.05,64.99,66.05,47141
2020-09-22,65.94,67.21,65.94,66.15,83729
2020-09-23,66.36,66.49,65.01,65.01,57056
2020-09-24,65.02,65.94,64.41,65.34,49103
2020-09-25,65.01,66.07,64.78,65.98,71355
2020-09-28,66.39,67.26,66.21,66.24,56698
2020-09-29,66.49,66.68,65.66,65.96,50269
2020-09-30,70.34,71.58,69.17,70.86,670723
2020-10-01,70.4,72.28,70.1,72.06,476999
2020-10-02,71.29,73.71,71.09,73.26,294321
2020-10-05,72.81,73.72,71.93,73.42,172665
2020-10-06,73.39,73.65,72.4,72.69,155863
2020-10-07,73.21,73.7,72.57,73.05,89408
2020-10-08,73.16,74.73,72.79,74.52,107729
2020-10-09,74.53,75.11,73.65,74.67,171134
2020-10-12,74.4,75.09,74.1,74.5,128656
2020-10-13,74.05,74.62,73.05,74.38,106249
2020-10-14,74.21,74.74,73.7,74.14,97244
