date,open,high,low,close,volume
2020-07-27,106.04,106.12,103.06,105.76,99204
2020-07-28,105.78,107.78,104.19,104.6,193036
2020-07-29,107.4,110.38,103.58,106.78,554928
2020-07-30,105.52,108.05,104.18,107.89,136528
2020-07-31,108.93,110.34,106.61,108.76,93344
2020-08-03,108.79,112.17,108.18,110.88,100156
2020-08-04,110.52,110.52,108.85,110.35,81136
2020-08-05,110.18,113.72,109.63,112.85,81320
2020-08-06,113.15,113.15,107.55,109.72,89048
2020-08-07,109.81,113.96,108.94,110.11,114560
2020-08-10,108.68,108.68,102.07,105.17,93500
2020-08-11,101.93,104.76,101.07,102.86,107036
2020-08-12,104.06,107.53,103.29,106.95,99948
2020-08-13,108.23,109.79,107.69,108.78,64720
2020-08-14,109.41,110.02,105.87,106.34,47220
2020-08-17,107.62,110.45,107.62,110.34,77548
2020-08-18,111.13,111.13,108.62,109.28,38708
2020-08-19,108.93,109.72,108.1,108.24,28740
2020-08-20,108.85,110.18,107.88,107.96,31896
2020-08-21,108.02,108.02,106.15,106.82,38932
2020-08-24,106.75,106.99,103.86,105.74,51240
2020-08-25,104.06,107.66,103.59,107.55,44660
2020-08-26,107.08,108.04,105.94,106.53,44924
2020-08-27,104.88,107.67,103.53,106.99,48580
2020-08-28,106.62,106.98,104.56,104.69,37196
2020-08-31,105.12,106.82,103.44,106.5,53056
2020-09-01,105.96,107.73,105.05,105.51,72604
2020-09-02,105.63,112.38,103.78,111.92,98232
2020-09-03,109.7,111.39,102.47,103.12,123160
2020-09-04,103.3,103.49,94.71,99.57,114860
2020-09-08,96.43,98.8,95.88,97.3,71220
2020-09-09,98.5,100.94,97.69,100.51,68824
2020-09-10,100.57,100.78,97.27,97.86,67100
2020-09-11,99.69,99.69,94.68,95.93,60784
2020-09-14,97.37,99.84,97.35,98.36,58860
2020-09-15,99.35,99.87,98.25,99.49,65612
2020-09-16,100.12,100.82,98.03,98.57,82948
2020-09-17,95.8,97.28,94.25,96.6,72512
2020-09-18,97.76,100.26,95.55,97.45,130052
2020-09-21,96.65,98.28,96.03,97.76,67168
2020-09-22,98.35,99.64,95.45,99.52,53864
2020-09-23,98.86,99.36,95.78,96.46,47616
2020-09-24,96.22,96.8,94.45,95.59,40296
2020-09-25,95.35,100.61,94.56,100.51,131444
2020-09-28,100.08,100.34,97.11,100.03,266760
2020-09-29,99.49,102.35,99.49,100.64,101176
2020-09-30,100.83,103.79,99.67,103.11,94420
2020-10-01,103.98,104.99,102.46,103.45,168316
2020-10-02,99.76,100.4,94.91,96.16,382860
2020-10-05,96.88,97.44,94.68,95.61,284520
2020-10-06,96.17,97.24,93.5,93.8,145208
2020-10-07,94.94,98.61,94.87,98.54,165364
2020-10-08,99.19,99.59,96.79,96.87,185008
2020-10-09,97.86,99.25,96.33,96.53,189832
2020-10-12,98.06,100.38,97.04,98.52,302504
2020-10-13,99.51,100.71,98.65,100.26,234404
2020-10-14,100.0,100.7,97.59,98.53,177196
2020-10-15,97.82,100.03,97.59,99.95,300712
2020-10-16,100.49,104.48,100.49,101.31,219692
2020-10-19,101.03,102.4,98.81,99.42,218536
2020-10-20,99.38,100.87,97.44,98.13,153848
2020-10-21,98.45,98.84,96.32,97.04,341796
2020-10-22,97.45,99.44,97.3,98.91,183380
2020-10-23,99.59,102.8,99.59,102.69,237588
2020-10-26,101.3,104.67,100.96,104.53,450732
2020-10-27,99.0,99.49,95.17,95.43,1972896
2020-10-28,90.84,90.84,82.66,87.56,1848252
2020-10-29,88.22,88.57,83.17,83.82,399312
2020-10-30,84.27,84.4,79.38,79.88,551996
2020-11-02,81.71,81.71,76.54,78.2,657924
2020-11-03,79.67,83.36,79.4,82.89,315336
2020-11-04,86.72,87.26,83.9,86.05,395900
2020-11-05,88.6,91.49,87.47,88.82,423532
2020-11-06,89.17,91.27,87.51,90.31,391396
2020-11-09,90.83,91.5,85.88,85.88,372376
2020-11-10,84.43,85.32,81.75,84.79,353548
2020-11-11,85.67,88.01,85.52,86.9,347720
2020-11-12,86.94,89.82,83.51,84.08,435104
2020-11-13,85.29,86.62,83.67,84.02,207452
2020-11-16,84.2,86.07,83.35,84.99,178352
2020-11-17,83.94,84.58,83.36,83.66,221068
2020-11-18,83.81,83.81,81.89,82.4,203292
2020-11-19,81.98,83.6,81.07,82.58,244548
2020-11-20,82.64,83.03,78.9,79.0,361740
2020-11-23,79.69,81.25,78.7,80.22,273380
2020-11-24,80.18,80.49,78.14,78.35,244464
2020-11-25,78.59,80.01,77.81,78.19,162120
2020-11-27,79.39,79.91,78.03,79.56,139532
2020-11-30,79.67,80.48,78.36,79.85,315508
2020-12-01,80.16,82.21,79.86,82.0,238336
2020-12-02,81.3,83.41,80.66,83.29,240480
2020-12-03,83.53,87.27,83.53,86.17,397240
2020-12-04,85.4,87.47,84.83,87.06,185796
2020-12-07,88.0,88.18,83.98,84.39,204380
2020-12-08,84.99,87.05,83.33,87.05,176872
2020-12-09,86.6,87.3,82.52,83.39,876360
2020-12-10,83.5,87.35,82.77,86.82,489932
2020-12-11,85.98,87.82,85.43,86.92,350704
2020-12-14,87.75,89.69,87.1,88.32,311196
2020-12-15,89.13,89.13,86.38,88.6,297728
2020-12-16,88.05,89.04,87.22,88.03,164728
2020-12-17,88.56,89.89,88.14,89.54,169852
2020-12-18,90.22,90.51,88.42,89.57,137552
2020-12-21,88.36,88.59,86.76,87.23,207404
2020-12-22,87.27,88.55,86.45,88.55,127084
2020-12-23,89.99,91.2,89.09,89.09,128716
2020-12-24,88.6,89.55,88.01,88.76,66696
2020-12-28,89.21,91.32,88.19,90.54,438624
2020-12-29,92.01,92.03,88.14,89.23,255832
2020-12-30,90.28,90.75,88.71,90.68,185824
2020-12-31,90.59,92.65,90.39,92.53,433064
2021-01-04,91.78,92.25,87.97,89.43,172928
2021-01-05,89.3,92.65,88.81,92.19,192200
2021-01-06,92.57,96.1,91.85,93.82,364880
2021-01-07,94.81,97.36,94.48,97.13,327920
2021-01-08,98.11,99.23,95.4,97.09,248684
2021-01-11,93.43,93.76,90.89,92.68,390732
2021-01-12,92.64,92.75,89.13,90.08,389916
2021-01-13,90.01,91.05,87.0,90.72,218120
2021-01-14,90.55,90.75,87.61,88.04,203836
2021-01-15,88.07,89.0,86.91,88.54,159160
