date,open,high,low,close,volume
2020-07-27,131.73,133.06,130.89,132.11,53840
2020-07-28,131.76,132.25,130.52,130.78,47035
2020-07-29,131.57,132.42,130.72,131.91,70127
2020-07-30,131.77,134.74,131.28,134.41,91175
2020-07-31,137.12,138.58,133.05,137.43,158672
2020-08-03,138.24,139.16,135.43,138.08,92128
2020-08-04,139.01,142.17,138.95,142.0,66773
2020-08-05,141.99,141.99,139.52,141.87,80678
2020-08-06,141.74,143.01,140.32,142.61,66586
2020-08-07,142.14,142.14,138.21,139.7,83822
2020-08-10,138.76,139.47,135.41,136.58,54970
2020-08-11,136.98,136.98,131.61,131.63,68756
2020-08-12,132.54,136.11,132.54,135.78,45848
2020-08-13,137.53,138.44,136.76,137.58,44538
2020-08-14,137.16,137.8,135.84,136.21,406626
2020-08-17,135.52,136.68,135.05,136.2,21790
2020-08-18,136.58,138.46,136.15,138.36,29101
2020-08-19,137.81,139.23,136.9,137.74,38806
2020-08-20,137.65,139.7,137.33,139.12,42776
2020-08-21,138.37,138.42,136.77,137.05,44167
2020-08-24,138.16,138.6,137.09,138.08,87293
2020-08-25,137.86,138.18,136.9,137.99,19392
2020-08-26,138.33,140.23,138.13,139.36,46285
2020-08-27,139.49,139.49,135.72,137.53,82604
2020-08-28,137.62,138.07,135.92,136.72,40155
2020-08-31,136.67,136.9,134.02,135.33,55996
2020-09-01,136.31,136.31,133.18,133.99,142921
2020-09-02,133.97,136.13,132.62,135.5,132417
2020-09-03,133.9,134.0,127.37,128.93,267135
2020-09-04,127.88,128.56,123.32,126.3,94833
2020-09-08,122.93,123.29,119.7,120.53,90627
2020-09-09,122.86,125.56,121.26,124.87,56542
2020-09-10,126.34,127.22,122.71,123.66,60841
2020-09-11,124.12,124.41,120.84,122.39,41217
2020-09-14,123.66,124.13,122.29,122.48,31545
2020-09-15,123.88,126.02,123.88,124.5,61470
2020-09-16,125.04,125.54,122.79,122.96,56104
2020-09-17,120.09,122.8,120.09,121.55,76084
2020-09-18,122.08,122.87,119.76,122.23,71619
2020-09-21,122.21,124.66,121.64,124.52,64919
2020-09-22,125.98,127.29,124.75,127.12,58798
2020-09-23,127.44,128.27,124.18,124.65,92408
2020-09-24,124.33,126.38,124.33,125.49,94101
2020-09-25,125.79,128.11,124.94,127.23,71379
2020-09-28,129.58,129.58,127.01,128.35,56649
2020-09-29,128.3,128.37,125.73,126.18,64035
2020-09-30,126.47,128.06,125.81,126.48,67402
2020-10-01,127.92,130.09,127.71,128.87,103452
2020-10-02,127.4,128.33,124.03,125.27,104321
2020-10-05,126.28,126.92,125.27,126.82,64316
2020-10-06,126.55,126.55,120.87,121.08,245403
2020-10-07,122.57,122.63,120.31,121.39,178058
2020-10-08,122.37,122.59,120.82,122.29,102542
2020-10-09,122.94,124.6,122.28,123.75,132310
2020-10-12,125.06,128.15,124.05,127.03,110825
2020-10-13,127.96,129.59,126.38,129.03,146557
2020-10-14,129.87,129.87,127.85,128.87,173479
2020-10-15,127.08,128.43,126.06,127.46,89190
2020-10-16,128.49,129.29,127.3,128.04,81948
2020-10-19,128.65,129.88,125.77,125.99,99521
2020-10-20,126.41,126.51,123.34,123.7,173038
2020-10-21,124.25,125.54,123.58,123.8,128285
2020-10-22,123.88,124.13,121.71,123.13,105541
2020-10-23,123.29,123.62,121.89,122.94,74591
2020-10-26,122.47,123.69,121.37,122.88,130698
2020-10-27,123.68,123.81,122.37,122.92,108978
2020-10-28,121.91,123.24,121.13,121.87,148201
2020-10-29,122.05,122.35,119.16,120.25,175086
2020-10-30,119.24,120.17,115.02,116.15,230580
2020-11-02,117.14,117.34,114.38,116.27,176128
2020-11-03,117.29,117.8,115.93,117.23,122442
2020-11-04,120.56,123.16,120.25,121.53,174576
2020-11-05,124.62,124.86,122.63,124.55,195701
2020-11-06,116.09,117.13,111.21,115.57,677117
2020-11-09,113.06,117.69,107.16,113.54,404959
2020-11-10,113.4,116.95,111.44,115.41,406786
2020-11-11,116.77,116.84,114.31,116.27,191296
2020-11-12,117.24,118.52,115.46,115.84,129260
2020-11-13,116.78,117.85,115.87,117.24,160277
2020-11-16,116.39,116.9,114.1,115.02,204904
2020-11-17,115.75,117.07,114.57,115.02,209719
2020-11-18,114.82,115.01,113.21,113.36,186364
2020-11-19,113.22,117.85,113.22,116.63,170372
2020-11-20,116.15,119.33,115.6,118.29,174173
2020-11-23,118.42,119.62,116.93,118.28,138257
2020-11-24,117.99,118.23,116.29,116.66,171954
2020-11-25,117.39,119.84,117.23,117.9,157834
2020-11-27,119.97,121.31,118.83,120.53,131571
2020-11-30,120.99,124.58,119.74,124.2,256621
2020-12-01,124.23,124.23,122.16,123.71,153995
2020-12-02,123.45,126.06,123.37,125.83,126177
2020-12-03,126.81,127.1,124.59,124.69,150663
2020-12-04,122.91,125.5,122.89,125.05,147444
2020-12-07,125.54,127.27,125.29,127.15,265010
2020-12-08,126.68,128.76,126.06,128.5,266471
2020-12-09,128.16,129.82,127.3,129.38,391612
2020-12-10,128.62,131.52,128.09,130.92,98217
2020-12-11,130.88,133.21,130.85,132.01,222746
2020-12-14,134.36,134.59,132.74,133.73,180134
2020-12-15,133.78,136.8,133.26,136.67,275344
2020-12-16,135.64,139.39,135.55,137.7,234634
2020-12-17,138.11,138.4,134.44,135.91,232511
2020-12-18,137.01,138.9,136.38,138.82,154697
2020-12-21,137.36,138.3,135.1,136.96,131731
2020-12-22,137.21,137.53,134.77,135.52,94487
2020-12-23,135.58,138.35,134.93,137.63,106674
2020-12-24,137.5,138.06,136.88,137.72,36306
2020-12-28,138.14,138.32,134.88,136.75,74675
2020-12-29,137.02,138.09,136.34,136.69,73311
2020-12-30,137.14,138.57,137.0,138.04,41736
2020-12-31,138.7,139.79,138.25,139.69,63256
2021-01-04,139.54,139.54,134.31,135.62,130780
2021-01-05,135.78,137.4,134.8,137.28,73644
2021-01-06,134.27,136.24,132.6,132.94,139439
2021-01-07,133.29,136.88,133.22,136.77,162873
2021-01-08,137.03,137.97,136.03,137.9,118135
2021-01-11,137.28,137.62,135.4,137.22,108132
2021-01-12,137.49,137.54,133.42,135.21,82974
2021-01-13,134.38,134.38,130.99,132.54,250005
2021-01-14,132.92,135.36,132.33,135.06,151785
2021-01-15,135.59,136.54,134.04,135.1,91778
2021-01-19,135.41,138.38,134.11,137.47,154810
2021-01-20,138.06,141.73,137.8,141.55,255100
2021-01-21,141.71,143.07,140.72,141.78,187206
2021-01-22,141.33,142.3,140.5,141.89,206660
2021-01-25,144.51,145.98,141.3,142.17,212893
2021-01-26,142.23,142.7,141.13,142.18,208965
2021-01-27,141.87,144.57,140.74,142.1,296504
2021-01-28,142.44,142.44,138.92,138.98,178288
2021-01-29,137.02,140.38,136.73,139.23,204216
2021-02-01,139.92,143.0,139.61,141.83,211329
2021-02-02,142.27,146.02,142.2,144.82,236338
2021-02-03,140.28,140.44,134.21,136.77,424858
2021-02-04,137.23,137.97,133.88,134.75,249519
2021-02-05,135.48,138.23,135.37,137.2,211798
2021-02-08,137.68,138.45,135.48,138.43,154744
2021-02-09,138.76,144.04,138.42,141.98,271197
2021-02-10,142.36,143.23,140.12,140.55,174192
2021-02-11,141.15,143.71,140.64,143.15,105244
2021-02-12,142.64,143.66,140.97,143.66,110318
2021-02-16,143.07,143.61,140.55,141.72,93812
2021-02-17,141.23,141.9,139.37,141.76,78811
2021-02-18,141.28,144.17,140.14,143.15,130244
2021-02-19,143.69,144.47,141.33,141.89,88703
2021-02-22,140.43,141.22,138.18,138.29,75597
2021-02-23,136.1,137.9,132.41,137.24,155985
2021-02-24,135.46,135.6,133.1,133.79,235201
2021-02-25,133.48,135.0,130.4,131.44,137700
2021-02-26,132.05,133.91,130.19,130.31,249923
2021-03-01,131.66,133.9,131.23,133.42,160400
2021-03-02,133.97,134.51,131.97,133.09,119364
2021-03-03,131.97,132.81,129.16,129.46,124826
2021-03-04,128.67,131.09,127.02,127.74,161386
2021-03-05,128.18,129.26,126.07,129.0,197523
2021-03-08,128.42,128.89,123.74,123.74,135713
2021-03-09,126.45,129.38,126.45,127.36,156824
2021-03-10,128.92,128.92,126.34,126.65,205622
2021-03-11,128.79,129.16,127.55,127.77,172833
2021-03-12,126.51,127.44,125.72,126.97,87626
2021-03-15,127.02,127.38,125.69,127.38,93394
2021-03-16,128.2,130.08,128.07,128.23,70274
2021-03-17,127.06,127.4,125.35,127.05,147948
2021-03-18,126.54,126.73,123.87,124.54,358087
2021-03-19,125.04,126.22,124.56,124.96,131099
2021-03-22,125.91,128.86,125.58,127.93,145530
2021-03-23,127.66,130.8,127.66,129.46,155613
2021-03-24,128.59,129.44,126.31,126.46,89158
2021-03-25,125.57,126.9,124.75,126.47,109136
2021-03-26,126.78,129.36,126.27,129.35,123399
2021-03-29,128.67,132.27,128.28,131.36,148728
2021-03-30,129.22,130.85,128.97,130.84,69783
2021-03-31,130.87,132.93,130.87,131.81,87796
2021-04-01,132.94,134.58,132.94,134.26,99153
2021-04-05,134.45,137.88,133.59,137.88,187279
2021-04-06,137.18,138.57,136.61,137.48,110813
2021-04-07,137.35,138.88,137.0,138.08,85122
