date,open,high,low,close,volume
2020-07-27,60.57,60.7,59.77,60.29,50969
2020-07-28,60.76,61.82,60.64,61.63,68061
2020-07-29,61.48,61.97,60.9,61.9,114360
2020-07-30,61.3,62.21,61.25,62.05,100025
2020-07-31,61.73,62.1,61.19,62.0,66981
2020-08-03,61.7,61.7,60.72,61.32,40096
2020-08-04,61.35,61.72,61.03,61.19,41299
2020-08-05,61.18,61.25,59.28,59.36,65046
2020-08-06,59.64,59.74,59.0,59.65,85778
2020-08-07,59.34,61.08,59.07,60.55,70825
2020-08-10,61.05,61.53,60.65,60.8,69769
2020-08-11,60.56,60.57,58.98,59.11,65788
2020-08-12,59.33,60.38,59.26,59.93,67908
2020-08-13,59.33,59.7,58.88,59.5,67378
2020-08-14,59.13,59.69,58.83,59.35,43010
2020-08-17,59.41,60.49,59.21,59.98,112037
2020-08-18,59.99,60.24,59.59,59.73,87095
2020-08-19,59.63,60.16,59.56,59.84,69830
2020-08-20,59.44,60.07,58.95,59.0,85526
2020-08-21,58.88,59.14,58.0,58.85,154748
2020-08-24,58.92,60.55,58.54,60.52,115825
2020-08-25,60.62,60.62,59.24,59.5,98223
2020-08-26,58.72,58.72,57.35,57.68,69728
2020-08-27,58.18,58.47,57.5,57.9,69339
2020-08-28,57.64,57.91,57.12,57.78,47755
2020-08-31,57.63,58.2,57.59,58.17,48649
2020-09-01,57.85,57.85,56.54,56.76,54113
2020-09-02,56.62,58.94,56.5,58.88,90757
2020-09-03,59.38,59.94,58.5,59.0,111165
2020-09-04,59.16,59.87,58.6,59.52,88817
2020-09-08,59.65,59.79,58.76,59.33,146375
2020-09-09,59.7,60.73,59.38,59.46,50864
2020-09-10,58.78,59.63,58.47,59.34,72242
2020-09-11,59.22,59.49,58.82,59.29,55119
2020-09-14,59.73,60.65,59.52,60.45,43913
2020-09-15,60.76,61.58,60.27,60.72,78701
2020-09-16,60.67,62.19,60.67,61.69,110887
2020-09-17,60.98,62.37,60.98,61.9,93229
2020-09-18,61.65,61.65,60.01,60.2,61200
2020-09-21,60.04,60.04,58.49,59.36,35224
2020-09-22,59.41,60.45,59.33,60.06,98010
2020-09-23,60.01,60.25,59.66,59.7,50865
2020-09-24,59.81,60.41,59.17,60.23,42019
2020-09-25,59.87,61.82,59.87,61.75,98099
2020-09-28,61.89,62.87,61.57,62.12,114781
2020-09-29,62.35,63.31,62.22,62.73,75321
2020-09-30,63.11,63.59,62.87,63.41,44027
2020-10-01,63.45,64.42,63.45,64.41,140077
2020-10-02,64.04,65.35,63.84,65.03,77400
2020-10-05,64.88,65.44,64.51,65.17,86974
2020-10-06,65.03,66.17,64.77,65.85,74462
2020-10-07,66.08,66.16,65.1,65.9,93445
2020-10-08,66.11,67.09,66.11,67.01,65222
2020-10-09,67.15,67.53,66.43,67.27,51414
2020-10-12,67.14,67.74,67.14,67.58,40315
2020-10-13,67.02,67.33,65.92,67.09,65607
2020-10-14,67.08,67.36,66.46,67.0,58183
2020-10-15,66.43,67.02,65.94,66.65,71600
2020-10-16,66.67,67.4,66.26,66.57,86250
2020-10-19,66.48,67.0,65.68,65.83,51939
2020-10-20,65.27,66.21,65.2,65.69,88466
2020-10-21,65.48,65.91,65.14,65.48,73877
2020-10-22,65.54,66.43,65.23,66.34,72662
2020-10-23,66.61,66.88,66.25,66.47,130346
2020-10-26,66.17,67.51,65.95,67.44,59108
2020-10-27,67.43,68.33,67.05,67.67,93371
