date,open,high,low,close,volume
2020-07-27,160.14,160.14,156.35,157.79,35859
2020-07-28,158.05,158.61,154.84,155.02,45760
2020-07-29,155.77,158.47,155.67,158.1,38588
2020-07-30,156.84,157.02,154.89,155.99,35143
2020-07-31,155.76,155.77,153.13,155.21,20611
2020-08-03,156.01,156.08,154.29,155.49,15789
2020-08-04,154.98,155.87,152.96,153.36,11993
2020-08-05,154.94,155.61,154.52,155.24,7741
2020-08-06,155.31,155.37,154.9,155.09,6307
2020-08-07,155.21,158.92,155.21,158.92,19935
2020-08-10,158.84,159.39,156.48,157.15,28068
2020-08-11,156.14,159.55,154.62,157.01,34359
2020-08-12,158.26,160.56,158.26,159.24,13364
2020-08-13,158.52,159.93,158.42,159.19,12764
2020-08-14,158.87,159.46,156.54,157.14,20460
2020-08-17,157.43,158.77,156.81,156.98,17553
2020-08-18,156.81,158.87,156.8,157.21,25108
2020-08-19,157.45,157.45,153.94,154.61,15286
2020-08-20,153.33,154.61,153.3,154.11,38249
2020-08-21,153.55,153.55,151.22,151.95,41955
2020-08-24,152.29,152.85,150.52,152.38,134774
2020-08-25,152.49,154.15,152.38,153.19,30486
2020-08-26,152.81,155.32,152.52,154.19,42217
2020-08-27,155.0,159.77,155.0,159.05,31867
2020-08-28,158.19,161.66,158.19,161.07,33279
2020-08-31,159.21,161.3,158.53,161.3,24426
2020-09-01,160.34,161.43,159.34,161.43,55629
2020-09-02,162.06,167.06,162.0,166.49,15446
2020-09-03,165.91,165.98,160.22,161.61,33947
2020-09-04,162.83,163.85,159.05,159.47,37972
2020-09-08,157.52,158.99,153.82,156.65,98421
2020-09-09,160.25,162.52,158.67,160.42,58589
2020-09-10,159.89,162.01,154.65,154.81,58658
2020-09-11,155.12,155.8,153.5,155.51,72319
2020-09-14,157.77,158.23,156.21,156.25,42033
2020-09-15,157.01,157.15,152.6,153.3,41619
2020-09-16,153.86,154.11,152.02,152.11,39905
2020-09-17,149.63,152.39,149.24,152.2,42226
2020-09-18,152.04,152.04,147.95,149.29,25657
2020-09-21,147.88,148.41,145.69,148.41,48890
2020-09-22,150.03,150.03,148.65,149.29,52069
2020-09-23,149.35,149.49,144.5,145.59,38990
2020-09-24,144.68,146.64,144.1,145.26,26583
2020-09-25,145.65,150.06,145.06,149.67,62896
2020-09-28,151.46,152.38,151.05,151.05,18270
2020-09-29,152.38,154.09,150.78,151.18,37411
2020-09-30,151.06,152.28,149.6,150.15,18727
2020-10-01,151.34,151.96,150.4,151.22,57241
2020-10-02,149.75,153.63,149.75,152.04,37656
2020-10-05,152.6,153.41,151.53,152.92,35560
