date,open,high,low,close,volume
2020-07-27,195.19,196.26,192.96,194.01,16432
2020-07-28,193.17,193.35,190.13,190.15,19307
2020-07-29,192.12,193.77,191.29,193.14,13143
2020-07-30,189.3,192.19,188.44,190.0,20629
2020-07-31,190.07,191.98,188.77,191.73,15429
2020-08-03,192.39,195.98,192.39,194.28,12564
2020-08-04,194.09,194.56,190.87,191.19,18463
2020-08-05,194.31,195.83,192.75,193.4,21831
2020-08-06,192.28,199.28,190.66,196.72,40694
2020-08-07,195.66,204.4,195.4,204.29,35642
2020-08-10,204.08,206.54,203.3,203.87,13268
2020-08-11,205.96,207.95,200.65,200.73,18330
2020-08-12,204.11,204.11,200.35,200.35,7894
2020-08-13,199.05,199.95,197.71,198.17,12665
2020-08-14,197.15,200.54,197.15,198.08,10596
2020-08-17,197.58,198.16,195.08,195.1,24960
2020-08-18,194.25,195.06,193.82,194.2,23261
2020-08-19,194.95,194.95,190.8,191.14,24778
2020-08-20,189.5,190.69,188.07,190.35,23363
2020-08-21,190.29,191.04,187.72,188.03,17021
2020-08-24,189.97,192.57,189.97,191.96,16938
2020-08-25,193.39,193.88,192.25,192.47,10171
2020-08-26,190.45,191.95,189.9,190.92,14709
2020-08-27,194.3,198.46,194.3,195.09,22556
2020-08-28,195.79,196.3,193.1,194.84,17225
2020-08-31,192.87,194.53,191.8,193.72,17459
2020-09-01,192.49,193.68,191.51,192.84,13574
2020-09-02,190.92,194.02,190.82,193.1,14839
2020-09-03,197.08,197.08,189.92,191.26,14717
2020-09-04,194.12,194.99,189.58,190.98,6797
2020-09-08,188.44,188.69,184.82,187.22,12173
2020-09-09,188.89,191.88,187.43,189.34,8210
2020-09-10,189.05,189.47,183.76,183.76,19177
2020-09-11,182.95,184.97,182.67,182.67,27590
2020-09-14,184.01,187.65,184.01,186.01,9251
2020-09-15,185.38,185.91,182.01,182.52,11022
2020-09-16,183.14,185.9,181.89,182.53,8920
2020-09-17,180.39,183.06,179.25,181.34,17012
2020-09-18,181.55,182.26,177.73,178.07,7701
2020-09-21,176.15,179.17,176.12,179.12,96243
2020-09-22,180.03,182.83,176.59,177.03,36171
2020-09-23,178.23,178.23,173.54,174.59,13701
2020-09-24,173.11,178.27,172.48,176.88,19982
2020-09-25,175.64,176.61,173.56,175.81,13402
2020-09-28,179.8,180.74,178.5,178.57,7009
2020-09-29,177.57,178.82,174.71,177.14,8795
2020-09-30,177.56,178.56,172.34,175.1,31163
2020-10-01,175.33,177.78,172.57,174.38,41331
2020-10-02,171.35,177.01,171.02,176.01,23703
2020-10-05,177.28,180.72,177.28,180.72,28551
2020-10-06,181.48,182.48,176.53,177.39,14942
2020-10-07,177.18,177.37,172.79,175.85,29156
2020-10-08,178.42,181.39,178.29,180.69,20609
2020-10-09,182.07,182.92,180.05,181.51,24778
2020-10-12,181.44,183.68,181.35,182.28,15749
2020-10-13,181.34,181.34,177.04,179.02,22991
2020-10-14,178.16,182.13,178.16,179.2,24445
2020-10-15,177.35,179.12,176.15,178.86,15239
2020-10-16,179.0,180.05,177.35,177.93,8759
2020-10-19,177.79,178.34,174.71,174.81,13125
2020-10-20,177.03,178.45,176.19,176.89,13809
2020-10-21,177.6,182.41,177.6,181.86,31670
2020-10-22,181.25,183.89,181.25,183.45,32497
2020-10-23,185.75,189.88,185.24,189.52,43609
2020-10-26,187.68,188.29,183.52,185.39,61858
2020-10-27,184.22,184.22,178.99,179.13,36435
