date,open,high,low,close,volume
2020-07-27,246.86,247.7,242.0,242.5,58460
2020-07-28,242.44,245.77,242.31,243.74,42968
2020-07-29,246.57,262.09,246.27,258.76,83429
2020-07-30,256.55,256.57,250.25,254.8,31313
2020-07-31,254.35,254.82,248.47,251.56,38305
2020-08-03,253.4,254.37,247.69,248.66,38843
2020-08-04,248.44,250.63,246.12,248.93,43481
2020-08-05,249.87,253.59,248.93,253.21,44343
2020-08-06,252.23,254.82,247.35,249.43,39884
2020-08-07,249.65,255.56,249.65,253.99,40854
2020-08-10,254.28,257.34,254.04,256.09,24156
2020-08-11,261.01,264.34,256.69,257.78,55274
2020-08-12,260.64,262.73,257.92,260.63,28522
2020-08-13,256.46,259.39,255.85,259.32,21023
2020-08-14,257.69,261.88,256.74,260.16,38619
2020-08-17,260.25,262.57,259.69,260.14,14943
2020-08-18,260.99,262.16,259.06,259.41,35110
2020-08-19,260.26,263.03,259.84,260.37,18659
2020-08-20,259.08,260.22,257.89,258.89,20673
2020-08-21,259.17,262.84,259.17,261.47,35493
2020-08-24,263.45,263.71,255.98,256.44,24312
2020-08-25,257.98,257.98,252.95,254.03,52169
2020-08-26,254.14,254.14,245.57,248.27,29215
2020-08-27,248.78,255.72,247.52,252.27,36028
2020-08-28,251.57,256.15,250.87,254.73,16606
2020-08-31,254.75,261.13,254.75,259.01,43442
2020-09-01,256.88,257.37,250.82,250.91,66196
2020-09-02,252.56,258.22,251.72,257.42,59773
2020-09-03,259.09,260.88,252.27,254.83,41860
2020-09-04,256.13,256.43,248.78,253.93,33424
2020-09-08,251.35,251.39,244.89,245.43,63119
2020-09-09,246.89,248.08,244.02,246.8,27780
2020-09-10,246.97,248.76,240.43,240.48,31787
2020-09-11,243.37,244.11,234.77,237.97,68792
2020-09-14,239.33,248.1,239.19,245.23,36255
2020-09-15,245.7,245.84,238.82,239.79,50673
2020-09-16,241.5,244.98,238.93,243.29,53287
2020-09-17,241.46,243.82,239.65,242.39,40478
2020-09-18,241.96,245.27,240.88,243.65,20061
2020-09-21,236.51,237.79,231.01,237.62,37135
2020-09-22,236.89,237.48,227.35,228.07,145982
2020-09-23,228.75,231.35,225.97,226.39,55183
2020-09-24,225.46,229.84,225.46,229.48,48274
2020-09-25,228.83,236.09,227.92,235.57,54228
2020-09-28,238.82,240.97,236.36,236.92,27446
