date,open,high,low,close,volume
2020-07-27,55.65,56.06,55.54,55.97,40355
2020-07-28,55.62,55.62,54.86,54.93,26782
2020-07-29,55.17,56.35,55.07,56.25,100091
2020-07-30,55.32,55.32,54.4,55.26,52040
2020-07-31,54.92,54.92,53.63,54.68,84473
2020-08-03,55.11,56.14,54.94,55.38,93141
2020-08-04,55.32,56.08,54.17,54.59,125642
2020-08-05,55.58,57.29,55.45,57.06,100257
2020-08-06,57.25,57.6,56.96,57.39,51775
2020-08-07,57.58,58.56,57.05,58.51,85873
2020-08-10,58.62,60.43,58.62,60.14,88294
2020-08-11,61.92,63.07,61.78,62.0,146143
2020-08-12,62.6,63.38,62.03,63.38,282073
2020-08-13,62.74,63.24,62.18,62.37,88377
2020-08-14,61.83,62.42,61.68,61.82,26731
2020-08-17,62.09,62.51,61.34,61.52,27603
2020-08-18,61.53,61.6,60.67,60.69,46293
2020-08-19,60.69,61.15,60.41,60.6,59105
2020-08-20,60.11,60.32,59.92,60.11,156800
2020-08-21,60.31,60.4,59.88,60.26,33862
2020-08-24,60.63,61.81,60.38,61.81,123722
2020-08-25,62.34,62.54,61.46,61.94,25004
2020-08-26,61.76,62.8,61.34,62.42,76334
2020-08-27,62.83,63.2,61.43,61.82,52913
2020-08-28,61.83,62.97,61.64,62.75,39283
2020-08-31,62.64,62.64,61.59,61.78,40487
2020-09-01,61.71,62.31,61.44,62.31,69357
2020-09-02,62.14,63.03,61.94,62.79,66213
2020-09-03,63.07,63.1,60.56,61.03,52182
2020-09-04,62.03,62.58,61.01,61.79,75306
2020-09-08,61.18,61.3,60.13,60.2,48300
2020-09-09,60.82,61.73,60.76,61.01,41835
2020-09-10,61.02,61.24,59.73,60.02,53639
2020-09-11,60.32,60.81,60.0,60.36,79336
2020-09-14,60.6,61.11,60.17,60.65,81267
2020-09-15,61.15,61.65,60.72,60.76,60164
2020-09-16,61.17,61.52,60.01,60.98,87921
2020-09-17,60.32,61.53,59.9,61.32,61721
2020-09-18,61.53,61.76,60.21,60.27,22966
2020-09-21,59.03,59.31,56.99,57.71,56695
