date,open,high,low,close,volume
2020-07-27,658.57,674.26,658.03,673.75,20239
2020-07-28,674.22,676.47,668.1,671.39,11453
2020-07-29,677.52,687.0,675.58,686.69,35553
2020-07-30,695.95,701.14,689.16,694.56,42196
2020-07-31,691.79,701.08,688.4,701.08,21817
2020-08-03,697.31,700.6,692.33,695.35,24788
2020-08-04,692.39,709.3,692.39,708.58,20201
2020-08-05,711.52,711.55,702.44,709.21,23685
2020-08-06,705.92,707.88,702.09,707.38,9652
2020-08-07,707.07,712.22,704.05,705.49,22446
2020-08-10,712.02,714.07,696.49,698.12,20073
2020-08-11,692.03,692.68,674.53,675.29,22009
2020-08-12,680.75,692.51,676.3,689.91,14780
2020-08-13,689.66,693.56,686.03,687.32,17663
2020-08-14,688.29,692.92,677.15,680.47,19313
2020-08-17,677.44,689.48,677.39,689.47,25030
2020-08-18,692.17,707.09,691.14,703.24,22217
2020-08-19,708.07,708.07,694.01,696.88,12763
2020-08-20,700.29,705.74,700.29,703.44,10676
2020-08-21,704.55,704.55,693.81,701.35,15166
2020-08-24,697.8,699.26,683.58,690.91,20335
2020-08-25,694.03,699.53,691.55,697.72,11225
2020-08-26,698.29,699.33,691.01,699.15,13366
2020-08-27,703.13,712.22,703.13,708.01,17392
2020-08-28,697.49,705.38,697.31,704.32,20246
2020-08-31,705.91,712.61,705.91,707.63,26233
2020-09-01,707.05,707.12,695.73,707.12,11890
2020-09-02,700.97,717.47,696.41,717.07,13519
2020-09-03,709.42,709.42,676.61,682.7,31264
2020-09-04,682.18,682.72,664.92,673.15,10070
2020-09-08,666.6,674.36,661.71,664.87,11428
2020-09-09,674.64,681.05,673.03,675.4,17999
2020-09-10,672.62,674.76,664.96,664.96,10775
2020-09-11,668.94,672.08,661.86,669.07,8448
2020-09-14,674.78,681.52,674.78,677.99,15195
2020-09-15,686.16,692.47,683.88,686.72,13561
2020-09-16,695.36,700.23,687.15,687.23,10287
2020-09-17,682.42,685.56,667.5,676.33,13899
2020-09-18,674.82,678.13,668.93,673.79,14049
2020-09-21,671.09,672.73,655.11,667.47,21363
2020-09-22,672.56,676.75,667.66,671.88,29275
2020-09-23,672.9,674.25,654.29,654.62,23771
2020-09-24,658.8,666.27,654.58,657.19,21607
2020-09-25,659.2,672.21,658.9,671.8,15822
2020-09-28,681.15,689.76,681.15,684.83,12397
2020-09-29,684.01,687.45,682.95,682.99,30628
2020-09-30,685.73,688.79,674.5,681.91,22807
2020-10-01,683.8,689.92,677.15,688.1,39198
2020-10-02,681.95,698.16,681.4,697.32,26479
2020-10-05,697.01,705.85,683.23,705.85,32022
2020-10-06,703.03,711.1,695.06,707.44,23169
2020-10-07,708.71,721.67,708.67,719.4,47859
2020-10-08,718.77,740.83,718.77,738.5,57429
2020-10-09,741.52,744.9,739.85,743.61,34203
2020-10-12,745.99,752.0,738.68,748.35,32332
2020-10-13,750.03,750.03,736.76,739.55,30981
2020-10-14,738.3,741.68,728.01,731.81,43788
2020-10-15,729.09,736.16,727.47,729.4,28330
