date,open,high,low,close,volume
2020-07-27,43.07,43.07,42.14,42.63,57275
2020-07-28,42.72,44.01,42.44,43.68,79352
2020-07-29,43.76,43.76,42.12,42.84,86295
2020-07-30,42.27,43.17,42.12,43.12,76372
2020-07-31,42.72,42.91,42.04,42.88,53214
2020-08-03,42.21,42.31,41.75,41.86,42360
2020-08-04,41.96,42.91,41.41,42.69,49070
2020-08-05,43.2,43.23,42.53,42.65,47400
2020-08-06,42.52,43.19,42.52,42.92,95605
2020-08-07,42.66,44.33,42.65,44.12,70491
2020-08-10,44.4,44.72,43.87,44.23,58590
2020-08-11,44.87,44.89,43.56,43.76,44227
2020-08-12,44.05,44.05,43.27,43.84,35740
2020-08-13,43.32,43.86,42.65,42.77,34640
2020-08-14,42.74,44.02,42.39,43.47,93605
2020-08-17,43.47,44.27,43.24,44.27,53135
2020-08-18,44.29,44.29,43.53,44.25,78666
2020-08-19,44.19,44.19,43.14,43.3,66832
2020-08-20,43.68,44.36,43.62,44.17,30945
2020-08-21,44.19,44.39,42.99,43.71,89907
2020-08-24,43.44,44.77,43.3,44.69,93353
2020-08-25,44.65,45.22,44.59,45.22,44828
2020-08-26,44.76,44.76,43.66,43.92,102781
2020-08-27,44.11,45.39,44.11,45.26,67931
2020-08-28,45.21,45.57,44.97,45.56,43831
2020-08-31,45.29,45.32,44.78,45.14,79562
2020-09-01,45.34,45.39,44.77,45.39,66486
2020-09-02,45.24,46.16,45.18,46.12,42883
2020-09-03,46.36,47.16,45.61,45.9,60422
2020-09-04,46.17,46.96,45.76,46.45,57594
2020-09-08,46.27,46.27,45.45,45.87,40820
2020-09-09,45.79,46.47,45.18,45.42,50801
2020-09-10,45.08,45.15,44.1,44.61,89526
2020-09-11,44.53,44.53,43.36,43.72,113145
2020-09-14,44.11,45.65,44.11,45.53,59314
2020-09-15,45.21,45.89,44.73,45.04,90150
2020-09-16,45.29,45.85,45.23,45.47,44660
2020-09-17,45.1,45.8,44.29,44.56,69831
2020-09-18,44.43,44.43,43.39,43.4,65473
2020-09-21,42.82,42.88,41.49,41.53,104833
2020-09-22,41.57,42.53,41.57,42.08,118451
2020-09-23,42.0,42.59,40.89,40.98,125839
2020-09-24,41.08,41.42,40.47,40.84,141581
2020-09-25,40.73,41.71,40.62,41.71,149917
2020-09-28,42.48,42.8,41.97,42.46,109838
2020-09-29,42.34,42.4,40.97,41.32,148466
2020-09-30,41.76,41.87,41.03,41.53,103675
2020-10-01,41.67,43.27,41.53,43.26,185587
2020-10-02,42.41,44.84,42.13,44.64,337996
2020-10-05,45.3,45.54,44.15,44.98,179582
2020-10-06,45.21,45.41,44.41,44.64,173102
2020-10-07,44.83,44.87,43.96,44.27,75927
2020-10-08,44.62,45.46,44.62,45.46,110566
2020-10-09,45.6,45.6,44.74,45.05,106230
2020-10-12,44.84,44.89,44.29,44.77,64384
2020-10-13,44.4,44.74,43.17,43.26,95251
2020-10-14,43.18,43.31,42.44,42.72,100826
2020-10-15,42.43,43.01,42.2,42.31,83508
2020-10-16,42.47,42.52,41.76,41.95,137778
2020-10-19,42.16,42.16,40.99,40.99,112899
2020-10-20,41.43,41.53,41.0,41.17,100043
2020-10-21,40.91,41.39,40.67,40.87,144401
2020-10-22,41.04,41.24,40.6,41.16,127279
2020-10-23,41.52,41.57,40.81,41.51,122409
2020-10-26,41.38,41.49,40.3,41.01,92035
2020-10-27,41.1,41.22,40.25,40.26,102406
2020-10-28,38.89,38.92,36.86,37.38,408038
2020-10-29,37.42,37.81,36.75,37.43,323573
2020-10-30,37.32,38.13,37.32,38.0,166127
2020-11-02,38.18,39.9,37.64,39.85,203500
2020-11-03,40.44,42.84,40.44,42.49,213975
2020-11-04,41.84,42.18,40.96,41.07,191607
2020-11-05,41.25,42.46,41.03,42.13,161488
2020-11-06,42.1,42.29,41.37,41.63,105173
2020-11-09,47.66,54.51,47.66,47.96,931699
2020-11-10,48.34,50.68,48.23,49.74,635327
2020-11-11,49.33,49.64,47.75,48.2,320264
2020-11-12,47.78,48.14,46.79,47.33,113807
2020-11-13,47.22,48.87,47.22,48.64,111659
2020-11-16,50.73,50.91,49.18,50.73,206724
2020-11-17,49.95,50.87,49.35,50.58,129824
2020-11-18,50.22,50.92,48.5,48.53,137118
2020-11-19,48.13,48.67,47.37,48.44,245828
2020-11-20,48.63,49.1,48.35,48.97,141744
2020-11-23,49.26,49.6,48.6,48.79,140127
2020-11-24,49.56,50.35,49.07,49.58,203677
2020-11-25,49.24,49.33,48.62,48.89,76765
2020-11-27,48.8,48.81,47.57,47.82,99740
2020-11-30,47.6,48.0,46.6,46.86,240420
2020-12-01,47.9,48.01,47.32,47.72,98592
2020-12-02,47.71,49.22,47.64,48.81,118780
2020-12-03,48.98,50.41,48.77,50.11,146111
2020-12-04,50.6,51.4,50.41,51.25,148576
2020-12-07,50.8,51.28,50.52,50.74,113205
2020-12-08,50.46,50.83,50.08,50.52,114952
2020-12-09,50.61,50.8,49.14,49.53,74071
2020-12-10,49.14,49.81,48.34,48.37,145688
2020-12-11,47.91,48.5,47.37,47.67,96108
2020-12-14,47.96,48.39,46.84,46.84,67190
2020-12-15,47.1,47.95,46.43,47.95,77787
2020-12-16,48.13,48.68,47.13,47.77,150058
2020-12-17,48.13,48.67,47.46,48.25,71317
2020-12-18,47.95,48.41,46.24,46.68,130880
2020-12-21,45.94,46.87,45.66,46.8,90624
2020-12-22,46.91,46.91,46.35,46.82,96000
2020-12-23,46.98,47.51,46.13,46.2,45477
2020-12-24,46.58,47.13,46.16,47.09,55451
2020-12-28,47.09,48.09,47.09,48.04,81144
2020-12-29,48.31,48.37,47.16,47.2,68444
2020-12-30,47.54,47.83,47.36,47.65,69764
2020-12-31,47.84,48.48,47.26,48.44,77538
2021-01-04,48.73,49.01,46.76,46.98,124611
2021-01-05,46.91,47.16,46.43,46.64,71743
2021-01-06,47.32,48.25,46.88,47.9,89653
2021-01-07,47.44,47.64,47.0,47.35,120928
2021-01-08,47.41,47.7,47.18,47.6,62373
2021-01-11,47.38,47.62,46.69,47.45,115533
