date,open,high,low,close,volume
2020-07-27,185.63,187.79,185.63,187.74,1292
2020-07-28,184.58,186.73,184.58,186.04,1597
2020-07-29,186.53,187.66,186.53,187.66,653
2020-07-30,187.92,187.92,187.92,187.92,736
2020-07-31,189.52,189.52,184.2,188.48,2185
2020-08-03,189.81,191.79,188.71,191.42,2952
2020-08-04,191.22,191.33,190.72,191.33,1077
2020-08-05,190.88,194.09,190.88,194.09,974
2020-08-06,192.89,193.73,192.89,193.73,295
2020-08-07,193.68,194.49,192.34,193.94,2487
2020-08-10,192.52,193.96,192.24,193.96,751
2020-08-11,195.74,195.74,194.79,195.31,484
2020-08-13,190.77,193.47,190.77,193.47,1549
2020-08-14,195.67,195.67,193.67,194.3,650
2020-08-17,195.94,195.94,195.94,195.94,254
2020-08-18,196.33,198.63,196.33,198.04,1321
2020-08-19,196.94,199.29,196.86,199.29,1854
2020-08-20,198.87,198.87,197.44,197.44,651
2020-08-21,191.93,191.93,189.75,190.54,689
2020-08-24,184.92,184.98,184.92,184.98,445
2020-08-25,186.16,189.19,186.16,189.02,4866
2020-08-26,186.06,188.02,182.65,183.07,2953
2020-08-27,188.31,188.31,188.31,188.31,245
2020-08-28,186.24,186.64,186.24,186.64,343
2020-08-31,189.41,191.87,189.41,190.57,753
2020-09-01,189.24,190.01,189.24,189.92,820
2020-09-02,194.79,194.79,194.79,194.79,376
2020-09-03,194.45,194.45,193.03,193.03,1025
2020-09-04,186.96,189.3,186.96,188.66,542
2020-09-08,187.63,190.7,184.5,188.57,5116
2020-09-09,195.96,199.21,195.71,197.33,2111
2020-09-10,196.71,198.63,196.36,196.82,2950
2020-09-11,198.98,199.55,196.25,196.6,1692
2020-09-14,201.36,202.09,200.01,200.01,2420
2020-09-15,199.63,199.63,196.79,196.87,4518
2020-09-16,199.06,199.9,198.75,199.06,1949
2020-09-17,198.63,199.18,197.85,198.45,4924
2020-09-18,199.34,200.87,194.88,196.5,4647
2020-09-21,198.05,198.05,188.11,190.24,2657
2020-09-22,186.68,190.64,185.92,186.36,4758
2020-09-23,184.77,187.4,181.3,181.59,10819
2020-09-24,187.31,187.31,181.26,181.26,3745
2020-09-25,181.17,182.53,180.42,182.53,1659
2020-09-28,187.14,187.15,185.85,185.85,941
2020-09-29,186.82,188.1,186.24,187.41,2131
2020-09-30,189.39,189.39,186.4,188.04,2485
2020-10-01,188.44,189.48,185.17,188.39,5606
2020-10-02,188.82,192.8,188.43,190.75,3887
2020-10-05,191.48,195.94,191.48,195.72,5426
2020-10-06,198.11,198.27,194.9,195.94,2193
2020-10-07,200.02,200.02,196.83,197.28,5102
2020-10-08,197.64,198.92,196.65,198.19,3441
2020-10-09,199.08,200.84,198.11,198.47,4827
2020-10-12,198.19,204.18,198.19,204.18,2983
2020-10-13,205.48,206.91,203.77,205.55,4645
2020-10-14,206.93,207.87,203.55,203.55,2940
2020-10-15,205.69,206.27,202.66,205.52,8787
2020-10-16,205.35,205.38,204.3,205.03,8870
2020-10-19,206.46,207.08,202.38,202.6,2762
2020-10-20,204.14,204.14,201.04,201.51,3476
2020-10-21,204.28,206.55,204.28,205.34,6042
2020-10-22,206.86,208.57,206.39,207.44,7789
2020-10-23,205.88,207.69,204.91,206.62,6049
2020-10-26,206.39,206.79,204.07,204.81,4000
2020-10-27,207.31,213.32,207.31,210.0,12677
2020-10-28,210.0,214.32,208.1,210.51,19051
2020-10-29,209.13,216.96,208.89,212.46,12266
2020-10-30,213.95,216.14,204.43,210.28,7387
2020-11-02,212.75,213.65,210.72,211.45,4709
2020-11-03,214.05,216.22,214.05,215.63,4464
2020-11-04,215.58,216.14,213.75,213.75,6039
2020-11-05,213.81,215.37,213.33,214.65,8094
2020-11-06,211.95,212.91,211.62,212.04,1910
2020-11-09,210.47,210.47,209.98,210.0,2108
2020-11-10,210.16,212.72,210.16,212.53,3731
2020-11-11,215.25,221.15,215.2,220.77,4736
2020-11-12,220.67,220.67,211.0,213.27,2985
2020-11-13,216.22,216.22,209.29,212.39,2427
2020-11-16,216.64,219.34,215.9,218.69,3044
2020-11-17,218.8,219.25,218.65,219.02,3026
2020-11-18,215.61,218.93,215.61,217.37,1720
2020-11-19,218.19,219.41,215.58,216.52,4098
2020-11-20,217.71,217.71,215.07,215.94,2289
2020-11-23,216.78,218.31,213.42,213.43,6107
2020-11-24,210.19,212.74,206.3,206.99,15317
2020-11-25,204.5,206.75,197.78,206.57,16806
2020-11-27,203.56,204.66,203.14,204.66,1630
2020-11-30,203.4,203.56,198.01,202.11,17706
2020-12-01,205.05,207.63,201.59,201.7,7376
2020-12-02,204.62,205.07,196.68,198.19,7186
2020-12-03,198.45,198.49,196.17,196.17,4633
2020-12-04,196.04,200.16,196.04,199.58,7223
2020-12-07,199.56,201.96,197.71,198.28,10872
2020-12-08,196.92,200.09,196.92,199.3,6542
2020-12-09,203.67,203.67,198.37,202.9,5278
2020-12-10,204.72,208.12,203.83,206.39,6516
2020-12-11,207.07,211.59,207.07,209.28,6346
2020-12-14,212.98,214.76,211.33,211.39,3972
2020-12-15,214.75,217.56,214.75,215.73,3509
2020-12-16,216.51,221.18,216.16,220.82,5909
2020-12-17,223.12,223.53,220.2,221.57,5310
2020-12-18,221.42,224.67,221.42,224.21,10636
2020-12-21,223.77,226.29,222.68,224.31,5244
2020-12-22,224.09,229.14,224.09,226.0,16080
2020-12-23,232.05,232.05,224.49,228.67,9558
2020-12-24,224.28,224.28,219.0,219.0,4779
2020-12-28,220.44,221.66,218.94,220.88,4146
2020-12-29,219.85,220.32,217.64,219.29,1809
2020-12-30,220.1,221.47,219.99,220.91,1828
2020-12-31,219.0,222.25,218.46,221.91,2727
2021-01-04,222.13,222.32,217.85,218.53,1230
2021-01-05,218.59,220.44,216.32,220.29,3689
2021-01-06,223.32,227.79,222.93,227.79,3983
2021-01-07,229.11,233.38,229.11,233.38,3375
2021-01-08,233.98,235.38,232.25,235.19,3840
2021-01-11,233.54,233.97,233.28,233.29,2393
2021-01-12,234.42,234.7,232.98,233.32,2072
2021-01-13,231.94,234.63,230.43,230.46,3633
2021-01-14,229.03,229.03,225.13,226.82,4189
2021-01-15,227.74,229.65,221.71,226.63,6911
2021-01-19,226.86,226.86,226.18,226.18,1024
2021-01-20,220.29,220.97,219.28,219.94,3884
2021-01-21,220.11,220.37,218.93,218.93,800
2021-01-22,215.1,216.83,213.79,213.79,2023
2021-01-25,214.91,216.4,213.57,215.12,3611
2021-01-26,214.75,215.61,213.53,213.58,2554
2021-01-27,212.74,221.79,212.59,220.36,8300
2021-01-28,215.98,223.66,215.98,222.22,4733
2021-01-29,223.58,223.58,218.74,220.53,5044
2021-02-01,222.8,222.98,221.57,222.98,2600
2021-02-02,226.14,227.34,225.22,227.34,2685
2021-02-03,225.8,225.86,225.77,225.86,1341
2021-02-04,226.38,229.27,226.22,227.65,1123
2021-02-05,231.08,233.53,231.08,233.53,1619
2021-02-08,236.48,240.78,233.61,234.33,8500
2021-02-09,233.56,238.77,233.56,236.64,2533
2021-02-10,236.51,238.16,231.62,233.64,10128
2021-02-11,233.21,240.59,233.21,235.47,5306
2021-02-12,235.73,237.54,235.34,236.41,2473
2021-02-16,233.3,233.3,230.96,231.77,1421
2021-02-17,232.16,232.68,232.14,232.16,1775
2021-02-18,232.25,233.44,232.25,233.08,1945
2021-02-19,233.08,233.08,232.6,232.6,476
2021-02-22,232.28,232.28,227.29,229.22,1673
2021-02-23,231.06,231.33,229.17,230.06,1650
2021-02-24,226.5,226.5,220.36,221.62,5616
2021-02-25,223.04,224.34,220.41,222.17,3802
2021-02-26,220.57,221.31,217.08,221.31,2197
2021-03-01,222.71,226.21,222.71,226.21,3878
2021-03-02,222.41,223.44,219.72,221.14,3502
2021-03-03,220.28,222.68,219.7,219.7,1905
2021-03-04,216.72,216.72,205.98,207.78,4137
2021-03-05,207.34,212.91,206.55,212.59,6041
2021-03-08,213.05,214.18,211.48,211.48,5274
2021-03-09,212.79,213.74,209.95,210.51,7238
2021-03-10,209.88,211.69,209.34,211.27,5991
2021-03-11,210.8,212.76,209.39,209.94,2979
2021-03-12,209.39,209.39,208.16,208.5,4339
2021-03-15,208.54,212.68,208.28,212.67,3666
2021-03-16,213.46,214.36,212.69,212.87,3568
2021-03-17,211.5,214.85,210.72,213.0,3024
2021-03-18,208.34,211.43,207.5,207.5,3918
2021-03-19,210.35,211.91,204.32,204.32,7324
2021-03-22,202.18,209.24,201.42,208.71,4232
2021-03-23,207.38,207.38,204.38,205.58,2614
2021-03-24,203.86,206.63,202.7,205.4,5427
2021-03-25,203.73,204.78,201.19,203.55,5506
2021-03-26,202.7,203.03,200.29,202.09,5905
2021-03-29,201.82,206.29,201.82,203.67,4850
2021-03-30,201.58,202.15,200.35,201.72,4375
2021-03-31,202.85,204.77,199.67,200.93,5873
2021-04-01,201.83,204.14,200.59,202.95,4860
2021-04-05,202.8,202.8,202.31,202.51,1660
2021-04-06,204.06,205.67,203.82,205.05,3155
2021-04-07,204.38,204.69,201.67,202.59,3403
2021-04-08,203.63,204.2,202.37,203.07,6089
2021-04-09,203.53,203.53,200.72,201.6,3411
2021-04-12,202.33,203.88,201.8,203.08,5469
2021-04-13,205.29,205.29,202.48,203.34,4185
2021-04-14,203.63,205.7,203.2,203.2,4075
2021-04-15,204.18,204.19,203.36,203.44,1650
2021-04-16,204.18,208.22,204.18,207.85,5444
2021-04-19,206.03,206.52,205.35,205.37,2430
2021-04-20,206.2,206.2,203.42,203.42,2441
2021-04-21,204.88,207.95,204.88,207.43,7069
2021-04-22,207.33,207.97,206.44,207.22,2880
2021-04-23,208.47,208.63,208.27,208.27,1808
2021-04-26,207.64,207.64,203.02,203.02,1701
2021-04-27,205.15,205.15,202.97,202.97,2970
2021-04-28,203.58,203.58,200.59,200.76,2989
2021-04-29,200.45,201.9,200.16,201.43,2671
2021-04-30,198.7,200.36,194.96,195.36,6427
2021-05-03,198.64,198.64,196.91,196.98,4810
2021-05-04,196.93,196.93,192.94,194.03,3471
2021-05-05,192.26,192.94,192.26,192.67,1986
2021-05-06,190.74,191.47,189.16,190.96,4952
2021-05-07,191.95,192.8,191.43,192.23,5899
2021-05-10,196.52,196.52,190.68,191.91,3215
2021-05-11,187.84,189.28,185.12,185.12,3445
2021-05-12,184.69,185.06,182.92,183.49,3629
2021-05-13,183.84,186.07,183.84,185.97,4438
2021-05-14,184.97,187.33,184.97,186.76,3487
2021-05-17,184.37,186.36,183.56,185.39,4993
2021-05-18,185.08,186.53,183.55,183.83,7084
2021-05-19,181.27,181.87,179.18,179.91,5694
2021-05-20,182.4,182.48,182.14,182.14,1779
2021-05-21,183.56,183.56,180.54,181.38,3921
2021-05-24,180.46,181.23,179.47,179.47,1947
2021-05-25,180.34,180.34,177.98,178.93,6544
2021-05-26,178.47,179.05,177.42,177.86,5543
2021-05-27,177.38,183.76,177.38,183.76,19756
2021-05-28,184.19,184.19,181.27,183.45,7327
2021-06-01,184.43,184.5,182.29,183.04,8152
2021-06-02,182.07,182.07,179.96,181.62,6208
2021-06-03,181.57,181.57,179.06,179.25,5028
2021-06-04,178.88,180.24,176.89,177.55,6050
2021-06-07,177.01,177.35,176.11,177.18,2548
2021-06-08,176.0,176.28,174.63,175.6,5298
2021-06-09,175.53,175.6,173.15,173.44,5491
2021-06-10,175.05,175.05,172.62,173.27,3435
2021-06-11,172.39,174.91,172.22,172.88,1889
2021-06-14,172.14,175.03,172.14,174.69,4269
2021-06-15,172.55,175.91,171.65,175.19,9155
2021-06-16,175.55,175.55,172.66,173.8,5277
2021-06-17,172.68,173.27,172.0,173.03,6833
