date,open,high,low,close,volume
2020-07-27,85.15,86.87,84.41,86.75,34656
2020-07-28,86.31,86.42,84.99,85.06,62709
2020-07-29,87.1,88.79,85.54,88.24,100850
2020-07-30,86.71,86.74,85.08,85.99,127405
2020-07-31,85.71,85.75,83.61,84.91,43146
2020-08-03,85.1,86.96,84.95,86.49,60715
2020-08-04,86.09,86.31,84.96,86.17,23901
2020-08-05,86.84,88.08,86.84,87.82,74939
2020-08-06,87.9,87.99,87.06,87.92,19169
2020-08-07,87.88,89.09,87.43,88.94,24265
2020-08-10,89.16,91.04,89.08,90.83,102075
2020-08-11,92.51,94.46,92.45,93.0,125426
2020-08-12,94.02,94.14,93.01,93.53,151441
2020-08-13,92.69,93.44,92.36,93.1,52729
2020-08-14,92.26,93.41,92.26,92.63,56457
2020-08-17,92.64,93.66,92.1,92.66,24780
2020-08-18,92.31,92.97,91.83,92.41,32131
2020-08-19,91.61,93.11,91.33,92.16,68158
2020-08-20,91.11,91.89,91.03,91.25,40626
2020-08-21,91.85,92.82,91.65,92.28,46634
2020-08-24,92.74,94.32,92.74,94.29,57864
2020-08-25,95.18,95.18,93.43,94.31,46642
2020-08-26,93.83,94.32,93.2,93.96,26624
2020-08-27,94.27,94.71,93.15,93.7,21950
2020-08-28,93.53,95.0,93.17,95.0,33720
2020-08-31,94.58,94.58,93.42,93.68,19701
2020-09-01,93.18,94.96,93.1,94.94,56450
2020-09-02,94.95,97.27,94.81,96.99,57532
2020-09-03,96.89,97.04,93.13,93.71,486094
2020-09-04,95.1,95.91,93.4,94.06,103465
2020-09-08,93.25,93.7,91.67,92.18,32816
2020-09-09,93.09,95.1,92.97,94.1,44550
2020-09-10,94.38,95.38,92.4,92.75,56325
2020-09-11,92.91,94.82,92.84,93.99,31154
2020-09-14,94.35,95.33,94.17,94.66,34702
2020-09-15,95.23,95.89,94.33,94.33,100887
2020-09-16,94.89,96.63,94.52,95.68,59778
2020-09-17,94.7,96.66,94.01,96.23,71787
2020-09-18,96.36,96.97,94.62,94.88,77910
2020-09-21,92.71,92.99,88.32,89.33,84484
2020-09-22,89.24,91.33,89.09,91.08,82837
2020-09-23,91.22,92.69,90.55,90.55,80541
2020-09-24,90.4,92.37,90.13,91.35,70784
2020-09-25,90.69,92.42,90.42,91.66,44929
2020-09-28,93.14,94.96,93.11,93.72,85136
2020-09-29,93.88,93.99,92.56,92.88,103394
2020-09-30,93.16,95.04,92.7,93.69,71673
2020-10-01,94.04,94.47,91.47,92.3,76536
2020-10-02,91.27,95.59,90.97,94.19,135305
2020-10-05,95.05,96.66,95.05,96.33,49482
2020-10-06,96.62,97.97,95.76,95.89,131869
2020-10-07,96.75,98.27,96.75,98.18,100133
2020-10-08,98.37,98.93,97.59,98.61,64096
2020-10-09,99.43,100.18,98.43,98.66,146889
2020-10-12,99.23,100.46,99.1,99.24,103770
2020-10-13,98.58,99.56,98.07,98.77,101965
2020-10-14,98.96,100.39,98.85,99.26,56781
2020-10-15,98.19,99.72,97.87,99.66,61919
2020-10-16,100.27,101.95,99.99,100.18,100570
2020-10-19,100.6,100.78,98.56,98.9,116646
2020-10-20,99.35,101.43,99.32,99.74,62217
2020-10-21,99.53,100.89,99.34,99.34,86693
2020-10-22,100.31,101.26,99.93,100.79,80265
2020-10-23,102.1,102.4,100.65,100.72,62816
2020-10-26,99.31,99.48,97.04,98.56,39922
2020-10-27,98.47,98.47,96.5,96.67,66129
2020-10-28,94.7,96.1,93.57,93.79,112989
2020-10-29,93.3,96.44,93.13,95.65,115596
