date,open,high,low,close,volume
2020-07-27,41.13,41.14,40.76,41.06,22982
2020-07-28,40.95,41.69,40.95,41.49,56784
2020-07-29,42.42,42.42,41.36,42.05,89712
2020-07-30,41.58,42.3,41.5,42.23,68572
2020-07-31,42.02,42.47,41.86,42.44,52734
2020-08-03,42.39,42.39,41.28,41.4,90974
2020-08-04,41.27,41.9,41.27,41.61,22044
2020-08-05,41.7,41.7,40.5,40.5,65228
2020-08-06,40.44,41.3,40.38,41.27,75214
2020-08-07,41.45,42.28,41.43,42.24,41288
2020-08-10,42.25,42.68,42.24,42.64,47802
2020-08-11,42.71,42.87,41.06,41.23,106870
2020-08-12,41.44,41.87,41.24,41.38,72362
2020-08-13,41.11,41.49,40.96,41.42,81702
2020-08-14,41.28,41.61,40.88,41.1,86298
2020-08-17,40.89,41.56,40.88,40.96,56868
2020-08-18,41.07,41.07,40.33,40.75,34928
2020-08-19,40.8,40.83,40.31,40.32,17110
2020-08-20,40.09,40.11,39.49,39.79,57770
2020-08-21,39.76,40.0,39.44,39.97,58718
2020-08-24,40.01,40.25,39.59,40.17,57476
2020-08-25,40.0,40.0,39.73,39.85,28724
2020-08-26,39.39,39.57,39.18,39.2,56640
2020-08-27,39.31,39.71,38.93,39.63,64826
2020-08-28,39.53,40.34,39.49,40.3,50606
2020-08-31,40.27,40.56,40.14,40.38,55400
2020-09-01,40.3,40.3,39.55,39.75,46970
2020-09-02,39.63,41.16,39.63,40.94,36206
2020-09-03,41.14,41.22,39.49,39.95,167928
2020-09-04,40.15,40.18,39.46,39.91,74746
2020-09-08,39.72,40.12,39.12,39.9,104202
2020-09-09,40.14,40.66,40.03,40.06,53916
2020-09-10,39.73,39.76,39.05,39.07,23738
2020-09-11,39.04,39.04,38.6,38.89,69146
2020-09-14,39.42,39.67,39.26,39.39,78680
2020-09-15,39.64,40.09,39.12,39.34,80772
2020-09-16,39.15,39.76,39.15,39.41,114924
2020-09-17,39.15,39.8,38.83,39.74,110230
2020-09-18,39.69,39.81,38.85,38.91,70620
2020-09-21,38.59,39.01,38.0,38.58,40022
2020-09-22,38.68,39.84,38.68,39.62,81318
2020-09-23,39.65,39.71,38.74,38.76,113966
2020-09-24,38.74,39.19,38.18,38.99,70626
2020-09-25,38.78,39.51,38.74,39.5,94196
2020-09-28,39.65,39.89,39.32,39.34,61674
2020-09-29,39.52,39.58,38.78,39.02,55500
2020-09-30,39.31,40.29,39.31,40.15,212830
2020-10-01,40.24,41.27,40.21,41.27,235514
2020-10-02,40.96,42.44,40.82,42.22,226908
2020-10-05,42.17,42.78,41.68,42.67,166220
2020-10-06,42.71,43.92,42.64,43.21,180398
2020-10-07,43.56,43.56,42.46,42.66,192492
2020-10-08,42.78,43.73,42.73,43.63,97334
2020-10-09,43.59,43.71,42.82,43.12,85766
2020-10-12,43.13,43.46,42.95,43.29,157014
2020-10-13,42.98,43.5,42.8,43.37,193520
2020-10-14,43.43,43.72,42.69,43.07,100276
2020-10-15,42.69,43.27,42.47,42.91,121286
2020-10-16,42.98,43.59,42.69,43.44,103238
2020-10-19,43.39,43.67,42.82,42.87,115490
2020-10-20,43.06,43.56,42.85,43.28,129294
2020-10-21,43.12,44.06,43.08,43.53,159186
2020-10-22,43.41,44.11,43.2,44.0,93166
2020-10-23,44.33,44.55,43.93,44.38,99060
2020-10-26,43.97,44.52,43.72,44.42,131780
2020-10-27,43.97,44.33,43.6,43.8,180420
2020-10-28,42.86,43.69,41.79,41.8,186934
2020-10-29,41.51,41.82,41.04,41.34,185506
2020-10-30,41.17,41.32,40.38,41.29,130334
2020-11-02,41.77,42.96,41.27,42.89,123982
2020-11-03,43.4,44.35,43.23,44.17,265648
2020-11-04,43.77,44.41,42.98,43.03,105784
2020-11-05,43.7,44.22,43.39,43.55,110054
2020-11-06,43.38,43.8,42.59,42.71,81972
2020-11-09,45.11,45.85,44.39,44.44,152390
2020-11-10,44.49,45.3,44.49,44.88,101154
2020-11-11,44.89,45.24,44.57,45.15,133570
2020-11-12,44.77,45.04,43.91,44.28,97944
2020-11-13,44.55,45.06,44.45,44.84,83000
2020-11-16,45.78,46.37,45.39,46.35,167636
2020-11-17,46.27,46.46,45.9,46.0,168834
2020-11-18,46.24,46.54,45.24,45.27,186192
2020-11-19,45.24,45.27,44.56,44.78,234920
2020-11-20,44.83,45.09,44.54,44.77,108366
2020-11-23,44.99,45.27,44.58,45.06,326352
2020-11-24,45.33,45.48,45.11,45.41,113134
2020-11-25,45.54,46.2,45.06,46.1,108772
2020-11-27,45.97,46.14,45.44,45.8,65372
2020-11-30,45.42,45.51,44.48,44.79,110068
2020-12-01,44.95,45.61,44.67,44.73,117396
2020-12-02,44.64,44.69,43.68,44.62,167398
2020-12-03,44.46,44.49,43.66,43.78,92738
2020-12-04,43.94,43.99,43.41,43.86,122528
2020-12-07,43.41,44.25,43.33,43.8,78980
2020-12-08,43.54,43.85,43.27,43.28,103672
2020-12-09,43.37,43.37,42.63,42.97,169734
2020-12-10,42.97,43.17,42.32,42.43,110506
2020-12-11,42.42,42.45,41.95,42.21,108052
2020-12-14,42.52,42.85,41.62,41.65,85370
2020-12-15,41.62,42.3,41.3,42.18,108148
2020-12-16,42.18,42.45,41.26,41.31,142088
2020-12-17,41.5,41.89,41.21,41.29,83516
2020-12-18,41.29,41.45,40.83,41.13,108642
2020-12-21,40.55,40.59,39.68,39.86,104478
2020-12-22,39.84,39.84,39.27,39.45,133828
2020-12-23,39.62,39.95,39.21,39.22,104562
2020-12-24,39.33,39.33,38.92,39.19,47098
2020-12-28,39.35,39.51,39.11,39.3,103780
2020-12-29,39.64,39.88,39.53,39.75,73044
2020-12-30,39.71,40.65,39.6,40.53,98962
2020-12-31,40.38,41.06,40.24,41.04,71364
2021-01-04,40.94,41.07,40.08,40.25,144608
2021-01-05,40.27,40.41,39.65,39.74,121240
2021-01-06,40.09,40.58,39.85,40.38,150334
2021-01-07,40.36,40.36,38.94,38.96,139426
2021-01-08,38.93,39.24,38.69,39.23,88832
2021-01-11,39.05,39.35,38.52,38.79,86690
2021-01-12,38.72,38.74,37.72,38.09,139570
2021-01-13,38.13,38.52,37.82,38.48,176762
2021-01-14,38.77,38.82,38.16,38.64,269984
2021-01-15,38.33,39.29,38.26,39.14,214908
2021-01-19,39.14,39.4,38.89,39.12,105098
2021-01-20,38.9,39.1,38.74,38.94,93826
2021-01-21,38.8,38.91,38.47,38.48,141014
2021-01-22,38.29,38.73,37.9,38.64,101782
2021-01-25,38.48,39.23,38.32,38.95,113054
2021-01-26,39.02,39.21,38.76,38.89,192462
2021-01-27,38.75,39.03,38.04,38.46,272866
2021-01-28,38.8,39.85,38.76,39.41,269146
2021-01-29,38.87,39.56,38.85,39.21,182308
