date,open,high,low,close,volume
2020-07-27,49.96,50.54,49.79,50.54,19906
2020-07-28,50.76,51.63,50.76,51.12,22873
2020-07-29,51.22,51.26,50.55,50.73,13456
2020-07-30,50.15,50.91,50.01,50.91,41743
2020-07-31,50.59,51.21,50.35,51.18,22949
2020-08-03,50.9,50.95,49.35,49.54,106429
2020-08-04,49.58,51.08,42.72,43.74,939840
2020-08-05,43.86,43.97,42.13,42.29,334919
2020-08-06,42.04,43.41,42.04,43.24,129810
2020-08-07,43.08,43.56,42.99,43.54,54024
2020-08-10,43.64,43.64,42.62,42.73,91630
2020-08-11,42.96,43.0,42.02,42.16,106937
2020-08-12,42.44,42.51,41.87,41.87,72155
2020-08-13,41.56,41.9,41.21,41.59,167006
2020-08-14,41.59,42.35,41.59,42.35,44394
2020-08-17,42.13,42.49,41.76,42.04,39414
2020-08-18,41.91,41.99,41.4,41.51,65680
2020-08-19,41.51,41.51,41.02,41.08,57978
2020-08-20,40.98,41.24,40.29,40.47,40035
2020-08-21,40.51,40.57,39.75,40.23,115855
2020-08-24,40.42,40.49,39.91,40.48,53645
2020-08-25,40.47,40.94,40.33,40.84,30057
2020-08-26,40.48,40.58,40.11,40.27,22336
2020-08-27,40.64,42.28,40.64,42.22,129537
2020-08-28,42.11,42.34,41.38,42.28,113195
2020-08-31,42.36,42.46,41.99,42.46,70675
2020-09-01,42.2,42.2,41.53,41.99,85227
2020-09-02,42.1,42.73,41.71,42.49,97754
2020-09-03,42.69,42.69,41.42,41.83,91808
2020-09-04,41.95,41.95,40.8,41.38,77230
2020-09-08,41.17,41.66,40.62,41.52,45645
2020-09-09,42.04,42.61,41.95,42.01,39945
2020-09-10,41.58,41.95,41.27,41.52,42995
2020-09-11,41.48,41.77,41.19,41.41,39156
2020-09-14,41.58,42.26,41.58,42.12,44480
2020-09-15,42.22,42.87,41.68,41.78,40060
2020-09-16,41.91,42.42,41.85,41.91,26200
2020-09-17,41.59,41.85,41.21,41.61,38603
2020-09-18,41.26,41.47,40.46,40.63,61428
2020-09-21,40.18,40.67,39.45,39.85,71257
