date,open,high,low,close,volume
2020-07-27,21.78,21.79,21.29,21.6,94276
2020-07-28,21.56,22.15,21.56,21.82,157084
2020-07-29,21.84,22.16,21.74,22.16,314490
2020-07-30,21.85,22.11,21.62,22.1,176023
2020-07-31,21.93,22.18,21.82,22.18,195838
2020-08-03,21.93,21.97,21.67,21.84,186927
2020-08-04,21.53,22.37,21.53,22.26,180971
2020-08-05,22.31,22.31,21.55,21.68,97293
2020-08-06,21.64,21.8,21.54,21.79,97909
2020-08-07,21.71,22.44,21.7,22.34,124401
2020-08-10,22.36,22.57,21.82,22.01,188415
2020-08-11,22.12,22.26,21.69,21.79,153543
2020-08-12,21.85,22.36,21.8,22.25,62707
2020-08-13,22.0,22.19,21.91,22.02,117162
2020-08-14,21.96,22.06,21.79,22.01,170692
2020-08-17,21.83,21.85,21.57,21.67,145677
2020-08-18,21.71,21.82,21.42,21.51,158483
2020-08-19,21.51,21.7,21.42,21.49,272749
2020-08-20,21.59,21.61,21.06,21.06,96161
2020-08-21,21.18,21.23,20.88,21.2,460753
2020-08-24,21.32,21.9,21.22,21.85,127753
2020-08-25,21.9,21.92,21.4,21.55,92451
2020-08-26,21.42,21.65,21.22,21.64,76122
2020-08-27,21.61,21.8,21.29,21.43,149927
2020-08-28,21.44,21.51,21.28,21.51,61921
2020-08-31,21.45,21.65,21.36,21.44,117052
2020-09-01,21.28,21.28,20.97,21.08,110986
2020-09-02,21.24,22.18,21.06,22.07,190719
2020-09-03,22.16,22.25,21.38,21.65,87457
2020-09-04,21.76,21.79,21.28,21.55,136754
2020-09-08,21.4,21.44,20.95,21.14,121672
2020-09-09,21.33,21.53,21.22,21.28,94135
2020-09-10,21.23,21.24,20.75,20.82,133195
2020-09-11,20.86,20.92,20.68,20.79,89614
2020-09-14,20.93,21.17,20.92,21.07,50754
2020-09-15,21.1,21.39,20.89,21.0,54556
2020-09-16,20.97,21.33,20.95,21.06,262587
2020-09-17,20.86,20.89,20.58,20.85,103899
2020-09-18,20.84,20.86,20.23,20.36,90326
2020-09-21,20.09,20.18,19.75,20.16,77357
2020-09-22,20.27,20.53,20.2,20.43,144227
2020-09-23,20.44,20.53,19.97,19.99,268550
2020-09-24,19.96,20.39,19.72,20.19,97736
2020-09-25,20.04,20.68,19.99,20.61,113441
2020-09-28,20.79,21.03,20.69,20.73,79881
2020-09-29,20.75,20.86,20.41,20.51,84284
2020-09-30,20.63,20.95,20.62,20.77,105685
2020-10-01,20.8,20.97,20.63,20.8,182475
2020-10-02,20.61,21.0,20.45,20.86,160087
2020-10-05,20.95,21.4,20.74,21.36,196289
2020-10-06,21.34,21.96,21.31,21.59,288764
2020-10-07,21.66,22.02,21.64,21.97,258191
2020-10-08,22.01,22.83,22.01,22.83,266536
2020-10-09,23.48,23.5,22.59,22.77,249322
2020-10-12,22.73,23.38,22.71,23.2,219093
2020-10-13,23.75,23.86,23.17,23.8,841181
2020-10-14,23.95,24.22,23.8,23.82,312026
2020-10-15,23.51,24.06,23.41,24.06,212749
2020-10-16,24.04,24.47,23.89,24.44,356183
2020-10-19,24.35,24.53,24.26,24.3,302950
2020-10-20,24.46,24.76,24.4,24.63,200133
2020-10-21,24.53,24.82,24.45,24.48,188635
2020-10-22,24.4,24.54,24.13,24.51,208442
2020-10-23,24.71,24.75,24.35,24.49,230276
2020-10-26,24.05,24.24,23.82,24.2,373854
2020-10-27,24.15,24.38,23.88,23.88,243436
2020-10-28,23.49,23.68,22.88,22.93,219975
2020-10-29,22.74,23.54,22.54,23.32,207434
