date,open,high,low,close,volume
2021-02-10,39.61,39.61,34.85,36.11,71349
2021-02-11,35.5,35.75,34.05,34.15,76292
2021-02-12,34.17,34.46,33.67,33.81,69069
2021-02-16,35.65,35.65,34.09,34.53,38187
2021-02-17,34.93,35.23,34.46,35.05,138155
2021-02-18,34.96,35.62,33.97,34.2,61451
2021-02-19,34.09,35.31,34.09,34.77,43512
2021-02-22,35.52,35.52,34.66,34.7,68243
2021-02-23,34.27,34.58,33.29,34.51,84446
2021-02-24,34.07,35.69,33.85,35.65,50916
2021-02-25,36.03,36.03,35.0,35.65,62885
2021-02-26,35.36,35.48,34.39,34.87,35265
2021-03-01,35.21,35.8,34.95,35.34,67501
2021-03-02,35.8,36.96,35.6,35.88,78032
2021-03-03,36.55,37.73,35.94,37.42,37519
2021-03-04,38.06,38.06,36.34,36.58,59195
2021-03-05,36.79,36.95,34.95,35.69,30426
2021-03-08,35.69,35.69,34.13,35.04,30545
2021-03-09,34.79,35.51,34.76,35.02,15707
2021-03-10,34.99,35.53,34.96,35.42,33828
2021-03-11,35.42,36.28,35.38,35.92,53071
2021-03-12,36.22,36.63,35.56,36.22,61325
2021-03-15,36.46,36.57,35.78,36.26,71450
2021-03-16,36.26,36.34,34.89,35.46,47502
2021-03-17,35.48,36.12,35.04,35.84,47290
2021-03-18,35.65,35.65,34.26,34.48,51882
2021-03-19,34.37,34.57,34.12,34.45,52888
2021-03-22,34.26,34.32,33.27,33.87,24244
2021-03-23,33.48,33.82,32.75,33.01,16426
2021-03-24,33.12,33.82,32.87,33.12,23243
2021-03-25,32.45,33.45,31.69,33.42,40235
2021-03-26,33.55,34.25,33.55,34.25,22529
2021-03-29,34.3,34.3,33.59,33.7,9403
2021-03-30,33.27,34.38,32.98,34.18,26952
2021-03-31,33.92,35.15,33.91,34.47,27790
2021-04-01,35.07,36.17,35.06,35.57,29170
2021-04-05,34.83,35.75,34.47,35.38,36919
2021-04-06,35.5,36.31,35.19,35.78,39597
2021-04-07,36.0,36.18,35.36,35.75,59214
2021-04-08,35.82,36.13,35.5,35.84,54278
2021-04-09,35.82,36.3,35.29,36.09,44842
2021-04-12,36.27,36.28,35.87,35.89,73310
2021-04-13,36.04,36.17,35.9,35.99,12723
2021-04-14,36.1,36.68,35.88,36.6,31471
2021-04-15,36.45,36.9,35.98,36.57,30502
2021-04-16,36.38,37.14,35.9,36.09,31191
