date,open,high,low,close,volume
2020-07-27,74.97,75.79,74.45,75.73,24333
2020-07-28,75.65,75.75,74.22,74.24,21187
2020-07-29,75.93,78.39,75.89,78.26,72909
2020-07-30,77.83,78.16,76.85,77.52,30530
2020-07-31,77.54,79.29,77.44,78.83,79393
2020-08-03,78.83,80.22,78.78,80.17,186994
2020-08-04,80.21,81.85,78.92,81.03,94596
2020-08-05,77.36,80.3,77.36,78.56,76201
2020-08-06,78.83,79.46,78.48,78.88,48288
2020-08-07,79.54,80.05,79.18,79.79,56042
2020-08-10,79.59,80.34,79.15,79.56,34027
2020-08-11,79.88,80.93,79.83,79.99,93940
2020-08-12,80.7,81.23,80.33,80.43,24213
2020-08-13,80.05,80.48,79.62,80.2,51452
2020-08-14,80.34,81.38,80.17,80.38,19014
2020-08-17,80.53,81.2,80.53,80.8,15082
2020-08-18,80.83,81.36,80.63,81.08,37435
2020-08-19,81.52,81.92,81.28,81.44,11933
2020-08-20,80.88,81.38,80.79,81.14,25407
2020-08-21,80.87,81.14,80.39,80.64,39825
2020-08-24,80.97,81.47,80.73,81.38,38700
2020-08-25,81.56,81.85,81.17,81.66,47525
2020-08-26,81.33,81.82,81.11,81.8,34304
2020-08-27,81.91,82.29,81.51,81.67,48272
2020-08-28,82.43,82.96,81.78,82.96,11684
2020-08-31,82.87,83.04,82.29,82.58,20769
2020-09-01,82.5,83.78,82.37,83.72,12799
2020-09-02,83.77,85.2,83.77,84.78,38469
2020-09-03,84.35,84.35,82.23,82.75,27060
2020-09-04,82.92,83.31,81.0,81.99,34688
2020-09-08,81.45,81.75,80.55,80.79,28268
2020-09-09,82.03,84.24,81.86,83.6,29796
2020-09-10,83.41,83.89,82.77,82.81,47880
2020-09-11,83.21,84.66,83.13,84.5,85045
2020-09-14,84.79,85.76,84.79,85.34,36329
2020-09-15,85.31,87.36,85.31,87.17,57059
2020-09-16,87.57,87.72,85.33,85.48,13660
2020-09-17,84.72,86.65,84.64,86.3,36351
2020-09-18,87.45,87.56,84.73,85.32,96967
2020-09-21,83.85,84.18,81.56,82.51,57643
2020-09-22,82.71,83.77,82.61,83.26,66114
2020-09-23,83.69,84.69,82.84,82.92,43326
2020-09-24,82.61,84.14,81.97,83.44,46985
2020-09-25,82.68,84.71,82.68,84.34,17574
2020-09-28,85.73,85.94,84.97,85.18,31208
2020-09-29,85.19,86.03,84.92,85.76,45418
2020-09-30,85.68,86.09,84.04,84.56,37831
2020-10-01,84.54,85.34,83.0,83.44,75490
2020-10-02,82.94,84.13,82.49,83.81,55587
2020-10-05,84.52,85.14,84.52,85.0,58646
2020-10-06,85.08,85.34,83.42,83.48,38252
2020-10-07,84.0,85.35,84.0,84.8,43460
2020-10-08,84.61,85.72,84.44,85.55,59272
2020-10-09,86.18,86.48,85.7,86.38,65220
2020-10-12,86.82,87.17,86.35,87.09,50389
2020-10-13,85.94,87.86,85.94,86.73,72694
2020-10-14,87.18,88.18,86.8,87.51,35725
2020-10-15,87.0,87.73,86.83,87.6,41299
2020-10-16,87.56,87.72,86.83,87.11,47078
2020-10-19,87.04,87.71,86.21,86.48,114082
2020-10-20,87.42,88.64,86.79,87.55,65196
2020-10-21,87.63,88.94,87.32,87.59,80336
2020-10-22,87.7,88.14,87.19,88.06,37914
2020-10-23,88.28,89.08,87.79,88.95,43478
2020-10-26,88.34,88.34,87.19,88.03,146114
2020-10-27,88.03,88.78,87.97,88.04,54359
2020-10-28,86.7,87.18,83.27,83.35,122116
2020-10-29,83.9,84.45,82.5,83.46,54293
2020-10-30,83.83,83.83,81.22,82.58,67005
2020-11-02,83.32,83.95,82.14,82.72,102391
2020-11-03,84.76,84.76,79.41,81.14,167342
2020-11-04,82.5,83.54,80.84,81.14,75652
2020-11-05,82.09,83.09,81.15,81.67,75564
2020-11-06,81.33,82.82,81.33,82.48,36820
2020-11-09,86.45,86.8,81.57,81.61,115512
2020-11-10,81.8,83.08,81.05,82.43,77434
2020-11-11,83.5,83.66,81.94,82.81,46229
2020-11-12,83.3,83.3,81.49,82.01,56042
2020-11-13,82.49,84.18,82.42,83.26,66841
2020-11-16,83.9,85.06,83.24,84.26,48760
2020-11-17,83.74,84.16,82.97,83.99,44659
2020-11-18,84.16,85.86,83.7,84.24,73779
2020-11-19,83.86,84.49,83.39,84.42,55499
2020-11-20,84.12,84.52,83.03,83.14,69909
2020-11-23,83.42,83.74,82.64,82.89,134137
2020-11-24,83.25,85.49,83.25,84.39,63933
2020-11-25,84.23,84.61,83.08,84.32,41572
2020-11-27,83.88,83.88,83.04,83.1,29293
2020-11-30,83.54,84.0,82.78,83.82,76652
2020-12-01,84.16,85.96,83.87,84.3,46990
2020-12-02,84.38,84.56,82.68,83.28,52085
2020-12-03,82.88,84.25,82.88,83.32,38872
2020-12-04,83.48,85.11,83.48,84.61,42614
2020-12-07,84.45,84.83,83.93,84.34,31580
2020-12-08,84.16,84.84,83.85,84.61,26126
2020-12-09,84.8,85.29,84.62,85.16,49806
2020-12-10,84.69,85.36,83.56,84.29,39442
2020-12-11,83.84,85.52,83.84,85.03,57575
2020-12-14,85.78,86.2,84.48,84.79,96168
2020-12-15,85.89,85.89,84.42,84.66,43815
2020-12-16,84.91,86.51,84.91,85.88,52070
2020-12-17,86.42,88.48,86.17,88.35,53294
2020-12-18,88.2,89.63,87.87,89.56,102969
2020-12-21,87.9,89.71,87.76,88.67,47346
2020-12-22,88.78,89.1,88.29,88.99,23671
2020-12-23,89.73,89.77,88.54,88.88,21257
2020-12-24,89.15,89.33,88.6,88.82,8848
2020-12-28,89.13,89.72,88.91,89.49,32270
2020-12-29,89.74,89.77,88.78,88.94,33168
2020-12-30,89.16,89.31,88.61,88.94,26329
2020-12-31,88.77,89.39,88.59,89.39,30178
2021-01-04,90.03,90.03,86.23,86.73,64582
2021-01-05,86.92,86.93,85.85,86.5,34200
2021-01-06,86.09,88.61,86.09,88.36,44804
2021-01-07,89.04,89.5,88.09,88.48,43068
2021-01-08,89.17,89.96,88.17,88.69,58712
2021-01-11,88.51,89.2,88.26,88.31,38949
2021-01-12,87.64,91.33,87.64,91.22,119771
2021-01-13,90.09,90.41,88.49,88.97,104367
2021-01-14,89.6,90.38,88.53,88.73,70929
2021-01-15,88.18,88.34,86.48,87.56,69208
2021-01-19,87.95,88.26,86.89,87.43,47746
2021-01-20,87.58,88.71,87.09,88.47,84765
2021-01-21,88.45,89.38,88.39,88.4,63792
2021-01-22,88.36,89.14,87.25,88.25,248072
2021-01-25,88.22,88.87,86.91,88.33,139530
2021-01-26,88.77,89.64,88.31,88.75,69818
2021-01-27,87.62,88.84,86.15,88.29,89763
2021-01-28,88.18,88.59,87.36,87.47,65460
2021-01-29,87.0,87.08,84.0,84.1,48928
2021-02-01,84.35,85.12,83.52,85.06,42697
2021-02-02,85.54,86.54,85.16,85.17,31752
2021-02-03,85.33,85.78,84.86,85.66,30239
2021-02-04,85.07,86.09,84.66,85.76,33151
2021-02-05,86.29,87.37,85.85,87.29,95371
2021-02-08,87.49,88.93,87.43,88.93,110644
2021-02-09,89.6,91.25,89.09,91.08,87401
2021-02-10,91.29,92.11,90.94,91.65,257528
2021-02-11,91.94,92.41,89.41,90.07,155521
2021-02-12,89.96,90.99,89.84,90.78,28844
2021-02-16,89.96,90.9,86.68,87.84,72479
2021-02-17,87.45,88.76,86.45,88.66,151239
2021-02-18,86.9,88.79,86.88,88.52,38435
2021-02-19,89.08,89.46,87.57,87.79,40388
2021-02-22,87.08,88.24,85.97,87.55,72529
2021-02-23,86.81,86.81,85.64,86.17,71443
2021-02-24,86.28,86.82,85.87,86.55,81768
2021-02-25,86.64,87.74,85.98,86.4,105691
2021-02-26,86.19,87.19,85.82,86.35,52269
2021-03-01,86.55,88.58,86.55,88.03,36507
2021-03-02,87.94,89.04,87.38,88.77,49285
2021-03-03,88.62,89.39,87.61,87.68,66544
2021-03-04,87.96,88.46,86.83,87.6,73356
2021-03-05,88.31,90.76,87.84,90.71,56817
2021-03-08,90.74,92.78,90.37,90.57,70674
2021-03-09,91.41,92.86,91.35,91.62,81400
2021-03-10,91.74,92.65,91.0,91.62,58723
2021-03-11,91.52,93.35,91.52,93.08,39411
2021-03-12,93.64,94.56,93.14,94.43,22354
2021-03-15,94.84,96.55,94.75,96.55,77650
2021-03-16,96.65,97.03,95.59,95.69,41339
2021-03-17,95.21,96.52,94.81,96.35,29854
2021-03-18,96.25,98.31,95.98,97.52,51991
2021-03-19,97.3,97.71,96.17,97.0,70569
2021-03-22,97.63,97.63,96.06,96.87,67862
2021-03-23,96.77,97.1,95.29,95.55,52409
2021-03-24,95.62,96.99,95.62,96.08,55258
2021-03-25,96.24,97.53,95.28,97.24,37339
2021-03-26,97.36,101.29,97.36,101.29,35441
2021-03-29,101.34,102.15,100.98,101.86,46799
2021-03-30,102.05,102.27,100.57,100.83,44994
2021-03-31,100.84,101.99,100.64,101.18,48757
2021-04-01,100.89,102.35,100.47,102.27,41587
2021-04-05,102.37,103.92,102.37,103.91,21292
2021-04-06,103.75,103.87,103.16,103.36,30817
2021-04-07,102.99,102.99,100.85,101.09,66011
2021-04-08,100.82,102.27,100.79,101.84,51173
2021-04-09,102.02,102.99,101.66,102.3,43795
2021-04-12,102.2,103.05,102.05,102.84,68537
2021-04-13,102.98,103.11,101.73,102.82,17881
2021-04-14,102.29,102.96,101.56,102.69,53448
2021-04-15,103.03,104.54,102.51,104.39,64758
2021-04-16,105.19,105.71,104.32,104.45,42445
2021-04-19,104.38,104.38,102.98,103.57,25578
2021-04-20,103.83,103.9,103.3,103.76,20259
2021-04-21,104.23,104.98,103.49,103.54,26899
2021-04-22,103.19,104.84,103.19,103.59,36599
2021-04-23,104.31,104.76,103.92,104.08,23843
2021-04-26,104.03,104.29,102.78,102.97,52634
2021-04-27,103.63,104.28,102.64,102.88,61663
2021-04-28,102.83,102.98,102.2,102.55,33615
2021-04-29,103.05,104.53,103.05,104.1,66087
2021-04-30,103.79,103.82,102.47,103.18,50826
2021-05-03,103.91,106.87,103.89,106.19,66653
2021-05-04,106.66,108.66,105.66,107.03,193839
2021-05-05,107.53,107.53,105.38,106.61,116057
2021-05-06,107.17,108.65,107.17,108.65,103175
2021-05-07,108.57,111.59,108.57,111.52,36198
2021-05-10,111.33,113.69,111.33,112.78,114642
2021-05-11,112.58,112.67,109.81,110.56,53493
2021-05-12,109.89,110.25,108.4,108.53,52422
2021-05-13,109.01,111.82,109.01,111.29,37055
2021-05-14,111.46,112.73,111.34,112.47,45187
2021-05-17,112.36,113.67,111.83,113.38,68196
2021-05-18,113.98,113.98,112.34,112.36,94637
2021-05-19,111.14,112.19,109.63,112.12,73108
2021-05-20,112.53,114.97,112.42,114.08,78416
2021-05-21,114.18,116.12,114.18,114.72,53475
2021-05-24,115.62,116.75,115.26,116.59,56488
2021-05-25,116.58,117.24,115.38,115.49,56065
2021-05-26,115.92,116.71,114.94,116.6,52479
