date,open,high,low,close,volume
2020-07-27,81.97,83.71,79.87,83.38,87580
2020-07-28,83.3,84.31,82.6,82.65,65544
2020-07-29,82.66,84.58,81.26,84.22,109901
2020-07-30,82.51,84.04,80.68,83.8,149164
2020-07-31,79.85,80.31,75.81,80.04,538321
2020-08-03,80.11,81.18,78.47,79.0,171285
2020-08-04,78.73,80.32,78.19,78.75,135953
2020-08-05,79.75,81.78,79.61,81.64,139772
2020-08-06,80.85,84.47,80.61,83.22,100543
2020-08-07,82.6,82.85,79.94,81.55,127015
2020-08-10,82.31,85.27,82.18,83.89,74589
2020-08-11,86.54,89.46,86.54,86.99,117134
2020-08-12,87.12,87.47,84.86,85.92,61818
2020-08-13,85.76,87.56,85.23,85.97,32331
2020-08-14,85.29,85.9,84.55,85.69,83295
2020-08-17,86.42,86.7,84.63,86.63,58544
2020-08-18,86.33,87.61,85.66,87.42,45986
2020-08-19,86.63,87.7,85.94,86.7,45405
2020-08-20,85.93,88.11,85.72,87.64,51503
2020-08-21,87.36,90.17,86.89,90.06,59041
2020-08-24,90.65,94.72,90.52,94.33,189211
2020-08-25,94.38,95.42,92.34,95.42,66005
2020-08-26,94.7,95.52,93.82,93.96,47123
2020-08-27,95.03,97.22,94.63,96.48,117386
2020-08-28,97.39,100.03,96.81,99.66,76756
2020-08-31,99.47,99.58,97.0,97.05,88279
2020-09-01,96.32,98.11,95.59,97.9,88855
2020-09-02,99.31,102.2,98.08,101.67,102238
2020-09-03,100.72,102.76,98.19,99.07,97716
2020-09-04,99.16,100.88,96.23,98.63,42960
2020-09-08,96.86,99.57,96.52,98.03,39968
2020-09-09,98.02,98.45,95.91,98.02,75478
2020-09-10,98.2,99.85,95.98,96.09,80266
2020-09-11,95.19,95.31,91.08,93.61,101161
2020-09-14,94.2,95.33,93.6,94.74,58597
2020-09-15,96.04,98.03,95.23,96.26,48818
2020-09-16,96.82,100.04,96.32,97.82,60098
2020-09-17,95.78,96.71,93.34,95.58,74277
2020-09-18,95.49,95.49,91.86,92.65,84661
2020-09-21,89.66,90.69,88.88,90.13,86305
2020-09-22,90.46,92.92,89.79,92.79,97758
2020-09-23,92.34,93.89,90.58,90.82,79310
2020-09-24,90.28,92.59,88.62,90.98,59053
2020-09-25,90.09,92.72,89.32,92.44,103777
2020-09-28,92.08,93.96,90.78,93.05,65746
2020-09-29,92.79,92.79,89.96,90.81,94580
2020-09-30,90.92,92.66,89.41,90.58,93332
2020-10-01,91.24,93.4,90.85,90.87,175691
2020-10-02,88.12,91.35,87.36,90.99,98470
2020-10-05,91.89,92.31,89.8,91.03,70595
2020-10-06,91.63,94.35,90.42,90.8,166913
2020-10-07,92.12,93.05,91.37,92.45,70212
2020-10-08,92.99,94.84,91.93,94.71,76273
2020-10-09,95.8,96.05,94.0,95.15,76659
2020-10-12,96.8,97.27,95.61,96.11,133001
2020-10-13,95.75,95.75,92.55,93.17,141641
2020-10-14,93.46,94.5,91.24,91.24,157680
2020-10-15,89.79,89.91,86.86,89.17,222726
2020-10-16,89.61,90.63,88.89,89.6,128575
2020-10-19,91.11,91.94,90.44,91.04,142821
2020-10-20,91.82,94.23,91.53,91.85,152479
2020-10-21,91.5,92.09,90.6,91.55,63604
2020-10-22,91.7,100.83,91.6,99.77,289921
2020-10-23,99.75,101.8,99.47,101.42,114701
2020-10-26,99.61,100.31,95.03,97.83,164423
2020-10-27,97.4,97.4,93.33,93.92,115963
2020-10-28,91.37,92.65,89.66,90.71,189962
2020-10-29,90.38,94.73,89.49,94.09,102917
2020-10-30,93.64,94.04,91.64,93.04,127716
2020-11-02,93.51,94.04,91.42,93.45,143513
2020-11-03,95.01,98.48,94.79,97.5,150980
2020-11-04,98.35,99.42,96.25,97.34,341446
2020-11-05,101.2,105.37,99.4,101.96,382791
2020-11-06,100.76,102.85,99.72,102.03,115208
2020-11-09,117.74,128.97,117.74,127.14,1013251
2020-11-10,121.12,125.26,118.29,121.29,494038
2020-11-11,119.7,121.87,117.19,118.28,178813
2020-11-12,116.74,118.43,114.24,116.08,319745
2020-11-13,117.79,123.39,116.85,121.93,230298
2020-11-16,127.31,127.32,120.82,122.0,190422
2020-11-17,120.75,122.24,119.85,121.52,225553
2020-11-18,121.38,124.5,120.53,121.12,124925
2020-11-19,120.58,122.57,118.59,122.52,116344
2020-11-20,121.94,122.05,118.32,118.33,150661
2020-11-23,119.78,123.21,118.75,121.45,136190
2020-11-24,124.03,124.13,121.44,123.66,152551
2020-11-25,122.63,122.7,120.45,121.72,63875
2020-11-27,122.25,124.14,120.99,122.23,40054
2020-11-30,122.17,123.75,119.92,123.02,135722
2020-12-01,124.92,126.74,123.64,124.76,113681
2020-12-02,123.48,127.75,122.99,126.12,96707
2020-12-03,127.09,128.23,125.19,125.75,84149
2020-12-04,125.97,127.18,123.82,126.97,117207
2020-12-07,127.03,127.03,123.16,125.0,125534
2020-12-08,124.27,125.78,122.61,124.68,97504
2020-12-09,126.05,131.24,124.42,127.37,215115
2020-12-10,124.79,132.4,124.76,128.95,252391
2020-12-11,127.83,128.0,121.26,121.58,284945
2020-12-14,123.12,123.47,120.76,121.77,120000
2020-12-15,122.74,125.11,121.91,124.36,131622
2020-12-16,124.66,124.66,121.33,123.47,156821
2020-12-17,123.76,123.76,120.85,122.97,292005
2020-12-18,123.49,125.85,121.05,123.96,197674
2020-12-21,118.92,123.13,118.82,121.93,169711
2020-12-22,122.63,124.56,121.26,121.48,133112
2020-12-23,122.06,126.51,121.7,124.97,85834
2020-12-24,125.64,125.7,124.26,125.47,35439
2020-12-28,126.22,128.64,125.76,127.05,101361
2020-12-29,127.47,130.65,126.83,129.76,119687
2020-12-30,129.9,131.26,129.38,130.49,91413
2020-12-31,130.09,132.04,128.68,130.78,54760
2021-01-04,132.87,134.04,126.83,129.9,141625
2021-01-05,130.23,136.21,130.19,135.5,132009
2021-01-06,136.26,145.7,135.35,141.74,296672
2021-01-07,141.3,142.7,138.28,140.58,115107
2021-01-08,141.96,142.87,139.32,142.29,66007
2021-01-11,138.61,142.53,138.57,141.16,84719
2021-01-12,141.11,142.22,139.2,139.2,82066
2021-01-13,138.48,139.33,136.91,138.97,106750
2021-01-14,139.99,144.61,139.75,142.42,115492
2021-01-15,142.39,142.39,138.54,138.91,88332
2021-01-19,140.72,141.8,138.64,141.06,78816
2021-01-20,139.89,142.17,136.7,140.12,119774
2021-01-21,140.71,140.71,134.35,137.18,198936
2021-01-22,136.85,138.51,134.84,134.87,197591
