date,open,high,low,close,volume
2020-07-27,76.45,76.9,76.1,76.71,13073
2020-07-28,77.05,80.06,77.05,79.96,43546
2020-07-29,80.16,81.22,79.84,81.03,52513
2020-07-30,79.97,81.75,79.86,81.54,62577
2020-07-31,81.29,82.98,80.5,82.98,34259
2020-08-03,82.12,82.25,81.3,81.77,68951
2020-08-04,82.16,84.97,81.59,84.49,67279
2020-08-05,84.15,84.36,81.39,82.08,79078
2020-08-06,81.1,81.32,78.23,81.23,74056
2020-08-07,80.96,83.66,80.96,83.29,46874
2020-08-10,83.77,84.9,83.27,84.43,39082
2020-08-11,84.79,84.8,82.49,82.73,42970
2020-08-12,83.0,83.18,81.93,83.09,45767
2020-08-13,83.21,84.02,82.44,82.74,27635
2020-08-14,83.15,84.45,83.02,83.68,35010
2020-08-17,83.51,84.08,83.16,84.08,47914
2020-08-18,83.93,84.73,83.55,84.41,36014
2020-08-19,84.08,84.13,81.91,82.05,16126
2020-08-20,82.62,83.68,82.62,83.64,23626
2020-08-21,84.26,84.6,83.7,84.59,25434
2020-08-24,84.25,85.64,84.25,85.34,37091
2020-08-25,85.29,85.63,84.06,85.2,25500
2020-08-26,84.22,85.01,83.45,85.01,41934
2020-08-27,85.34,85.89,85.34,85.67,43092
2020-08-28,85.08,85.73,84.63,85.73,37147
2020-08-31,85.29,85.91,84.82,85.71,17939
2020-09-01,85.4,86.16,84.9,85.8,19716
2020-09-02,85.7,87.15,85.7,87.14,40674
2020-09-03,87.84,87.98,86.22,86.9,13561
2020-09-04,87.06,87.54,85.53,87.06,24534
2020-09-08,86.05,87.72,85.96,86.74,19149
2020-09-09,88.47,90.36,87.94,89.06,36939
2020-09-10,88.3,88.88,87.92,88.43,10225
2020-09-11,88.12,90.19,88.12,89.32,22424
2020-09-14,89.95,90.36,89.89,90.22,15210
2020-09-15,90.01,90.99,89.5,90.05,14492
2020-09-16,89.97,91.58,89.97,90.98,36189
2020-09-17,90.87,90.87,89.09,90.07,35785
2020-09-18,89.58,89.73,88.5,88.58,30819
2020-09-21,87.2,88.67,85.57,87.0,52295
2020-09-22,87.6,88.4,87.05,87.3,46843
2020-09-23,86.6,86.6,83.96,84.52,31583
2020-09-24,84.94,85.4,83.49,84.14,64675
2020-09-25,83.86,85.58,83.19,85.43,98027
2020-09-28,86.92,88.01,86.3,87.48,38387
2020-09-29,87.44,87.85,86.19,86.95,31503
2020-09-30,86.84,87.64,85.99,86.66,31994
2020-10-01,87.7,88.89,86.92,88.45,101907
2020-10-02,87.29,91.32,87.12,91.09,48396
2020-10-05,90.89,91.61,87.96,91.31,86300
2020-10-06,92.54,92.54,89.95,90.7,94266
2020-10-07,91.62,91.62,90.23,91.23,44517
2020-10-08,91.5,92.22,91.17,92.11,71155
2020-10-09,92.6,92.6,90.9,91.76,39568
2020-10-12,91.78,92.34,90.63,92.2,37193
