date,open,high,low,close,volume
2020-07-27,5.12,5.15,5.035,5.142,1190893
2020-07-28,5.139,5.228,5.139,5.205,835002
2020-07-29,5.209,5.224,5.072,5.131,728893
2020-07-30,4.994,5.064,4.964,5.001,495392
2020-07-31,5.083,5.109,4.842,4.901,1124829
2020-08-03,4.927,4.983,4.849,4.968,620377
2020-08-04,5.127,5.127,4.998,5.079,741869
2020-08-05,5.094,5.209,5.094,5.164,969704
2020-08-06,5.131,5.19,5.113,5.146,833430
2020-08-07,5.101,5.131,5.038,5.094,645941
2020-08-10,5.142,5.287,5.139,5.265,567488
2020-08-11,5.38,5.469,5.335,5.369,595585
2020-08-12,5.461,5.461,5.239,5.276,371113
2020-08-13,5.213,5.324,5.198,5.22,778486
2020-08-14,5.15,5.276,5.15,5.231,577655
2020-08-17,5.216,5.216,5.101,5.187,973054
2020-08-18,5.187,5.198,5.113,5.113,808594
2020-08-19,5.101,5.205,5.094,5.101,508792
2020-08-20,5.023,5.109,4.998,5.079,339806
2020-08-21,5.031,5.072,4.938,4.942,216431
2020-08-24,4.994,5.19,4.968,5.179,541564
2020-08-25,5.198,5.265,5.094,5.157,724856
2020-08-26,5.164,5.168,5.027,5.053,340481
2020-08-27,5.072,5.176,5.072,5.135,841862
2020-08-28,5.142,5.157,5.094,5.153,306589
2020-08-31,5.131,5.139,5.038,5.064,476654
2020-09-01,5.009,5.098,4.986,5.072,674527
2020-09-02,5.049,5.168,5.023,5.157,1202742
2020-09-03,5.157,5.257,5.02,5.057,700007
2020-09-04,5.087,5.153,5.012,5.131,477585
2020-09-08,5.075,5.317,5.064,5.228,855787
2020-09-09,5.257,5.268,5.142,5.168,566891
2020-09-10,5.183,5.216,5.101,5.127,1038101
2020-09-11,5.131,5.194,5.087,5.194,405242
2020-09-14,5.202,5.324,5.19,5.291,750852
2020-09-15,5.291,5.324,5.198,5.224,826313
2020-09-16,5.235,5.283,5.19,5.209,783339
2020-09-17,5.202,5.443,5.187,5.406,683794
2020-09-18,5.432,5.491,5.357,5.361,433296
2020-09-21,5.246,5.246,5.057,5.094,600601
2020-09-22,5.094,5.183,5.023,5.027,576297
2020-09-23,5.061,5.135,4.92,4.923,573837
2020-09-24,4.905,5.016,4.76,4.942,549398
2020-09-25,4.923,4.975,4.823,4.834,678892
2020-09-28,4.908,5.02,4.886,4.96,475238
2020-09-29,4.96,4.96,4.857,4.89,361348
2020-09-30,4.908,5.005,4.894,4.946,550132
2020-10-01,4.975,5.02,4.92,5.009,538079
2020-10-02,4.897,5.142,4.897,5.116,475456
2020-10-05,5.164,5.224,5.157,5.205,298086
2020-10-06,5.254,5.38,5.168,5.183,798467
2020-10-07,5.268,5.38,5.242,5.376,481861
2020-10-08,5.402,5.454,5.346,5.454,966752
2020-10-09,5.469,5.517,5.365,5.38,521407
2020-10-12,5.469,5.836,5.439,5.688,1042895
2020-10-13,5.81,5.843,5.665,5.762,1683989
2020-10-14,5.743,5.751,5.602,5.621,697041
2020-10-15,5.491,5.654,5.472,5.654,420333
2020-10-16,5.721,5.747,5.647,5.691,590516
2020-10-19,5.695,5.728,5.621,5.632,449528
2020-10-20,5.665,5.825,5.628,5.743,501540
2020-10-21,5.766,5.847,5.736,5.825,480776
2020-10-22,5.877,6.099,5.855,6.096,642295
2020-10-23,6.174,6.192,6.007,6.059,1014987
2020-10-26,5.958,5.984,5.895,5.962,794285
2020-10-27,5.947,5.996,5.869,5.881,661971
2020-10-28,5.684,5.843,5.662,5.717,777980
2020-10-29,6.055,6.107,5.825,5.866,1955480
2020-10-30,5.825,5.866,5.651,5.736,1429658
2020-11-02,5.81,5.825,5.699,5.717,453719
2020-11-03,5.758,5.881,5.74,5.858,650036
2020-11-04,5.836,5.836,5.665,5.665,1002027
2020-11-05,5.754,5.929,5.721,5.925,650605
2020-11-06,5.929,5.932,5.754,5.777,495871
2020-11-09,6.018,6.214,5.996,6.081,984444
2020-11-10,6.099,6.374,6.073,6.214,2005979
2020-11-11,6.374,6.374,6.159,6.181,730536
2020-11-12,6.129,6.151,6.018,6.088,810040
2020-11-13,6.125,6.352,6.125,6.341,457604
2020-11-16,6.478,6.563,6.393,6.526,1192278
2020-11-17,6.422,6.559,6.407,6.485,294211
2020-11-18,6.545,6.715,6.519,6.556,1234905
2020-11-19,6.589,6.589,6.489,6.548,440471
2020-11-20,6.53,6.541,6.441,6.489,943149
2020-11-23,6.541,6.663,6.526,6.578,964317
2020-11-24,6.786,7.049,6.786,7.012,754676
2020-11-25,6.827,6.83,6.686,6.741,560187
2020-11-27,6.752,6.775,6.7,6.752,279582
2020-11-30,6.827,6.838,6.663,6.741,841298
2020-12-01,6.804,6.971,6.804,6.86,751271
2020-12-02,6.782,6.853,6.738,6.823,491617
2020-12-03,6.864,6.912,6.79,6.819,521944
2020-12-04,6.879,7.001,6.86,6.938,445204
2020-12-07,6.908,6.908,6.79,6.845,738120
2020-12-08,6.812,6.923,6.812,6.86,671104
2020-12-09,6.901,7.038,6.897,7.005,660553
2020-12-10,6.908,6.908,6.752,6.775,904165
2020-12-11,6.797,6.819,6.686,6.689,1489173
2020-12-14,6.775,6.801,6.593,6.604,743374
2020-12-15,6.723,6.79,6.634,6.79,907826
2020-12-16,6.808,6.808,6.66,6.712,628848
2020-12-17,6.73,6.775,6.678,6.738,802147
2020-12-18,6.73,6.741,6.615,6.645,812641
2020-12-21,6.589,6.682,6.522,6.623,854086
2020-12-22,6.66,6.663,6.493,6.522,534141
2020-12-23,6.545,6.7,6.537,6.671,479880
