date,open,high,low,close,volume
2020-07-27,32.17,32.17,31.18,31.42,36859
2020-07-28,31.25,31.55,30.43,30.49,75767
2020-07-29,30.59,31.99,30.48,31.99,33257
2020-07-30,30.77,31.35,30.22,31.01,39813
2020-07-31,30.74,31.43,30.7,31.3,68398
2020-08-03,31.21,31.89,30.49,31.42,73017
2020-08-04,31.14,32.52,30.84,32.24,180309
2020-08-05,33.44,33.91,32.23,32.65,75931
2020-08-06,32.25,32.72,31.67,31.98,71166
2020-08-07,31.54,33.1,31.37,32.93,60919
2020-08-10,33.55,35.18,33.36,35.02,97418
2020-08-11,35.96,36.83,34.71,34.86,108020
2020-08-12,35.91,36.07,34.93,35.28,42574
2020-08-13,34.95,35.59,34.76,35.34,69945
2020-08-14,35.07,36.22,34.94,36.0,115818
2020-08-17,36.05,36.05,35.14,35.73,60771
2020-08-18,35.67,35.84,35.1,35.23,63704
2020-08-19,34.95,35.15,34.21,34.3,18536
2020-08-20,33.53,33.67,32.19,32.19,80199
2020-08-21,31.59,31.92,30.95,31.05,89978
2020-08-24,31.37,32.33,31.07,31.69,71602
2020-08-25,32.07,32.65,31.75,32.48,67289
2020-08-26,32.28,32.37,31.15,31.18,38267
2020-08-27,31.47,31.65,31.01,31.47,43577
2020-08-28,31.52,32.11,31.36,31.77,31181
2020-08-31,31.35,31.52,30.87,30.91,43121
2020-09-01,30.72,30.97,30.23,30.47,103230
2020-09-02,30.16,30.27,28.71,28.82,130078
2020-09-03,28.61,29.21,28.1,28.3,162695
2020-09-04,28.52,28.77,27.68,28.09,90742
2020-09-08,27.4,27.5,25.27,25.31,95921
2020-09-09,25.79,25.79,24.97,25.48,126108
2020-09-10,25.08,25.42,23.83,23.83,78437
2020-09-11,23.78,24.1,23.05,23.45,58886
2020-09-14,23.72,24.89,23.56,24.6,105170
2020-09-15,24.74,25.06,24.05,24.11,103883
2020-09-16,24.39,26.8,24.31,26.04,120323
2020-09-17,25.42,26.72,25.2,26.72,94673
2020-09-18,26.65,26.87,26.18,26.75,58459
2020-09-21,25.66,25.68,24.57,25.42,118970
2020-09-22,25.46,26.17,24.52,25.01,138387
2020-09-23,25.15,25.32,23.64,23.68,108773
2020-09-24,23.41,24.46,22.92,23.75,57004
2020-09-25,23.4,23.81,22.84,23.68,236795
2020-09-28,24.38,25.35,24.3,24.86,116531
2020-09-29,24.63,24.78,23.96,24.7,111039
2020-09-30,24.78,25.09,23.75,23.86,84090
2020-10-01,23.75,23.75,22.65,23.03,213916
2020-10-02,22.26,24.51,22.2,24.13,163357
2020-10-05,24.51,24.74,23.98,24.45,121642
2020-10-06,25.04,25.6,23.02,23.16,350833
2020-10-07,23.37,23.62,22.92,23.3,182248
2020-10-08,23.67,24.64,23.35,24.64,132225
