date,open,high,low,close,volume
2020-07-27,19.81,20.07,19.8,19.98,195012
2020-07-28,19.84,19.89,19.61,19.63,205112
2020-07-29,19.79,20.24,19.76,20.12,96428
2020-07-30,19.79,20.33,19.78,20.27,163658
2020-07-31,20.26,20.33,19.95,20.33,110872
2020-08-03,20.54,20.73,20.46,20.51,159866
2020-08-04,20.4,20.56,20.38,20.55,292420
2020-08-05,20.59,20.84,20.58,20.79,81054
2020-08-06,20.46,20.76,20.42,20.72,162968
2020-08-07,20.66,20.97,20.66,20.94,168964
2020-08-10,20.88,20.9,20.65,20.73,207286
2020-08-11,20.76,20.89,20.44,20.49,296748
2020-08-12,20.58,20.95,20.58,20.82,177652
2020-08-13,20.75,20.92,20.71,20.76,90312
2020-08-14,20.7,20.9,20.67,20.74,115306
2020-08-17,20.8,20.96,20.74,20.83,77098
2020-08-18,20.91,20.99,20.78,20.79,107414
2020-08-19,20.88,20.99,20.74,20.76,106540
2020-08-20,20.65,20.88,20.6,20.85,145228
2020-08-21,20.84,21.0,20.73,20.99,57810
2020-08-24,21.07,21.07,20.42,20.68,149418
2020-08-25,20.8,20.83,20.59,20.71,93540
2020-08-26,20.63,20.88,20.6,20.8,104200
2020-08-27,20.9,21.06,20.78,20.9,110136
2020-08-28,20.98,21.13,20.91,21.11,77670
2020-08-31,21.09,21.21,21.04,21.13,112132
2020-09-01,21.11,21.41,20.96,21.4,142118
2020-09-02,21.43,21.56,21.31,21.48,155230
2020-09-03,21.16,21.16,20.11,20.34,91390
2020-09-04,20.39,20.47,19.7,20.0,167296
2020-09-08,19.41,19.53,18.88,18.88,172662
2020-09-09,19.19,19.73,19.19,19.55,96006
2020-09-10,19.54,19.54,18.9,19.03,206338
2020-09-11,19.12,19.22,18.82,19.05,101154
2020-09-14,19.18,19.25,19.06,19.17,104566
2020-09-15,19.22,19.43,19.22,19.33,169366
2020-09-16,19.48,19.5,19.11,19.14,223760
2020-09-17,18.76,19.21,18.76,19.14,260212
2020-09-18,19.13,19.39,18.79,19.05,55364
2020-09-21,18.87,18.9,18.64,18.9,85008
2020-09-22,18.92,19.41,18.9,19.38,211400
2020-09-23,19.28,19.42,19.08,19.11,64686
2020-09-24,19.06,19.49,19.04,19.14,151586
2020-09-25,19.01,19.52,19.0,19.41,87810
2020-09-28,19.68,19.87,19.59,19.78,163666
2020-09-29,19.83,19.92,19.54,19.61,344206
2020-09-30,19.71,19.82,19.42,19.5,255808
2020-10-01,19.54,19.62,19.31,19.35,381374
2020-10-02,19.14,19.38,19.08,19.27,387002
2020-10-05,19.4,19.87,19.35,19.81,218308
2020-10-06,19.74,19.95,19.47,19.53,328228
2020-10-07,19.64,20.03,19.64,19.99,257934
2020-10-08,20.06,20.13,19.86,19.89,396410
2020-10-09,19.98,20.36,19.98,20.16,329026
2020-10-12,20.35,21.08,20.35,20.59,542522
2020-10-13,19.57,19.93,19.26,19.62,834734
2020-10-14,19.67,19.88,19.38,19.44,308398
2020-10-15,19.28,19.52,19.16,19.28,355146
2020-10-16,19.44,19.72,19.38,19.56,233298
2020-10-19,19.55,19.61,19.11,19.22,399582
2020-10-20,19.43,19.63,19.38,19.48,224572
2020-10-21,19.52,19.62,18.99,19.01,330660
2020-10-22,19.05,19.11,18.81,19.07,283920
2020-10-23,19.17,19.5,19.04,19.46,283174
2020-10-26,19.16,19.28,19.02,19.27,320646
2020-10-27,19.35,19.35,18.93,18.94,216480
2020-10-28,18.63,18.86,18.57,18.66,345932
2020-10-29,18.62,18.97,18.52,18.78,229664
2020-10-30,18.68,18.9,18.56,18.81,326866
2020-11-02,19.0,19.37,19.0,19.33,230404
2020-11-03,19.67,20.18,19.64,20.12,225644
2020-11-04,20.32,20.76,20.18,20.26,354074
2020-11-05,20.59,20.72,20.13,20.16,288594
2020-11-06,20.17,20.49,20.02,20.41,190928
2020-11-09,21.24,21.46,19.98,19.98,366598
2020-11-10,19.82,20.51,19.82,20.31,373542
2020-11-11,20.44,20.57,20.18,20.53,196306
2020-11-12,20.44,20.47,20.01,20.14,264744
2020-11-13,20.29,20.72,20.29,20.68,270122
2020-11-16,20.79,21.14,20.6,21.14,326744
2020-11-17,20.93,20.97,20.64,20.72,230782
2020-11-18,20.74,20.94,20.62,20.71,253918
2020-11-19,20.61,20.91,20.41,20.89,220114
2020-11-20,20.73,20.9,20.53,20.56,301470
2020-11-23,20.63,20.85,20.47,20.84,256972
2020-11-24,20.95,21.36,20.71,21.28,357990
2020-11-25,21.21,21.21,20.81,20.96,143290
2020-11-27,21.03,21.22,20.94,21.08,85270
2020-11-30,21.1,21.53,21.01,21.52,279524
2020-12-01,21.71,21.72,21.23,21.3,275656
2020-12-02,21.17,21.34,20.78,20.85,200382
2020-12-03,20.93,21.04,20.71,20.75,233126
2020-12-04,20.86,21.23,20.86,21.06,181616
2020-12-07,20.95,21.48,20.95,21.34,221892
2020-12-08,21.36,21.63,21.11,21.51,185484
2020-12-09,21.49,21.85,21.49,21.79,212668
2020-12-10,21.56,21.72,21.19,21.21,149868
2020-12-11,21.19,21.73,21.18,21.56,218878
2020-12-14,21.68,21.85,21.59,21.59,217488
2020-12-15,21.73,21.98,21.61,21.83,105196
2020-12-16,21.44,21.74,21.39,21.69,165530
2020-12-17,21.76,21.8,21.62,21.72,173880
2020-12-18,21.78,21.81,21.4,21.66,280930
2020-12-21,21.44,21.78,21.21,21.75,154680
2020-12-22,21.81,21.81,21.57,21.7,100212
2020-12-23,21.78,21.78,21.45,21.53,64108
2020-12-24,21.59,21.7,21.57,21.69,46778
2020-12-28,21.87,21.97,21.72,21.92,136292
2020-12-29,22.01,22.1,21.61,21.78,347108
2020-12-30,21.83,21.88,21.45,21.51,110832
2020-12-31,21.44,21.52,21.19,21.41,145868
2021-01-04,21.49,21.61,20.69,20.89,333216
2021-01-05,20.81,21.2,20.77,21.16,155466
2021-01-06,21.08,21.63,21.03,21.52,219136
2021-01-07,21.5,21.82,21.2,21.81,292310
2021-01-08,21.75,22.29,21.75,22.25,314158
2021-01-11,22.04,22.31,22.04,22.14,201392
2021-01-12,22.07,22.74,22.06,22.64,333100
2021-01-13,22.52,22.55,22.22,22.22,223828
2021-01-14,22.3,22.34,21.9,22.06,149546
2021-01-15,21.94,22.16,21.72,22.14,215818
2021-01-19,22.36,22.4,21.88,22.1,481650
2021-01-20,22.08,22.08,20.93,21.34,756668
2021-01-21,21.36,21.53,20.97,21.12,429104
2021-01-22,21.08,21.13,20.85,20.92,547930
2021-01-25,20.85,21.15,20.58,21.11,236352
2021-01-26,21.23,21.28,20.76,20.86,190100
2021-01-27,20.62,21.02,20.37,20.96,320118
2021-01-28,21.16,21.25,20.46,20.47,425678
2021-01-29,20.32,20.59,19.97,19.97,348694
2021-02-01,20.26,20.49,20.19,20.35,282422
2021-02-02,20.55,20.69,20.22,20.51,390614
2021-02-03,20.42,20.82,20.34,20.74,195176
2021-02-04,20.56,20.8,20.24,20.79,514888
2021-02-05,20.9,20.99,20.71,20.87,195536
2021-02-08,20.96,21.13,20.88,20.92,173406
2021-02-09,20.89,20.9,20.57,20.86,146934
2021-02-10,21.01,21.1,20.76,21.02,177412
2021-02-11,21.04,21.13,20.63,20.76,127216
2021-02-12,20.76,20.9,20.73,20.9,72116
2021-02-16,20.96,20.99,20.54,20.57,176906
2021-02-17,20.54,20.74,20.47,20.71,216826
2021-02-18,20.53,20.99,20.52,20.85,198612
2021-02-19,20.87,21.13,20.81,20.83,147638
2021-02-22,20.67,20.75,20.41,20.42,226992
2021-02-23,20.39,20.68,20.18,20.64,196490
2021-02-24,20.56,20.77,20.28,20.69,385046
2021-02-25,20.64,20.84,20.37,20.41,165384
2021-02-26,20.5,20.67,20.3,20.48,221804
2021-03-01,20.61,21.5,20.61,21.38,528664
2021-03-02,21.33,21.35,20.86,20.94,185990
2021-03-03,20.9,21.01,20.48,20.49,374432
2021-03-04,20.29,20.29,19.14,19.46,507198
2021-03-05,19.66,19.99,19.24,19.93,480910
2021-03-08,19.87,20.08,19.68,19.68,280464
2021-03-09,19.96,20.28,19.95,20.16,234224
2021-03-10,20.31,20.49,20.16,20.35,158300
2021-03-11,20.41,20.63,20.31,20.46,196010
2021-03-12,20.53,20.82,20.49,20.79,181484
2021-03-15,20.97,21.32,20.93,21.23,490188
2021-03-16,21.24,21.4,21.05,21.07,379220
2021-03-17,21.1,21.4,21.0,21.35,211272
2021-03-18,21.21,21.32,20.91,20.95,251286
2021-03-19,20.97,21.13,20.71,21.01,379874
2021-03-22,21.01,21.21,20.83,21.16,212076
2021-03-23,21.14,21.33,20.96,21.04,320132
2021-03-24,21.17,21.45,21.11,21.28,194732
2021-03-25,21.31,21.79,21.18,21.72,405054
2021-03-26,21.73,22.31,21.7,22.31,202886
2021-03-29,22.3,22.53,22.22,22.36,251074
2021-03-30,22.25,22.39,22.07,22.3,225538
2021-03-31,22.36,22.46,22.15,22.17,212796
2021-04-01,22.24,22.56,22.17,22.55,407346
2021-04-05,22.65,22.73,22.45,22.69,233962
2021-04-06,22.58,22.78,22.58,22.61,200604
2021-04-07,22.58,22.58,22.0,22.03,508382
2021-04-08,22.11,22.21,21.98,22.15,397196
2021-04-09,22.11,22.15,21.71,22.06,312092
2021-04-12,22.11,22.42,21.98,22.36,509476
2021-04-13,21.66,22.05,21.44,22.03,433070
2021-04-14,22.05,22.46,21.91,22.06,370128
2021-04-15,22.14,22.24,21.97,22.23,363360
2021-04-16,22.24,22.31,22.02,22.3,322162
2021-04-19,22.27,22.44,22.06,22.41,150166
2021-04-20,22.4,22.61,22.39,22.55,219040
2021-04-21,22.66,22.99,22.61,22.95,112326
2021-04-22,22.93,23.1,22.8,22.82,204040
2021-04-23,22.93,23.27,22.85,23.14,204446
2021-04-26,23.16,23.21,22.92,23.02,119756
2021-04-27,22.9,23.04,22.83,23.04,137954
2021-04-28,22.95,23.01,22.8,22.91,130556
2021-04-29,23.05,23.53,23.0,23.44,162556
2021-04-30,23.31,23.66,23.15,23.19,325528
2021-05-03,23.26,23.57,23.16,23.48,193520
2021-05-04,23.43,23.76,23.34,23.63,192220
2021-05-05,23.73,24.04,23.48,24.02,191564
2021-05-06,23.63,23.74,23.31,23.45,420686
2021-05-07,23.41,23.71,23.37,23.61,258970
2021-05-10,23.6,24.08,23.55,23.82,242016
2021-05-11,23.7,23.81,23.39,23.44,309038
2021-05-12,23.3,23.51,23.05,23.05,188074
2021-05-13,23.19,23.73,23.13,23.61,145432
2021-05-14,23.66,23.96,23.59,23.93,107386
2021-05-17,23.93,23.93,23.6,23.8,127926
2021-05-18,23.89,23.89,23.24,23.24,244752
2021-05-19,23.19,23.19,22.74,23.03,292318
2021-05-20,23.02,23.29,22.97,23.19,200432
2021-05-21,23.27,23.48,23.14,23.22,185810
2021-05-24,23.38,23.53,23.23,23.42,126558
2021-05-25,23.51,23.55,23.3,23.37,106054
2021-05-26,23.35,23.47,23.26,23.46,111994
2021-05-27,23.63,23.74,23.37,23.39,175742
2021-05-28,23.52,23.66,23.49,23.51,115586
2021-06-01,23.78,23.78,23.24,23.3,132120
2021-06-02,23.41,23.41,23.15,23.25,150622
2021-06-03,23.16,23.37,23.02,23.33,178370
2021-06-04,23.42,23.67,23.42,23.54,183632
2021-06-07,23.54,23.54,23.22,23.4,215232
2021-06-08,23.35,23.56,23.18,23.52,192118
2021-06-09,23.48,23.58,23.34,23.34,183816
2021-06-10,23.47,23.49,23.26,23.36,140858
2021-06-11,23.5,23.52,23.21,23.28,188320
2021-06-14,23.31,23.38,23.11,23.37,105610
2021-06-15,22.75,23.05,22.57,22.86,340276
2021-06-16,22.85,22.95,22.5,22.61,358250
2021-06-17,22.7,22.72,21.96,22.31,282872
2021-06-18,22.0,22.56,21.91,22.46,258822
2021-06-21,22.62,23.01,22.6,22.82,234564
2021-06-22,22.82,22.99,22.73,22.86,198212
2021-06-23,22.89,23.15,22.66,22.88,286564
2021-06-24,22.96,23.0,22.8,22.91,166966
2021-06-25,23.02,23.03,22.91,22.94,161398
2021-06-28,22.97,23.1,22.8,22.9,170360
2021-06-29,23.03,23.05,22.83,22.96,143310
2021-06-30,22.98,23.1,22.95,23.05,279162
2021-07-01,23.23,23.24,23.01,23.08,215178
2021-07-02,23.11,23.42,23.11,23.32,143216
2021-07-06,23.31,23.32,22.86,23.26,269016
2021-07-07,23.28,23.86,23.28,23.82,264894
2021-07-08,23.61,23.77,23.4,23.49,225320
