date,open,high,low,close,volume
2020-07-27,12.46,12.68,12.3,12.67,488105
2020-07-28,12.47,12.65,12.33,12.36,440342
2020-07-29,12.46,12.53,12.25,12.41,310152
2020-07-30,12.01,12.21,11.88,12.1,304857
2020-07-31,12.1,12.1,11.89,12.05,314679
2020-08-03,12.25,12.31,12.06,12.22,378614
2020-08-04,11.98,12.1,11.63,12.09,449172
2020-08-05,12.48,13.46,12.48,13.05,682599
2020-08-06,13.08,13.76,13.01,13.58,542665
2020-08-07,13.18,13.23,12.79,13.03,376871
2020-08-10,13.2,13.43,13.18,13.43,281697
2020-08-11,13.45,13.53,12.99,13.02,480888
2020-08-12,13.2,13.24,13.0,13.04,425731
2020-08-13,12.88,13.2,12.76,12.86,527772
2020-08-14,12.92,12.97,12.75,12.85,351886
2020-08-17,13.15,13.34,13.08,13.16,387629
2020-08-18,13.44,13.69,13.39,13.44,307093
2020-08-19,13.6,14.17,13.6,13.93,569538
2020-08-20,13.69,13.8,13.54,13.72,331555
2020-08-21,13.43,13.5,13.28,13.4,194004
2020-08-24,13.68,13.68,13.4,13.58,244412
2020-08-25,13.56,13.67,13.44,13.49,240668
2020-08-26,13.43,14.04,13.42,14.02,397016
2020-08-27,14.16,14.31,13.88,13.91,393800
2020-08-28,14.2,14.64,14.2,14.61,571925
2020-08-31,14.77,14.79,14.45,14.58,309085
2020-09-01,14.66,15.11,14.6,15.1,319838
2020-09-02,15.14,15.24,14.81,15.2,428144
2020-09-03,14.77,14.82,14.14,14.5,212619
2020-09-04,14.71,15.08,14.17,14.96,496402
2020-09-08,14.61,14.87,14.35,14.68,192425
2020-09-09,14.95,15.19,14.88,15.05,212743
2020-09-10,15.15,15.31,14.65,14.74,413432
2020-09-11,14.91,15.34,14.82,15.17,248456
2020-09-14,15.37,15.38,15.17,15.28,434678
2020-09-15,15.5,15.57,15.3,15.32,485851
2020-09-16,15.39,16.0,15.23,15.66,649833
2020-09-17,15.47,16.04,15.36,15.89,556048
2020-09-18,15.91,16.32,15.81,15.86,422747
2020-09-21,15.25,15.35,14.39,14.61,564758
2020-09-22,14.75,14.8,14.48,14.62,250975
2020-09-23,14.56,14.56,13.7,13.78,509172
2020-09-24,13.81,14.55,13.7,14.36,638753
2020-09-25,14.1,14.35,13.79,14.28,423450
2020-09-28,14.54,14.86,14.4,14.84,670975
2020-09-29,14.83,14.84,14.29,14.3,472721
2020-09-30,14.38,14.74,14.36,14.61,600429
2020-10-01,14.7,14.72,14.27,14.5,837854
2020-10-02,14.25,14.97,14.2,14.88,524068
2020-10-05,14.96,15.43,14.96,15.22,318529
2020-10-06,15.33,15.46,14.67,14.67,469956
2020-10-07,15.2,15.86,15.18,15.74,544126
2020-10-08,15.94,16.08,15.64,15.67,441565
2020-10-09,16.03,16.1,15.71,16.08,283324
2020-10-12,15.99,16.1,15.65,15.66,286623
2020-10-13,15.51,15.86,15.42,15.69,198858
2020-10-14,15.83,15.88,15.65,15.81,298249
2020-10-15,15.46,16.11,15.43,16.06,375463
2020-10-16,16.09,16.14,15.88,16.01,457985
2020-10-19,16.16,16.63,15.95,15.98,307026
2020-10-20,16.21,16.67,16.19,16.43,431308
2020-10-21,16.6,17.06,16.49,16.52,601996
2020-10-22,16.33,17.16,16.15,17.12,594269
2020-10-23,17.26,17.42,16.97,17.13,554291
2020-10-26,16.79,16.82,16.06,16.21,581241
2020-10-27,16.22,16.69,16.1,16.54,570198
2020-10-28,16.0,16.05,15.57,15.73,597410
2020-10-29,15.74,16.48,15.69,16.31,453240
2020-10-30,16.22,16.36,15.83,16.19,332971
2020-11-02,16.51,17.02,16.44,17.02,409911
