date,open,high,low,close,volume
2019-08-05,255.5,255.5,255.5,255.5,100
2020-07-27,327.72,330.24,327.04,328.54,11038
2020-07-28,326.33,326.73,321.85,322.35,13200
2020-07-29,326.63,329.05,325.23,326.4,5486
2020-07-30,323.11,326.12,321.22,324.97,8232
2020-07-31,325.65,325.65,319.43,324.53,9170
2020-08-03,328.05,330.1,327.25,327.97,21088
2020-08-04,325.27,326.29,322.37,326.24,9935
2020-08-05,326.01,331.44,326.01,329.36,8531
2020-08-06,329.0,332.39,326.72,332.3,7601
2020-08-07,333.97,336.79,332.36,334.11,9454
2020-08-10,331.42,334.86,330.41,334.57,4483
2020-08-11,336.98,338.96,332.93,333.99,7848
2020-08-12,337.83,339.85,337.59,338.75,8082
2020-08-13,338.82,338.82,333.58,333.89,7760
2020-08-14,334.85,336.92,330.01,333.13,10012
2020-08-17,336.26,337.42,333.92,334.5,9464
2020-08-18,336.1,340.62,335.98,339.15,6416
2020-08-19,340.87,341.63,338.1,339.79,13747
2020-08-20,337.52,338.58,334.97,334.97,2340
2020-08-21,333.64,336.0,332.39,334.78,7913
2020-08-24,338.72,338.72,334.63,336.1,9365
2020-08-25,335.22,335.8,333.91,334.59,5727
2020-08-26,334.21,337.15,334.17,334.71,14771
2020-08-27,336.26,337.97,332.42,332.77,11652
2020-08-28,334.8,334.8,331.49,332.45,7453
2020-08-31,335.73,338.0,330.22,330.22,12992
2020-09-01,330.74,331.37,329.81,330.18,8887
2020-09-02,331.8,335.48,330.98,333.38,15693
2020-09-03,328.57,328.57,318.5,319.26,21349
2020-09-04,318.1,318.1,308.02,312.88,16066
2020-09-08,308.43,308.43,301.86,303.92,29752
2020-09-09,307.2,316.71,307.2,313.47,14892
2020-09-10,314.25,314.25,304.71,306.56,12655
2020-09-11,307.2,310.64,306.12,308.0,13126
2020-09-14,311.32,314.74,310.78,313.95,27887
2020-09-15,314.93,318.41,314.93,316.84,8428
2020-09-16,321.12,322.43,314.16,314.72,8124
2020-09-17,312.85,315.03,310.25,313.48,5702
2020-09-18,316.04,319.74,313.98,317.27,16185
2020-09-21,311.72,318.39,309.28,317.69,40042
2020-09-22,320.93,320.93,312.1,319.49,11328
2020-09-23,319.46,320.47,311.52,312.11,20490
2020-09-24,321.88,336.6,312.98,314.54,35152
2020-09-25,311.96,311.96,304.84,308.68,19448
2020-09-28,316.4,316.4,312.7,313.81,11858
2020-09-29,317.51,317.51,313.61,314.62,15890
2020-09-30,317.77,318.86,312.91,315.51,16939
2020-10-01,317.6,319.26,308.09,308.31,30579
2020-10-02,304.51,308.67,304.04,305.16,36685
2020-10-05,309.14,309.46,302.14,304.03,30628
2020-10-06,305.24,308.29,303.14,303.14,19813
2020-10-07,305.55,307.67,304.79,306.62,28655
2020-10-08,308.49,311.44,306.06,309.51,20876
2020-10-09,313.06,313.06,307.94,308.68,24299
2020-10-12,310.07,312.21,307.76,310.61,28129
2020-10-13,312.39,317.1,312.39,316.2,29800
