date,open,high,low,close,volume
2020-07-27,119.25,123.71,118.86,123.7,72322
2020-07-28,123.0,123.25,120.87,121.04,148381
2020-07-29,121.22,124.2,121.22,122.88,140168
2020-07-30,125.87,126.45,123.23,125.18,318412
2020-07-31,124.85,125.15,121.8,122.15,122987
2020-08-03,122.95,123.6,122.25,122.64,63703
2020-08-04,122.81,124.27,122.7,123.66,31714
2020-08-05,124.88,124.88,123.6,124.45,35840
2020-08-06,124.42,125.7,124.36,125.05,47261
2020-08-07,125.23,133.24,125.23,133.05,349207
2020-08-10,136.24,145.14,136.11,144.91,297430
2020-08-11,144.97,147.48,141.53,142.39,278727
2020-08-12,145.24,149.47,144.78,146.29,232682
2020-08-13,145.17,148.39,145.1,147.75,116878
2020-08-14,147.13,151.9,147.06,151.14,167994
2020-08-17,152.32,153.34,149.39,149.75,182501
2020-08-18,149.72,151.01,148.11,149.91,116158
2020-08-19,150.25,152.81,150.25,150.7,110537
2020-08-20,148.73,151.54,148.73,151.42,46300
2020-08-21,151.59,154.29,151.45,152.5,41681
2020-08-24,154.01,157.81,153.84,157.51,126602
2020-08-25,158.56,159.1,154.54,155.32,160100
2020-08-26,155.86,157.29,155.17,156.41,37049
2020-08-27,156.79,158.59,156.2,158.15,58097
2020-08-28,158.47,162.02,158.47,160.86,182372
2020-08-31,160.76,162.45,159.32,159.32,67657
2020-09-01,159.28,164.11,158.96,163.53,85382
2020-09-02,164.44,165.98,161.9,165.26,39294
2020-09-03,165.77,168.25,158.94,160.88,127033
2020-09-04,161.45,165.8,158.1,164.38,86797
2020-09-08,162.83,163.92,159.85,160.64,56363
2020-09-09,164.07,166.2,163.19,164.17,123898
2020-09-10,166.48,166.48,162.05,163.53,88395
2020-09-11,165.25,169.84,163.97,169.22,128301
2020-09-14,174.99,174.99,169.2,171.83,245481
2020-09-15,170.82,174.29,167.92,171.99,249568
2020-09-16,184.0,186.04,179.12,181.91,432683
2020-09-17,176.36,181.5,176.14,177.36,89971
2020-09-18,177.03,180.3,175.88,176.51,92353
2020-09-21,172.65,173.81,167.43,173.59,182802
2020-09-22,173.9,177.16,171.49,176.98,96528
2020-09-23,178.23,181.81,175.22,175.54,93559
2020-09-24,175.33,179.53,174.14,177.67,57773
2020-09-25,175.99,183.09,175.67,181.88,151116
2020-09-28,185.7,188.86,184.78,184.78,79844
2020-09-29,183.75,187.55,181.43,184.37,114157
2020-09-30,185.25,187.16,181.36,182.96,79045
2020-10-01,185.06,187.35,184.0,184.6,260140
2020-10-02,182.26,187.86,181.87,185.8,178790
2020-10-05,187.86,189.58,187.38,188.52,253669
2020-10-06,189.44,192.49,188.1,188.77,138437
2020-10-07,191.85,196.6,191.84,194.95,128518
2020-10-08,196.16,197.96,193.64,197.07,93052
2020-10-09,199.59,199.59,196.03,197.36,201706
2020-10-12,198.0,199.26,197.31,198.84,119868
2020-10-13,197.69,200.04,197.69,198.29,108240
2020-10-14,199.62,202.68,199.05,200.79,84538
2020-10-15,198.27,205.08,197.56,205.08,101997
2020-10-16,206.45,208.68,205.16,206.42,156121
2020-10-19,207.0,211.62,203.22,204.97,147481
2020-10-20,206.7,212.74,205.87,209.07,183667
2020-10-21,210.19,213.2,205.24,205.24,126054
2020-10-22,207.63,207.63,199.2,200.69,161480
2020-10-23,202.21,206.3,201.27,206.28,180164
2020-10-26,203.52,203.75,198.73,201.85,108292
2020-10-27,203.3,203.78,199.52,199.58,92679
2020-10-28,191.46,193.94,187.54,189.0,201217
2020-10-29,189.14,196.07,189.03,194.29,171641
2020-10-30,192.34,193.18,185.77,188.66,147840
2020-11-02,189.88,194.38,188.62,193.88,93561
2020-11-03,197.74,201.19,195.03,199.48,124324
2020-11-04,201.35,202.52,195.2,195.78,188967
2020-11-05,199.25,205.13,199.25,202.79,101867
2020-11-06,202.58,206.65,201.54,203.34,146268
2020-11-09,199.34,199.51,186.37,191.79,374321
2020-11-10,192.04,195.31,187.54,194.21,198965
2020-11-11,196.22,196.86,193.5,194.74,92360
2020-11-12,196.14,196.87,191.89,194.1,91261
2020-11-13,195.37,198.76,195.07,197.76,73649
2020-11-16,198.19,204.14,196.62,203.17,205248
2020-11-17,204.55,207.89,201.34,207.19,208339
2020-11-18,207.94,210.62,205.37,205.47,132235
2020-11-19,204.83,204.98,201.3,203.34,131322
2020-11-20,203.82,204.61,201.22,201.22,75193
2020-11-23,203.94,208.13,203.82,207.86,103625
2020-11-24,210.29,215.17,207.57,212.08,115184
2020-11-25,211.83,212.59,208.56,209.56,67140
2020-11-27,210.54,211.45,207.56,208.74,33368
2020-11-30,209.71,211.27,203.98,208.27,74807
2020-12-01,213.23,216.35,209.09,209.15,107914
2020-12-02,208.88,213.59,207.41,211.9,86318
2020-12-03,212.51,215.2,210.72,212.72,78180
2020-12-04,214.53,217.17,213.19,214.34,50753
2020-12-07,215.3,215.82,213.28,215.78,40355
2020-12-08,216.42,220.62,216.42,219.08,91412
2020-12-09,220.56,222.06,213.47,215.15,90509
2020-12-10,211.09,213.73,209.92,211.33,87418
2020-12-11,211.25,212.56,208.58,211.08,79177
2020-12-14,215.59,215.59,207.95,208.14,103592
2020-12-15,209.27,210.74,206.41,208.23,196839
2020-12-16,208.9,211.87,208.81,210.46,111038
2020-12-17,210.8,214.1,208.7,213.16,195064
2020-12-18,206.52,206.79,200.34,200.76,519165
2020-12-21,197.36,199.22,195.72,198.08,154192
2020-12-22,198.76,199.1,195.51,199.07,101858
2020-12-23,199.65,201.42,197.25,197.25,61708
2020-12-24,197.68,197.86,194.7,195.83,60469
2020-12-28,196.51,196.51,190.8,191.6,127827
2020-12-29,192.87,193.1,189.26,190.59,81610
2020-12-30,191.28,191.28,188.36,189.43,81284
2020-12-31,189.28,189.61,187.64,189.15,105917
2021-01-04,189.57,189.71,182.88,184.53,147380
2021-01-05,183.22,185.57,182.24,184.47,148107
2021-01-06,183.04,188.63,183.04,184.7,111403
2021-01-07,185.12,186.61,178.92,179.27,320902
2021-01-08,179.59,179.99,176.64,178.48,290039
2021-01-11,176.99,179.52,176.82,178.59,206826
2021-01-12,179.65,181.82,177.04,181.47,108218
2021-01-13,182.73,184.91,181.03,183.75,115907
2021-01-14,185.36,188.16,184.79,186.82,140017
2021-01-15,186.27,186.27,182.86,183.97,72333
2021-01-19,185.42,186.67,181.39,181.71,83677
2021-01-20,182.97,183.84,180.42,183.64,90617
2021-01-21,185.0,187.3,183.92,185.0,78511
2021-01-22,183.75,186.06,182.22,185.17,56904
2021-01-25,183.85,185.53,181.12,184.49,88505
2021-01-26,185.01,185.64,181.7,181.88,92207
2021-01-27,178.8,179.41,175.42,176.69,164166
2021-01-28,178.72,179.11,176.84,176.85,185526
2021-01-29,177.03,177.03,171.06,171.38,174590
2021-02-01,173.13,174.66,171.5,174.32,146474
2021-02-02,179.64,179.64,175.5,176.66,164244
2021-02-03,176.86,177.07,174.37,175.78,192750
2021-02-04,176.01,180.79,175.61,180.79,140381
2021-02-05,182.86,186.02,181.49,185.87,112790
2021-02-08,187.01,188.92,186.23,187.55,123972
2021-02-09,187.04,189.75,185.17,188.75,74864
2021-02-10,190.54,190.7,186.94,187.5,88453
2021-02-11,187.96,187.96,183.32,185.32,85122
2021-02-12,185.3,191.65,185.14,191.6,118805
2021-02-16,192.33,193.35,190.34,190.81,97851
2021-02-17,189.42,189.61,186.17,188.67,65193
2021-02-18,186.61,188.17,184.41,186.13,89573
2021-02-19,187.89,188.78,184.9,185.49,72400
2021-02-22,184.58,187.44,184.58,185.62,77984
2021-02-23,184.58,185.91,178.96,185.55,96009
2021-02-24,185.6,190.24,185.53,189.22,92493
2021-02-25,189.55,191.48,184.52,185.2,90402
2021-02-26,185.49,187.56,183.03,185.45,78021
2021-03-01,188.62,193.17,188.31,190.89,86914
2021-03-02,191.38,191.8,189.1,189.11,61456
2021-03-03,188.16,191.37,186.24,188.4,73194
2021-03-04,187.1,188.26,180.12,182.23,129668
2021-03-05,184.06,188.59,179.37,187.89,97182
2021-03-08,188.89,190.67,183.42,183.53,117926
2021-03-09,184.92,191.45,184.41,188.45,118741
2021-03-10,189.56,191.14,188.74,190.28,74913
2021-03-11,192.46,197.26,191.76,196.1,167933
2021-03-12,195.38,198.07,194.2,197.36,116263
2021-03-15,197.99,199.24,192.69,194.98,145969
2021-03-16,194.5,194.7,190.27,190.57,76489
2021-03-17,188.83,194.4,188.48,194.22,93068
2021-03-18,195.38,196.58,192.12,192.79,206387
2021-03-19,203.78,206.59,201.08,203.37,414965
2021-03-22,204.0,204.19,198.55,200.14,114798
2021-03-23,198.46,202.0,193.98,194.91,103264
2021-03-24,196.48,200.23,195.43,195.92,89399
2021-03-25,194.04,200.84,192.92,200.28,85804
2021-03-26,201.73,205.59,200.72,205.59,92827
2021-03-29,203.56,205.87,202.48,203.92,67082
2021-03-30,203.95,210.42,203.49,208.55,120566
2021-03-31,209.07,210.21,206.65,207.53,93612
2021-04-01,207.12,208.16,205.84,207.1,60919
2021-04-05,208.69,209.18,205.0,205.61,98327
2021-04-06,205.22,207.58,205.22,205.95,52423
2021-04-07,205.84,206.1,202.18,203.78,90291
2021-04-08,206.07,207.74,204.58,207.74,95346
2021-04-09,206.85,209.57,205.83,209.12,94601
2021-04-12,208.4,213.94,208.4,212.36,67505
2021-04-13,214.93,215.15,211.25,212.45,55009
2021-04-14,211.22,212.59,210.1,210.11,51022
2021-04-15,210.99,213.56,209.47,212.67,79203
2021-04-16,212.89,213.59,209.79,210.03,43929
2021-04-20,206.29,207.19,202.75,204.7,64413
2021-04-21,203.3,205.25,202.42,203.22,124818
2021-04-22,202.55,205.21,201.97,201.98,71519
2021-04-23,203.16,203.89,202.33,202.86,80722
