date,open,high,low,close,volume
2020-07-27,23.06,23.54,21.99,22.74,428079
2020-07-28,22.56,23.47,22.54,22.62,361477
2020-07-29,22.82,23.01,22.07,22.2,245568
2020-07-30,22.06,22.73,21.93,22.42,322462
2020-07-31,22.26,22.65,22.03,22.46,229361
2020-08-03,22.45,22.73,22.11,22.64,309710
2020-08-04,22.65,23.21,22.58,22.99,189955
2020-08-05,23.1,23.1,22.25,22.47,162648
2020-08-06,22.39,23.12,22.3,22.95,138423
2020-08-07,22.84,23.31,22.77,23.14,192337
2020-08-10,23.28,23.9,23.28,23.65,229556
2020-08-11,23.77,23.82,23.11,23.52,84959
2020-08-12,23.54,23.75,23.36,23.53,85550
2020-08-13,23.45,23.77,23.16,23.29,122153
2020-08-14,23.31,23.41,22.99,23.07,90091
2020-08-17,22.96,23.04,22.69,22.77,206100
2020-08-18,22.7,22.93,22.55,22.73,121831
2020-08-19,22.77,22.78,22.43,22.54,78297
2020-08-20,22.42,22.61,22.2,22.31,104863
2020-08-21,22.26,22.28,21.97,22.13,190737
2020-08-24,22.03,22.31,21.97,22.25,62672
2020-08-25,22.33,22.35,21.95,21.98,112716
2020-08-26,21.91,22.16,21.59,22.04,194006
2020-08-27,22.13,22.26,22.02,22.11,81131
2020-08-28,22.21,22.38,22.02,22.26,79698
2020-08-31,22.34,22.58,22.23,22.51,143390
2020-09-01,22.18,22.53,22.03,22.27,189804
2020-09-02,22.23,23.04,22.21,22.92,239351
2020-09-03,23.23,23.57,22.85,23.1,271541
2020-09-04,23.17,23.46,22.89,23.14,185144
2020-09-08,23.19,23.26,22.88,22.93,147045
2020-09-09,23.17,23.2,22.89,22.9,130289
2020-09-10,22.8,23.16,22.57,22.87,90927
2020-09-11,22.83,23.11,22.81,23.09,153875
2020-09-14,23.04,23.5,23.04,23.36,91870
2020-09-15,23.35,23.5,22.96,23.1,149748
2020-09-16,23.18,23.61,23.17,23.38,110899
2020-09-17,23.2,23.55,22.82,23.45,54810
2020-09-18,23.38,23.38,22.79,22.8,170942
2020-09-21,22.57,22.82,22.33,22.52,89541
2020-09-22,22.54,22.67,22.43,22.46,154174
2020-09-23,22.51,22.69,21.49,21.71,266218
2020-09-24,21.82,22.33,21.71,22.15,222353
2020-09-25,22.07,22.59,22.0,22.51,138814
2020-09-28,22.53,22.72,22.37,22.38,68149
2020-09-29,22.47,22.58,22.13,22.51,85463
2020-09-30,22.53,22.78,22.41,22.59,72089
2020-10-01,22.67,22.83,22.39,22.63,117604
2020-10-02,22.39,23.41,22.37,23.23,158917
2020-10-05,23.38,23.63,23.14,23.53,133567
2020-10-06,23.54,24.2,23.48,23.95,209314
2020-10-07,24.09,24.2,23.9,24.08,148187
