date,open,high,low,close,volume
2020-07-27,15.67,15.67,15.34,15.65,141707
2020-07-28,15.47,15.72,15.45,15.51,201588
2020-07-29,15.44,16.15,15.3,16.1,648649
2020-07-30,15.62,15.96,15.26,15.84,178212
2020-07-31,15.72,16.0,15.46,16.0,576270
2020-08-03,16.04,16.04,15.78,15.81,143342
2020-08-04,15.83,15.9,15.6,15.69,116535
2020-08-05,15.9,16.04,15.8,16.01,138472
2020-08-06,15.86,16.15,15.84,15.92,84752
2020-08-07,15.78,16.47,15.7,16.45,148161
2020-08-10,16.67,17.13,16.62,16.91,140349
2020-08-11,17.43,17.83,17.21,17.28,203844
2020-08-12,17.7,17.72,16.77,17.15,95003
2020-08-13,16.86,17.05,16.68,16.69,102066
2020-08-14,16.57,17.02,16.46,16.87,61376
2020-08-17,16.74,16.75,16.56,16.68,97459
2020-08-18,16.64,16.64,16.13,16.17,129259
2020-08-19,16.07,16.45,16.04,16.24,102790
2020-08-20,16.02,16.11,15.82,15.92,97597
2020-08-21,15.82,16.07,15.7,15.76,69807
2020-08-24,15.91,16.56,15.8,16.49,112687
2020-08-25,16.7,16.9,16.41,16.69,220351
2020-08-26,16.6,16.65,16.34,16.34,81838
2020-08-27,16.47,16.94,16.38,16.88,102529
2020-08-28,16.99,17.07,16.83,16.99,76577
2020-08-31,16.87,16.89,16.62,16.63,104042
2020-09-01,16.42,16.95,16.41,16.76,89882
2020-09-02,16.73,17.2,16.62,17.13,137058
2020-09-03,17.34,17.78,16.87,16.99,106608
2020-09-04,17.45,17.65,16.97,17.43,142519
2020-09-08,17.2,17.3,16.84,16.9,244966
2020-09-09,17.04,17.13,16.81,17.0,179183
2020-09-10,17.14,17.46,16.58,16.6,206412
2020-09-11,16.65,17.01,16.53,16.94,111194
2020-09-14,17.12,18.03,17.12,17.92,180011
2020-09-15,17.93,17.93,17.44,17.61,250233
2020-09-16,17.67,18.13,17.58,17.74,211719
2020-09-17,17.32,17.82,17.29,17.61,101108
2020-09-18,17.53,17.68,17.37,17.5,169431
2020-09-21,16.97,17.18,16.56,16.79,157015
2020-09-22,16.68,16.87,16.08,16.19,148950
2020-09-23,16.33,16.63,15.74,15.74,115911
2020-09-24,15.85,16.17,15.57,15.78,204631
2020-09-25,16.13,16.56,15.72,16.48,219382
2020-09-28,16.83,17.32,16.78,17.15,153450
2020-09-29,17.09,17.19,16.65,16.92,664041
2020-09-30,17.04,17.4,17.0,17.18,117184
2020-10-01,17.22,17.35,16.99,17.15,161081
2020-10-02,16.76,17.97,16.74,17.84,266745
2020-10-05,18.08,18.67,18.08,18.54,295138
2020-10-06,18.8,19.25,18.27,18.35,197140
2020-10-07,18.72,19.24,18.7,19.03,158747
2020-10-08,19.13,19.4,19.01,19.33,115277
2020-10-09,19.5,19.5,18.94,19.05,260573
2020-10-12,19.03,19.21,18.93,19.18,180907
2020-10-13,19.05,19.08,18.65,18.85,265776
2020-10-14,18.97,19.21,18.52,18.52,236969
2020-10-15,18.55,19.17,18.47,19.07,157408
2020-10-16,19.1,19.1,18.61,18.95,140539
2020-10-19,19.12,19.21,18.77,18.78,91799
2020-10-20,19.12,19.78,19.12,19.38,194235
2020-10-21,19.3,19.54,19.15,19.15,236010
2020-10-22,18.94,19.73,18.72,19.53,251882
2020-10-23,19.81,20.03,19.4,19.93,234484
2020-10-26,19.63,19.63,19.03,19.1,146230
2020-10-27,19.04,19.13,18.67,18.69,166346
2020-10-28,18.3,18.6,18.24,18.28,179843
2020-10-29,18.21,18.97,18.02,18.83,116021
2020-10-30,18.62,18.94,18.39,18.93,190168
2020-11-02,19.18,19.75,18.92,19.62,215864
2020-11-03,20.04,20.29,19.92,19.97,283266
2020-11-04,19.39,19.46,18.48,18.83,360027
2020-11-05,18.88,19.81,18.88,19.56,443280
2020-11-06,19.73,19.78,18.7,18.9,205396
2020-11-09,20.5,22.07,20.4,21.63,969094
2020-11-10,21.49,21.67,21.26,21.41,542119
2020-11-11,21.48,21.48,20.77,20.95,267511
2020-11-12,20.55,20.58,19.93,20.28,362415
2020-11-13,20.48,20.86,20.46,20.69,234753
2020-11-16,21.76,21.76,21.12,21.41,281602
2020-11-17,21.01,21.25,20.56,21.24,137789
2020-11-18,21.31,21.68,20.94,20.95,195623
2020-11-19,20.82,21.17,20.45,21.1,135298
2020-11-20,20.74,20.96,20.48,20.61,215685
2020-11-23,21.01,21.29,20.79,21.19,359849
2020-11-24,21.68,22.38,21.68,22.21,232773
2020-11-25,21.66,21.87,21.57,21.76,197214
2020-11-27,21.7,21.74,21.21,21.41,83801
2020-11-30,21.32,21.48,20.6,20.66,262890
2020-12-01,21.1,21.57,21.02,21.36,304227
2020-12-02,21.16,21.76,21.06,21.69,219949
2020-12-03,21.72,22.01,21.49,21.84,161932
2020-12-04,22.06,22.38,21.97,22.32,146328
2020-12-07,22.22,22.37,21.89,22.33,174109
2020-12-08,22.1,22.38,22.03,22.23,215192
2020-12-09,22.43,22.91,22.39,22.62,213043
2020-12-10,22.19,22.8,22.17,22.67,295509
2020-12-11,22.25,22.45,22.01,22.27,175718
2020-12-14,22.54,22.62,21.63,21.74,140880
2020-12-15,21.87,22.2,21.68,22.08,99257
2020-12-16,22.2,22.3,21.9,22.22,142370
2020-12-17,22.22,22.26,21.8,22.11,93594
2020-12-18,22.14,22.25,21.54,21.72,102836
2020-12-21,21.97,22.34,21.66,22.16,152189
2020-12-22,22.25,22.36,21.93,21.95,75968
2020-12-23,22.06,22.72,22.06,22.62,102031
2020-12-24,22.61,22.61,22.15,22.49,44025
2020-12-28,22.65,22.85,22.42,22.45,63705
2020-12-29,22.5,22.52,22.16,22.24,86379
2020-12-30,22.32,22.56,22.27,22.46,72925
2020-12-31,22.4,22.73,22.26,22.71,39124
2021-01-04,22.84,22.95,22.1,22.42,142046
2021-01-05,22.55,22.99,22.36,22.69,118580
2021-01-06,23.36,25.08,23.36,24.91,326978
2021-01-07,25.48,26.44,25.4,25.9,146446
2021-01-08,25.87,25.91,25.19,25.69,105248
2021-01-11,25.37,25.92,25.33,25.85,113767
2021-01-12,25.89,26.27,25.73,26.23,132722
2021-01-13,26.02,26.32,25.81,26.12,134281
2021-01-14,26.21,27.01,26.09,26.8,112124
2021-01-15,26.33,26.53,25.99,26.25,103031
2021-01-19,26.33,26.67,26.16,26.41,74605
2021-01-20,26.34,26.35,25.74,25.78,99361
2021-01-21,25.58,26.04,25.02,25.28,145788
2021-01-22,25.19,25.51,25.05,25.47,66027
2021-01-25,24.78,25.17,24.28,25.03,105435
2021-01-26,25.32,25.47,24.48,24.5,197519
2021-01-27,23.92,23.94,23.32,23.37,187376
2021-01-28,23.89,24.51,23.77,24.35,146336
2021-01-29,24.35,24.54,23.65,23.81,143372
2021-02-01,23.89,24.36,23.88,24.3,183152
2021-02-02,24.65,25.38,24.62,24.98,157571
2021-02-03,25.12,25.56,24.93,25.56,105872
2021-02-04,25.65,26.62,25.65,26.42,132191
2021-02-05,26.64,26.84,26.39,26.42,81326
2021-02-08,26.47,26.84,26.47,26.77,128260
2021-02-09,26.62,26.84,26.41,26.77,144692
2021-02-10,26.85,27.32,26.74,26.82,147462
2021-02-11,26.68,26.98,26.23,26.54,110066
2021-02-12,26.44,26.96,26.44,26.77,124025
2021-02-16,27.03,27.74,27.03,27.55,163026
2021-02-17,27.61,27.92,27.32,27.61,159383
2021-02-18,27.24,27.58,26.85,27.35,218516
2021-02-19,27.53,28.56,27.5,28.43,186802
2021-02-22,28.45,29.14,28.45,28.73,229147
2021-02-23,28.99,29.01,28.26,28.89,265164
2021-02-24,29.11,29.94,28.97,29.88,274281
2021-02-25,30.26,30.29,28.99,29.08,355503
2021-02-26,28.85,29.25,28.31,28.64,507431
2021-03-01,29.12,29.73,29.04,29.61,250243
2021-03-02,29.58,29.92,29.45,29.78,178767
2021-03-03,29.94,30.17,29.47,29.59,240071
2021-03-04,29.48,29.84,28.45,29.3,278654
2021-03-05,30.63,30.75,29.01,30.29,415647
2021-03-08,30.57,31.83,30.47,31.06,295391
2021-03-09,30.54,30.86,29.83,30.22,164105
2021-03-10,30.22,31.43,30.17,31.31,269059
2021-03-11,31.08,31.94,30.92,31.3,384726
2021-03-12,31.71,32.32,31.71,32.19,367014
2021-03-15,32.14,32.22,31.23,31.67,249345
2021-03-16,31.24,31.44,30.7,31.22,268281
2021-03-17,31.58,32.14,31.37,31.78,185574
2021-03-18,32.52,33.3,31.9,32.14,352287
2021-03-19,31.49,32.29,31.18,31.52,260762
2021-03-22,31.45,31.45,30.47,30.65,345069
2021-03-23,30.26,30.78,29.77,29.94,218049
2021-03-24,30.26,30.8,29.89,29.89,163365
2021-03-25,29.92,31.17,29.54,31.07,177723
2021-03-26,31.57,31.89,31.13,31.68,192376
2021-03-29,31.03,31.15,30.17,30.57,171778
2021-03-30,30.91,31.82,30.91,31.59,272136
2021-03-31,31.4,31.76,31.05,31.05,184410
2021-04-01,30.99,31.54,30.85,31.5,177664
2021-04-05,32.12,32.19,31.47,31.71,104294
2021-04-06,31.67,31.86,31.43,31.78,86289
2021-04-07,31.9,32.09,31.65,31.83,99549
2021-04-08,31.55,31.71,31.02,31.62,129043
2021-04-09,31.85,31.99,31.62,31.88,73605
2021-04-12,31.85,32.27,31.85,32.2,170258
2021-04-13,31.95,32.05,31.43,31.69,76479
2021-04-14,31.62,32.39,31.61,31.98,105399
2021-04-15,32.02,32.02,31.0,31.52,181033
2021-04-16,31.71,32.15,31.5,31.68,167999
2021-04-19,31.6,31.93,31.2,31.41,161162
2021-04-20,31.11,31.27,29.94,30.21,189724
2021-04-21,30.15,31.0,29.8,30.99,198041
2021-04-22,31.03,31.13,30.5,30.55,121755
2021-04-23,30.53,32.04,30.47,31.79,437076
2021-04-26,31.94,32.59,31.94,32.15,159773
2021-04-27,32.23,32.59,32.15,32.55,110978
2021-04-28,32.65,33.13,32.6,32.99,132859
2021-04-29,33.36,33.83,33.33,33.77,213468
2021-04-30,33.44,33.97,33.31,33.61,128652
2021-05-03,34.04,34.04,33.33,33.55,105720
2021-05-04,33.48,34.27,33.19,34.27,201816
2021-05-05,34.35,34.77,33.93,34.48,107688
2021-05-06,34.73,34.78,34.09,34.78,336083
2021-05-07,33.94,35.14,33.82,35.14,150277
2021-05-10,35.6,35.71,35.04,35.04,203028
2021-05-11,34.68,35.49,34.28,34.54,136833
2021-05-12,35.05,35.16,33.85,33.96,155961
2021-05-13,33.74,35.01,33.68,34.81,225828
2021-05-14,34.99,35.45,34.91,35.36,154973
2021-05-17,35.23,35.59,35.0,35.58,101386
2021-05-18,35.51,35.67,34.82,34.84,79343
2021-05-19,34.44,34.56,33.88,34.55,117911
2021-05-20,34.44,34.62,34.12,34.43,66995
2021-05-21,34.62,35.11,34.56,34.75,124499
2021-05-24,34.85,34.93,34.58,34.76,92201
2021-05-25,34.83,35.22,34.14,34.23,146393
2021-05-26,34.34,34.68,34.08,34.54,154604
2021-05-27,35.04,35.21,34.77,35.03,91450
2021-05-28,34.96,35.01,34.43,34.95,158784
2021-06-01,35.25,35.46,34.9,35.12,124003
2021-06-02,35.17,35.21,34.76,34.96,88958
2021-06-03,35.02,35.47,34.79,35.0,122569
2021-06-04,34.99,35.01,34.51,34.87,76985
2021-06-07,34.91,35.0,34.69,34.82,54063
2021-06-08,34.42,34.64,33.89,34.55,162171
2021-06-09,34.19,34.31,33.83,34.14,81791
2021-06-10,34.58,34.72,33.42,33.52,97703
2021-06-11,33.6,33.95,33.51,33.62,87328
2021-06-14,33.53,33.72,32.58,32.78,153304
2021-06-15,32.9,33.42,32.73,33.19,91101
2021-06-16,32.93,33.82,32.7,33.64,154718
2021-06-17,33.99,33.99,31.5,31.55,172652
2021-06-18,31.11,31.17,30.52,30.6,159999
2021-06-21,30.9,31.38,30.72,31.32,202921
2021-06-22,31.26,31.67,31.01,31.46,113251
2021-06-23,31.56,31.76,31.39,31.47,107883
2021-06-24,31.66,32.14,31.34,31.99,64827
2021-06-25,32.22,32.86,32.05,32.76,165351
2021-06-28,32.55,32.55,31.95,32.11,83171
2021-06-29,32.34,32.53,31.75,31.8,117775
2021-06-30,31.74,32.06,31.74,31.95,59376
2021-07-01,32.26,32.42,32.0,32.35,65856
2021-07-02,32.35,32.44,31.98,32.08,54252
2021-07-06,31.99,31.99,30.98,31.16,104077
2021-07-07,30.89,31.24,30.79,30.96,64922
2021-07-08,30.45,30.85,30.13,30.51,245597
2021-07-09,31.19,31.83,30.93,31.81,106724
2021-07-12,31.34,32.17,31.11,32.03,110680
2021-07-13,32.02,32.04,31.29,31.36,83486
2021-07-14,31.49,31.85,30.73,31.23,56706
2021-07-15,30.92,31.76,30.83,31.54,81364
2021-07-16,31.63,31.63,30.32,30.4,75482
2021-07-19,29.57,29.87,28.7,28.92,158339
2021-07-20,28.91,30.4,28.73,30.02,122041
2021-07-21,30.46,31.08,30.46,30.8,121109
2021-07-22,30.69,30.76,29.79,30.05,267405
2021-07-23,30.33,30.61,29.73,29.88,117934
2021-07-26,30.02,30.56,30.02,30.33,116941
2021-07-27,29.72,30.5,29.6,30.38,99506
2021-07-28,30.27,30.78,29.97,30.45,114109
2021-07-29,30.85,30.98,30.41,30.6,113365
2021-07-30,30.42,30.93,30.18,30.3,236285
2021-08-02,30.57,31.21,30.12,30.13,143448
2021-08-03,30.39,30.83,29.66,30.75,133249
2021-08-04,30.37,30.88,30.22,30.37,171518
2021-08-05,30.78,30.94,30.63,30.88,104106
2021-08-06,31.34,31.79,31.29,31.51,134444
2021-08-09,31.51,31.72,31.07,31.33,99267
2021-08-10,31.4,31.99,31.29,31.85,119100
2021-08-11,32.04,32.38,31.64,32.31,95861
2021-08-12,32.43,32.52,32.13,32.47,89354
2021-08-13,32.66,32.66,32.05,32.15,77941
2021-08-16,31.91,32.18,31.6,31.89,114881
2021-08-17,31.59,31.93,31.18,31.49,114235
2021-08-18,31.33,31.86,31.21,31.31,154520
2021-08-19,31.09,31.62,30.96,31.21,240251
2021-08-20,31.04,31.47,30.93,31.4,96755
2021-08-23,31.7,32.05,31.7,31.78,111039
2021-08-24,31.76,32.23,31.76,32.1,94912
2021-08-25,32.3,33.11,32.18,32.8,96222
2021-08-26,32.91,33.0,32.27,32.42,124237
2021-08-27,32.57,33.04,32.39,32.97,93094
2021-08-30,32.95,32.96,32.27,32.29,69521
2021-08-31,32.51,32.69,32.17,32.45,117072
2021-09-01,32.4,32.5,31.92,32.13,111854
2021-09-02,32.13,32.58,32.08,32.33,75261
2021-09-03,32.34,32.48,31.99,32.17,95121
2021-09-07,32.21,32.65,32.13,32.21,109790
2021-09-08,32.04,32.21,31.82,32.08,128397
2021-09-09,31.95,32.68,31.95,32.4,108837
2021-09-10,32.55,32.69,32.14,32.3,169462
2021-09-13,32.62,33.06,32.49,33.06,134819
2021-09-14,33.05,33.36,32.45,32.56,153352
2021-09-15,32.7,33.77,32.65,33.6,164552
2021-09-16,33.75,34.15,33.69,33.75,157880
2021-09-17,33.55,34.04,33.37,33.52,215363
2021-09-20,32.65,32.65,31.62,32.17,199783
2021-09-21,32.28,32.4,31.74,31.92,123545
2021-09-22,32.41,32.94,32.26,32.61,109224
2021-09-23,32.98,34.22,32.98,34.02,128349
2021-09-24,33.82,34.73,33.82,34.69,186288
2021-09-27,35.14,36.48,35.14,36.41,284820
2021-09-28,36.72,36.86,36.16,36.41,205221
2021-09-29,36.47,36.59,36.12,36.45,209056
2021-09-30,36.45,36.59,35.68,35.68,178027
2021-10-01,35.93,36.97,35.72,36.7,201158
2021-10-04,36.76,37.31,36.49,36.57,116475
2021-10-05,36.78,37.32,36.54,36.98,208815
2021-10-06,36.67,36.85,35.95,36.8,155045
