date,open,high,low,close,volume
2020-07-27,39.95,41.78,39.57,41.78,6698
2020-07-28,48.28,50.75,46.46,46.66,58841
2020-07-29,47.82,47.92,47.4,47.43,33011
2020-07-30,46.73,47.87,46.73,47.52,35781
2020-07-31,47.29,48.3,45.94,48.02,19095
2020-08-03,48.95,49.68,48.89,49.37,14186
2020-08-04,49.57,49.57,48.74,49.24,10102
2020-08-05,49.9,51.29,48.85,50.48,39742
2020-08-06,50.58,50.58,49.62,50.05,18114
2020-08-07,50.01,51.05,49.87,51.05,22767
2020-08-10,51.26,53.11,51.17,51.98,17308
2020-08-11,53.08,54.0,52.56,52.66,11867
2020-08-12,53.44,53.95,53.05,53.27,9850
2020-08-13,53.44,53.44,51.86,51.86,6001
2020-08-14,52.05,52.05,51.51,51.61,4796
2020-08-17,53.25,53.77,52.54,53.58,11722
2020-08-18,53.25,53.25,51.92,51.92,9979
2020-08-19,51.99,52.4,51.62,51.76,5019
2020-08-20,51.37,52.18,50.88,50.88,5900
2020-08-21,50.33,51.31,50.33,50.94,13816
2020-08-24,51.18,51.46,50.32,50.76,6119
2020-08-25,51.06,51.06,49.97,50.22,3366
2020-08-26,50.07,50.34,49.81,50.17,4736
2020-08-27,50.2,50.33,49.27,49.8,6578
2020-08-28,50.22,50.25,49.45,49.84,3374
2020-08-31,49.85,50.04,49.37,49.37,4641
2020-09-01,48.89,51.12,48.89,51.01,7166
2020-09-02,51.29,52.1,51.02,52.08,7574
2020-09-03,51.22,51.22,49.73,50.42,8128
2020-09-04,51.36,51.36,49.4,50.02,6917
2020-09-08,49.13,49.93,48.82,49.0,8055
2020-09-09,49.19,49.19,48.0,48.56,12579
2020-09-10,48.95,49.69,48.39,49.57,11611
2020-09-11,49.84,49.91,49.21,49.21,6791
2020-09-14,49.36,50.42,49.02,50.29,3094
2020-09-15,50.55,50.55,49.5,49.65,2389
2020-09-16,49.74,51.65,49.74,51.15,6984
2020-09-17,50.33,51.49,50.33,51.0,6975
2020-09-18,50.92,51.58,50.7,51.33,9323
2020-09-21,50.03,50.03,48.24,48.92,14572
2020-09-22,49.29,50.28,48.73,50.14,8331
2020-09-23,50.16,51.0,48.61,48.61,9168
2020-09-24,48.96,49.4,48.65,48.94,18893
2020-09-25,48.81,49.32,48.66,49.08,8217
2020-09-28,50.46,50.46,49.92,50.46,3295
2020-09-29,50.52,50.59,49.9,50.15,10501
2020-09-30,50.62,51.16,49.87,50.28,10795
2020-10-01,50.35,50.67,49.85,50.62,8470
2020-10-02,50.3,51.55,50.3,51.17,7097
2020-10-05,51.48,52.94,51.48,52.64,16842
2020-10-06,53.36,54.75,53.36,53.73,8852
2020-10-07,54.37,54.84,53.93,54.77,18949
2020-10-08,55.29,56.2,55.17,56.01,11676
2020-10-09,56.29,56.47,55.37,55.95,11856
2020-10-12,56.01,56.57,55.74,56.48,13100
2020-10-13,55.72,55.75,54.66,54.99,13904
2020-10-14,55.02,55.45,54.25,54.25,6603
2020-10-15,53.59,55.01,53.4,55.01,28272
2020-10-16,55.15,55.39,54.64,54.67,19757
2020-10-19,54.91,54.91,52.91,53.18,24153
2020-10-20,53.43,54.38,53.43,53.99,16405
2020-10-21,54.15,54.3,53.35,53.53,10276
2020-10-22,53.51,54.12,52.98,53.99,11584
2020-10-23,54.35,54.35,53.42,53.7,11362
2020-10-26,52.94,53.45,52.12,52.71,19567
2020-10-27,50.39,51.13,45.13,45.93,112100
2020-10-28,44.56,45.51,43.04,43.05,78006
2020-10-29,42.84,44.11,42.69,43.48,23830
2020-10-30,44.05,44.97,43.72,44.55,16817
2020-11-02,45.57,45.57,44.3,45.36,15157
2020-11-03,46.88,47.09,45.67,46.4,21519
