date,open,high,low,close,volume
2020-07-27,53.74,55.22,52.82,54.99,101510
2020-07-28,55.36,57.33,54.84,56.87,27503
2020-07-29,57.68,58.02,55.73,57.86,99587
2020-07-30,56.53,58.16,55.55,57.46,65925
2020-07-31,56.97,57.1,55.62,56.95,111882
2020-08-03,56.3,56.64,54.73,56.5,66645
2020-08-04,56.45,57.72,56.28,57.14,13927
2020-08-05,57.29,57.46,56.13,56.84,20360
2020-08-06,55.89,57.49,55.51,56.95,45907
2020-08-07,56.38,58.77,56.19,58.77,14406
2020-08-10,59.09,60.93,58.81,59.86,7767
2020-08-11,61.11,62.14,60.8,61.3,17706
2020-08-12,61.96,62.36,60.99,62.36,17482
2020-08-13,61.43,62.0,61.31,61.4,24394
2020-08-14,60.9,62.27,60.9,61.1,10762
2020-08-17,60.98,61.67,60.64,61.53,10799
2020-08-18,61.2,61.27,59.46,59.96,5988
2020-08-19,59.81,59.94,58.2,58.26,23306
2020-08-20,58.86,60.2,58.86,60.19,10856
2020-08-21,60.47,60.47,59.18,59.99,3592
2020-08-24,60.48,61.1,60.45,61.1,2468
2020-08-25,61.26,61.26,60.34,60.99,8858
2020-08-26,60.33,60.89,59.2,59.46,9987
2020-08-27,60.84,61.24,60.46,60.73,7497
2020-08-28,60.04,60.1,59.1,60.02,7398
2020-08-31,59.81,60.29,58.86,59.21,18011
2020-09-01,58.13,59.9,58.13,59.31,12821
2020-09-02,58.85,60.75,58.66,60.7,12437
2020-09-03,61.37,62.69,60.77,61.49,21873
2020-09-04,61.83,62.4,60.63,61.23,15632
2020-09-08,60.73,61.06,59.42,59.86,25877
2020-09-09,60.19,60.87,59.05,59.23,26008
2020-09-10,59.29,59.4,58.22,58.22,39721
2020-09-11,57.61,57.77,56.83,57.6,14230
2020-09-14,58.41,60.16,58.41,60.09,8451
2020-09-15,60.33,61.3,60.15,60.48,30088
2020-09-16,60.34,62.65,60.34,62.37,21716
2020-09-17,61.15,62.66,61.15,62.52,53987
2020-09-18,62.41,62.41,60.84,61.07,58584
2020-09-21,59.22,59.22,55.24,55.36,38135
2020-09-22,56.19,57.48,55.79,55.82,27624
2020-09-23,56.52,56.52,53.98,54.04,42338
2020-09-24,53.97,55.13,53.53,54.68,33776
2020-09-25,55.29,55.63,54.74,55.28,22311
2020-09-28,56.85,57.23,56.29,56.61,27025
2020-09-29,56.18,56.37,54.33,55.16,29708
2020-09-30,55.98,56.35,54.71,55.55,20376
2020-10-01,56.12,57.53,55.68,57.53,28697
2020-10-02,56.48,59.49,56.14,59.39,23010
2020-10-05,59.86,60.17,58.65,59.42,23829
2020-10-06,59.75,60.56,58.94,59.23,12503
2020-10-07,59.74,59.74,58.23,58.74,29069
2020-10-08,59.15,60.23,59.02,60.19,14551
2020-10-09,60.59,60.59,59.17,59.28,15782
2020-10-12,59.16,60.03,58.74,59.58,18513
2020-10-13,59.59,59.64,57.93,58.14,18188
2020-10-14,58.24,58.66,57.11,57.15,26222
2020-10-15,56.87,58.27,56.55,57.64,16810
2020-10-16,56.81,56.9,55.33,56.24,23575
2020-10-19,56.18,56.47,55.28,55.46,57442
2020-10-20,55.96,56.62,55.69,56.06,27536
2020-10-21,55.91,56.16,55.33,55.81,38703
2020-10-22,56.06,57.01,55.59,56.93,28406
2020-10-23,57.46,58.23,57.19,58.01,16862
2020-10-26,57.36,57.36,54.79,55.41,42576
2020-10-27,55.31,55.5,53.16,53.17,44434
2020-10-28,52.3,52.71,50.94,51.36,48981
2020-10-29,51.71,52.9,50.78,52.44,43358
2020-10-30,52.33,52.69,51.29,52.01,55920
2020-11-02,52.63,53.99,51.74,53.97,25824
2020-11-03,55.22,57.5,54.92,57.11,46169
2020-11-04,56.71,56.8,54.31,54.37,51366
2020-11-05,55.07,55.67,54.4,54.57,28934
2020-11-06,54.76,55.82,51.38,52.14,87090
2020-11-09,58.51,71.22,58.51,69.2,250270
2020-11-10,69.08,71.78,68.46,71.2,125209
2020-11-11,69.95,70.19,66.93,68.23,66446
2020-11-12,66.34,66.64,62.88,64.58,81948
2020-11-13,65.44,67.46,65.33,67.0,61104
2020-11-16,71.77,72.28,68.71,70.11,89056
2020-11-17,68.99,69.45,67.9,69.04,58928
2020-11-18,69.14,70.66,68.37,68.65,62810
2020-11-19,67.34,69.11,66.81,68.64,54594
2020-11-20,68.25,69.17,67.67,67.88,55460
2020-11-23,68.88,72.2,68.83,70.42,95156
2020-11-24,72.28,73.31,70.67,70.67,47954
2020-11-25,68.74,69.35,67.98,68.87,39661
2020-11-27,68.51,68.89,66.73,66.83,29216
2020-11-30,66.8,67.07,65.29,65.94,121290
2020-12-01,67.13,68.49,65.93,66.2,39414
2020-12-02,65.79,68.56,65.51,68.12,53344
2020-12-03,68.26,70.01,68.26,69.36,49413
2020-12-04,69.97,70.69,69.63,70.44,22241
2020-12-07,70.01,70.01,67.97,68.22,34181
2020-12-08,68.71,69.24,67.53,67.81,19601
2020-12-09,68.24,68.67,67.69,68.59,24819
2020-12-10,67.89,69.33,67.49,69.2,29804
2020-12-11,68.35,68.67,67.0,68.07,23972
2020-12-14,68.86,69.43,66.82,67.21,27463
2020-12-15,67.34,70.44,67.09,70.44,32790
2020-12-16,70.41,70.75,67.97,68.52,28765
2020-12-17,69.04,69.04,67.81,68.55,23298
2020-12-18,68.41,68.89,66.09,66.65,24547
2020-12-21,65.41,65.73,64.18,64.9,37349
2020-12-22,64.65,65.08,64.27,65.05,30097
