date,open,high,low,close,volume
2020-07-27,38.85,39.43,38.85,39.32,96469
2020-07-28,39.17,39.24,38.82,38.86,144818
2020-07-29,40.15,40.45,39.81,40.27,125612
2020-07-30,39.76,39.8,39.21,39.48,117836
2020-07-31,39.09,39.09,38.18,38.39,154714
2020-08-03,38.45,38.45,37.92,38.02,96891
2020-08-04,38.0,38.22,37.82,37.99,80326
2020-08-05,38.18,38.67,38.02,38.31,99573
2020-08-06,38.24,38.84,38.24,38.69,127533
2020-08-07,38.89,39.55,38.52,39.52,184662
2020-08-10,39.49,39.61,39.23,39.31,95542
2020-08-11,39.88,40.3,39.85,40.18,210421
2020-08-12,40.45,41.02,39.92,40.99,168622
2020-08-13,40.56,40.56,40.06,40.39,98697
2020-08-14,40.34,40.71,40.15,40.24,58920
2020-08-17,40.38,40.44,39.94,40.22,51347
2020-08-18,40.1,40.1,39.35,39.42,47609
2020-08-19,39.5,39.55,39.03,39.07,118218
2020-08-20,38.66,39.34,38.66,39.33,56199
2020-08-21,39.45,39.45,38.86,39.21,57940
2020-08-24,39.52,39.64,39.1,39.37,146221
2020-08-25,39.42,39.42,38.51,38.59,199183
2020-08-26,38.61,38.99,38.26,38.83,92487
2020-08-27,38.94,39.28,38.77,38.81,253693
2020-08-28,38.84,39.95,38.55,39.84,90643
2020-08-31,39.9,39.9,39.32,39.5,72523
2020-09-01,39.3,40.62,39.28,40.32,213814
2020-09-02,40.43,40.89,40.08,40.72,67120
2020-09-03,40.88,40.95,39.94,40.15,77672
2020-09-04,40.77,41.08,40.41,40.62,177342
2020-09-08,40.44,40.87,39.97,40.34,140655
2020-09-09,40.37,41.69,40.37,41.5,134344
2020-09-10,41.81,42.3,41.62,41.85,158011
2020-09-11,42.24,42.64,41.81,42.36,123730
2020-09-14,42.72,43.05,42.4,42.53,109983
2020-09-15,42.81,43.01,42.15,42.22,147056
2020-09-16,42.36,42.76,41.92,42.11,115250
2020-09-17,41.69,42.75,41.54,42.37,193538
2020-09-18,42.31,42.61,41.3,41.51,119592
2020-09-21,40.72,40.72,39.02,39.62,132131
2020-09-22,39.57,39.89,39.31,39.84,118444
2020-09-23,39.85,40.22,39.25,39.26,85860
2020-09-24,39.16,40.15,38.93,39.85,105695
2020-09-25,39.61,40.65,39.4,40.63,73504
2020-09-28,41.52,41.93,41.15,41.46,88475
2020-09-29,41.48,42.09,41.23,41.7,30293
2020-09-30,42.15,42.34,41.4,41.74,81262
2020-10-01,42.08,42.18,40.96,41.24,258570
2020-10-02,40.81,43.0,40.8,42.37,156325
2020-10-05,42.94,43.31,42.63,43.31,283898
2020-10-06,43.74,44.16,42.95,43.05,139730
2020-10-07,43.71,44.61,43.71,44.38,196949
2020-10-08,44.65,44.97,44.25,44.81,270228
2020-10-09,45.8,46.46,45.38,45.65,601363
2020-10-12,45.66,45.8,44.21,44.32,217411
2020-10-13,43.94,44.3,43.3,43.47,188715
2020-10-14,43.39,43.92,43.25,43.78,109961
2020-10-15,43.36,44.22,43.32,44.1,70533
2020-10-16,44.36,44.36,43.86,43.91,102965
2020-10-19,44.0,44.0,42.89,42.98,99152
2020-10-20,43.34,43.61,42.89,43.1,123198
2020-10-21,43.19,43.56,42.98,43.08,113658
2020-10-22,43.26,43.67,43.19,43.51,98473
2020-10-23,43.86,44.04,43.42,43.51,160934
2020-10-26,42.81,42.91,41.75,42.21,91468
