date,open,high,low,close,volume
2020-07-27,131.22,131.47,129.78,130.19,24581
2020-07-28,129.57,132.52,129.57,130.71,70749
2020-07-29,129.67,131.6,127.27,131.45,107304
2020-07-30,129.62,131.61,129.2,130.9,55153
2020-07-31,129.59,130.06,127.38,129.08,77892
2020-08-03,128.19,130.46,126.99,129.84,47838
2020-08-04,130.39,131.11,129.15,129.45,69166
2020-08-05,130.83,131.78,130.39,131.25,97564
2020-08-06,131.15,131.45,130.5,131.22,29143
2020-08-07,130.9,134.55,130.89,134.52,83092
2020-08-10,135.51,137.87,135.36,137.79,27899
2020-08-11,140.0,141.46,139.68,139.7,39794
2020-08-12,141.0,141.0,136.34,137.58,70453
2020-08-13,135.5,137.47,135.29,136.35,15991
2020-08-14,135.7,138.59,135.68,137.45,16106
2020-08-17,137.08,137.08,134.92,135.22,19418
2020-08-18,135.21,135.5,134.45,134.65,19474
2020-08-19,134.32,135.57,133.82,134.12,18609
2020-08-20,132.82,133.45,132.5,132.79,21546
2020-08-21,131.91,132.74,131.12,131.78,55865
2020-08-24,132.23,134.84,132.22,134.64,44205
2020-08-25,135.75,135.77,132.82,133.22,15182
2020-08-26,132.06,133.25,131.59,132.43,15850
2020-08-27,132.74,134.84,132.46,134.15,23391
2020-08-28,134.02,134.32,132.76,133.78,16296
2020-08-31,133.71,133.83,131.05,131.49,35381
2020-09-01,130.01,132.21,129.63,132.14,39685
2020-09-02,132.14,135.87,132.14,135.39,31276
2020-09-03,136.24,137.65,132.51,133.78,72648
2020-09-04,135.09,135.15,131.82,133.49,24900
2020-09-08,131.87,131.87,129.06,129.22,45843
2020-09-09,129.35,129.81,127.71,128.53,35804
2020-09-10,129.17,129.8,125.4,125.4,57834
2020-09-11,126.17,128.47,125.92,127.81,24949
2020-09-14,128.54,130.36,128.54,129.85,13009
2020-09-15,129.57,129.79,127.57,127.63,26531
2020-09-16,127.92,130.53,127.06,128.97,28556
2020-09-17,124.3,127.33,122.82,127.12,39144
2020-09-18,126.14,128.01,125.65,125.78,13153
2020-09-21,124.04,124.04,121.03,121.78,24355
