date,open,high,low,close,volume
2020-07-27,32.9,33.07,32.32,32.4,269700
2020-07-28,32.4,33.6,32.4,33.36,226899
2020-07-29,33.77,33.8,31.53,31.82,287328
2020-07-30,31.36,31.43,30.25,30.27,260521
2020-07-31,30.25,30.25,28.99,29.33,347468
2020-08-03,29.59,29.91,29.11,29.59,443494
2020-08-04,29.52,29.96,29.52,29.62,189894
2020-08-05,29.83,30.92,29.67,30.92,240471
2020-08-06,30.58,30.99,30.34,30.61,238039
2020-08-07,30.44,31.19,30.2,30.85,109341
2020-08-10,31.02,32.35,30.9,32.23,119937
2020-08-11,33.17,33.82,32.35,32.56,198694
2020-08-12,33.22,33.24,31.82,32.52,127212
2020-08-13,31.84,32.64,31.84,31.94,96822
2020-08-14,31.4,32.44,31.28,32.15,72414
2020-08-17,32.23,32.23,31.19,31.28,167116
2020-08-18,31.33,31.69,30.97,31.11,73255
2020-08-19,31.14,31.72,30.7,30.8,82338
2020-08-20,30.61,30.8,30.0,30.32,121531
2020-08-21,30.2,30.82,30.15,30.46,188039
2020-08-24,30.75,32.08,30.46,32.03,195637
2020-08-25,32.13,32.3,31.33,31.86,156878
2020-08-26,31.82,31.82,31.14,31.28,92281
2020-08-27,31.45,32.01,31.21,31.33,80504
2020-08-28,31.43,31.98,31.28,31.96,147541
2020-08-31,31.53,32.3,30.25,30.7,794792
2020-09-01,30.32,30.92,29.71,29.93,292457
2020-09-02,29.96,31.16,29.81,31.09,198132
2020-09-03,30.97,32.11,30.34,30.58,281750
2020-09-04,30.97,31.67,30.27,30.99,102620
2020-09-08,30.54,30.68,29.64,29.74,344021
2020-09-09,29.83,29.88,29.11,29.74,126300
2020-09-10,29.83,29.91,28.99,29.04,117410
2020-09-11,29.11,29.21,28.65,28.75,114535
2020-09-14,28.92,29.76,28.82,29.71,205184
2020-09-15,29.79,30.03,29.09,29.52,103541
2020-09-16,29.54,32.85,29.23,32.64,379994
2020-09-17,32.81,34.67,32.3,34.01,396237
2020-09-18,33.43,34.45,33.19,33.31,150628
2020-09-21,32.03,32.08,30.12,30.7,168195
2020-09-22,30.85,31.74,30.0,30.17,215629
2020-09-23,30.37,31.02,29.47,29.54,59954
2020-09-24,29.47,29.83,28.99,29.3,169913
2020-09-25,29.3,29.84,29.18,29.59,194167
2020-09-28,30.25,30.51,29.93,29.98,140614
2020-09-29,30.1,30.15,29.35,29.64,224313
2020-09-30,29.88,30.44,29.86,30.2,260028
2020-10-01,30.37,30.42,29.59,30.17,170566
2020-10-02,29.33,30.97,29.3,30.88,203966
2020-10-05,31.07,31.21,30.59,31.02,64817
2020-10-06,31.24,31.82,29.59,29.88,302981
2020-10-07,30.15,30.95,30.05,30.51,142271
2020-10-08,30.71,32.26,30.71,32.16,121108
2020-10-09,34.12,34.17,32.42,33.08,261275
2020-10-12,33.39,33.39,32.62,33.1,120298
2020-10-13,32.79,32.98,32.26,32.52,70689
2020-10-14,32.52,33.32,32.52,33.01,180005
2020-10-15,32.45,33.27,31.99,33.25,73388
2020-10-16,33.71,35.55,33.63,35.26,276440
2020-10-19,35.69,36.15,35.01,35.26,256229
2020-10-20,35.57,35.88,35.23,35.59,240609
2020-10-21,35.28,35.81,35.21,35.5,96905
