date,open,high,low,close,volume
2020-07-27,18.13,18.5,17.93,18.34,82328
2020-07-28,18.23,18.33,17.97,18.18,117804
2020-07-29,18.29,18.78,18.2,18.64,73742
2020-07-30,18.41,18.7,18.18,18.6,61442
2020-07-31,18.63,19.0,18.38,18.79,80508
2020-08-03,18.82,19.37,18.73,19.34,240587
2020-08-04,19.27,19.45,19.0,19.45,184278
2020-08-05,19.52,19.52,19.22,19.26,371595
2020-08-06,19.29,19.52,18.98,19.44,138308
2020-08-07,20.22,20.83,19.86,20.57,474539
2020-08-10,20.62,20.75,20.11,20.26,173867
2020-08-11,20.11,20.21,19.6,19.71,140485
2020-08-12,19.84,20.05,19.71,19.85,91663
2020-08-13,19.67,20.66,19.58,20.22,296472
2020-08-14,20.34,20.51,20.07,20.19,187303
2020-08-17,20.2,20.4,19.97,20.07,131302
2020-08-18,20.15,20.29,20.0,20.13,228964
2020-08-19,20.21,20.87,19.86,19.98,170215
2020-08-20,19.82,20.05,19.69,19.92,80763
2020-08-21,19.88,20.03,19.72,20.01,132124
2020-08-24,20.12,20.81,19.99,20.74,153912
2020-08-25,20.57,20.89,20.52,20.81,100836
2020-08-26,20.83,21.6,20.83,21.44,113782
2020-08-27,21.43,21.51,21.04,21.4,123505
2020-08-28,21.35,21.42,21.12,21.29,99932
2020-08-31,20.91,21.37,20.8,20.85,145058
2020-09-01,20.9,21.3,20.76,21.09,144235
2020-09-02,21.09,21.38,20.87,21.35,119275
2020-09-03,21.15,21.15,20.07,20.3,60932
2020-09-04,20.19,20.96,19.49,20.71,131429
2020-09-08,20.19,20.48,19.99,20.0,93362
2020-09-09,20.39,20.72,20.27,20.41,87236
2020-09-10,20.39,20.63,19.86,19.92,47348
2020-09-11,18.5,18.93,18.36,18.73,684589
2020-09-14,18.94,18.99,18.63,18.84,197525
2020-09-15,18.95,19.14,18.63,18.8,168902
2020-09-16,18.96,18.96,18.59,18.7,177111
2020-09-17,18.45,18.53,18.19,18.49,121836
2020-09-18,18.6,18.63,18.23,18.49,122058
2020-09-21,18.34,18.49,17.92,18.25,84843
2020-09-22,18.3,18.64,18.22,18.64,93289
2020-09-23,18.64,18.67,17.99,18.01,64851
2020-09-24,17.96,18.35,17.89,18.11,71201
2020-09-25,18.12,18.54,18.1,18.5,160782
2020-09-28,18.61,18.76,18.46,18.64,85114
2020-09-29,18.58,18.64,18.44,18.49,161303
2020-09-30,18.49,18.66,18.32,18.47,156455
2020-10-01,18.54,18.62,18.2,18.33,207349
2020-10-02,18.11,18.39,18.09,18.2,140759
2020-10-05,18.39,19.07,18.37,19.07,98900
2020-10-06,18.99,19.4,18.77,18.77,101216
2020-10-07,18.88,18.9,18.55,18.57,107515
2020-10-08,18.8,18.8,18.4,18.51,228120
2020-10-09,18.78,18.88,18.53,18.59,89500
2020-10-12,18.86,18.98,18.66,18.86,93110
2020-10-13,18.91,18.95,18.53,18.85,169777
2020-10-14,18.92,19.17,18.82,19.1,123644
2020-10-15,18.87,18.9,18.52,18.69,95674
2020-10-16,18.7,18.86,18.56,18.68,107309
2020-10-19,18.78,18.86,18.22,18.33,165645
2020-10-20,18.44,18.55,18.29,18.34,75838
