date,open,high,low,close,volume
2020-07-27,59.11,59.89,58.9,59.88,99315
2020-07-28,59.9,60.25,59.12,59.2,67210
2020-07-29,59.06,59.18,58.26,58.59,264919
2020-07-30,58.27,58.27,57.59,58.0,123679
2020-07-31,55.85,56.87,55.03,55.82,356118
2020-08-03,56.09,57.92,56.09,57.61,206089
2020-08-04,57.97,58.03,56.6,56.89,296474
2020-08-05,56.57,56.8,55.42,55.45,285111
2020-08-06,55.44,55.87,55.11,55.26,272376
2020-08-07,55.78,55.98,55.26,55.59,143585
2020-08-10,55.49,55.49,54.6,55.02,156812
2020-08-11,55.0,55.54,54.55,54.68,210803
2020-08-12,55.17,55.48,54.98,55.29,263160
2020-08-13,55.47,55.56,54.6,54.75,170653
2020-08-14,54.64,55.26,54.62,55.01,111886
2020-08-17,54.89,55.68,54.89,55.56,231040
2020-08-18,55.58,56.0,55.45,55.48,86446
2020-08-19,53.11,54.13,52.61,52.81,410503
2020-08-20,52.9,53.05,52.67,53.01,165920
2020-08-21,52.87,53.7,52.58,53.44,269208
2020-08-24,53.44,53.67,52.66,52.99,240117
2020-08-25,52.87,53.17,52.8,52.98,102779
2020-08-26,52.83,52.87,52.34,52.69,105782
2020-08-27,52.59,52.88,52.47,52.65,134108
2020-08-28,52.59,52.69,52.19,52.42,155033
2020-08-31,52.6,53.67,52.58,53.64,85633
2020-09-01,53.31,53.31,52.16,52.88,364109
2020-09-02,53.02,53.77,52.88,53.66,182699
2020-09-03,53.9,54.11,52.61,52.96,116493
2020-09-04,52.82,53.72,52.7,53.06,139623
2020-09-08,52.36,52.45,51.36,51.52,163714
2020-09-09,51.64,52.25,51.1,51.83,72456
2020-09-10,51.86,52.19,51.05,51.19,143755
2020-09-11,51.61,52.91,51.61,52.66,303465
2020-09-14,52.22,55.07,52.22,53.83,297209
2020-09-15,54.29,54.46,53.53,53.71,315265
2020-09-16,53.91,53.96,53.27,53.27,137376
2020-09-17,52.52,53.17,52.3,52.74,80345
2020-09-18,52.79,52.86,51.97,52.79,77703
2020-09-21,52.57,52.58,51.52,52.11,132940
2020-09-22,52.03,52.38,51.37,51.45,129211
2020-09-23,51.57,52.0,51.12,51.18,183714
2020-09-24,50.87,50.93,50.03,50.48,141016
2020-09-25,50.34,50.72,50.18,50.49,239002
