date,open,high,low,close,volume
2020-07-27,75.43,76.33,75.22,75.79,20069
2020-07-28,75.46,75.47,74.69,74.69,9319
2020-07-29,75.02,77.01,74.61,76.94,24693
2020-07-30,75.17,76.29,74.95,76.0,49389
2020-07-31,76.17,76.54,75.22,75.9,26637
2020-08-03,75.64,76.26,75.34,75.9,30097
2020-08-04,75.4,75.81,74.89,74.97,14151
2020-08-05,75.66,76.89,75.57,76.49,36903
2020-08-06,76.47,77.19,76.17,76.56,24067
2020-08-07,77.01,78.81,76.97,78.81,11973
2020-08-10,79.12,81.01,79.12,80.84,13385
2020-08-11,82.86,83.2,81.49,81.7,13462
2020-08-12,82.44,82.45,80.8,81.42,6787
2020-08-13,81.37,81.37,80.5,80.99,5026
2020-08-14,81.33,81.66,81.26,81.39,8263
2020-08-17,80.97,80.97,79.43,79.46,5445
2020-08-18,79.89,79.89,78.42,78.71,7857
2020-08-19,79.57,79.57,78.6,78.66,3303
2020-08-20,77.64,78.19,77.31,77.46,2603
2020-08-21,77.39,77.69,76.52,76.91,10589
2020-08-24,77.3,80.34,77.3,80.31,13719
2020-08-25,81.49,81.49,79.97,80.35,13320
2020-08-26,79.47,80.53,79.34,80.14,18261
2020-08-27,80.39,81.61,80.22,81.0,35662
2020-08-28,81.21,81.21,80.49,80.82,21221
2020-08-31,79.86,79.86,78.61,78.61,7855
2020-09-01,78.08,79.62,77.95,78.14,37068
2020-09-02,77.9,79.51,77.84,79.08,24362
2020-09-03,79.97,81.83,77.79,78.03,26517
2020-09-04,80.16,80.65,78.9,79.97,28402
2020-09-08,78.39,78.48,76.9,77.61,24516
2020-09-09,78.15,78.67,77.53,77.71,24050
2020-09-10,78.22,78.22,76.35,76.35,38861
2020-09-11,76.5,77.97,75.96,77.58,14743
2020-09-14,78.57,79.76,78.57,79.32,13482
2020-09-15,78.69,80.01,78.54,79.52,45147
2020-09-16,79.43,81.13,79.43,79.84,16246
2020-09-17,79.15,80.07,79.08,79.42,10447
2020-09-18,79.59,79.92,78.49,78.57,11779
2020-09-21,76.97,77.42,74.53,75.54,32633
2020-09-22,75.71,76.35,75.4,75.7,32057
2020-09-23,76.67,77.02,73.65,73.74,18768
2020-09-24,72.33,75.3,72.03,74.03,14754
2020-09-25,73.38,75.12,73.29,74.82,12891
2020-09-28,76.36,76.82,75.5,75.97,16323
2020-09-29,75.68,76.0,75.02,75.36,17437
2020-09-30,75.66,76.71,75.52,76.22,14118
2020-10-01,76.01,76.87,75.28,76.68,21455
2020-10-02,75.51,77.93,75.51,77.16,22823
2020-10-05,78.06,79.02,78.06,78.55,19457
2020-10-06,78.72,79.99,77.31,77.35,16246
2020-10-07,78.69,79.27,78.13,78.43,21597
2020-10-08,78.79,79.7,78.52,79.23,44877
2020-10-09,79.69,79.74,78.13,78.13,19511
2020-10-12,78.09,79.16,78.09,78.73,24842
2020-10-13,77.79,78.66,77.2,77.73,40336
2020-10-14,78.52,79.09,77.78,77.83,30189
2020-10-15,77.04,79.49,76.72,79.09,34991
2020-10-16,79.43,79.94,78.7,79.51,42268
2020-10-19,79.5,80.67,78.72,78.9,34923
2020-10-20,80.24,80.72,79.46,79.68,39313
2020-10-21,80.34,80.85,79.99,80.46,39647
2020-10-22,79.77,83.06,79.77,82.51,73679
2020-10-23,83.79,83.79,81.65,82.21,35743
2020-10-26,80.25,80.66,79.75,80.04,26554
2020-10-27,80.15,80.15,77.61,77.61,27199
2020-10-28,76.78,76.92,75.09,75.11,24327
2020-10-29,74.61,76.79,74.27,76.17,20167
2020-10-30,76.59,77.87,75.82,77.43,76844
2020-11-02,78.66,79.96,77.97,79.44,39715
2020-11-03,80.92,82.43,80.47,81.25,33255
2020-11-04,80.16,82.46,78.54,80.13,35056
2020-11-05,81.15,82.79,81.04,82.45,21227
2020-11-06,82.25,82.59,80.59,80.83,16270
2020-11-09,88.26,89.34,86.08,87.29,45341
2020-11-10,87.74,89.16,87.74,88.54,36462
2020-11-11,88.75,88.75,86.91,87.82,22663
2020-11-12,86.57,86.88,84.63,85.28,12860
2020-11-13,86.36,88.37,86.36,87.86,14379
2020-11-16,90.68,90.68,89.01,89.99,22112
2020-11-17,88.9,89.92,88.16,89.43,31528
2020-11-18,89.62,90.85,88.32,88.32,37911
2020-11-19,87.74,89.34,87.22,89.08,27454
2020-11-20,88.63,89.47,88.42,88.88,29739
2020-11-23,89.78,90.65,89.54,90.33,33153
2020-11-24,91.17,93.13,91.17,93.07,29953
2020-11-25,92.57,92.57,91.2,92.29,21982
2020-11-27,91.81,92.86,91.6,91.77,10599
2020-11-30,90.78,91.11,88.74,88.78,50065
2020-12-01,90.33,90.91,89.65,90.41,27187
2020-12-02,89.97,91.0,89.93,90.87,21283
2020-12-03,90.34,91.37,90.3,90.51,14494
2020-12-04,91.91,92.75,91.66,92.09,18800
2020-12-07,90.82,91.66,90.29,90.66,17025
2020-12-08,90.22,90.4,89.9,90.3,36075
2020-12-09,90.69,90.69,89.76,90.3,36125
2020-12-10,90.05,90.84,89.71,90.8,15938
2020-12-11,89.95,90.86,89.39,89.52,24483
2020-12-14,90.4,90.68,87.65,87.65,23895
2020-12-15,88.65,89.63,87.97,89.45,18745
2020-12-16,89.32,90.16,88.86,89.3,13429
2020-12-17,89.27,89.27,88.5,89.17,15382
2020-12-18,89.5,89.81,87.97,88.59,26418
2020-12-21,89.1,89.1,85.96,88.0,20620
2020-12-22,87.78,88.61,87.47,87.59,15094
2020-12-23,88.42,89.39,88.42,88.74,23525
2020-12-24,88.71,88.71,87.85,88.63,4021
2020-12-28,88.96,90.34,88.88,89.23,33337
2020-12-29,89.01,89.3,87.96,88.04,14247
2020-12-30,89.21,89.55,88.97,89.03,15051
2020-12-31,89.34,90.79,89.17,90.65,9280
2021-01-04,90.66,90.66,87.9,88.11,12628
2021-01-05,88.91,88.92,87.74,88.16,17847
2021-01-06,89.78,93.32,89.78,93.02,31865
2021-01-07,93.88,94.39,92.78,92.87,12395
2021-01-08,92.73,93.08,91.25,92.33,16977
2021-01-11,91.14,92.16,91.03,91.16,13842
2021-01-12,91.26,92.4,91.15,91.55,15459
2021-01-13,91.41,92.05,91.01,91.74,15387
2021-01-14,92.19,92.94,91.86,92.46,20836
2021-01-15,91.79,92.15,91.05,91.88,18841
2021-01-19,92.17,93.46,91.99,92.79,21733
2021-01-20,92.54,92.75,91.88,92.38,17360
2021-01-21,92.06,92.18,91.57,91.59,19366
2021-01-22,90.7,90.79,89.95,90.3,15178
2021-01-25,89.55,90.36,88.35,89.42,19799
2021-01-26,89.64,90.08,89.16,89.21,20094
2021-01-27,87.48,88.31,86.24,86.39,25221
2021-01-28,87.64,90.09,87.33,88.79,17678
2021-01-29,87.89,88.09,85.97,86.47,77937
2021-02-01,87.06,87.5,85.77,87.43,42145
2021-02-02,88.26,89.35,87.37,88.64,29867
2021-02-03,88.93,89.99,85.88,87.02,34807
2021-02-04,87.27,89.88,87.27,88.99,16289
2021-02-05,89.3,89.62,88.05,89.52,29909
2021-02-08,89.91,90.29,89.35,89.94,21513
2021-02-09,89.42,89.65,88.7,88.7,23287
2021-02-10,88.77,88.98,87.89,88.37,23485
2021-02-11,88.51,89.08,88.16,88.67,14909
2021-02-12,89.29,89.98,89.13,89.94,26770
2021-02-16,89.91,90.78,89.73,89.84,38962
2021-02-17,89.41,90.71,89.41,90.57,12712
2021-02-18,89.77,90.24,89.09,89.5,25931
2021-02-19,89.5,91.52,89.5,91.18,32412
2021-02-22,91.26,92.97,91.26,92.16,26121
2021-02-23,92.72,93.21,91.33,92.1,29280
2021-02-24,92.78,94.67,92.46,94.06,17165
2021-02-25,94.09,94.5,91.46,92.13,24440
2021-02-26,91.48,91.84,89.28,89.28,65069
2021-03-01,91.09,92.41,90.84,90.97,48519
2021-03-02,91.06,92.54,90.9,91.92,20161
2021-03-03,92.07,93.48,92.07,92.17,18234
2021-03-04,91.88,92.11,89.81,90.33,13866
2021-03-05,91.44,93.59,90.09,93.15,35602
2021-03-08,94.17,97.07,94.13,95.11,25172
2021-03-09,94.36,96.43,93.48,94.79,29688
2021-03-10,94.82,97.31,94.81,96.75,33862
2021-03-11,94.9,96.56,94.9,95.5,15739
2021-03-12,96.58,97.08,95.84,96.93,37803
2021-03-15,96.33,96.8,95.46,96.8,8519
2021-03-16,95.67,95.67,94.65,95.34,13620
2021-03-17,96.58,96.9,95.24,96.32,18096
2021-03-18,96.86,97.82,95.61,95.68,24645
2021-03-19,94.57,95.65,94.14,94.67,23351
2021-03-22,93.25,94.55,93.25,94.01,33557
2021-03-23,93.25,93.95,91.72,92.13,15038
2021-03-24,93.54,93.93,92.44,92.44,13639
2021-03-25,92.4,94.14,91.46,93.94,24310
2021-03-26,94.63,94.63,93.24,94.2,51446
2021-03-29,93.28,94.0,92.28,93.17,30708
2021-03-30,93.38,94.29,93.14,93.9,22366
2021-03-31,94.2,94.2,92.47,92.58,18944
2021-04-01,92.09,94.56,92.0,94.56,15406
2021-04-05,95.11,95.12,94.36,94.63,12748
2021-04-06,95.04,95.04,94.28,94.9,31548
2021-04-07,94.87,95.29,94.28,94.79,9944
2021-04-08,94.06,94.32,93.76,93.92,10977
2021-04-09,94.52,95.29,94.52,95.29,28010
2021-04-12,95.62,97.01,95.21,96.63,18386
2021-04-13,95.8,96.8,95.61,96.52,10149
2021-04-14,96.33,97.61,96.33,97.56,25042
2021-04-15,97.88,97.91,96.94,97.88,15185
2021-04-16,99.23,100.21,99.23,100.17,27240
2021-04-20,99.45,99.84,98.56,99.07,32612
2021-04-21,99.22,101.18,99.13,101.18,23371
2021-04-22,99.64,99.64,97.24,97.98,30581
2021-04-23,98.09,99.32,98.09,98.77,15482
2021-04-26,99.8,100.26,98.2,98.2,9602
2021-04-27,98.17,98.73,98.08,98.53,11858
2021-04-28,98.67,98.67,98.0,98.01,13550
2021-04-29,99.11,99.47,98.45,99.12,13581
2021-04-30,99.02,99.02,97.96,98.32,33541
2021-05-03,99.49,99.88,98.89,99.04,32921
2021-05-04,99.31,99.8,98.46,99.73,20058
2021-05-05,99.71,100.89,99.32,100.8,34426
2021-05-06,101.86,101.94,100.54,101.86,15479
2021-05-07,100.68,101.68,100.65,101.6,22464
2021-05-10,102.31,103.65,101.53,101.53,13017
2021-05-11,101.09,101.3,99.56,99.64,14097
2021-05-12,99.72,99.73,97.68,97.95,20863
2021-05-13,97.93,101.13,97.93,100.73,15148
2021-05-14,100.59,102.33,100.53,102.08,15214
2021-05-17,101.43,102.05,101.18,101.5,10491
2021-05-18,101.08,102.02,100.86,100.86,12867
2021-05-19,99.56,100.71,99.25,100.68,7118
2021-05-20,100.85,100.88,99.5,100.37,7572
2021-05-21,101.65,101.65,100.63,101.22,6290
2021-05-24,101.18,101.24,100.61,100.94,16565
2021-05-25,100.8,100.8,99.14,99.42,9510
2021-05-26,99.08,100.07,99.08,99.69,10965
2021-05-27,100.24,101.05,100.24,100.94,14798
2021-05-28,100.7,101.41,100.49,101.02,18176
2021-06-01,102.13,102.45,100.9,101.48,11713
2021-06-02,101.93,102.13,100.95,101.66,14796
2021-06-03,101.01,102.29,100.74,101.84,9783
2021-06-04,101.94,102.23,101.01,101.98,5627
2021-06-07,102.33,102.39,101.71,102.03,10792
2021-06-08,100.73,102.19,100.63,102.07,4289
2021-06-09,100.88,101.28,100.43,100.48,9988
2021-06-10,100.68,100.77,99.22,99.29,4069
2021-06-11,99.67,99.89,99.11,99.79,7551
2021-06-14,99.32,99.46,98.34,98.75,12001
2021-06-15,98.82,100.32,98.42,99.79,41125
2021-06-16,99.64,99.71,98.52,98.82,34573
2021-06-17,97.9,97.9,94.02,94.05,35758
2021-06-18,91.29,92.07,88.2,88.2,60968
2021-06-21,89.34,91.84,89.26,91.76,34645
2021-06-22,91.15,91.75,90.85,91.12,15237
2021-06-23,91.5,92.1,91.01,91.15,29722
2021-06-24,91.5,92.86,91.08,92.33,28060
2021-06-25,92.42,94.08,92.42,94.07,12281
2021-06-28,93.93,93.93,92.1,92.24,14602
2021-06-29,92.84,93.1,91.21,91.27,33714
2021-06-30,90.84,91.43,90.55,91.3,38747
2021-07-01,91.91,92.89,91.52,92.85,48861
2021-07-02,92.73,92.74,91.86,92.05,17566
2021-07-06,90.49,90.6,89.6,90.42,19520
2021-07-07,89.73,91.06,89.73,90.87,15937
2021-07-08,88.96,89.19,87.61,88.14,32251
2021-07-09,89.14,90.74,89.14,90.65,27576
2021-07-12,90.37,90.87,90.26,90.8,22065
2021-07-13,90.16,90.67,89.97,90.32,19459
2021-07-14,90.28,90.45,89.7,90.09,10713
2021-07-15,89.81,90.85,89.78,90.85,18250
2021-07-16,90.59,91.26,90.14,90.42,12290
2021-07-19,88.15,88.29,86.6,87.08,19984
2021-07-20,87.96,90.23,87.96,89.39,25642
2021-07-21,89.81,91.62,89.62,89.98,18406
2021-07-22,89.17,90.64,88.75,89.38,31117
2021-07-23,90.06,90.34,89.42,89.66,17925
2021-07-26,89.86,90.87,89.5,90.17,27300
2021-07-27,89.41,90.49,89.07,89.65,14265
2021-07-28,90.35,90.55,89.2,89.46,17385
2021-07-29,90.57,91.0,90.11,90.48,20782
2021-07-30,90.79,90.79,89.24,89.43,25584
2021-08-02,90.89,91.01,88.92,88.95,16317
2021-08-03,88.18,89.04,88.18,88.63,31139
2021-08-04,87.74,89.03,87.74,88.11,30761
2021-08-05,89.56,89.56,88.34,88.93,11028
2021-08-06,89.81,90.79,89.81,90.37,14055
2021-08-09,90.01,91.17,89.89,90.59,12436
2021-08-10,90.35,92.25,90.35,91.85,18409
2021-08-11,91.92,93.72,91.54,93.71,21486
2021-08-12,93.2,93.21,92.66,92.86,13300
2021-08-13,92.83,92.83,92.37,92.58,16462
2021-08-16,91.67,93.33,91.65,92.43,14307
2021-08-17,92.13,92.64,91.55,92.47,9821
2021-08-18,91.81,92.65,91.81,91.83,8290
2021-08-19,91.62,92.12,90.65,91.11,8557
2021-08-20,90.83,91.42,90.46,91.23,15819
2021-08-23,92.47,92.7,92.1,92.1,8796
2021-08-24,92.48,93.04,92.32,92.7,12079
2021-08-25,92.78,93.97,92.71,93.27,6912
2021-08-26,93.17,93.17,91.68,91.8,8429
2021-08-27,91.65,93.52,91.65,93.14,10506
2021-08-30,93.04,93.04,92.12,92.15,11733
2021-08-31,92.21,93.18,91.93,92.28,23311
2021-09-01,92.56,92.63,91.32,91.67,10010
2021-09-02,91.88,92.1,90.83,91.1,13532
2021-09-03,90.97,90.97,90.23,90.57,7171
2021-09-07,90.25,90.92,89.32,89.45,14791
2021-09-08,89.62,89.62,88.65,89.27,4537
2021-09-09,89.23,90.51,89.23,89.41,10212
2021-09-10,90.17,90.25,88.35,88.35,8016
2021-09-13,89.79,90.08,88.93,89.54,17202
2021-09-14,89.9,89.9,88.45,88.48,10425
2021-09-15,89.01,89.1,88.44,88.63,9766
2021-09-16,88.59,88.71,87.76,88.23,8373
2021-09-17,88.55,88.55,85.83,86.18,48898
2021-09-20,84.81,84.81,82.85,84.46,17300
2021-09-21,84.18,84.18,82.85,83.3,14669
2021-09-22,84.0,84.98,83.58,84.42,22139
2021-09-23,85.86,86.54,85.4,85.45,16547
2021-09-24,85.72,86.75,85.23,85.26,12893
2021-09-27,85.63,88.01,85.5,87.49,16644
2021-09-28,88.21,88.21,86.19,86.22,9266
2021-09-29,86.23,86.96,86.1,86.54,9226
2021-09-30,86.89,86.89,85.53,85.53,23448
2021-10-01,85.72,87.46,85.4,86.92,11060
2021-10-04,87.24,87.24,86.11,86.56,16836
2021-10-05,86.87,88.39,86.33,88.23,13636
2021-10-06,87.93,89.16,86.9,89.05,24848
2021-10-07,90.37,91.56,90.37,90.5,34985
2021-10-08,90.53,91.32,90.21,90.88,12719
2021-10-11,91.25,91.92,90.06,90.06,5476
2021-10-12,90.29,90.74,89.89,90.57,22015
2021-10-13,90.26,90.77,89.07,90.58,12183
2021-10-14,91.73,92.47,91.26,92.47,9175
2021-10-15,93.52,94.46,93.19,93.87,16077
2021-10-18,93.27,93.98,92.97,93.41,14043
2021-10-19,93.79,94.73,93.74,93.86,39301
2021-10-20,93.72,94.86,93.72,94.86,5703
2021-10-21,88.93,90.87,88.93,90.03,44295
2021-10-22,90.38,90.64,89.35,89.75,17496
2021-10-26,89.65,89.89,88.35,88.37,29029
2021-10-27,87.94,89.08,87.46,87.5,27984
2021-10-28,87.83,88.19,87.42,87.65,47940
2021-10-29,87.45,87.9,85.5,85.7,45017
2021-11-01,86.58,88.2,86.58,88.08,31379
2021-11-02,88.0,88.74,87.94,88.57,12731
2021-11-03,88.54,89.63,88.51,89.02,20005
2021-11-04,88.43,89.13,88.27,89.1,13470
2021-11-05,90.22,91.84,90.22,91.34,61800
2021-11-08,92.02,92.5,90.14,90.37,16170
2021-11-09,89.7,90.06,88.84,88.89,51536
2021-11-10,89.32,90.13,89.0,89.29,31468
2021-11-11,89.04,89.93,89.04,89.9,24193
2021-11-12,89.85,91.03,89.16,90.93,13041
2021-11-15,90.82,91.49,90.35,91.05,18842
2021-11-16,90.99,91.95,90.99,91.16,102310
2021-11-17,91.27,91.27,90.03,90.68,15654
2021-11-18,90.53,90.53,89.43,89.67,31054
2021-11-19,89.07,89.83,88.54,89.02,47979
2021-11-22,89.74,90.34,88.97,89.36,23160
2021-11-23,89.53,91.22,89.36,91.15,30908
2021-11-24,90.86,91.06,90.11,90.13,14479
2021-11-26,85.86,86.06,84.69,85.89,19112
2021-11-29,86.34,86.83,84.93,85.2,53100
2021-11-30,84.13,84.88,83.11,83.29,53242
2021-12-01,84.52,85.61,82.11,82.11,93341
2021-12-02,82.64,86.29,82.45,85.67,50148
2021-12-03,85.38,86.19,85.21,85.58,23286
2021-12-06,87.42,89.14,87.17,88.08,26868
2021-12-07,88.31,89.04,88.26,88.49,12739
2021-12-08,88.49,89.0,88.48,88.77,10157
2021-12-09,87.8,88.79,87.8,88.32,12701
2021-12-10,88.8,88.98,87.74,88.52,17072
2021-12-13,88.04,88.33,87.76,87.82,10257
2021-12-14,88.24,89.57,88.17,88.4,15748
2021-12-15,87.77,89.2,87.76,88.83,20688
2021-12-16,89.09,89.74,88.26,88.39,24826
2021-12-17,87.71,87.85,86.3,86.31,25672
2021-12-20,85.19,85.19,82.43,83.56,23419
2021-12-21,85.67,87.76,85.52,87.37,29631
2021-12-22,87.12,88.39,87.12,88.32,25273
2021-12-23,89.39,89.76,88.99,89.22,14545
2021-12-27,88.82,89.89,88.82,89.87,9807
2021-12-28,90.61,91.16,90.5,90.7,10604
2021-12-29,91.16,91.31,90.78,91.16,14793
2021-12-30,91.42,92.19,90.65,90.66,10475
2021-12-31,90.65,91.12,90.25,90.31,7949
2022-01-03,91.3,92.32,91.29,91.38,13166
2022-01-04,92.72,94.19,92.72,93.85,17381
2022-01-05,94.85,95.24,93.71,93.88,26408
2022-01-06,95.33,95.52,94.51,95.4,18117
2022-01-07,95.5,97.31,95.5,97.17,27377
2022-01-10,98.18,98.18,96.64,97.4,25973
2022-01-11,97.76,98.64,96.68,98.51,11552
2022-01-12,100.71,102.03,99.15,100.58,37183
2022-01-13,101.2,102.01,100.16,100.46,38005
2022-01-14,99.72,102.26,99.72,102.25,18414
2022-01-18,102.32,102.32,100.01,101.47,25663
2022-01-19,101.11,101.46,99.95,100.39,15957
2022-01-20,100.5,101.94,99.58,99.78,34881
2022-01-21,98.56,99.37,97.24,97.46,19442
2022-01-24,96.28,98.71,94.99,98.47,20542
2022-01-25,96.21,99.9,95.12,98.95,24450
2022-01-26,99.23,101.09,98.7,99.1,32527
2022-01-27,100.16,100.6,96.77,97.54,14794
2022-01-28,96.84,98.42,95.7,98.42,17226
2022-01-31,97.83,98.8,97.69,98.73,28361
2022-02-01,98.53,99.49,97.24,99.16,34629
2022-02-02,99.29,100.61,98.75,100.34,35972
2022-02-03,100.57,100.57,97.32,98.76,44746
2022-02-04,98.65,101.18,98.65,100.22,18976
