date,open,high,low,close,volume
2020-07-27,25.03,26.43,24.94,26.26,226071
2020-07-28,26.18,26.88,25.72,25.94,252723
2020-07-29,26.22,27.27,26.15,27.1,124333
2020-07-30,26.74,26.93,26.54,26.68,101919
2020-07-31,26.64,26.72,26.12,26.59,166828
2020-08-03,26.65,26.66,26.27,26.53,72059
2020-08-04,26.51,26.75,26.48,26.73,88821
2020-08-05,26.89,27.36,26.85,27.35,72650
2020-08-06,27.21,27.43,27.13,27.29,115467
2020-08-07,27.2,27.34,26.97,27.27,48453
2020-08-10,27.33,27.65,27.24,27.58,89340
2020-08-11,27.86,28.16,27.65,27.69,47339
2020-08-12,27.95,28.17,27.8,28.09,47111
2020-08-13,27.83,28.16,27.78,27.89,64294
2020-08-14,27.77,27.8,27.59,27.74,54805
2020-08-17,27.8,27.92,27.7,27.72,96286
2020-08-18,27.74,27.79,27.46,27.53,70355
2020-08-19,27.61,27.78,27.53,27.62,71172
2020-08-20,27.38,27.52,27.29,27.33,44094
2020-08-21,27.39,27.86,27.28,27.84,87792
2020-08-24,28.09,28.59,28.01,28.58,213680
2020-08-25,28.7,28.73,27.96,28.21,65694
2020-08-26,28.19,28.32,28.07,28.09,42549
2020-08-27,28.23,28.24,27.55,27.74,97118
2020-08-28,27.78,28.26,27.58,28.19,180432
2020-08-31,28.17,28.19,27.81,28.04,78979
2020-09-01,27.92,28.36,27.67,28.36,79846
2020-09-02,28.57,29.23,28.4,29.12,93760
2020-09-03,28.8,28.81,27.17,27.57,160101
2020-09-04,27.76,27.89,26.91,27.68,177320
2020-09-08,27.29,27.75,27.22,27.4,144916
2020-09-09,28.09,29.16,28.09,28.54,209055
2020-09-10,28.73,28.89,27.51,27.51,119223
2020-09-11,27.88,27.96,27.27,27.56,164321
2020-09-14,28.02,28.39,28.01,28.27,77883
2020-09-15,28.58,28.68,28.32,28.35,163164
2020-09-16,28.51,28.7,28.11,28.18,219611
2020-09-17,27.82,28.56,27.8,28.32,104829
2020-09-18,28.39,28.46,27.83,28.01,98984
2020-09-21,27.43,27.46,26.74,27.12,59647
2020-09-22,27.08,27.29,26.8,27.28,202208
2020-09-23,27.27,27.29,26.34,26.42,184525
2020-09-24,26.2,26.86,26.06,26.48,62561
2020-09-25,26.38,27.01,26.31,26.93,63875
2020-09-28,27.45,27.78,27.33,27.6,55123
2020-09-29,27.77,27.89,27.57,27.6,56011
2020-09-30,27.73,28.29,27.72,28.01,113185
2020-10-01,28.2,28.27,27.69,28.09,174536
2020-10-02,27.74,28.58,27.63,28.32,175645
2020-10-05,28.67,29.11,28.67,28.94,161746
2020-10-06,29.05,29.63,28.99,29.03,152948
2020-10-07,29.3,30.29,29.3,30.27,138286
2020-10-08,30.6,30.93,30.3,30.42,219776
2020-10-09,30.57,30.66,29.97,30.02,168215
2020-10-12,30.13,30.25,29.87,29.9,144351
2020-10-13,29.86,30.5,29.59,30.12,351582
2020-10-14,30.15,30.25,29.59,29.81,238218
2020-10-15,29.45,30.19,29.44,30.18,254410
2020-10-16,30.29,30.54,30.13,30.36,135797
2020-10-19,30.47,30.59,29.77,29.85,87945
2020-10-20,29.98,30.49,29.98,30.09,89171
2020-10-21,30.15,30.61,30.0,30.22,137425
2020-10-22,30.22,30.73,30.21,30.6,115629
2020-10-23,30.71,30.76,30.46,30.69,130685
2020-10-26,30.25,30.25,29.51,29.58,334138
2020-10-27,29.73,29.74,28.18,28.34,781697
2020-10-28,27.62,28.1,27.3,27.37,363834
2020-10-29,27.35,28.0,27.15,27.69,249844
2020-10-30,27.69,27.69,27.03,27.6,220533
2020-11-02,27.97,28.31,27.64,28.04,207938
2020-11-03,28.6,29.24,28.51,29.08,141507
2020-11-04,28.89,29.61,28.44,28.96,153567
2020-11-05,29.47,30.07,29.47,29.81,159543
2020-11-06,29.78,30.07,29.7,29.96,96871
2020-11-09,31.43,31.97,30.77,30.77,300429
2020-11-10,31.03,31.26,30.79,31.08,128835
2020-11-11,31.34,31.34,30.87,31.06,124043
2020-11-12,30.89,31.01,30.03,30.34,151259
2020-11-13,30.75,31.27,30.73,31.14,95534
2020-11-16,31.63,32.25,31.34,32.09,145500
2020-11-17,31.82,31.98,31.49,31.65,99554
2020-11-18,31.79,31.83,31.35,31.35,87123
2020-11-19,31.1,31.64,31.01,31.61,64067
2020-11-20,31.46,31.74,31.3,31.51,96576
2020-11-23,31.8,31.98,31.54,31.79,69208
2020-11-24,32.11,32.63,32.1,32.57,95958
2020-11-25,32.55,32.58,32.23,32.38,74511
2020-11-27,32.44,32.65,32.2,32.2,48416
2020-11-30,32.16,32.5,31.87,32.5,117516
2020-12-01,32.82,32.92,32.35,32.47,154351
2020-12-02,32.47,32.96,32.47,32.82,136660
2020-12-03,32.57,32.72,32.18,32.22,117495
2020-12-04,32.32,32.96,32.32,32.96,143664
2020-12-07,32.79,32.86,32.45,32.67,78662
2020-12-08,32.6,32.99,32.6,32.96,58240
2020-12-09,33.0,33.38,32.68,32.74,94091
2020-12-10,32.57,32.57,32.04,32.28,90222
2020-12-11,31.57,31.71,30.8,30.94,193287
2020-12-14,31.99,32.49,31.79,31.98,280642
2020-12-15,32.11,32.23,31.56,32.15,218716
2020-12-16,32.16,32.16,31.28,31.47,196866
2020-12-17,31.68,31.79,31.48,31.78,113419
2020-12-18,31.83,31.83,31.14,31.48,204230
2020-12-21,30.97,31.3,30.44,31.24,164397
2020-12-22,31.36,31.65,31.2,31.34,123067
2020-12-23,31.59,31.89,31.45,31.59,92669
2020-12-24,31.72,31.77,31.23,31.5,41036
2020-12-28,31.63,31.79,31.41,31.44,45257
2020-12-29,31.57,31.57,30.84,30.94,42858
2020-12-30,31.09,31.4,31.09,31.25,80906
2020-12-31,31.24,31.32,30.95,31.31,142757
2021-01-04,31.47,31.47,30.24,30.33,137805
2021-01-05,30.46,31.14,30.34,30.98,142763
2021-01-06,31.43,32.63,31.38,32.04,297223
2021-01-07,32.36,32.53,31.9,32.14,144967
2021-01-08,32.23,32.33,31.77,32.11,80817
2021-01-11,31.76,32.66,31.68,32.59,95536
2021-01-12,32.73,33.02,32.42,32.57,120795
2021-01-13,32.51,32.53,32.16,32.3,89861
2021-01-14,32.89,33.65,32.58,33.04,175851
2021-01-15,32.79,33.02,32.33,32.85,151859
2021-01-19,33.1,33.62,33.1,33.48,155656
2021-01-20,33.51,33.73,33.15,33.42,84386
2021-01-21,33.43,33.53,32.96,33.0,89936
2021-01-22,32.66,32.86,32.39,32.67,360341
2021-01-25,32.75,33.45,32.64,33.41,123505
2021-01-26,33.62,33.63,32.25,32.31,224699
2021-01-27,31.37,32.09,30.44,30.57,579354
2021-01-28,31.28,32.03,31.25,31.64,200751
2021-01-29,31.47,31.51,30.89,31.16,204358
2021-02-01,31.56,31.56,30.97,31.17,97884
2021-02-02,31.62,31.87,31.31,31.56,160592
2021-02-03,31.49,31.77,30.93,31.57,120981
2021-02-04,31.83,32.46,31.79,32.4,120336
2021-02-05,32.59,32.72,32.45,32.51,73541
2021-02-08,32.56,32.89,32.56,32.72,86174
2021-02-09,32.64,32.74,31.53,31.54,261010
2021-02-10,31.64,32.24,31.64,32.05,233844
2021-02-11,32.1,32.1,31.53,31.93,102597
2021-02-12,31.71,32.09,31.71,32.04,96754
2021-02-16,33.4,34.0,33.31,33.54,331496
2021-02-17,33.34,33.67,32.89,32.96,343359
2021-02-18,32.7,33.06,32.49,32.59,349647
2021-02-19,32.77,33.22,32.69,33.07,133553
2021-02-22,32.88,33.27,32.67,32.96,106518
2021-02-23,32.83,32.91,32.2,32.7,173485
2021-02-24,32.58,33.75,32.58,33.57,201425
2021-02-25,33.5,33.5,32.68,32.96,272422
2021-02-26,33.19,33.89,33.01,33.44,272037
2021-03-01,34.0,34.76,33.86,34.52,213219
2021-03-02,34.5,34.68,33.86,33.86,179269
2021-03-03,33.75,34.43,33.63,33.74,136242
2021-03-04,33.42,33.55,31.75,32.3,268510
2021-03-05,32.75,32.9,31.45,32.77,103429
