date,open,high,low,close,volume
2020-07-27,24.74,24.84,24.32,24.69,562745
2020-07-28,24.69,25.68,24.68,25.32,221782
2020-07-29,25.84,25.96,23.96,24.87,1034435
2020-07-30,24.12,24.42,24.03,24.2,650865
2020-07-31,24.14,24.14,23.48,23.91,503951
2020-08-03,24.11,24.74,23.85,24.63,413550
2020-08-04,24.82,24.94,24.53,24.78,184270
2020-08-05,25.18,25.31,24.86,25.31,353380
2020-08-06,25.17,26.11,25.13,25.57,317711
2020-08-07,25.32,25.74,25.17,25.66,286262
2020-08-10,25.88,26.95,25.85,26.85,215128
2020-08-11,27.38,28.19,27.33,27.37,609705
2020-08-12,27.85,27.85,26.69,26.92,256197
2020-08-13,26.57,27.09,26.41,26.47,165934
2020-08-14,26.19,26.99,26.18,26.76,155450
2020-08-17,27.55,29.55,27.31,28.83,627198
2020-08-18,29.32,29.85,28.61,28.67,429169
2020-08-19,28.53,28.84,27.94,28.07,253955
2020-08-20,27.57,28.02,27.52,27.7,182846
2020-08-21,27.54,27.79,27.31,27.44,211993
2020-08-24,28.06,29.53,27.89,29.11,409490
2020-08-25,29.26,29.49,28.32,28.54,289599
2020-08-26,28.58,28.64,27.97,28.32,218905
2020-08-27,28.42,29.03,28.35,28.51,195992
2020-08-28,28.66,29.03,28.47,28.83,260958
2020-08-31,28.83,28.99,28.46,28.49,167265
2020-09-01,28.34,28.66,28.19,28.64,148961
2020-09-02,28.69,29.85,28.63,29.75,360494
2020-09-03,29.8,30.26,27.99,28.33,367706
2020-09-04,28.79,29.14,28.2,28.82,368900
2020-09-08,30.41,32.01,29.85,31.09,787462
2020-09-09,30.84,31.45,30.47,30.68,417374
2020-09-10,30.6,30.61,28.97,28.99,479513
2020-09-11,29.07,29.32,28.69,29.25,289382
2020-09-14,29.52,30.29,29.35,29.96,190449
2020-09-15,30.13,31.55,29.62,30.35,3784755
2020-09-16,31.35,31.46,30.49,30.54,367570
2020-09-17,29.86,30.68,29.76,30.67,184226
2020-09-18,30.58,30.77,30.13,30.25,256802
2020-09-21,29.07,29.21,28.03,28.82,546647
2020-09-22,28.75,29.14,28.17,28.27,132104
2020-09-23,28.39,28.79,28.06,28.18,125008
2020-09-24,27.94,28.38,27.13,27.97,210411
2020-09-25,27.65,28.06,27.45,27.85,167680
2020-09-28,28.6,28.84,28.22,28.22,116056
2020-09-29,28.13,28.23,27.38,27.62,123807
2020-09-30,27.79,28.64,27.78,28.45,248003
2020-10-01,28.51,29.29,28.01,29.19,753615
2020-10-02,28.46,29.66,28.45,29.26,370309
2020-10-05,29.62,30.05,29.61,29.73,189295
2020-10-06,30.07,30.21,29.11,29.22,343433
2020-10-07,29.62,30.5,29.62,30.4,345530
2020-10-08,30.62,31.34,30.55,30.95,1269828
2020-10-09,31.03,31.38,30.76,30.89,615753
2020-10-12,31.09,31.38,30.87,30.91,318606
2020-10-13,30.87,30.98,30.23,30.62,366586
2020-10-14,30.8,30.97,30.29,30.39,276459
2020-10-15,29.77,31.4,29.74,31.3,493981
2020-10-16,31.59,32.14,31.39,32.14,1101812
2020-10-19,32.19,32.52,31.78,32.03,364908
2020-10-20,32.58,34.91,32.45,34.2,1180731
