date,open,high,low,close,volume
2020-07-27,75.22,76.33,75.14,75.84,816600
2020-07-28,75.52,75.61,74.26,74.42,720360
2020-07-29,74.55,75.86,74.44,75.37,805500
2020-07-30,74.21,76.22,74.0,76.06,1131360
2020-07-31,74.38,74.45,72.1,73.47,2183760
2020-08-03,73.64,73.83,72.67,72.99,1193160
2020-08-04,73.13,73.61,72.33,72.6,916980
2020-08-05,72.77,73.47,72.54,73.03,2008980
2020-08-06,72.98,74.46,72.67,74.42,2389780
2020-08-07,74.25,75.13,73.55,74.08,466020
2020-08-10,73.76,74.53,73.15,74.1,658340
2020-08-11,73.91,74.79,73.3,73.32,691020
2020-08-12,73.7,74.88,73.65,74.65,971940
2020-08-13,74.89,76.13,74.79,75.25,652500
2020-08-14,75.24,75.34,74.49,74.64,398440
2020-08-17,75.41,75.6,75.1,75.35,384240
2020-08-18,75.67,77.39,75.61,77.27,968440
2020-08-19,77.04,77.91,76.59,76.85,771900
2020-08-20,76.3,78.59,76.3,78.35,964440
2020-08-21,78.32,79.18,77.97,78.33,540680
2020-08-24,79.0,79.81,78.34,78.72,699320
2020-08-25,78.46,79.79,78.46,79.69,643180
2020-08-26,79.82,82.23,79.53,81.9,2029000
2020-08-27,81.85,81.88,80.63,81.07,525700
2020-08-28,81.0,81.59,80.84,81.41,465180
2020-08-31,81.32,81.67,80.88,81.02,509340
2020-09-01,81.12,82.54,80.99,82.34,582260
2020-09-02,82.82,85.88,82.64,85.64,1471480
2020-09-03,84.63,84.63,80.07,81.48,1785020
2020-09-04,80.45,81.46,76.94,78.81,1000320
2020-09-08,75.97,77.42,75.76,75.82,1703640
2020-09-09,77.35,77.71,76.2,77.13,547220
2020-09-10,77.34,78.43,75.72,75.97,589960
2020-09-11,76.08,76.52,74.29,75.41,810540
2020-09-14,76.21,77.48,75.2,75.31,597240
2020-09-15,75.93,77.25,75.93,76.39,1367140
2020-09-16,76.89,77.41,75.34,75.37,873500
2020-09-17,74.1,74.75,72.98,74.15,882000
2020-09-18,74.26,74.41,71.29,72.35,968480
2020-09-21,71.41,71.71,69.78,70.89,1581500
2020-09-22,71.81,72.82,71.16,72.62,1110080
2020-09-23,72.31,72.31,69.8,70.19,697100
2020-09-24,70.13,71.54,69.93,70.7,1282260
2020-09-25,70.81,71.84,70.14,71.61,693440
2020-09-28,73.07,73.07,72.15,72.54,923920
2020-09-29,73.17,73.18,72.37,72.93,655960
2020-09-30,72.77,73.78,72.4,72.92,480960
2020-10-01,73.59,74.25,73.35,73.87,1850340
2020-10-02,72.37,73.51,72.04,72.32,1260800
2020-10-05,72.65,73.75,72.61,73.68,1271920
2020-10-06,73.22,73.68,71.82,72.1,914580
2020-10-07,72.57,72.78,71.18,72.35,2189140
2020-10-08,72.71,73.85,72.71,73.67,1526460
2020-10-09,74.07,75.15,73.83,75.11,1821840
2020-10-12,76.48,78.99,76.03,77.74,3658880
2020-10-13,78.41,78.75,77.53,77.89,1939720
2020-10-14,78.2,78.66,76.9,77.74,1741660
2020-10-15,76.64,78.06,76.61,77.3,1852900
