date,open,high,low,close,volume
2020-07-27,75.14,76.21,75.02,75.82,1048240
2020-07-28,75.53,75.68,74.45,74.6,961360
2020-07-29,74.72,76.02,74.57,75.55,850360
2020-07-30,74.32,76.41,74.17,76.2,1290840
2020-07-31,74.31,74.55,72.1,73.79,4146120
2020-08-03,74.03,74.21,73.0,73.53,1360600
2020-08-04,73.72,73.97,72.63,73.0,1307860
2020-08-05,73.2,73.86,73.04,73.39,1236760
2020-08-06,73.28,74.68,73.05,74.59,1540660
2020-08-07,74.7,75.35,73.74,74.26,1363400
2020-08-10,74.03,74.7,73.36,74.23,456460
2020-08-11,74.1,74.86,73.32,73.4,1680500
2020-08-12,73.75,74.92,73.75,74.73,611080
2020-08-13,74.91,76.2,74.91,75.14,700140
2020-08-14,75.05,75.23,74.41,74.51,825580
2020-08-17,74.81,75.53,74.81,75.2,660460
2020-08-18,75.59,77.22,75.46,77.21,1058920
2020-08-19,76.98,77.76,76.43,76.61,893640
2020-08-20,76.3,78.35,76.1,78.11,969560
2020-08-21,78.17,78.93,77.62,78.12,1063260
2020-08-24,78.97,79.72,78.17,78.55,1104220
2020-08-25,78.31,79.78,78.31,79.63,1114560
2020-08-26,79.75,81.89,79.42,81.65,1812300
2020-08-27,81.47,81.67,80.36,80.83,946080
2020-08-28,80.89,81.38,80.61,81.26,833240
2020-08-31,81.15,81.5,80.68,80.93,742060
2020-09-01,81.08,82.27,80.87,82.09,916860
2020-09-02,82.57,85.53,82.35,85.22,2836380
2020-09-03,84.25,84.25,79.74,80.93,2760540
2020-09-04,79.84,81.01,76.32,78.45,1858040
2020-09-08,75.53,77.1,75.29,75.41,2097520
2020-09-09,76.92,77.3,75.78,76.6,1210620
2020-09-10,76.95,78.02,75.39,75.77,859500
2020-09-11,75.82,76.3,74.36,75.25,976340
2020-09-14,75.99,77.19,74.69,74.82,1244620
2020-09-15,75.58,76.88,75.53,76.06,975100
2020-09-16,76.52,76.99,74.97,74.97,825140
2020-09-17,73.62,74.27,72.55,73.83,1162840
2020-09-18,73.86,74.13,71.07,71.96,2328020
2020-09-21,71.36,71.36,69.62,70.81,1771280
2020-09-22,71.9,72.59,70.91,72.33,1236620
2020-09-23,72.05,72.05,69.6,69.93,1168840
2020-09-24,69.63,71.21,69.6,70.51,916560
2020-09-25,70.69,71.69,69.89,71.36,703240
2020-09-28,72.99,72.99,71.77,72.31,936000
2020-09-29,72.57,72.98,72.11,72.74,1229640
2020-09-30,72.45,73.65,72.2,72.7,1218260
2020-10-01,73.56,74.13,73.25,73.8,2246360
2020-10-02,72.38,73.31,71.83,72.17,2078400
2020-10-05,72.59,73.62,72.42,73.54,2154340
2020-10-06,73.23,73.52,71.76,72.09,1040440
2020-10-07,72.59,72.74,71.11,72.35,3067700
2020-10-08,72.71,73.79,72.69,73.6,2487300
2020-10-09,73.95,74.94,73.74,74.92,2355040
2020-10-12,76.36,78.77,75.86,77.5,5730920
2020-10-13,78.24,78.59,77.39,77.71,3754860
2020-10-14,78.01,78.54,76.66,77.55,2486600
2020-10-15,76.44,77.93,76.43,77.16,2583740
2020-10-16,77.46,78.23,77.27,77.69,2379140
2020-10-19,78.19,78.55,75.6,75.86,3034700
2020-10-20,75.44,78.05,75.4,76.93,4892920
2020-10-21,77.77,80.09,77.74,78.61,6014520
2020-10-22,78.52,80.01,78.32,79.63,2637260
2020-10-23,80.14,81.03,80.01,81.0,2897960
2020-10-26,80.03,80.77,77.78,78.55,3003360
2020-10-27,78.83,79.41,78.2,79.32,2270680
2020-10-28,76.86,77.01,74.84,74.88,4116800
2020-10-29,75.23,78.78,75.23,77.39,3876100
2020-10-30,82.69,83.34,79.42,80.15,8575440
2020-11-02,80.67,82.22,80.08,80.45,2092620
2020-11-03,80.88,82.21,80.09,81.56,1790620
2020-11-04,84.54,87.77,84.51,86.56,3838240
2020-11-05,87.97,88.83,86.35,87.32,1776920
2020-11-06,86.76,87.66,86.19,87.24,1049740
2020-11-09,89.01,90.01,87.17,87.22,2171080
2020-11-10,85.79,87.18,85.14,86.19,1634000
2020-11-11,86.72,87.37,86.45,86.63,2026620
2020-11-12,86.64,87.33,86.19,86.46,1328800
2020-11-13,86.86,88.04,86.14,87.91,1230180
2020-11-16,87.66,88.93,87.36,87.98,1066900
2020-11-17,87.62,88.06,87.3,87.36,805380
2020-11-18,87.29,87.48,86.29,86.29,739320
2020-11-19,85.87,87.41,85.87,87.2,1039720
